X,Y,Z,G,S,AVG
100,380,1340,1396,0,0
164,608,1316,1458,0,0
92,132,1084,1095,0,0
-100,332,1264,1310,0,0
4,432,1324,1392,0,0
24,132,1248,1255,0,0
124,352,1344,1394,0,0
120,140,1252,1265,0,0
-256,432,1532,1612,0,0
-256,208,1400,1438,0,0
-160,124,1244,1260,0,0
-164,248,1228,1263,0,0
-320,184,1188,1244,0,0
-360,188,1260,1323,0,0
-508,-180,1336,1440,0,0
-352,964,1200,1578,0,0
-316,496,1124,1268,0,0
-392,176,960,1051,1268,0
-528,632,1088,1364,0,0
-544,608,1088,1359,0,0
-516,560,1036,1285,0,0
-480,536,1052,1274,0,0
-452,516,1004,1215,0,0
-456,548,960,1195,0,0
-476,572,988,1236,0,0
-476,576,976,1229,0,0
-464,548,984,1218,0,0
-496,540,964,1211,0,0
-512,580,952,1226,0,0
-548,560,932,1217,0,0
-552,576,960,1248,0,0
-528,588,936,1224,0,0
-544,588,952,1244,0,0
-512,572,932,1207,0,0
-528,600,960,1249,0,0
-496,572,960,1222,0,0
-516,604,952,1239,0,0
-516,716,988,1324,0,0
-512,576,1400,1598,0,0
-456,480,924,1136,0,0
-388,344,768,926,1136,0
-640,636,928,1294,0,0
-488,636,924,1223,0,0
-564,448,892,1146,0,0
-500,572,952,1217,0,0
-528,568,928,1209,0,0
-520,572,924,1204,0,0
-436,636,984,1250,0,0
-512,540,940,1198,0,0
-528,540,908,1181,0,0
-544,568,928,1216,0,0
-532,544,944,1212,0,0
-396,636,1060,1298,0,0
-520,528,988,1235,0,0
-516,544,984,1237,0,0
-520,524,960,1211,0,0
-520,524,960,1211,0,0
-508,536,944,1198,0,0
-512,508,928,1175,0,0
-324,636,1052,1271,0,0
-500,496,952,1184,0,0
-484,540,956,1199,0,0
-516,516,960,1205,0,0
-500,524,944,1189,0,0
-488,556,988,1234,0,0
-488,524,952,1191,0,0
-500,560,1008,1256,0,0
-516,536,964,1217,0,0
-488,572,972,1228,0,0
-528,548,960,1225,0,0
-544,572,956,1239,0,0
-516,560,960,1225,0,0
-500,540,944,1196,0,0
-512,608,984,1264,0,0
-464,556,908,1161,0,0
-464,588,896,1167,0,0
-484,560,896,1162,0,0
-500,560,908,1178,0,0
-500,580,972,1237,0,0
-508,604,964,1245,0,0
-528,560,896,1181,0,0
-572,540,892,1189,0,0
-528,636,1072,1353,0,0
-572,524,940,1218,0,0
-584,548,972,1259,0,0
-576,484,896,1169,0,0
-548,540,928,1205,0,0
-548,516,908,1179,0,0
-564,504,908,1181,0,0
-484,600,940,1215,0,0
-452,600,908,1178,0,0
-444,664,944,1236,0,0
-384,696,960,1246,0,0
-328,688,972,1235,0,0
-412,620,976,1227,0,0
-452,636,992,1262,0,0
-484,684,1084,1370,0,0
-572,536,988,1261,0,0
-564,540,992,1262,0,0
-512,460,960,1181,0,0
-564,452,940,1185,0,0
-528,472,984,1212,0,0
-484,480,952,1170,0,0
-420,636,1068,1312,0,0
-456,496,944,1159,0,0
-464,528,956,1186,0,0
-516,556,988,1245,0,0
-508,540,960,1212,0,0
-488,548,1004,1243,0,0
-424,544,992,1208,0,0
-512,512,1204,1404,0,0
-544,448,956,1187,0,0
-540,476,992,1225,0,0
-544,448,1048,1262,0,0
-544,452,960,1192,0,0
-532,496,972,1214,0,0
-456,508,984,1197,0,0
-388,512,1024,1208,0,0
-476,524,960,1192,0,0
-500,560,996,1247,0,0
-476,548,960,1203,0,0
-476,540,944,1187,0,0
-452,548,1008,1233,0,0
-456,540,964,1195,0,0
-508,608,992,1269,0,0
-476,576,940,1200,0,0
-464,604,932,1203,0,0
-476,576,848,1130,0,0
-388,572,752,1021,0,0
-296,560,652,909,0,0
-180,636,496,826,0,0
64,764,260,809,0,0
32,1092,112,1098,0,0
-656,2084,96,2186,0,0
-832,1728,96,1920,0,0
-896,1304,124,1587,0,0
-928,1080,184,1435,0,0
-576,1028,48,1179,0,0
-420,796,-16,900,0,0
-512,944,60,1075,0,0
-464,1072,60,1169,0,0
-452,1020,32,1116,0,0
-388,1052,28,1121,1116,0
-372,1084,24,1146,0,0
