X,Y,Z,G,S,AVG
-624,-564,252,878,0,872
-604,-576,316,892,0,872
-612,-544,252,856,0,872
-592,-576,256,864,0,872
-616,-608,252,901,0,872
-596,-612,280,898,0,872
-624,-572,284,892,0,872
-612,-576,280,885,0,872
-628,-604,240,903,0,872
-584,-564,252,850,0,872
-612,-596,240,887,0,872
-660,-564,268,908,0,872
-628,-576,260,890,0,872
-628,-572,268,890,0,872
-612,-576,252,877,0,872
-596,-576,256,867,0,872
-612,-576,252,877,0,872
-592,-584,240,865,0,872
-612,-588,268,890,0,872
-612,-576,268,882,0,872
-628,-592,196,885,0,872
-612,-580,228,873,0,872
-636,-560,224,876,0,872
-516,-464,216,726,0,872
-564,-528,180,793,0,872
-672,-580,228,916,0,806
-632,-452,152,791,0,806
-704,-604,228,955,0,806
-668,-656,252,969,0,806
-500,-544,300,797,0,806
-704,-484,332,916,0,806
-576,-592,288,874,0,806
-628,-612,260,914,0,806
-608,-592,224,877,0,806
-636,-576,252,894,0,806
-628,-564,280,889,0,806
-616,-564,284,882,0,806
-612,-564,272,875,0,806
-628,-552,268,878,0,806
-604,-572,252,869,0,806
-636,-592,236,900,0,806
-616,-572,256,878,0,806
-516,-500,268,766,0,806
-608,-452,256,799,0,806
-544,-308,284,686,0,806
-388,-256,352,583,0,806
-208,-196,284,402,0,806
-400,-148,192,467,0,806
-688,-116,164,716,0,806
-676,-8,76,680,0,806
-868,220,36,896,0,1188
-996,396,12,1071,0,1188
-1012,704,-32,1233,0,1188
-912,832,60,1235,0,1188
-848,1048,192,1361,0,1188
-660,1200,188,1382,0,1188
-596,1276,184,1420,0,1188
-580,1188,124,1327,0,1188
-456,1148,76,1237,0,1188
-380,1164,96,1228,0,1188
-356,1092,96,1152,0,1188
-208,1176,60,1195,0,1188
-144,1284,580,1416,0,1188
-80,1060,228,1087,0,1188
-28,1180,76,1182,0,1188
-52,1100,-60,1102,0,1188
4,1052,-64,1053,0,1188
-52,1088,32,1089,0,1188
-80,1148,60,1152,0,1188
-128,1148,124,1161,0,1188
-192,1176,128,1198,0,1188
-200,1120,132,1145,0,1188
-180,1112,124,1133,0,1188
-156,1116,80,1129,0,1188
-132,1120,64,1129,0,1188
-144,1100,60,1111,0,1752
-124,1136,76,1145,0,1752
-176,1132,124,1152,0,1752
-288,1072,132,1117,0,1752
-412,1036,76,1117,0,1752
-464,1036,92,1138,0,1752
-528,1016,96,1149,0,1752
-624,1216,76,1368,0,1752
-432,1184,12,1260,0,1752
-372,1084,60,1147,0,1752
-296,944,56,990,0,1752
-196,844,-16,866,0,1752
-40,892,-60,894,0,1752
304,972,-104,1023,0,1752
752,1264,124,1476,0,1752
928,1504,-48,1767,0,1752
284,2544,-276,2574,0,1752
-868,2656,-380,2819,0,1752
-1160,1744,-68,2095,0,1752
-1296,592,300,1456,0,1752
-1824,-480,652,1995,0,1752
-1692,-820,352,1912,0,1752
-2304,-128,-564,2375,0,1752
-3508,2972,-1444,4819,0,1752
-2468,3888,-2056,5043,0,1752
