X,Y,Z,G,S,AVG
-320,1084,192,1146,0,0
-348,1020,156,1088,0,0
-368,1020,120,1090,0,0
-388,1008,120,1086,0,0
-368,1020,152,1094,0,0
-324,1052,128,1108,0,0
-356,1036,140,1104,0,0
-380,1036,156,1114,0,0
-380,1020,140,1097,0,0
-348,1052,124,1114,0,0
-360,1040,140,1109,0,0
-380,1020,128,1095,0,0
-384,1020,152,1100,0,0
-368,1052,140,1123,0,0
-356,1052,144,1119,0,0
-372,1040,124,1111,0,0
-352,1040,140,1106,0,0
-384,1020,140,1098,0,0
-384,1036,156,1115,0,0
-360,1020,140,1090,0,0
-380,1020,156,1099,0,0
-380,1048,140,1123,0,0
-372,1048,124,1118,0,0
-372,1016,140,1090,0,0
-380,1036,152,1113,0,0
-372,992,160,1071,0,0
-360,1008,144,1080,0,0
-256,972,56,1006,0,0
-392,952,64,1031,0,0
-324,1020,96,1074,0,0
-416,976,76,1063,0,0
-416,772,28,877,0,0
-404,1036,140,1120,0,0
-388,1020,140,1100,0,0
-380,1016,140,1093,0,0
-368,1036,140,1108,0,0
-384,996,140,1076,0,0
-384,1020,128,1097,0,0
-388,1020,132,1099,0,0
-388,1036,140,1115,0,0
-384,1004,112,1080,0,0
-392,1040,152,1121,0,0
-388,1028,140,1107,0,0
-448,1152,176,1248,0,0
-340,1020,124,1082,0,0
-388,1020,132,1099,0,0
-372,1016,128,1089,0,0
-380,1020,156,1099,0,0
-420,1020,164,1115,0,0
-416,1004,156,1097,0,0
-412,1008,172,1102,0,0
-420,1008,184,1107,0,0
-452,992,192,1106,0,0
-452,976,144,1085,0,0
-452,992,192,1106,0,0
-436,1036,172,1137,0,0
-416,992,176,1089,0,0
-348,1020,140,1086,0,0
-356,1072,124,1136,0,0
-356,1016,132,1084,0,0
-340,944,176,1018,0,0
-336,984,128,1047,0,0
-368,972,128,1047,0,0
-356,1020,80,1083,0,0
-308,1052,96,1100,0,0
-260,1052,96,1087,0,0
-452,1052,-48,1145,0,0
-452,952,48,1054,0,0
-516,992,76,1120,0,0
-564,1036,96,1183,0,0
-516,1004,96,1132,0,0
-540,956,128,1105,0,0
-528,952,76,1091,0,0
-452,960,68,1063,0,0
-420,928,24,1018,0,0
-400,956,92,1040,0,0
-400,1052,80,1128,0,0
-412,1048,96,1130,0,0
-400,1020,124,1102,0,0
-388,992,112,1071,0,0
-360,1056,140,1124,0,0
-356,1072,124,1136,0,0
-352,1052,112,1114,0,0
-372,1052,112,1121,0,0
-368,1036,120,1105,0,0
-380,1036,140,1112,0,0
-372,1072,132,1142,0,0
-372,1180,68,1239,0,0
80,1152,-32,1155,0,0
216,1216,-80,1237,0,0
44,1284,-96,1288,0,0
36,1308,-52,1309,0,0
188,1452,56,1465,0,0
4,1276,28,1276,0,0
-92,1208,88,1214,0,0
-188,1124,164,1151,0,0
-200,1080,188,1114,0,0
-320,944,268,1032,0,0
-336,896,300,1002,0,0
-452,868,288,1020,0,0
-544,908,268,1091,0,0
-656,988,260,1214,0,0
-708,1308,120,1492,0,0
-840,1920,-72,2096,0,0
-692,2040,-372,2186,0,0
-768,2180,-448,2354,0,0
-560,2020,-292,2116,0,0
-388,2044,-228,2092,2116,0
-196,1420,-316,1467,0,0
-64,992,-164,1007,0,0
-68,828,-52,832,0,0
184,684,-52,710,0,0
320,524,32,614,0,0
124,748,60,760,0,0
-48,1340,-116,1345,0,0
-288,2192,-432,2252,0,0
-656,2380,-180,2475,0,0
-1096,2372,-16,2613,0,0
-612,1984,-196,2085,0,0
-836,1432,224,1673,2085,0
-612,1208,204,1369,0,0
-392,900,248,1012,0,0
-416,720,352,902,0,0
-444,688,332,883,0,0
-484,784,292,966,0,0
-640,920,216,1141,0,0
-784,1180,96,1419,0,0
-956,1656,28,1912,0,0
-868,1868,-320,2084,0,0
-688,2076,-420,2226,0,0
-544,1964,-360,2069,0,0
-452,1764,-296,1844,2069,0
-372,1592,-228,1650,0,0
-244,1376,-224,1415,0,0
-104,1088,-180,1107,0,0
-4,912,-68,914,0,0
-20,924,0,924,0,0
48,924,-20,925,0,0
12,1264,-128,1270,0,0
-200,1408,-8,1422,0,0
-424,1728,16,1779,0,0
-576,1600,-196,1711,0,0
-676,1456,-388,1651,1711,0
-852,1368,-308,1640,0,0
-924,1184,-40,1502,0,0
-720,1116,-196,1342,0,0
-616,1276,-160,1425,0,0
-732,1164,128,1380,0,0
-932,1100,316,1475,0,0
-1000,1216,448,1636,0,0
-996,1340,356,1707,0,0
-884,1400,160,1663,0,0
-796,1612,-40,1798,0,0
-512,1856,-144,1930,0,0
-616,1596,-404,1757,0,0
-456,1432,-564,1605,0,0
-404,1304,-392,1420,0,0
-256,1312,-400,1395,0,0
-160,1260,-372,1323,0,0
-132,1136,-240,1168,0,0
112,1176,-220,1201,0,0
220,1276,-124,1300,0,0
88,1084,64,1089,0,0
-36,1476,48,1477,0,0
-292,1804,-64,1828,0,0
-480,1772,28,1836,0,0
-708,1772,28,1908,0,0
-732,1648,-16,1803,0,0
-928,1392,220,1687,0,0
-784,1072,268,1354,0,0
-784,924,380,1269,0,0
-744,800,316,1137,0,0
-720,864,164,1136,0,0
-872,1308,124,1576,0,0
-900,1688,-356,1945,0,0
-756,1988,-564,2200,0,0
-552,2048,-196,2130,0,0
-488,1848,-320,1937,2130,0
-416,1648,-232,1715,0,0
-308,1452,-228,1501,0,0
-196,1276,-260,1316,0,0
-80,1148,-212,1170,0,0
-52,1072,-180,1088,0,0
24,964,-116,971,0,0
32,1100,-40,1101,0,0
12,1020,-60,1021,0,0
-60,1392,36,1393,0,0
-528,2008,-60,2077,0,0
-628,1852,68,1956,0,0
-616,1764,-104,1871,1956,0
-708,1624,-144,1777,0,0
-852,1264,-4,1524,0,0
-820,1016,144,1313,0,0
-656,984,220,1202,0,0
-628,972,188,1172,0,0
-592,996,76,1161,0,0
-712,1276,48,1461,0,0
-744,1328,-92,1524,0,0
-740,1628,-168,1796,0,0
-644,1760,-256,1891,0,0
-456,1784,-316,1868,0,0
-356,1664,-256,1720,1868,0
-264,1476,-212,1514,0,0
-196,1292,-160,1316,0,0
-132,1088,-160,1107,0,0
-64,1020,-136,1031,0,0
-32,972,-128,980,0,0
-52,960,-48,962,0,0
-64,1120,-80,1124,0,0
-176,1100,60,1115,0,0
-416,1468,152,1533,0,0
-540,1564,12,1654,0,0
-452,1472,12,1539,0,0
-484,1436,60,1516,1539,0
-528,1380,92,1480,0,0
-628,1276,208,1437,0,0
