X,Y,Z,G,S,AVG
-420,624,752,1063,0,0
-980,988,832,1621,0,0
-928,924,736,1502,0,0
-916,888,752,1480,0,0
-868,760,736,1368,0,0
-720,540,676,1125,0,0
-772,480,696,1144,0,0
-872,636,684,1277,0,0
-656,700,608,1135,0,0
-756,780,704,1294,0,0
-668,752,736,1246,0,0
-412,636,792,1096,0,0
-372,600,928,1166,0,0
-96,796,1084,1348,0,0
36,924,1180,1499,0,0
248,860,1164,1468,0,0
304,772,1216,1472,1468,0
376,608,1080,1295,0,0
304,544,1112,1274,0,0
160,428,1008,1106,0,0
384,432,1100,1242,0,0
220,412,1152,1243,0,0
224,412,1276,1359,0,0
176,440,1248,1334,0,0
236,412,1152,1246,1334,0
32,540,1344,1448,0,0
112,428,1304,1377,0,0
60,388,1316,1373,0,0
92,368,1276,1331,0,0
80,344,1272,1320,0,0
48,352,1292,1339,0,0
-16,380,1312,1366,0,0
32,316,1272,1311,0,0
28,344,1232,1279,0,0
-4,368,1252,1304,0,0
16,384,1272,1328,0,0
-20,376,1312,1364,0,0
28,396,1336,1393,0,0
32,380,1312,1366,0,0
32,384,1276,1332,0,0
48,388,1248,1307,0,0
224,588,1328,1469,0,0
32,372,1216,1272,0,0
60,368,1232,1287,0,0
0,368,1216,1270,0,0
76,444,1212,1293,0,0
-4,348,1264,1311,0,0
28,380,1264,1320,0,0
16,384,1280,1336,0,0
32,396,1264,1324,0,0
24,376,1216,1273,0,0
28,384,1284,1340,0,0
12,396,1272,1332,0,0
32,396,1276,1336,0,0
156,484,1348,1440,0,0
24,432,1308,1377,0,0
36,396,1276,1336,0,0
28,384,1264,1321,0,0
28,388,1248,1307,0,0
12,368,1248,1301,0,0
28,376,1272,1326,0,0
16,384,1264,1321,0,0
32,376,1276,1330,0,0
48,364,1228,1281,0,0
124,444,1308,1386,0,0
64,396,1248,1310,0,0
96,408,1180,1252,0,0
156,452,1148,1243,0,0
36,516,1068,1186,0,0
36,504,1020,1138,0,0
-36,568,1020,1168,0,0
-208,612,1008,1197,0,0
-380,600,952,1187,0,0
-508,576,972,1238,0,0
-612,516,964,1253,0,0
-700,480,920,1251,0,0
-744,412,896,1235,0,0
-832,352,908,1280,0,0
-1124,280,972,1512,0,0
-1276,260,1008,1646,0,0
-1456,368,992,1799,0,0
-1236,384,908,1581,0,0
-784,284,664,1065,0,0
-328,192,452,590,0,0
-124,288,380,492,0,0
76,508,96,522,0,0
132,880,-104,895,0,0
-16,1348,-40,1348,0,0
-380,1880,224,1931,0,0
-1252,2828,60,3093,0,0
-2172,2528,204,3339,0,0
-1568,1208,352,2010,0,0
-1408,480,396,1539,2010,0
-1108,112,324,1159,0,0
-828,-112,356,908,0,0
-572,-168,376,704,0,0
-552,60,380,672,0,0
-840,312,156,909,0,0
-3140,1728,-372,3603,0,0
-3572,2712,-868,4568,0,0
-1348,1848,-436,2328,0,0
156,1072,120,1089,2328,0
604,844,284,1076,0,0
836,764,256,1161,0,0
768,896,304,1218,0,0
700,1116,388,1373,0,0
516,1720,-16,1795,0,0
-3508,3168,-1412,4933,0,0
-4420,1388,-1000,4739,0,0
-1744,-128,204,1760,4739,0
-1104,-444,476,1281,0,0
-580,-808,316,1043,0,0
-388,-928,316,1054,0,0
-612,-676,-116,919,0,0
-3044,120,-1140,3252,0,0
-4772,1996,-1924,5518,0,0
-2276,1840,-796,3033,0,0
-956,1948,-456,2217,3033,0
176,1996,-424,2048,0,0
1036,1632,-256,1949,0,0
1984,1440,-144,2455,0,0
1316,1552,396,2073,0,0
4,2496,-116,2498,0,0
-5712,4096,-712,7064,0,0
-4452,1708,176,4771,0,0
-1616,-16,432,1672,0,0
-1512,-592,580,1724,0,0
-1084,-820,300,1391,0,0
-708,-740,-164,1037,0,0
-968,-16,-432,1060,0,0
-3168,1136,-1128,3549,0,0
-4388,2556,-1540,5306,0,0
-1808,2180,-648,2905,0,0
-80,1852,-52,1854,2905,0
1516,1904,-244,2446,0,0
2240,1740,-112,2838,0,0
844,1848,100,2034,0,0
-136,2768,252,2782,0,0
-3332,3372,-456,4762,0,0
-3656,2328,-228,4340,0,0
-1892,536,364,1999,4340,0
-1520,-272,780,1729,0,0
-1120,-548,736,1447,0,0
-640,-392,700,1026,0,0
-308,-116,432,543,0,0
-912,96,-52,918,0,0
-3024,1244,-1296,3517,0,0
-3524,2204,-1008,4276,0,0
-868,1272,-400,1591,0,0
240,992,60,1022,1591,0
588,1040,196,1210,0,0
1088,1248,140,1661,0,0
856,1504,356,1766,0,0
-256,2160,-220,2186,0,0
-4804,1804,-1524,5353,0,0
-2916,-164,-20,2920,0,0
-1252,-668,572,1530,2920,0
-500,-732,608,1074,0,0
-52,-656,612,898,0,0
-28,-436,420,606,0,0
-360,-292,108,475,0,0
-1908,-192,-612,2012,0,0
-4740,1200,-964,4983,0,0
-1792,1036,-860,2241,0,0
-328,824,-132,896,2241,0
-60,992,696,1213,0,0
440,992,284,1121,0,0
760,1164,252,1412,0,0
476,1228,588,1442,0,0
216,1760,28,1773,0,0
-5032,2224,-1504,5703,0,0
-3048,124,-288,3064,0,0
-1032,-416,644,1285,3064,0
-456,-616,540,937,0,0
-244,-612,460,803,0,0
-64,-592,432,735,0,0
-100,-424,344,555,0,0
-1424,-416,-252,1504,0,0
-4484,396,-868,4584,0,0
-2880,1084,-544,3124,0,0
-540,880,-208,1053,3124,0
56,1132,476,1229,0,0
612,1216,176,1372,0,0
880,1248,316,1559,0,0
524,1312,560,1519,0,0
-1012,1856,-356,2143,0,0
-4944,1520,-932,5255,0,0
-2408,-132,32,2411,0,0
-996,-488,508,1219,2411,0
-488,-672,448,943,0,0
-284,-732,316,846,0,0
-208,-628,288,721,0,0
-412,-436,188,628,0,0
-2172,-228,-272,2200,0,0
-4404,896,-648,4540,0,0
-1952,696,-456,2121,0,0
-628,696,64,939,2121,0
196,992,156,1023,0,0
684,1176,76,1362,0,0
796,1184,248,1448,0,0
472,1412,384,1537,0,0
-1892,1904,-520,2734,0,0
-4648,1084,-736,4829,0,0
-2304,-296,112,2325,0,0
-1028,-580,316,1221,2325,0
-576,-704,400,993,0,0
-128,-720,344,808,0,0
-80,-548,324,641,0,0
-516,-436,112,684,0,0
-2704,-228,-320,2732,0,0
-4060,816,-484,4169,0,0
-1540,652,-432,1727,0,0
-584,664,28,884,1727,0
76,896,192,919,0,0
544,1052,36,1184,0,0
636,1120,252,1312,0,0
412,1200,576,1393,0,0
-1544,1520,-272,2183,0,0
-4484,940,-432,4601,0,0
-2436,-388,224,2476,0,0
-1088,-692,384,1345,2476,0
-676,-808,508,1169,0,0
-100,-804,412,908,0,0
-4,-592,352,688,0,0
-548,-484,152,746,0,0
-2940,-316,-500,2998,0,0
-4000,544,-544,4073,0,0
-1616,548,-272,1727,0,0
-468,652,28,803,1727,0
256,992,64,1026,0,0
796,1212,12,1450,0,0
716,1216,312,1445,0,0
332,1276,484,1404,0,0
-2388,1612,-292,2895,0,0
-4260,908,-416,4375,0,0
-2268,-256,252,2296,0,0
-1120,-700,536,1425,2296,0
-592,-820,664,1209,0,0
-4,-720,416,831,0,0
-180,-500,316,618,0,0
-1476,-420,-80,1536,0,0
-3744,252,-256,3761,0,0
-2896,828,-576,3066,0,0
-928,592,-168,1113,3066,0
-92,736,96,747,0,0
444,960,48,1058,0,0
652,1040,196,1243,0,0
508,1084,352,1247,0,0
80,1148,260,1179,0,0
-2704,1388,-680,3114,1179,0
-3764,864,-692,3923,0,0
-1924,-64,56,1925,0,0
-1012,-448,184,1121,0,0
-612,-708,332,992,0,0
-176,-740,304,819,0,0
-276,-540,240,652,0,0
-1180,-452,-180,1276,0,0
-3488,376,-672,3571,0,0
-2832,952,-820,3098,0,0
-1128,748,-136,1360,3098,0
-272,828,152,884,0,0
496,1156,-20,1258,0,0
844,1144,196,1435,0,0
668,1116,368,1351,0,0
-32,1240,124,1246,0,0
-2624,1612,-840,3192,0,0
-3700,896,-668,3865,0,0
-1988,-64,-160,1995,0,0
-996,-572,96,1152,1995,0
-636,-644,384,983,0,0
-124,-608,332,703,0,0
-284,-424,292,587,0,0
-1636,96,260,1659,0,0
-3744,1264,-636,4002,0,0
-2484,1100,-424,2749,0,0
-720,624,24,953,0,0
156,652,280,726,0,0
540,796,224,987,0,0
608,1008,176,1190,0,0
400,1248,248,1333,0,0
-628,1728,-320,1866,0,0
-3316,1996,-1120,4029,0,0
-3208,508,-452,3279,0,0
-1396,-528,-60,1493,3279,0
-872,-672,284,1136,0,0
-352,-676,380,851,0,0
-136,-540,444,712,0,0
-676,-196,484,854,0,0
-3232,736,-52,3315,0,0
-3892,1412,-608,4184,0,0
-1800,1152,-212,2147,0,0
-40,880,-16,881,2147,0
760,1084,124,1329,0,0
1284,1148,64,1723,0,0
772,1356,156,1568,0,0
76,1772,-28,1773,0,0
-3316,2512,-964,4270,0,0
-4040,1272,-336,4248,0,0
