X,Y,Z,G,S,AVG
-192,1040,-4,1057,0,1037
-80,988,-272,1027,0,1037
-60,992,-308,1040,0,1037
-144,984,-260,1027,0,1037
-100,1020,-212,1046,0,1037
-52,1092,-240,1119,0,1037
-64,1084,-212,1106,0,1037
-32,1048,-196,1066,0,1037
44,1016,-208,1038,0,1037
12,992,-256,1024,0,1037
-28,992,-272,1028,0,1037
-16,1016,-260,1048,0,1037
-32,996,-260,1029,0,1037
-32,992,-256,1024,0,1037
-64,1016,-228,1043,0,1037
-68,996,-228,1024,0,1037
-100,1008,-256,1044,0,1037
-96,960,-272,1002,0,1037
-128,960,-284,1009,0,1037
-116,984,-284,1030,0,1037
-124,960,-276,1006,0,1037
-128,992,-244,1029,0,1037
-136,972,-244,1011,0,1037
-148,996,-244,1036,0,1037
-156,988,-256,1032,0,1037
-144,988,-284,1038,0,1018
-132,992,-260,1033,0,1018
-116,960,-264,1002,0,1018
-128,988,-244,1025,0,1018
-128,972,-244,1010,0,1018
-116,992,-228,1024,0,1018
-128,1008,-244,1044,0,1018
-148,1004,-240,1042,0,1018
-68,1084,-228,1109,0,1018
-52,940,-304,989,0,1018
-4,908,-264,945,0,1018
-80,880,-336,945,0,1018
-148,960,-260,1005,0,1018
-208,768,-308,853,0,1018
-148,964,-228,1001,0,1018
-132,976,-228,1010,0,1018
-128,972,-232,1007,0,1018
-128,1016,-244,1052,0,1018
-4,1148,-172,1160,0,1018
-156,992,-228,1029,0,1018
-124,972,-228,1006,0,1018
-96,988,-244,1022,0,1018
-104,1004,-276,1046,0,1018
-144,1004,-252,1045,0,1018
-144,964,-260,1008,0,1018
-196,960,-328,1033,0,1023
-256,944,-416,1062,0,1023
-292,940,-308,1031,0,1023
-304,992,-208,1058,0,1023
-308,1008,-196,1072,0,1023
-384,960,-232,1059,0,1023
-320,868,-288,968,0,1023
-320,896,-288,994,0,1023
-228,880,-272,948,0,1023
-260,900,-224,963,0,1023
-256,1180,-256,1234,0,1023
-244,960,-116,997,0,1023
-260,1008,-68,1043,0,1023
-284,972,-116,1019,0,1023
-272,944,-168,996,0,1023
-288,880,-160,939,0,1023
-320,896,-196,971,0,1023
-392,924,-196,1022,0,1023
-448,896,-168,1015,0,1023
-476,848,-224,997,0,1023
-540,832,-196,1011,0,1023
-580,828,-208,1032,0,1023
-544,824,-208,1009,0,1023
-500,880,-384,1082,0,1023
-464,908,-220,1043,0,1023
-436,952,-196,1065,0,1238
-384,944,-164,1032,0,1238
-316,908,-156,973,0,1238
-288,864,-144,922,0,1238
-256,908,-168,958,0,1238
-256,1020,-196,1069,0,1238
-196,1120,-228,1159,0,1238
