X,Y,Z,G,S,AVG
-612,-4,896,1085,0,1132
-628,-20,944,1133,0,1132
-628,-32,956,1144,0,1132
-616,-16,932,1117,0,1132
-636,-52,908,1109,0,1132
-612,-28,956,1135,0,1132
-612,-32,960,1138,0,1132
-612,-20,944,1125,0,1132
-704,-4,988,1213,0,1132
-616,-48,952,1134,0,1132
-628,-32,944,1134,0,1132
-612,-20,928,1111,0,1132
-612,-40,960,1139,0,1132
-612,-32,932,1115,0,1132
-628,-52,952,1141,0,1132
-616,-32,940,1124,0,1132
-616,-32,944,1127,0,1132
-624,-64,908,1103,0,1132
-616,-32,960,1141,0,1132
-628,-52,952,1141,0,1132
-636,-64,960,1153,0,1132
-628,-40,944,1134,0,1132
-608,-40,960,1137,0,1132
-604,-64,960,1136,0,1132
-612,-52,960,1139,0,1132
-624,-36,960,1145,0,1120
-616,-60,944,1128,0,1120
-596,-32,960,1130,0,1120
-596,-48,964,1134,0,1120
-592,-16,960,1127,0,1120
-608,-64,940,1121,0,1120
-576,-68,996,1152,0,1120
-580,-36,1008,1163,0,1120
-576,-48,1016,1168,0,1120
-564,-36,992,1141,0,1120
-552,-64,996,1140,0,1120
-548,-64,992,1135,0,1120
-564,-64,1004,1153,0,1120
-544,-68,1016,1154,0,1120
-564,-52,956,1111,0,1120
-416,12,940,1028,0,1120
-544,-68,956,1102,0,1120
-516,-128,924,1066,0,1120
-528,-160,928,1079,0,1120
-260,-36,828,868,0,1120
-592,-64,1020,1181,0,1120
-552,-60,996,1140,0,1120
-552,-64,1008,1151,0,1120
-548,-60,1020,1159,0,1120
-548,-72,988,1132,0,1120
-572,-64,1016,1167,0,1167
-564,-64,996,1146,0,1167
-564,-64,1008,1156,0,1167
-516,-36,1016,1140,0,1167
-580,-72,1008,1165,0,1167
-572,-60,1008,1160,0,1167
-552,-64,992,1137,0,1167
-576,-68,1008,1162,0,1167
-564,-92,1016,1165,0,1167
-544,-68,992,1133,0,1167
-564,-64,996,1146,0,1167
-572,-68,992,1147,0,1167
-572,-80,944,1106,0,1167
-576,-64,1016,1169,0,1167
-768,-128,1148,1387,0,1167
-560,-72,1004,1151,0,1167
-624,-36,1036,1209,0,1167
-576,-64,996,1152,0,1167
-576,-64,1008,1162,0,1167
-564,-64,992,1142,0,1167
-576,-64,992,1148,0,1167
-704,-4,1100,1305,0,1167
-576,-40,988,1144,0,1167
-580,-48,992,1150,0,1167
-604,-40,972,1145,0,1167
-592,-32,956,1124,0,1131
-636,-32,956,1148,0,1131
-636,12,964,1154,0,1131
-628,-8,932,1123,0,1131
-596,-80,940,1115,0,1131
-612,-80,952,1134,0,1131
-680,-92,928,1154,0,1131
-668,-84,908,1130,0,1131
-628,-64,896,1096,0,1131
-624,-64,920,1113,0,1131
-648,-32,920,1125,0,1131
-592,32,932,1104,0,1131
-644,32,920,1123,0,1131
-604,28,896,1080,0,1131
-688,28,956,1178,0,1131
-640,80,992,1183,0,1131
-656,76,988,1188,0,1131
-660,56,908,1123,0,1131
-648,44,864,1080,0,1131
