X,Y,Z,G,S,AVG
-988,128,460,1097,0,823
-880,24,312,933,0,823
-868,12,412,960,0,823
-884,144,368,968,0,823
-800,28,396,893,0,823
-808,-92,376,895,0,823
-840,-68,268,884,0,823
-840,44,260,880,0,823
-828,-116,176,854,0,823
-704,-256,88,754,0,823
-808,-252,80,850,0,823
-720,-264,-4,766,0,823
-772,-320,-40,836,0,823
-680,-336,-80,762,0,823
-640,-372,-148,754,0,823
-628,-416,-116,762,0,823
-604,-392,-188,744,0,823
-612,-420,-168,761,0,823
-592,-424,-228,763,0,823
-564,-404,-200,722,0,823
-584,-436,-224,762,0,823
-592,-424,-196,754,0,823
-576,-416,-228,746,0,823
-604,-404,-192,751,0,823
-576,-404,-220,737,0,823
-540,-412,-228,716,0,756
-564,-416,-276,753,0,756
-704,-448,-240,868,0,756
-580,-388,-320,767,0,756
-660,-308,-144,742,0,756
-580,-388,-192,723,0,756
-592,-448,-196,767,0,756
-576,-416,-196,737,0,756
-564,-388,-228,721,0,756
-612,-412,-192,762,0,756
-612,-404,-196,759,0,756
-608,-400,-196,753,0,756
-612,-400,-188,754,0,756
-612,-404,-180,755,0,756
-616,-400,-196,760,0,756
-636,-400,-180,772,0,756
-612,-392,-180,748,0,756
-616,-404,-228,771,0,756
-628,-400,-176,765,0,756
-616,-412,-192,765,0,756
-628,-400,-180,766,0,756
-576,-384,-52,694,0,756
-628,-404,-176,767,0,756
-624,-400,-196,766,0,756
-624,-400,-168,760,0,756
-616,-404,-188,760,0,763
-616,-404,-176,757,0,763
-616,-412,-164,759,0,763
-628,-392,-176,760,0,763
-628,-412,-160,767,0,763
-628,-388,-224,771,0,763
-612,-412,-160,754,0,763
-612,-392,-160,744,0,763
-628,-400,-156,760,0,763
-624,-412,-160,764,0,763
-640,-412,-164,778,0,763
-628,-416,-144,766,0,763
-628,-416,-132,764,0,763
-640,-412,-160,777,0,763
-604,-404,-196,752,0,763
-640,-400,-164,772,0,763
-616,-400,-156,750,0,763
-640,-416,-148,777,0,763
-624,-400,-256,784,0,763
-636,-404,-144,767,0,763
-628,-404,-144,760,0,763
-640,-400,-144,768,0,763
-628,-412,-136,763,0,763
-616,-400,-136,746,0,763
-628,-400,-144,758,0,763
-636,-404,-144,767,0,754
-628,-416,-136,765,0,754
-580,-404,-196,733,0,754
-648,-388,-136,767,0,754
-628,-392,-148,754,0,754
-644,-400,-160,774,0,754
-616,-416,-384,836,0,754
-628,-400,-136,756,0,754
-628,-412,-160,767,0,754
-636,-420,-160,778,0,754
-636,-400,-156,767,0,754
-596,-400,-200,745,0,754
-636,-388,-136,757,0,754
-624,-392,-160,754,0,754
-640,-416,-160,779,0,754
-624,-420,-188,775,0,754
-628,-400,-144,758,0,754
-640,-388,-132,759,0,754
-612,-388,-144,738,0,754
-628,-372,-144,743,0,754
-640,-372,-132,751,0,754
-640,-324,-116,726,0,754
-644,-304,-124,722,0,754
-640,-244,-80,689,0,754
-656,-192,-132,696,0,754
-668,-212,-92,706,0,971
-720,-128,-80,735,0,971
-772,-144,-144,798,0,971
-832,-8,-212,858,0,971
-784,36,-80,788,0,971
-800,48,-32,802,0,971
-784,68,-32,787,0,971
-884,4,88,888,0,971
-884,36,176,902,0,971
-864,-36,220,892,0,971
-1096,-64,192,1114,0,971
-1140,-60,224,1163,0,971
-1120,-4,252,1148,0,971
-948,36,316,999,0,971
-868,140,344,944,0,971
-740,272,368,870,0,971
-712,412,284,870,0,971
-740,556,448,1028,0,971
-604,768,396,1054,0,971
-612,896,252,1113,0,971
-800,1164,160,1421,0,971
-608,988,124,1166,0,971
-740,944,284,1232,0,971
-548,736,284,960,0,971
-672,736,332,1050,0,971
-776,656,284,1055,0,1391
-960,736,388,1270,0,1391
-820,704,324,1128,0,1391
-740,572,240,965,0,1391
-756,384,216,875,0,1391
-848,288,176,912,0,1391
-1036,452,220,1151,0,1391
-1640,1036,140,1944,0,1391
-1700,1720,572,2485,0,1391
-1120,1520,508,1955,0,1391
-436,1252,272,1353,0,1391
28,964,140,974,0,1391
224,668,120,714,0,1391
224,504,60,554,0,1391
228,576,112,629,0,1391
184,976,-32,993,0,1391
-964,2432,-668,2700,0,1391
-3268,3008,-544,4474,0,1391
-1524,1156,-160,1919,0,1391
-936,108,-560,1096,0,1391
-944,-508,-144,1081,0,1391
-464,-452,428,776,0,1391
-208,-976,420,1082,0,1391
-20,-1060,-84,1063,0,1391
-1524,-336,-488,1635,0,1391
-4068,2116,-848,4663,0,1776
-1832,1860,-700,2702,0,1776
-256,1340,-144,1371,0,1776
284,960,-100,1006,0,1776
444,540,172,719,0,1776
384,508,248,683,0,1776
156,920,124,941,0,1776
-2952,2160,-928,3773,0,1776
-2676,1200,-200,2939,0,1776
-764,176,96,789,0,1776
-200,-592,-8,624,0,1776
-132,-516,268,596,0,1776
60,-628,252,679,0,1776
-100,-628,128,648,0,1776
-1236,-528,-400,1402,0,1776
-4032,880,-1088,4267,0,1776
-2192,1580,-392,2730,0,1776
-500,992,-288,1147,0,1776
672,560,-92,879,0,1776
732,448,-128,867,0,1776
1212,608,220,1373,0,1776
108,860,572,1038,0,1776
-3432,2332,-900,4245,0,1776
-3092,964,-16,3238,0,1776
-1072,124,100,1083,0,1776
-360,-356,-4,506,0,1422
-400,-768,12,866,0,1422
-256,-592,156,663,0,1422
-72,-576,304,655,0,1422
-528,-384,-104,661,0,1422
-3648,704,-708,3782,0,1422
-2436,1228,-356,2751,0,1422
-692,736,-168,1024,0,1422
-36,508,-180,540,0,1422
448,452,-48,638,0,1422
720,560,156,925,0,1422
556,864,272,1062,0,1422
-1884,1724,-1024,2751,0,1422
-3764,576,-608,3856,0,1422
-2004,140,332,2036,0,1422
252,-304,124,413,0,1422
-36,-564,400,692,0,1422
128,-404,320,531,0,1422
-40,-712,28,713,0,1422
-1316,-656,-688,1623,0,1422
-3460,-52,-1376,3723,0,1422
-1936,1208,-708,2389,0,1422
-388,720,-360,893,0,1422
440,792,-52,907,0,1422
804,504,184,966,0,1422
608,420,316,803,0,1445
-352,684,28,769,0,1445
-3412,1248,-1064,3785,0,1445
-2436,636,-256,2530,0,1445
-796,208,284,870,0,1445
-52,-388,164,424,0,1445
-160,-788,312,862,0,1445
12,-708,120,718,0,1445
-380,-576,-136,703,0,1445
-2180,-628,-964,2464,0,1445
-4192,1488,-720,4506,0,1445
-1220,1036,-528,1685,0,1445
368,892,-324,1017,0,1445
972,964,-36,1369,0,1445
444,508,412,790,0,1445
204,428,316,569,0,1445
-308,876,-16,928,0,1445
-3460,2224,-996,4231,0,1445
-2208,1136,-272,2497,0,1445
-740,300,-192,821,0,1445
-704,-564,-100,907,0,1445
-292,-592,12,660,0,1445
-4,-680,156,697,0,1445
96,-796,236,835,0,1445
-188,-628,-228,694,0,1445
-3392,-348,-1576,3756,0,1680
-2688,1468,-1412,3372,0,1680
-520,864,-484,1118,0,1680
188,780,-48,803,0,1680
408,560,-4,692,0,1680
316,604,160,700,0,1680
284,796,240,878,0,1680
-712,908,-912,1470,0,1680
-3720,396,-1864,4179,0,1680
-1440,-68,-772,1635,0,1680
-412,-64,152,443,0,1680
344,-244,108,435,0,1680
-64,-292,252,390,0,1680
256,-712,160,773,0,1680
96,-1188,-208,1209,0,1680
-2624,-928,-1736,3280,0,1680
-3176,780,-1732,3700,0,1680
-1220,1068,-548,1711,0,1680
-80,792,-80,800,0,1680
548,768,44,944,0,1680
768,688,96,1035,0,1680
540,780,192,967,0,1680
-224,996,-160,1033,0,1680
-3176,1436,-2048,4042,0,1680
-2528,440,-668,2651,0,1680
-884,-84,-16,888,0,1495
-320,-336,220,513,0,1495
-372,-336,56,504,0,1495
-308,-572,188,676,0,1495
-144,-704,64,721,0,1495
-708,-516,-580,1050,0,1495
-3252,128,-1568,3612,0,1495
-2128,1188,-1040,2649,0,1495
-604,1036,-500,1299,0,1495
-52,768,-352,846,0,1495
352,640,-220,762,0,1495
452,548,224,744,0,1495
344,864,448,1032,0,1495
-1588,1596,412,2288,0,1495
-2880,1664,412,3351,0,1495
-1704,284,528,1806,0,1495
-624,-392,356,818,0,1495
-112,-672,56,683,0,1495
-168,-592,108,624,0,1495
56,-708,156,727,0,1495
-296,-768,160,838,0,1495
-2940,-700,-200,3028,0,1495
-4348,664,-464,4422,0,1495
-1616,1548,-244,2251,0,1495
-424,1136,-356,1263,0,1495
316,728,-288,844,0,1435
612,608,-200,885,0,1435
604,672,-4,903,0,1435
44,896,128,906,0,1435
-3508,1920,16,3999,0,1435
-2852,540,28,2902,0,1435
-1128,-68,268,1161,0,1435
-448,-372,348,678,0,1435
36,-508,192,544,544,1435
-16,-808,76,811,544,1435
-124,-692,-136,716,0,1435
-1424,-676,-832,1782,0,1435
-3520,368,-1020,3683,0,1435
-1824,1376,-840,2434,0,1435
-552,992,-380,1197,0,1435
260,668,-272,766,0,1435
288,580,48,649,649,1435
280,656,132,725,0,1435
260,828,128,877,0,1435
-1724,1804,-380,2524,0,1435
-3012,1156,-832,3331,0,1435
-1312,60,-176,1325,0,1435
-1088,-416,164,1176,0,1435
-356,-412,208,582,582,1435
48,-448,152,475,0,1435
252,-572,-136,639,0,1409
-264,-388,-484,674,0,1409
-3004,172,-1524,3372,0,1409
-2748,1276,-1120,3230,0,1409
-672,972,-580,1316,0,1409
156,864,-196,899,0,1409
368,704,-4,794,794,1409
432,448,164,643,0,1409
356,652,196,768,0,1409
-948,1100,-740,1629,0,1409
-2976,1200,-1128,3401,0,1409
-1696,356,-340,1765,0,1409
-936,-388,-8,1013,0,1409
-260,-520,48,583,0,1409
-80,-500,284,580,580,1409
96,-704,128,721,0,1409
-220,-580,-160,640,0,1409
-2812,-400,-1204,3084,0,1409
-3088,1184,-1296,3552,0,1409
-864,960,-528,1395,0,1409
96,876,-104,887,0,1409
476,684,24,833,833,1409
652,608,96,896,0,1409
388,740,252,872,0,1409
-292,960,-308,1049,0,1409
-4000,1392,-1204,4403,0,1639
-2056,548,-484,2182,0,1639
-832,-4,272,875,0,1639
-180,-500,252,588,0,1639
32,-416,332,533,533,1639
164,-544,204,603,0,1639
28,-644,-316,717,0,1639
-1960,-904,-1392,2568,0,1639
-3752,560,-1680,4148,0,1639
-1248,1308,-676,1930,0,1639
-228,1068,-144,1101,0,1639
332,716,-16,789,0,1639
440,572,156,738,738,1639
380,588,252,744,0,1639
12,688,-20,688,0,1639
-3024,1340,-1296,3552,0,1639
-2440,368,-476,2513,0,1639
-1156,-64,-124,1164,0,1639
-612,-388,96,730,0,1639
-260,-416,140,510,510,1639
-28,-612,132,626,0,1639
92,-968,36,973,0,1639
-656,-892,-612,1265,0,1639
-3460,-508,-1716,3895,0,1639
-2688,1176,-1184,3163,0,1639
-468,1136,-548,1345,0,1357
192,900,-196,940,0,1357
432,576,96,726,726,1357
384,480,248,662,0,1357
-8,604,384,715,0,1357
-868,860,-164,1232,0,1357
-3348,848,-372,3473,0,1357
-1924,368,240,1973,0,1357
-1084,-72,316,1131,0,1357
-412,-388,68,570,0,1357
-168,-552,76,581,581,1357
164,-740,-64,760,0,1357
272,-900,-252,973,0,1357
-936,-1076,-996,1739,0,1357
-3460,332,-1156,3663,0,1357
-2248,1156,-868,2672,0,1357
-624,672,-196,937,0,1357
-104,476,-136,505,0,1357
140,484,28,504,504,1357
220,688,292,779,0,1357
-320,1052,364,1158,0,1357
-1376,1152,-328,1824,0,1357
-2420,528,-164,2482,0,1357
-1684,-4,-80,1685,0,1357
-816,-388,28,903,0,1357
-340,-288,348,565,0,1489
324,-260,432,599,599,1489
336,-680,368,843,0,1489
-532,-1156,-516,1373,0,1489
-3508,-296,-1668,3895,0,1489
-2804,1328,-1108,3294,0,1489
-1012,1412,-500,1807,0,1489
-160,1080,12,1091,0,1489
304,716,76,781,0,1489
588,572,-40,821,821,1489
476,604,112,777,0,1489
-144,604,-264,674,0,1489
-3012,1404,-1124,3508,0,1489
-2504,704,-296,2617,0,1489
-912,-28,112,919,0,1489
-636,-132,576,868,0,1489
-192,-244,576,654,654,1489
132,-544,284,627,0,1489
-40,-1152,-320,1196,0,1489
-2256,-848,-1700,2949,0,1489
-3336,1084,-1552,3835,0,1489
-740,1060,-772,1505,0,1489
-48,732,-228,768,0,1489
292,480,-32,562,0,1489
496,496,112,710,710,1489
320,676,284,800,0,1433
-356,828,-224,928,0,1433
-3488,1120,-1096,3823,0,1433
-2056,384,-488,2147,0,1433
-872,-136,-60,884,0,1433
-224,-348,124,432,0,1433
-72,-320,224,397,397,1433
188,-628,60,658,0,1433
-160,-868,-116,890,0,1433
-1668,-800,-740,1992,0,1433
-3764,348,-1284,3992,0,1433
-1540,1264,-612,2084,0,1433
-220,1100,-136,1129,0,1433
252,796,60,837,0,1433
508,588,176,796,796,1433
412,708,312,876,0,1433
-8,732,-104,739,0,1433
-4032,1340,-900,4343,0,1433
-2472,432,-336,2531,0,1433
-724,-100,220,763,0,1433
-192,-256,252,407,0,1433
48,-288,376,476,476,1433
384,-480,68,618,0,1433
-144,-936,-128,955,0,1433
-1924,-944,-912,2329,0,1433
-2888,688,-1076,3157,0,1433
-1564,1052,-708,2013,0,1433
-400,736,-348,907,0,1433
184,508,-48,542,0,1433
624,452,204,797,797,1433
736,480,140,889,0,1433
-452,908,-100,1019,0,1433
-3976,888,-1412,4311,0,1433
-1924,508,-232,2003,0,1433
-672,-16,56,674,0,1433
76,-320,68,335,0,1433
92,-692,132,710,710,1433
164,-752,76,773,0,1433
-64,-704,-36,707,0,1433
-2244,-604,-1020,2537,0,1433
-2976,700,-784,3156,0,1433
-1212,560,-432,1403,0,1433
-388,612,-32,725,0,1433
400,652,-28,765,765,1433
836,740,156,1127,0,1433
316,908,108,967,0,1433
-2176,864,-964,2531,0,1433
-2880,412,-740,3001,0,1433
-1440,28,-28,1440,0,1433
-628,-436,0,764,0,1433
-176,-444,256,541,0,1481
228,-436,320,586,0,1481
176,-576,224,642,642,1481
-392,-832,-436,1017,0,1481
-3428,-884,-1348,3788,0,1481
-2820,848,-980,3103,0,1481
-996,864,-424,1385,0,1481
132,952,-296,1005,0,1481
772,856,-48,1153,1153,1481
988,636,96,1178,0,1481
504,780,256,963,0,1481
-1696,1176,-960,2276,0,1481
-3844,1136,-912,4110,0,1481
-1696,236,-100,1715,0,1481
-640,-196,120,680,0,1481
-60,-452,124,472,0,1481
-4,-564,216,603,603,1481
156,-872,-52,887,0,1481
-672,-784,-576,1182,0,1481
-2856,-468,-1280,3164,0,1481
-2984,1176,-976,3352,0,1481
-1128,996,-500,1585,0,1481
-52,992,-200,1013,0,1481
672,908,24,1129,0,1481
676,752,224,1035,1035,1481
440,832,316,992,0,1560
-1924,1164,-736,2366,0,1560
-3648,728,-604,3768,0,1560
-1508,28,32,1508,0,1560
-484,-292,240,614,0,1560
16,-516,204,555,555,1560
272,-516,164,605,0,1560
140,-564,88,587,0,1560
-704,-608,-452,1034,0,1560
-3300,-104,-996,3448,0,1560
-2640,1088,-692,2938,0,1560
-912,844,-196,1257,0,1560
-4,668,28,668,0,1560
460,588,100,753,753,1560
608,668,68,905,0,1560
-52,1020,88,1025,0,1560
-1608,1380,-548,2188,0,1560
-2576,1132,112,2815,0,1560
-1540,508,204,1634,0,1560
-928,-252,124,969,0,1560
-424,-360,268,617,0,1560
16,-560,248,612,612,1560
160,-912,220,951,0,1560
-284,-868,-100,918,0,1560
-3424,-92,-672,3490,0,1560
