X,Y,Z,G,S,AVG
-512,1020,636,1306,0,1203
-592,944,452,1202,0,1203
-548,856,352,1075,0,1203
-540,1052,368,1238,0,1203
-708,880,384,1192,0,1203
-732,736,408,1115,0,1203
-764,672,548,1155,0,1203
-720,768,480,1156,0,1203
-720,796,536,1199,0,1203
-688,716,588,1154,0,1203
-640,684,736,1191,0,1203
-308,240,780,872,0,1203
-400,352,896,1042,0,1203
-528,672,972,1294,0,1203
-668,896,1028,1518,0,1203
-456,624,880,1171,0,1203
-456,696,896,1222,0,1203
-540,728,924,1294,0,1203
-528,768,992,1361,0,1203
-404,668,924,1209,0,1203
-388,636,964,1218,0,1203
-436,560,880,1130,0,1203
-388,688,1008,1280,0,1203
-368,600,992,1216,0,1203
-412,608,1048,1279,0,1203
-328,604,1016,1226,0,1220
-388,540,1060,1251,0,1220
-368,524,1060,1238,0,1220
-388,524,1052,1237,0,1220
-416,536,972,1185,0,1220
-360,540,1072,1253,0,1220
-388,492,1060,1231,0,1220
-380,580,1052,1259,0,1220
-416,572,1088,1297,0,1220
-412,568,1024,1241,0,1220
-292,508,924,1094,0,1220
-372,604,944,1180,0,1220
-292,560,896,1096,0,1220
-356,572,964,1176,0,1220
-448,400,924,1102,0,1220
-400,560,1048,1253,0,1220
-420,572,1040,1259,0,1220
-392,572,1036,1246,0,1220
-420,636,1008,1263,0,1220
-420,560,992,1214,0,1220
-420,580,1036,1259,0,1220
-416,576,1020,1243,0,1220
-424,572,1016,1240,0,1220
-400,580,992,1216,0,1220
-436,576,1036,1262,0,1220
-400,588,1020,1243,0,1269
-436,576,1036,1262,0,1269
-372,592,1004,1223,0,1269
-412,588,1052,1273,0,1269
-400,576,1036,1251,0,1269
-392,560,1040,1244,0,1269
-416,576,1048,1266,0,1269
-412,560,1028,1241,0,1269
-420,572,1056,1272,0,1269
-388,572,1056,1262,0,1269
-388,572,1052,1258,0,1269
-388,540,1020,1217,0,1269
-400,568,1080,1284,0,1269
-412,548,1052,1255,0,1269
-412,560,1072,1277,0,1269
-512,752,1264,1557,0,1269
-400,548,1088,1282,0,1269
-380,540,1060,1248,0,1269
-388,540,1084,1271,0,1269
-356,528,1052,1229,0,1269
-392,508,1084,1259,0,1269
-400,508,1084,1262,0,1269
-400,504,1100,1274,0,1269
-416,508,1100,1281,0,1269
-372,572,1036,1240,0,1269
-452,588,1084,1313,0,1272
-452,588,1088,1316,0,1272
-392,572,1048,1256,0,1272
-360,572,1020,1223,0,1272
-336,544,1036,1217,0,1272
-352,524,1048,1223,0,1272
-340,516,1052,1220,0,1272
-340,504,1052,1215,0,1272
-388,504,1052,1229,0,1272
-404,524,1084,1269,0,1272
-448,548,1092,1301,0,1272
-432,540,1068,1272,0,1272
-260,764,1244,1482,0,1272
-448,460,1100,1273,0,1272
-400,480,1100,1265,0,1272
-356,540,1100,1276,0,1272
-388,516,1124,1296,0,1272
-412,504,1092,1271,0,1272
-392,496,1184,1342,0,1272
-372,268,1112,1202,0,1272
-412,580,1156,1357,0,1272
-368,444,1072,1217,0,1272
-264,452,1136,1250,0,1272
-320,476,1148,1283,0,1272
-304,472,1120,1252,0,1272
-284,256,1340,1393,0,1262
-272,396,1100,1200,0,1262
-324,396,1156,1264,0,1262
-232,504,1100,1232,0,1262
-208,548,1112,1257,0,1262
-228,524,1092,1232,0,1262
-160,524,1100,1228,0,1262
-228,524,1120,1257,0,1262
-196,524,1120,1251,0,1262
-156,572,1084,1235,0,1262
-196,624,1136,1310,0,1262
-228,652,1116,1312,0,1262
-160,608,1020,1198,0,1262
-192,580,1020,1188,0,1262
-244,604,1036,1223,0,1262
-336,624,1088,1298,0,1262
-436,632,1080,1325,0,1262
-560,668,1088,1394,0,1262
-612,668,972,1328,0,1262
-608,572,952,1266,0,1262
-628,620,860,1232,0,1262
-708,576,908,1287,0,1262
-668,672,740,1202,0,1262
-720,736,796,1301,0,1262
-592,696,696,1148,0,1262
-628,652,760,1181,0,1207
-640,708,716,1193,0,1207
-488,732,716,1134,0,1207
-432,708,704,1087,0,1207
-412,740,664,1076,0,1207
-328,824,608,1075,0,1207
-288,868,472,1029,0,1207
-244,1040,440,1155,0,1207
-256,1280,304,1340,0,1207
-352,1144,304,1234,0,1207
-148,1468,508,1560,0,1207
-480,1324,252,1430,0,1207
-400,1092,248,1189,0,1207
-356,1020,348,1135,0,1207
-336,952,352,1069,0,1207
-336,944,420,1086,0,1207
-320,976,396,1100,0,1207
-324,992,352,1101,0,1207
-388,1180,352,1291,0,1207
-412,1276,272,1368,0,1207
-464,1436,284,1535,0,1207
-424,1008,284,1129,0,1207
-388,1036,268,1138,0,1207
-412,1220,204,1303,0,1207
-352,1200,156,1260,0,1207
-256,1048,176,1093,0,1145
-272,908,216,972,0,1145
-284,956,204,1017,0,1145
-256,964,164,1010,0,1145
-288,1052,176,1104,0,1145
-316,1052,188,1114,0,1145
-324,1176,160,1230,0,1145
-324,1244,192,1299,0,1145
-336,1356,124,1402,0,1145
-336,1156,284,1236,0,1145
-296,672,448,860,0,1145
-324,1056,284,1140,0,1145
-252,1148,252,1202,0,1145
-316,924,364,1042,0,1145
-372,900,380,1045,0,1145
-320,928,336,1037,0,1145
-288,1048,348,1141,0,1145
-296,1016,332,1109,0,1145
-336,1052,304,1145,0,1145
-336,1148,248,1221,0,1145
-412,1376,100,1439,0,1145
-448,1264,160,1350,0,1145
-320,896,124,959,0,1145
-352,1212,108,1266,0,1145
-164,1200,-64,1212,0,1145
-156,924,-32,937,0,1137
-384,896,192,993,0,1137
-276,960,280,1037,0,1137
-320,908,208,984,0,1137
-452,944,164,1059,0,1137
-484,972,64,1087,0,1137
-476,1180,-64,1273,0,1137
-352,1188,-32,1239,0,1137
-260,1408,-144,1439,0,1137
-228,1180,-40,1202,0,1137
-100,572,312,659,0,1137
-144,1248,60,1257,0,1137
-196,1216,100,1235,0,1137
-192,1052,312,1113,0,1137
-144,972,284,1022,0,1137
-168,992,280,1044,0,1137
-260,1052,312,1127,0,1137
-320,1052,304,1140,0,1137
-320,992,252,1072,0,1137
-400,1148,252,1241,0,1137
-424,1120,196,1213,0,1137
-468,1220,208,1323,0,1137
-544,1328,164,1444,0,1137
-452,944,216,1068,0,1137
-424,1144,152,1229,0,1137
-448,1304,96,1382,0,1172
-360,1208,60,1261,0,1172
-288,992,96,1037,0,1172
-296,984,124,1035,0,1172
-256,892,112,934,0,1172
-244,908,128,948,0,1172
-244,880,156,926,0,1172
-308,1120,172,1174,0,1172
-356,1240,216,1308,0,1172
-416,1444,156,1510,0,1172
-372,1164,316,1262,0,1172
-340,716,524,950,0,1172
-356,1164,284,1249,0,1172
-288,1164,124,1205,0,1172
-352,908,368,1041,0,1172
-412,868,412,1045,0,1172
-392,924,352,1063,0,1172
-356,956,408,1098,0,1172
-372,976,384,1112,0,1172
-452,1184,348,1314,0,1172
-448,1180,316,1301,0,1172
-512,1252,252,1375,0,1172
-548,1180,272,1329,0,1172
-500,964,256,1115,0,1172
-484,1220,208,1328,0,1172
-400,1240,176,1314,0,1170
-336,1084,176,1148,0,1170
-260,972,220,1029,0,1170
-272,960,192,1016,0,1170
-256,1060,184,1105,0,1170
-264,928,228,991,0,1170
-296,944,240,1018,0,1170
-328,1216,152,1268,0,1170
-360,1284,204,1349,0,1170
-416,1444,144,1509,0,1170
-356,780,444,965,0,1170
-324,700,448,892,0,1170
-292,1212,344,1293,0,1170
-276,1056,332,1140,0,1170
-372,908,476,1090,0,1170
-400,876,460,1067,0,1170
-316,932,492,1100,0,1170
-316,988,460,1134,0,1170
-380,1008,480,1179,0,1170
-424,1100,452,1262,0,1170
-392,1092,368,1217,0,1170
-436,1124,312,1245,0,1170
-584,1308,348,1474,0,1170
-548,992,376,1194,0,1170
-484,1148,260,1272,0,1170
-456,1252,236,1353,0,1161
-380,1148,192,1224,0,1161
-328,956,240,1038,0,1161
-264,896,188,952,0,1161
-260,992,152,1036,0,1161
-272,972,140,1019,0,1161
-288,944,216,1010,0,1161
-296,1100,184,1153,0,1161
-308,1248,260,1311,0,1161
-356,1500,176,1551,0,1161
-356,1164,428,1290,0,1161
-320,632,548,895,0,1161
-340,1120,316,1212,0,1161
-288,1148,216,1203,0,1161
-388,944,332,1073,0,1161
-420,876,412,1055,0,1161
-320,900,412,1040,0,1161
-328,992,412,1123,0,1161
-336,972,432,1115,0,1161
-372,1020,412,1161,0,1161
-388,1216,300,1311,0,1161
-436,1228,348,1348,0,1161
-468,1316,336,1436,0,1161
-480,888,400,1085,0,1161
-400,924,316,1055,0,1161
-416,1264,224,1349,0,1163
-420,1316,156,1390,0,1163
-372,1072,208,1153,0,1163
-308,892,252,976,0,1163
-308,908,216,982,0,1163
-252,864,156,913,0,1163
-260,876,204,936,0,1163
-308,1052,204,1114,0,1163
-328,1240,224,1302,0,1163
-416,1368,224,1447,0,1163
-448,1456,248,1543,0,1163
-308,704,508,921,0,1163
-356,836,440,1009,0,1163
-288,1372,216,1418,0,1163
-288,996,248,1066,0,1163
-416,920,460,1109,0,1163
-404,900,332,1040,0,1163
-360,944,388,1082,0,1163
-348,928,368,1057,0,1163
-348,992,324,1100,0,1163
-388,1136,304,1238,0,1163
-352,1120,260,1202,0,1163
-388,1200,260,1287,0,1163
-464,1292,280,1401,0,1163
-448,868,364,1042,0,1163
-432,932,240,1054,0,1162
-436,1356,92,1427,0,1162
-368,1248,96,1304,0,1162
-336,1008,256,1092,0,1162
-308,892,252,976,0,1162
-264,880,248,951,0,1162
-256,924,256,992,0,1162
-252,960,240,1021,0,1162
-304,1072,268,1146,0,1162
-316,1164,228,1227,0,1162
-384,1264,248,1344,0,1162
-424,1452,192,1524,0,1162
-420,1120,368,1251,0,1162
-356,568,524,850,0,1162
-392,1144,288,1243,0,1162
-288,1252,164,1295,0,1162
-356,924,284,1030,0,1162
-400,892,368,1044,0,1162
-320,908,352,1025,0,1162
-348,972,396,1105,0,1162
