X,Y,Z,G,S,AVG
152,688,1220,1408,0,1188
-4,732,1148,1361,0,1188
-256,572,992,1173,0,1188
-648,324,1020,1251,0,1188
-720,60,1016,1246,0,1188
-884,-72,780,1181,0,1188
-744,16,924,1186,0,1188
-444,88,956,1057,0,1188
-352,192,1100,1170,0,1188
-488,192,1152,1265,0,1188
-544,88,1088,1219,0,1188
-548,16,1004,1143,0,1188
-528,36,1020,1149,0,1188
-528,48,1036,1163,0,1188
-576,-4,1036,1185,0,1188
-532,24,1060,1186,0,1188
-544,16,1112,1238,0,1188
-456,-4,1060,1153,0,1188
-452,28,1084,1174,0,1188
-436,28,1068,1153,0,1188
-464,80,1100,1196,0,1188
-404,64,988,1069,0,1188
-308,176,1056,1113,0,1188
-296,268,1196,1260,0,1188
-128,192,976,1002,0,1188
-296,216,844,920,0,1303
-104,524,924,1067,0,1303
-124,924,984,1355,0,1303
-196,1200,1052,1607,0,1303
-124,1280,1068,1671,0,1303
12,1052,944,1413,0,1303
-80,972,888,1318,0,1303
-32,988,952,1372,0,1303
-52,1052,844,1349,0,1303
-32,1008,796,1284,0,1303
-16,992,828,1292,0,1303
24,984,824,1283,0,1303
28,1084,816,1357,0,1303
4,1088,828,1367,0,1303
12,1020,816,1306,0,1303
-20,972,796,1256,0,1303
-64,992,812,1283,0,1303
-100,992,800,1278,0,1303
96,960,824,1268,0,1303
60,800,780,1118,0,1303
128,816,856,1189,0,1303
60,980,800,1266,0,1303
220,1024,1020,1461,0,1303
124,992,844,1308,0,1303
192,972,672,1197,0,1303
228,912,524,1076,0,1493
100,896,348,966,0,1493
-128,1020,28,1028,0,1493
-232,1132,-264,1185,0,1493
-488,1456,-168,1544,0,1493
-208,1496,-100,1513,0,1493
-100,1564,-116,1571,0,1493
-104,1520,-28,1523,0,1493
-224,1584,28,1600,0,1493
-284,1504,112,1534,0,1493
-352,1392,256,1458,0,1493
-420,1292,376,1409,0,1493
-480,1400,280,1506,0,1493
-612,1392,288,1547,0,1493
-676,1376,496,1611,0,1493
-452,1208,60,1291,0,1493
-228,1708,-148,1729,0,1493
-116,2072,-220,2086,0,1493
-128,1968,-128,1976,0,1493
-64,1920,-4,1921,0,1493
-180,1548,-64,1559,0,1493
100,1308,-144,1319,0,1493
572,1240,-164,1375,0,1493
768,1368,-196,1581,0,1493
452,1348,-136,1428,0,1493
176,1404,-100,1418,0,1614
-52,1540,28,1541,0,1614
-160,1592,92,1602,0,1614
-160,1452,12,1460,0,1614
-220,1496,76,1513,0,1614
-420,1444,384,1552,0,1614
-528,1532,304,1648,0,1614
-896,1676,332,1929,0,1614
-936,1528,464,1850,0,1614
-784,1328,396,1592,0,1614
-544,1420,36,1521,0,1614
-324,2096,-252,2135,0,1614
-196,1996,-256,2021,0,1614
-116,1756,-128,1764,0,1614
-160,1676,-144,1689,0,1614
-32,1696,-100,1699,0,1614
764,1520,-132,1706,0,1614
716,1180,-144,1387,0,1614
540,1260,-160,1380,0,1614
224,1216,-200,1252,0,1614
60,1356,-144,1364,0,1614
-60,1500,-196,1513,0,1614
-168,1420,-52,1430,0,1614
-224,1504,-16,1520,0,1614
-484,1808,-100,1874,0,1614
-708,1776,-36,1912,0,1795
-796,1760,224,1944,0,1795
-996,1584,352,1903,0,1795
-1000,1148,536,1614,0,1795
-1120,1272,240,1711,0,1795
-612,1784,-256,1903,0,1795
-160,1920,-368,1961,0,1795
-160,1536,-180,1554,0,1795
-160,1564,-228,1588,0,1795
-64,1636,-372,1678,0,1795
292,1596,-500,1697,0,1795
900,1368,-644,1759,0,1795
816,1228,-576,1582,0,1795
256,1852,-628,1972,0,1795
96,1572,-320,1607,0,1795
-32,1932,-288,1953,0,1795
-324,2288,-252,2324,0,1795
-712,2032,-48,2153,0,1795
-944,1484,16,1758,0,1795
-532,1412,480,1583,0,1795
-692,1476,496,1703,0,1795
-740,1344,336,1570,0,1795
-612,1084,316,1284,0,1795
-612,1600,152,1719,0,1795
-384,2380,-412,2445,0,1795
-60,2300,-488,2351,0,1788
-52,1840,-264,1859,0,1788
-176,1648,-192,1668,0,1788
-92,1700,-200,1714,0,1788
284,1392,-320,1456,0,1788
760,1408,-424,1655,0,1788
768,1072,-244,1341,0,1788
484,1308,-144,1402,0,1788
