X,Y,Z,G,S,AVG
496,896,1020,1445,0,0
228,668,1020,1240,0,0
96,676,992,1204,0,0
252,692,892,1156,0,0
-8,396,672,780,0,0
192,760,1088,1340,0,0
204,736,1080,1322,0,0
192,736,1084,1324,0,0
188,736,1068,1310,0,0
352,804,1124,1426,0,0
0,608,960,1136,0,0
252,716,908,1183,0,0
96,704,1024,1246,0,0
60,428,668,795,0,0
160,752,1120,1358,0,0
188,752,1052,1306,0,0
164,760,1072,1324,0,0
176,748,1072,1318,0,0
196,736,1020,1272,0,0
184,732,1072,1311,0,0
172,752,1084,1330,0,0
176,736,1084,1322,0,0
196,688,972,1206,0,0
196,752,1052,1307,0,0
176,740,1040,1288,0,0
192,748,1048,1301,0,1267
172,768,1068,1326,0,1267
176,752,1048,1301,0,1267
184,780,1100,1360,0,1267
184,760,1088,1339,0,1267
188,752,1084,1332,0,1267
192,736,972,1234,0,1267
188,716,1072,1302,0,1267
176,736,1060,1302,0,1267
204,736,1072,1316,0,1267
0,1020,1024,1445,0,1267
192,736,1084,1324,0,1267
156,704,1056,1278,0,1267
220,760,1036,1303,0,1267
260,616,988,1192,0,1267
152,752,1016,1273,0,1267
108,512,992,1121,0,1267
252,636,768,1028,0,1267
-20,508,848,988,0,1267
192,740,1020,1274,0,1267
248,796,996,1298,0,1267
236,760,992,1271,0,1267
208,760,1016,1285,0,1267
164,764,1060,1316,0,1267
108,748,1088,1324,0,1267
100,752,1124,1356,0,1265
68,796,1100,1359,0,1265
220,716,992,1243,0,1265
460,640,900,1196,0,1265
632,688,952,1333,0,1265
588,856,920,1387,0,1265
268,1144,1276,1734,0,1265
304,716,996,1263,0,1265
60,732,1116,1335,0,1265
156,652,740,998,0,1265
-144,1088,896,1416,0,1265
164,920,988,1359,0,1265
572,848,1248,1613,0,1265
108,608,576,844,0,1265
-544,964,576,1247,0,1265
156,1068,1372,1745,0,1265
88,888,896,1264,0,1265
-680,416,960,1247,0,1265
28,1020,1420,1748,0,1265
-188,696,972,1210,0,1265
-52,668,1284,1448,0,1265
-52,836,1148,1421,0,1265
-4,636,1132,1298,0,1265
-72,656,1084,1269,0,1265
-80,732,1100,1323,0,1265
-20,636,1100,1270,0,1344
