X,Y,Z,G,S,AVG
-480,1136,272,1262,0,1252
-452,1356,192,1442,0,1252
-512,1540,316,1653,0,1252
-176,1456,560,1569,0,1252
-296,1208,460,1326,0,1252
-272,972,444,1102,0,1252
-208,732,536,930,0,1252
-228,668,700,994,0,1252
-228,672,828,1090,0,1252
-264,752,888,1193,0,1252
-128,612,828,1037,0,1252
-244,752,908,1203,0,1252
-180,736,844,1134,0,1252
-156,768,928,1214,0,1252
-188,668,924,1155,0,1252
-200,796,908,1223,0,1252
-28,704,880,1127,0,1252
-180,804,924,1237,0,1252
-180,960,960,1369,0,1252
-52,964,864,1295,0,1252
-144,1100,956,1464,0,1252
-4,996,960,1383,0,1252
-48,924,900,1290,0,1252
-32,928,880,1279,0,1252
4,996,880,1329,0,1252
-64,1148,888,1452,0,1252
12,1084,836,1368,0,1252
64,952,768,1224,0,1252
60,900,844,1235,0,1252
-40,960,880,1302,0,1252
-32,988,860,1310,0,1252
-20,972,816,1269,0,1252
96,960,816,1263,0,1252
-64,872,796,1182,0,1252
0,964,780,1240,0,1252
12,928,824,1241,0,1252
32,988,828,1289,0,1252
-32,972,844,1287,0,1252
4,944,824,1253,0,1252
12,960,824,1265,0,1252
-16,960,856,1286,0,1252
-32,1028,836,1325,0,1252
12,932,864,1270,0,1252
-4,924,868,1267,0,1252
12,908,880,1264,0,1252
-20,912,868,1259,0,1252
-8,924,896,1287,0,1252
-16,956,848,1278,0,1252
-80,908,856,1250,0,1252
-52,924,796,1220,0,1252
-52,912,688,1143,0,1271
24,960,560,1111,0,1271
-16,928,460,1035,0,1271
-60,944,380,1019,0,1271
124,1024,396,1104,0,1271
-64,1172,156,1184,0,1271
-116,1548,96,1555,0,1271
-500,2040,376,2133,0,1271
-424,2252,496,2344,0,1271
-756,2240,752,2480,0,1271
-1056,1536,844,2046,0,1271
-992,664,816,1445,0,1271
-964,-260,668,1201,0,1271
-956,-744,700,1399,0,1271
-848,-564,204,1038,0,1271
-1896,792,316,2078,0,1271
-3872,4160,-92,5683,0,1271
-1864,4516,-168,4888,0,1271
-380,2960,-516,3028,0,1271
204,1564,-196,1589,0,1271
1208,896,-308,1535,0,1271
1292,704,88,1473,0,1271
1036,544,12,1170,0,1271
664,1052,24,1244,0,1271
-1532,3312,-104,3650,0,1271
-3744,3076,588,4881,0,2092
-1908,1072,496,2244,0,2092
-1124,12,508,1233,0,2092
-528,-544,332,827,0,2092
-112,-1128,96,1137,0,2092
-100,-1588,-68,1592,0,2092
-1056,-736,64,1288,0,2092
-3428,924,316,3564,0,2092
-4852,3424,736,5983,0,2092
-1664,2944,156,3385,0,2092
-100,1688,-4,1690,0,2092
1060,1308,-336,1716,0,2092
1444,896,-128,1704,0,2092
1052,716,-16,1272,0,2092
588,908,-40,1082,0,2092
-1672,2944,44,3385,0,2092
-4448,3344,828,5626,0,2092
-1748,876,828,2123,0,2092
-764,-320,620,1034,0,2092
-356,-1104,0,1159,0,2092
-260,-1596,60,1618,0,2092
-544,-1052,64,1186,0,2092
-2512,588,76,2581,0,2092
-5084,3664,632,6298,0,2092
-1544,2908,-168,3296,0,2092
-60,1424,236,1444,0,2370
1548,1152,-264,1947,0,2370
2028,688,-64,2142,0,2370
1152,716,12,1356,0,2370
572,1656,-288,1775,0,2370
-3944,4508,0,5989,0,2370
-3380,2304,396,4109,0,2370
-912,316,540,1105,0,2370
-404,-544,396,784,0,2370
-228,-1540,76,1558,0,2370
-336,-1780,-264,1830,0,2370
