X,Y,Z,G,S,AVG
68,716,284,773,0,1243
-60,856,88,862,0,1243
-796,1468,-452,1730,0,1243
-1124,1376,140,1782,0,1243
-208,1276,496,1384,0,1243
-360,1356,524,1497,0,1243
-244,1180,560,1328,0,1243
24,1052,528,1177,0,1243
-16,964,492,1082,0,1243
60,988,572,1143,0,1243
-52,944,612,1126,0,1243
-64,912,560,1072,0,1243
-96,944,588,1116,0,1243
-136,1052,572,1205,0,1243
-156,1180,588,1327,0,1243
-72,1120,572,1259,0,1243
-92,1092,560,1230,0,1243
-100,1040,560,1185,0,1243
-160,1056,576,1213,0,1243
-72,1116,560,1250,0,1243
92,1152,496,1257,0,1243
76,1180,708,1378,0,1243
-72,1168,636,1331,0,1243
-180,1072,492,1193,0,1243
-116,1060,496,1176,0,1243
-4,1164,384,1225,0,1243
-104,1180,560,1310,0,1243
-28,1092,560,1227,0,1243
-104,1060,508,1180,0,1243
-100,1120,524,1240,0,1243
-64,1136,480,1234,0,1243
-72,1120,464,1214,0,1243
-32,1088,480,1189,0,1243
-28,1120,508,1230,0,1243
-68,1120,524,1238,0,1243
-32,1136,496,1239,0,1243
-64,1164,524,1278,0,1243
-52,1088,496,1196,0,1243
24,964,444,1061,0,1243
-4,1008,432,1096,0,1243
-128,1036,448,1135,0,1243
-32,1084,484,1187,0,1243
-128,928,448,1038,0,1243
-40,1124,480,1222,0,1243
-28,1100,496,1206,0,1243
-40,1120,524,1237,0,1243
0,1312,704,1488,0,1243
-52,1132,504,1240,0,1243
-16,1100,472,1197,0,1243
24,1100,480,1200,0,1243
0,1104,460,1196,0,1199
-64,1056,480,1161,0,1199
-100,1112,480,1215,0,1199
-124,1136,460,1231,0,1199
-72,1136,420,1213,0,1199
-4,1084,304,1125,0,1199
-92,1092,320,1141,0,1199
-196,1084,324,1148,0,1199
-264,1120,288,1186,0,1199
-228,1144,280,1199,0,1199
-160,1072,256,1113,0,1199
-132,1100,240,1133,0,1199
-168,1188,184,1213,0,1199
-196,1216,140,1239,0,1199
-128,1168,36,1175,0,1199
36,1136,-8,1136,0,1199
96,1240,-100,1247,0,1199
220,1136,-16,1157,0,1199
160,1088,252,1128,0,1199
124,1276,68,1283,0,1199
100,1260,68,1265,0,1199
-8,1292,144,1300,0,1199
-40,1252,240,1275,0,1199
-116,1180,288,1220,0,1199
-60,1208,280,1241,0,1199
-244,1316,256,1362,0,1213
-388,1312,252,1391,0,1213
-436,1272,252,1368,0,1213
-420,1052,224,1154,0,1213
-340,1240,96,1289,0,1213
-272,1612,-72,1636,0,1213
-212,1792,-164,1811,0,1213
-160,1696,-160,1711,0,1213
-164,1564,-116,1576,0,1213
-180,1436,-48,1448,0,1213
-132,1356,-52,1363,0,1213
96,1272,-124,1281,0,1213
388,1264,-96,1325,0,1213
460,1264,-100,1348,0,1213
320,1212,-4,1253,0,1213
144,1264,60,1273,0,1213
36,1344,92,1347,0,1213
-72,1472,48,1474,0,1213
-160,1436,188,1457,0,1213
-156,1548,140,1562,0,1213
-388,1596,140,1648,0,1213
-464,1464,252,1556,0,1213
-540,1356,268,1483,0,1213
-564,1284,320,1438,0,1213
-388,1340,636,1533,0,1213
-608,1200,204,1360,0,1451
-452,1520,-136,1591,0,1451
-196,1664,-228,1690,0,1451
-212,1660,-116,1677,0,1451
-316,1728,-196,1767,0,1451
-200,1688,-180,1709,0,1451
-168,1508,-128,1522,0,1451
-96,1344,-96,1350,0,1451
-32,1356,-40,1356,0,1451
252,1340,-64,1364,0,1451
432,1212,-96,1290,0,1451
252,1296,-4,1320,0,1451
60,1216,56,1218,0,1451
-8,1368,-160,1377,0,1451
-84,1360,-208,1378,0,1451
-296,1468,-196,1510,0,1451
-500,1700,-136,1777,0,1451
-552,1756,-128,1845,0,1451
-576,1572,88,1676,0,1451
-564,1564,156,1669,0,1451
-644,1688,292,1830,0,1451
-616,1456,508,1660,0,1451
-616,1084,716,1437,0,1451
-628,1360,440,1561,0,1451
-360,1808,112,1846,0,1451
-272,1996,-72,2015,0,1587
-188,1840,-128,1854,0,1587
-164,1720,-128,1732,0,1587
-136,1536,-160,1550,0,1587
-72,1348,-144,1357,0,1587
412,1440,-100,1501,0,1587
396,1200,-196,1278,0,1587
476,1036,-68,1142,0,1587
224,1468,-104,1488,0,1587
96,1472,-100,1478,0,1587
-92,1472,68,1476,0,1587
-188,1436,124,1453,0,1587
-228,1456,204,1487,0,1587
-348,1676,252,1730,0,1587
-424,1700,252,1770,0,1587
-508,1728,356,1835,0,1587
-708,1596,368,1784,0,1587
-616,1228,444,1443,0,1587
-544,1252,312,1400,0,1587
-464,1676,12,1739,0,1587
-224,1792,-180,1814,0,1587
-84,1564,-128,1571,0,1587
-104,1488,-104,1495,0,1587
-160,1508,-104,1520,0,1587
-92,1584,-164,1595,0,1587
252,1244,-228,1289,0,1530
332,1276,-232,1338,0,1530
388,1084,-124,1158,0,1530
284,1248,-32,1280,0,1530
184,1540,-36,1551,0,1530
120,1596,-84,1602,0,1530
-28,1368,208,1384,0,1530
-80,1408,188,1422,0,1530
-208,1624,240,1654,0,1530
-436,1772,408,1869,0,1530
-548,1776,356,1892,0,1530
-732,1688,380,1878,0,1530
-676,1356,384,1563,0,1530
