X,Y,Z,G,S,AVG
-444,336,1084,1218,0,1243
-452,304,1120,1245,0,1243
-452,292,1124,1246,0,1243
-456,316,1116,1246,0,1243
-452,312,1112,1240,0,1243
-452,312,1092,1222,0,1243
-448,304,1120,1243,0,1243
-448,312,1120,1245,0,1243
-452,316,1116,1244,0,1243
-448,316,1120,1246,0,1243
-464,312,1112,1244,0,1243
-464,304,1120,1249,0,1243
-464,288,1136,1260,0,1243
-444,304,1148,1267,0,1243
-420,332,1116,1237,0,1243
-412,252,1104,1205,0,1243
-412,256,1120,1220,0,1243
-444,256,1136,1246,0,1243
-436,272,1144,1254,0,1243
-420,288,1144,1252,0,1243
-400,312,1148,1255,0,1243
-412,284,1144,1248,0,1243
-416,304,1132,1243,0,1243
-424,288,1144,1253,0,1243
-416,300,1148,1257,0,1243
-416,312,1148,1260,0,1242
-420,280,1136,1243,0,1242
-412,304,1144,1253,0,1242
-436,284,1136,1249,0,1242
-416,316,1144,1257,0,1242
-392,288,1148,1246,0,1242
-388,332,1148,1256,0,1242
-224,476,1208,1317,0,1242
-436,280,1084,1201,0,1242
-400,292,1100,1206,0,1242
-448,268,1080,1199,0,1242
-340,348,1072,1177,0,1242
-432,300,1180,1291,0,1242
-448,352,1144,1278,0,1242
-448,312,1136,1260,0,1242
-416,304,1132,1243,0,1242
-392,260,1072,1170,0,1242
-416,268,1148,1250,0,1242
-416,280,1144,1249,0,1242
-416,280,1144,1249,0,1242
-416,268,1124,1228,0,1242
-424,268,1136,1241,0,1242
-424,284,1148,1256,0,1242
-416,280,1148,1252,0,1242
-412,280,1136,1240,0,1242
-436,268,1100,1213,0,1198
-420,280,1124,1232,0,1198
-412,284,1148,1252,0,1198
-416,284,1156,1260,0,1198
-388,332,1120,1230,0,1198
-416,300,1156,1264,0,1198
-404,288,1136,1239,0,1198
-436,252,1120,1228,0,1198
-476,192,1112,1224,0,1198
-516,156,1100,1224,0,1198
-544,140,1084,1220,0,1198
-544,176,1084,1225,0,1198
-548,216,1100,1247,0,1198
-520,204,1048,1187,0,1198
-516,444,1260,1432,0,1198
-512,260,1120,1258,0,1198
-484,312,1100,1241,0,1198
-416,380,1120,1253,0,1198
-372,368,1020,1146,0,1198
-304,396,944,1067,0,1198
-212,448,792,934,0,1198
-128,608,636,889,0,1198
-144,796,560,983,0,1198
-124,1020,380,1095,0,1198
-232,1356,332,1415,0,1198
-336,1804,240,1850,0,1198
-320,1380,176,1427,0,1198
-336,1380,256,1443,0,1198
-272,1248,240,1299,0,1198
-272,1240,280,1299,0,1198
-288,1280,272,1339,0,1198
-328,1232,348,1321,0,1198
-436,1420,420,1543,0,1198
-516,1408,444,1563,0,1198
-640,1400,464,1607,0,1198
-484,1164,124,1266,0,1198
-436,1456,96,1522,0,1198
