X,Y,Z,G,S,AVG
-288,132,1208,1248,0,0
-260,144,1248,1282,0,0
-244,124,1228,1258,0,0
-272,216,1216,1264,0,0
-228,112,1244,1269,0,0
-256,120,1244,1275,0,0
-264,124,1244,1277,0,0
-252,140,1220,1253,0,0
-244,132,1244,1274,0,0
-256,140,1220,1254,0,0
-256,140,1216,1250,0,0
-256,124,1240,1272,0,0
-260,124,1248,1280,0,0
-256,140,1248,1281,0,0
-252,132,1248,1280,0,0
-256,156,1228,1264,0,0
-256,124,1252,1283,0,0
-272,124,1244,1279,0,0
-264,152,1248,1284,0,0
-260,128,1248,1281,0,0
-288,144,1248,1288,0,0
-256,164,1240,1276,0,0
-144,172,1164,1185,0,0
-232,80,1212,1236,0,0
-228,188,1148,1185,0,0
-320,96,1196,1241,0,0
-292,60,896,944,0,0
-288,152,1248,1289,0,0
-272,172,1248,1288,0,0
-264,48,1232,1260,0,0
-256,140,1220,1254,0,0
-260,112,1180,1213,0,0
-264,124,1248,1281,0,0
-272,112,1252,1286,0,0
-256,124,1228,1260,0,0
-196,64,1596,1609,0,0
-288,120,1248,1286,0,0
-272,120,1228,1263,0,0
-264,128,1232,1266,0,0
-272,128,1228,1264,0,0
-264,124,1220,1254,0,0
-272,128,1228,1264,0,0
-264,132,1240,1274,0,0
-284,124,1208,1247,0,0
-272,112,1196,1231,0,0
-272,128,1248,1283,0,0
-264,140,1248,1283,0,0
-264,140,1228,1263,0,0
-272,132,1228,1264,0,0
-288,120,1220,1259,0,0
-264,128,1220,1254,0,0
-272,128,1228,1264,0,0
-244,124,1220,1250,0,0
-272,96,1164,1199,0,0
-264,80,1168,1200,0,0
-316,44,1148,1191,0,0
-348,32,1144,1196,0,0
-268,92,1220,1252,0,0
-444,-60,1124,1210,0,0
-512,-16,1164,1271,0,0
-528,60,1180,1294,0,0
-532,164,1200,1322,0,0
-436,224,1136,1237,0,0
-412,252,1136,1234,0,0
-320,256,1072,1147,0,0
-296,368,1016,1120,0,0
-208,508,864,1023,0,0
-360,800,1020,1345,0,0
-320,952,924,1364,0,0
-128,844,796,1167,0,0
-156,892,704,1147,0,0
-244,972,704,1224,0,0
-260,1068,536,1222,0,0
-252,1120,396,1214,0,0
-284,1148,352,1233,0,0
-336,1164,344,1259,0,0
-368,1208,316,1301,0,0
-360,1336,320,1420,0,0
-388,1340,384,1446,0,0
-580,1548,396,1699,0,0
-564,1276,476,1474,0,0
-628,1304,588,1562,1474,0
-564,1084,428,1294,0,0
-500,1292,240,1406,0,0
-456,1484,140,1558,0,0
-336,1184,120,1236,0,0
-232,1116,176,1153,0,0
-208,1168,160,1197,0,0
-144,1196,44,1205,0,0
-104,1220,28,1224,0,0
-116,1180,28,1186,0,0
-116,1344,-20,1349,0,0
-32,1264,-4,1264,0,0
-8,1244,60,1245,0,0
-36,1060,160,1072,0,0
-100,1376,128,1385,0,0
-232,1200,248,1247,0,0
-276,896,412,1024,0,0
-304,780,472,961,0,0
-272,908,432,1041,0,0
-316,1148,408,1258,0,0
-420,1084,432,1240,0,0
-464,1068,524,1276,1240,0
-464,1228,472,1395,0,0
-452,1164,396,1309,0,0
-508,1820,620,1988,0,0
-580,1336,412,1513,0,0
-548,1632,316,1750,0,0
-452,1488,352,1594,0,0
-224,1068,256,1120,0,0
-144,1036,204,1065,0,0
-136,1164,224,1193,0,0
-100,1084,140,1097,0,0
-60,960,152,973,0,0
-104,1036,120,1048,0,0
-116,1124,160,1141,0,0
-112,1116,216,1142,0,0
-104,1180,164,1195,0,0
-180,1296,224,1327,0,0
-296,1424,348,1495,0,0
-372,1136,448,1276,0,0
-356,824,496,1025,1276,0
-272,828,408,962,0,0
-320,1008,368,1119,0,0
-416,1184,396,1315,0,0
-488,1048,460,1244,0,0
-584,1308,508,1519,0,0
-528,1248,480,1437,0,0
-640,1504,560,1727,0,0
-572,1328,352,1488,0,0
-508,1632,304,1736,0,0
-356,1496,332,1573,0,0
-212,1048,224,1092,0,0
-160,972,240,1013,0,0
-148,1084,192,1110,0,0
-100,1136,92,1144,0,0
-80,1004,76,1010,0,0
-132,1120,124,1134,0,0
-124,1252,108,1262,0,0
-144,1248,156,1265,0,0
-160,1136,224,1168,0,0
-240,1200,368,1277,0,0
-260,1328,396,1409,0,0
-252,976,440,1099,0,0
-264,780,492,959,1099,0
-264,844,448,991,0,0
-320,1072,412,1192,0,0
-424,1180,480,1342,0,0
-500,1072,508,1287,0,0
-564,1248,548,1475,0,0
-516,1208,432,1382,0,0
-616,1472,508,1674,0,0
-628,1344,412,1539,0,0
-548,1632,320,1751,0,0
-404,1484,316,1570,0,0
-228,1092,224,1137,0,0
-180,992,240,1036,0,0
-160,1084,192,1112,0,0
-116,1084,132,1098,0,0
-80,972,112,981,0,0
-132,1100,124,1114,0,0
-128,1180,120,1192,0,0
-144,1164,192,1188,0,0
-164,1248,224,1278,1188,0
-240,1216,344,1286,0,0
-256,1376,368,1447,0,0
-272,1072,428,1185,0,0
-264,796,508,980,0,0
-244,832,432,968,0,0
-308,1048,444,1179,0,0
-412,1212,536,1387,0,0
