X,Y,Z,G,S,AVG
-476,1248,-36,1336,0,1314
-500,1412,-20,1498,0,1314
-708,1764,-64,1901,0,1314
-776,1664,352,1869,0,1314
-868,1536,384,1805,0,1314
-928,1408,672,1815,0,1314
-544,1008,448,1229,0,1314
-136,600,548,823,0,1314
320,384,644,815,0,1314
248,240,824,893,0,1314
228,220,832,890,0,1314
396,228,908,1016,0,1314
316,248,1120,1189,0,1314
320,344,1292,1374,0,1314
400,216,1304,1380,0,1314
312,124,1272,1315,0,1314
344,64,1260,1307,0,1314
460,76,1104,1198,0,1314
484,240,1100,1225,0,1314
384,248,1052,1147,0,1314
452,352,1056,1201,0,1314
472,536,1132,1338,0,1314
540,548,1148,1381,0,1314
460,656,1220,1459,0,1314
540,540,1248,1463,0,1314
544,676,1208,1487,0,1307
440,688,1240,1484,0,1307
440,736,1120,1410,0,1307
444,752,1100,1404,0,1307
396,688,1136,1385,0,1307
368,560,1084,1274,0,1307
380,540,1180,1352,0,1307
396,568,1164,1354,0,1307
352,600,1148,1342,0,1307
444,576,1152,1362,0,1307
388,608,1176,1379,0,1307
448,448,1088,1259,0,1307
396,384,1056,1191,0,1307
428,540,1084,1284,0,1307
448,812,1016,1375,0,1307
224,348,996,1078,0,1307
352,560,1164,1338,0,1307
368,536,1148,1319,0,1307
460,608,1180,1404,0,1307
352,540,1112,1285,0,1307
320,556,1100,1273,0,1307
284,508,1092,1237,0,1307
236,508,1072,1209,0,1307
204,560,972,1140,0,1307
88,568,896,1064,0,1307
96,708,776,1054,0,1238
12,792,548,963,0,1238
-244,912,288,987,0,1238
-464,1080,68,1177,0,1238
-768,1228,112,1452,0,1238
-976,1412,284,1739,0,1238
-936,1444,172,1729,0,1238
-820,1308,248,1563,0,1238
-592,1200,252,1361,0,1238
-464,1228,172,1323,0,1238
-464,1092,176,1199,0,1238
-480,1052,184,1170,0,1238
-400,960,164,1052,0,1238
-348,1048,224,1126,0,1238
-272,1120,192,1168,0,1238
-164,1228,124,1245,0,1238
-84,1216,124,1225,0,1238
-160,1164,204,1192,0,1238
-128,1136,220,1164,0,1238
-52,1120,236,1145,0,1238
-16,1120,192,1136,0,1238
-84,1036,284,1077,0,1238
-208,1100,416,1194,0,1238
-196,1084,440,1186,0,1238
-388,1208,376,1323,0,1238
-424,1016,384,1165,0,1276
-564,956,544,1236,0,1276
-388,836,408,1007,0,1276
-416,768,452,983,0,1276
-468,796,536,1067,0,1276
-464,864,588,1143,0,1276
-756,1100,608,1466,0,1276
-772,1148,608,1511,0,1276
-688,1284,384,1506,0,1276
-996,1164,64,1533,0,1276
-1028,1100,164,1514,0,1276
-604,1168,-100,1318,0,1276
-372,1068,-68,1132,0,1276
-192,760,56,785,0,1276
-148,620,156,656,0,1276
-148,540,196,593,0,1276
-128,704,252,758,0,1276
156,1644,252,1670,0,1276
332,2028,-480,2110,0,1276
300,2020,-400,2080,0,1276
-352,1484,652,1658,0,1276
-608,1136,716,1474,0,1276
28,1376,-4,1376,0,1276
-16,1308,112,1312,0,1276
-228,736,376,857,0,1276
-192,856,536,1028,0,1760
-360,1060,444,1204,0,1760
-564,1368,376,1526,0,1760
-708,1436,240,1618,0,1760
-912,2060,260,2267,0,1760
-464,1836,128,1898,0,1760
-372,2396,-72,2425,0,1760
-100,1984,-92,1988,0,1760
-80,1476,48,1478,0,1760
-60,1356,108,1361,0,1760
-36,1504,-64,1505,0,1760
312,1816,-312,1868,0,1760
508,1248,-484,1431,0,1760
1148,896,-308,1488,0,1760
600,1540,96,1655,0,1760
-156,2368,384,2404,0,1760
-388,2724,284,2766,0,1760
-40,2020,284,2040,0,1760
108,1628,332,1665,0,1760
-52,1412,236,1432,0,1760
-392,1520,344,1606,0,1760
-624,1532,380,1697,0,1760
-884,1676,240,1909,0,1760
-1672,1408,92,2187,0,1760
-256,1500,348,1560,0,1760
-456,1596,96,1662,0,1938
-720,2488,-124,2593,0,1938
-264,2236,-168,2257,0,1938
-68,1848,12,1849,0,1938
-28,1648,-16,1648,0,1938
-16,1624,-80,1626,0,1938
256,2364,-128,2381,0,1938
536,1540,-388,1676,0,1938
816,1164,-324,1457,0,1938
812,1120,128,1389,0,1938
56,1824,448,1879,0,1938
-32,2060,240,2074,0,1938
-164,2308,224,2324,0,1938
-436,1804,480,1917,0,1938
-196,1464,460,1547,0,1938
-156,1464,608,1592,0,1938
-360,1496,780,1725,0,1938
-500,1644,804,1897,0,1938
-676,1472,684,1758,0,1938
-884,1956,408,2184,0,1938
-480,1688,188,1764,0,1938
-488,2892,-40,2933,0,1938
-316,2656,-232,2684,0,1938
-136,1984,-32,1988,0,1938
-64,1660,92,1663,0,1938
-104,1484,-8,1487,0,1835
-80,1532,-124,1539,0,1835
280,1740,-180,1771,0,1835
752,1016,-192,1278,0,1835
1292,624,12,1434,0,1835
284,1472,572,1604,0,1835
-128,1948,464,2006,0,1835
-28,2588,-116,2590,0,1835
-244,2444,240,2467,0,1835
-464,1828,524,1957,0,1835
-288,1820,484,1905,0,1835
-348,1728,716,1902,0,1835
-384,1436,892,1733,0,1835
-544,1360,796,1667,0,1835
-848,1336,540,1672,0,1835
-1104,2168,352,2458,0,1835
-900,1920,-4,2120,0,1835
-660,2692,-528,2821,0,1835
-128,2276,-896,2449,0,1835
88,1660,-528,1744,0,1835
-4,1408,-324,1444,0,1835
-136,1276,-208,1299,0,1835
28,1412,-288,1441,0,1835
192,1548,-272,1583,0,1835
752,1248,-456,1526,0,1835
768,732,-32,1061,0,1796
12,1248,748,1455,0,1796
64,1676,396,1723,0,1796
