X,Y,Z,G,S,AVG
-1312,-36,-164,1322,0,1309
-1312,28,96,1315,0,1309
-336,252,504,656,0,1309
732,368,912,1225,0,1309
-232,248,1276,1320,0,1309
60,304,1200,1239,0,1309
76,236,1356,1378,0,1309
224,224,1292,1330,0,1309
176,356,1360,1416,0,1309
368,484,1228,1370,0,1309
408,504,992,1185,0,1309
448,608,1328,1527,0,1309
48,576,1304,1426,0,1309
324,304,1368,1438,0,1309
-72,540,1376,1479,0,1309
228,416,1260,1346,0,1309
480,192,1056,1175,0,1309
248,428,1080,1187,0,1309
600,388,1048,1268,0,1309
444,416,1292,1428,0,1309
460,412,1216,1363,0,1309
444,492,1308,1466,0,1309
-220,256,1212,1258,0,1309
312,540,1252,1398,0,1309
176,464,1120,1225,0,1309
252,420,1212,1307,0,1234
332,396,1276,1376,0,1234
348,312,1276,1358,0,1234
288,496,1292,1413,0,1234
288,420,1264,1362,0,1234
228,448,1248,1345,0,1234
292,412,1208,1309,0,1234
284,420,1264,1361,0,1234
324,368,1276,1366,0,1234
316,384,1152,1254,0,1234
428,284,1216,1320,0,1234
288,192,1228,1275,0,1234
432,316,1220,1332,0,1234
252,668,1088,1301,0,1234
172,412,1120,1205,0,1234
344,492,1112,1263,0,1234
140,568,1072,1221,0,1234
252,568,976,1157,0,1234
176,588,892,1082,0,1234
-116,524,604,807,0,1234
-572,324,352,745,0,1234
-900,280,228,969,0,1234
-1168,156,260,1206,0,1234
-1220,-60,140,1229,0,1234
-1296,24,196,1310,0,1234
-1504,24,140,1510,0,1649
-1360,48,192,1374,0,1649
-1076,192,124,1100,0,1649
-712,204,288,794,0,1649
-388,260,316,563,0,1649
-64,448,368,583,0,1649
292,804,-32,855,0,1649
300,1308,-228,1361,0,1649
-416,2044,-324,2110,0,1649
-872,2652,-884,2928,0,1649
-1636,2552,-656,3101,0,1649
-1908,1504,-572,2495,0,1649
-1468,80,-96,1473,0,1649
-884,-656,352,1155,0,1649
-564,-892,508,1171,0,1649
-336,-832,444,1001,0,1649
-860,-932,216,1286,0,1649
-2276,-272,-576,2363,0,1649
-3456,1292,-2244,4318,0,1649
-2624,2268,-1700,3862,0,1649
-208,1752,-816,1943,0,1649
460,976,28,1079,0,1649
600,728,176,959,0,1649
460,624,284,825,0,1649
588,764,384,1037,0,1649
448,2332,-372,2403,0,2181
-3060,4032,-1140,5188,0,2181
-3312,1792,-400,3786,0,2181
-2128,384,-272,2179,0,2181
-980,-576,172,1149,0,2181
-260,-828,352,936,0,2181
-336,-648,572,927,0,2181
-392,-544,332,748,0,2181
-1040,-708,124,1264,0,2181
-2556,-708,-708,2745,0,2181
-3264,864,-1408,3658,0,2181
-3508,1756,-1360,4152,0,2181
-1680,1852,-956,2676,0,2181
156,1712,-476,1783,0,2181
228,1336,480,1437,0,2181
728,900,124,1164,0,2181
1140,956,508,1572,0,2181
816,728,448,1181,0,2181
-640,2476,-456,2597,0,2181
-4188,1852,-380,4594,0,2181
-3204,868,-40,3319,0,2181
-1636,-220,392,1696,0,2181
-1204,-416,324,1314,0,2181
-544,-956,240,1125,0,2181
-548,-656,396,942,0,2181
-1168,-564,824,1536,0,2423
-2172,-1316,448,2578,0,2423
-3188,-592,-244,3251,0,2423
-4488,1328,-68,4680,0,2423
-3220,1948,-512,3798,0,2423
-32,1664,-900,1892,0,2423
384,1244,192,1316,0,2423
652,864,12,1082,0,2423
976,800,124,1268,0,2423
796,1452,-160,1663,0,2423
-2244,4260,-996,4916,0,2423
-4912,2268,-692,5454,0,2423
-3016,112,-92,3019,0,2423
-1564,-676,96,1706,0,2423
-480,-1104,400,1268,0,2423
-128,-1076,568,1223,0,2423
-64,-904,524,1046,0,2423
-740,-1084,96,1316,0,2423
-3104,-356,-648,3190,0,2423
-4212,1036,-1504,4590,0,2423
-2996,2160,-944,3812,0,2423
-784,2240,-756,2490,0,2423
580,1412,-124,1531,0,2423
740,752,76,1057,0,2423
768,380,252,893,0,2423
540,460,540,891,0,2156
624,1632,-372,1786,0,2156
-4092,3800,-1412,5760,0,2156
-4212,1632,-592,4555,0,2156
-1936,-168,-452,1995,0,2156
-368,-1220,124,1280,0,2156
-672,-1076,356,1317,0,2156
112,-956,476,1073,0,2156
-168,-720,576,937,0,2156
-928,-544,-200,1094,0,2156
-3056,-244,-796,3167,0,2156
-3764,864,-1440,4121,0,2156
-2332,1584,-1192,3060,0,2156
-296,1260,-424,1361,0,2156
156,1020,12,1031,0,2156
896,772,-228,1204,0,2156
736,892,-8,1156,0,2156
508,908,472,1142,0,2156
-128,2276,-240,2292,0,2156
-4744,2592,-904,5480,0,2156
-3620,836,-64,3715,0,2156
-1888,-160,140,1899,0,2156
-820,-884,44,1206,0,2156
-560,-1076,388,1273,0,2156
-436,-868,572,1127,0,2156
-116,-980,356,1049,0,2347
-1396,-868,128,1648,0,2347
-3972,388,-444,4015,0,2347
-3952,1572,-832,4333,0,2347
-2080,1860,-1076,2990,0,2347
-52,1536,-256,1558,0,2347
-68,1276,572,1399,0,2347
780,1052,412,1372,0,2347
1212,924,-52,1524,0,2347
804,1536,348,1768,0,2347
-1928,3804,-1608,4557,0,2347
-5224,1852,-1268,5685,0,2347
-3076,24,-356,3096,0,2347
-1296,-772,-40,1509,0,2347
-156,-1520,-100,1531,0,2347
76,-1312,312,1350,0,2347
-4,-932,716,1175,0,2347
-784,-924,364,1265,0,2347
-3972,32,-1280,4173,0,2347
-4228,844,-1204,4476,0,2347
-2228,1976,-1288,3244,0,2347
-244,1340,-656,1511,0,2347
412,1084,-100,1163,0,2347
796,856,-128,1175,0,2347
1088,316,-48,1133,0,2347
652,992,320,1229,0,2459
-580,2832,-484,2931,0,2459
-5200,2448,-900,5817,0,2459
-2836,944,-148,2992,0,2459
-2416,-188,-16,2423,0,2459
-392,-848,-128,942,0,2459
220,-1616,-16,1630,0,2459
124,-1280,260,1312,0,2459
-96,-1200,664,1374,0,2459
-1936,-924,260,2160,0,2459
-4968,736,-1056,5132,0,2459
-4008,1420,-672,4304,0,2459
-1408,2128,-1252,2842,0,2459
352,1536,-360,1616,0,2459
432,1084,204,1184,0,2459
944,860,-32,1277,0,2459
1084,972,-132,1461,0,2459
576,1924,-96,2010,0,2459
-4612,3812,-256,5988,0,2459
-4388,1532,-20,4647,0,2459
-2720,-60,572,2780,0,2459
-1000,-928,480,1446,0,2459
280,-1404,292,1461,0,2459
56,-980,668,1187,0,2459
-104,-1212,588,1351,0,2459
-1544,-996,172,1845,0,2292
-4292,64,-868,4379,0,2292
-4212,1292,-764,4471,0,2292
-2036,1924,-936,2953,0,2292
-4,1596,-484,1667,0,2292
312,1200,-28,1240,0,2292
1060,992,-412,1509,0,2292
1116,800,-308,1407,0,2292
292,1376,364,1452,0,2292
-2260,3468,-500,4169,0,2292
-4384,2776,-724,5239,0,2292
-2632,944,-668,2874,0,2292
-1844,-200,-308,1880,0,2292
-692,-1088,-124,1295,0,2292
-228,-1232,356,1302,1302,2292
-336,-1040,496,1200,1302,2292
-528,-904,316,1093,0,2292
-2368,-580,-372,2466,0,2292
-4104,608,-1168,4310,0,2292
-2948,1616,-1124,3544,0,2292
-948,1568,-528,1906,0,2292
312,1484,-356,1557,0,2292
880,676,-72,1112,1112,2292
844,804,76,1168,0,2292
536,1132,176,1264,0,2292
-296,2144,60,2165,0,1835
-4500,3484,-348,5701,0,1835
-2900,1356,716,3280,0,1835
-2244,128,556,2315,0,1835
-1276,-612,304,1447,0,1835
-160,-1256,156,1275,0,1835
172,-1120,368,1191,1191,1835
88,-1040,432,1129,0,1835
-720,-836,192,1119,0,1835
-3408,576,-264,3466,0,1835
-3132,2008,-848,3815,0,1835
44,2416,-1012,2619,0,1835
612,1308,-92,1447,0,1835
1196,448,-416,1343,0,1835
-100,1120,-340,1174,1174,1835
-764,972,-104,1240,0,1835
100,1080,224,1107,0,1835
-948,2144,-564,2411,0,1835
-1364,2096,-560,2562,0,1835
-1156,1072,-144,1583,0,1835
-896,312,-256,982,0,1835
-356,-208,28,413,413,1835
28,-400,580,705,0,1835
-192,-208,844,890,0,1835
28,-384,324,503,0,1835
-656,176,-80,683,0,1835
-1120,1208,-1320,2110,0,1835
-2912,2540,-1216,4050,0,1835
-360,1868,-1512,2430,0,1835
112,832,28,839,0,1835
-52,316,176,365,0,1835
536,252,-96,600,600,1835
448,240,-104,518,0,1835
432,1596,-740,1811,0,1835
-544,3020,-912,3201,0,1835
-1436,2308,268,2731,0,1835
-1572,1392,96,2101,0,1835
-1416,152,-104,1427,0,1835
-964,-892,4,1313,0,1835
-180,-1168,252,1208,1208,1835
272,-796,172,858,0,1835
-116,-412,464,631,0,1835
-1732,-196,0,1743,0,1835
-3856,1292,-520,4099,0,1835
-3216,1856,-900,3820,0,1835
-740,1948,-452,2132,0,1835
432,1304,-40,1374,0,1835
344,732,48,810,0,1835
504,440,124,680,680,1835
716,704,176,1019,0,1835
932,1408,-52,1689,0,1699
-2848,4080,-640,5016,0,1699
-4692,2032,-100,5114,0,1699
-1632,-160,284,1664,0,1699
-1412,-892,380,1712,0,1699
-384,-1200,288,1292,0,1699
-132,-932,440,1039,0,1699
-284,-680,608,955,0,1699
-776,-656,448,1110,0,1699
-3104,-16,-212,3111,0,1699
-3972,1124,-508,4159,0,1699
-2692,1760,-60,3216,0,1699
-484,1892,-308,1977,0,1699
644,868,192,1097,0,1699
384,844,344,989,0,1699
688,740,-148,1021,1021,1699
536,700,100,887,0,1699
140,1712,-564,1807,0,1699
-4060,3440,-1992,5682,0,1699
-4068,1120,-464,4244,0,1699
-2320,-372,-116,2352,0,1699
-340,-1180,256,1254,0,1699
36,-1340,440,1410,0,1699
60,-948,676,1165,1165,1699
-244,-672,644,962,0,1699
-640,-372,460,871,0,2164
-3764,252,-196,3777,0,2164
-4020,1444,-320,4283,0,2164
-1616,1552,-668,2338,0,2164
-452,992,-276,1124,0,2164
192,832,-244,888,0,2164
600,752,-144,972,972,2164
588,480,-52,760,0,2164
636,620,696,1128,0,2164
-36,1872,224,1885,0,2164
-3784,2972,-1012,4916,0,2164
-4072,960,-616,4228,0,2164
-2148,-292,-8,2167,0,2164
-1124,-928,128,1463,0,2164
-320,-1200,216,1260,0,2164
224,-868,716,1147,1147,2164
384,-656,624,983,0,2164
-308,-820,332,936,0,2164
-4176,-200,-800,4256,0,2164
-3908,696,-656,4023,0,2164
-1988,1336,-400,2428,0,2164
-372,1060,-484,1223,0,2164
384,1020,128,1097,0,2164
608,908,48,1093,1093,2164
864,472,96,989,0,2164
548,524,316,821,0,2007
-604,2396,-336,2493,0,2007
-5204,2304,-1380,5856,0,2007
-2484,600,-208,2563,0,2007
-2140,-336,-160,2172,0,2007
-720,-928,112,1179,0,2007
-132,-1140,364,1203,0,2007
768,-1412,412,1659,1659,2007
304,-1156,428,1269,0,2007
-1540,-1128,12,1908,0,2007
-4872,-16,-576,4905,0,2007
-3588,908,-160,3704,0,2007
-2012,1852,-304,2751,0,2007
96,1688,-224,1705,0,2007
540,960,128,1108,0,2007
924,624,-80,1117,1117,2007
704,448,-4,834,0,2007
544,976,252,1145,0,2007
-2868,4348,-512,5233,0,2007
-4512,1860,-8,4880,0,2007
-2112,204,240,2135,0,2007
-1416,-288,304,1476,0,2007
-308,-996,140,1051,0,2007
0,-1616,332,1649,0,2007
-636,-832,508,1163,1163,2007
-1320,-720,292,1531,0,2306
-2612,24,124,2615,0,2306
-3716,1136,-224,3892,0,2306
-3232,1888,28,3743,0,2306
-900,2168,-404,2381,0,2306
572,1444,-16,1553,0,2306
952,992,28,1375,0,2306
1188,740,-124,1405,1405,2306
760,960,108,1229,0,2306
-628,2800,-676,2948,0,2306
-5468,2716,-900,6171,0,2306
-2688,764,268,2807,0,2306
-1696,-128,508,1775,0,2306
-220,-912,-228,965,0,2306
-208,-1280,192,1310,1310,2306
60,-1052,332,1104,0,2306
-92,-832,368,914,0,2306
-1696,-580,304,1818,0,2306
-4308,976,-820,4492,0,2306
-3380,1828,-660,3898,0,2306
-1300,1856,-80,2267,0,2306
-196,828,-52,852,0,2306
348,816,-116,894,894,2306
352,824,12,896,0,2306
720,876,-80,1136,0,2306
892,880,-64,1254,0,2187
-788,3500,-452,3615,0,2187
-5160,2556,-548,5784,0,2187
-2908,816,-64,3020,0,2187
-1736,-256,288,1778,0,2187
-616,-1168,284,1350,0,2187
-80,-1636,352,1675,1675,2187
-304,-1084,560,1257,0,2187
-596,-704,412,1010,0,2187
-2708,-208,-420,2748,0,2187
-4000,1292,-692,4260,0,2187
-3108,1584,140,3491,0,2187
-904,2528,-964,2852,0,2187
612,924,268,1140,0,2187
-52,1056,284,1094,0,2187
1148,580,-380,1341,1341,2187
652,580,-52,874,0,2187
316,1112,-40,1156,0,2187
-2448,3128,-1416,4216,0,2187
-4444,1984,-948,4958,0,2187
-2368,772,-48,2491,0,2187
-832,-260,120,879,0,2187
-456,-960,324,1111,0,2187
-276,-2020,176,2046,2046,2187
-240,-1120,624,1304,0,2187
-692,-672,268,1001,0,2231
-2716,-200,-1152,2956,0,2231
-4156,1348,-1028,4488,0,2231
-2276,1304,-636,2699,0,2231
-52,1228,-1128,1668,0,2231
784,684,-208,1061,0,2231
388,1020,444,1178,1178,2231
624,608,364,944,0,2231
736,960,260,1237,0,2231
-136,2040,-464,2096,0,2231
-3616,3420,-2676,5650,0,2231
-2740,1468,-1252,3351,0,2231
-1512,448,-400,1626,0,2231
-1000,-372,240,1093,0,2231
-432,-924,320,1069,1069,2231
-160,-1500,432,1569,0,2231
-488,-1184,864,1544,0,2231
-1160,-800,416,1469,0,2231
-3300,-92,-900,3421,0,2231
-3792,1136,-1288,4162,0,2231
-2576,1660,-1028,3232,0,2231
-404,1648,-892,1916,0,2231
604,1392,-164,1526,0,2231
644,1228,472,1464,1464,2231
1088,880,156,1408,0,2231
828,1264,-4,1511,0,2204
-1308,3376,-928,3737,0,2204
-5508,2544,-1424,6231,0,2204
-2676,528,-180,2733,0,2204
-1380,-276,260,1431,0,2204
-308,-808,76,868,0,2204
-124,-1152,192,1174,1174,2204
-700,-1280,368,1504,0,2204
-808,-1232,224,1490,0,2204
-2280,-676,-420,2414,0,2204
-3740,780,-1008,3951,0,2204
-3636,1692,-612,4056,0,2204
-1524,1984,-1168,2760,0,2204
284,1868,-232,1903,0,2204
416,1412,304,1503,0,2204
1116,828,-64,1391,1391,2204
844,792,156,1167,0,2204
332,1472,172,1518,0,2204
-2848,3840,-800,4847,0,2204
-4612,2016,-112,5034,0,2204
-2748,60,440,2783,0,2204
-928,-720,-136,1182,0,2204
-420,-1492,-252,1570,0,2204
56,-1148,156,1159,1159,2204
152,-872,480,1006,0,2204
-228,-740,576,965,0,2319
-3300,-448,-304,3344,0,2319
-4532,1264,-356,4718,0,2319
-2388,1692,-212,2934,0,2319
-512,1760,-372,1870,0,2319
448,1316,-220,1407,0,2319
480,896,76,1019,1019,2319
656,740,-4,988,0,2319
604,1040,208,1220,0,2319
-1268,2700,408,3010,0,2319
-4224,2840,396,5105,0,2319
-2932,676,796,3112,0,2319
-1840,-272,224,1873,0,2319
-996,-1476,60,1781,0,2319
-480,-1172,240,1289,1289,2319
-128,-1156,252,1190,0,2319
-668,-928,316,1186,0,2319
-3200,-272,16,3211,0,2319
-4100,972,-124,4215,0,2319
-2880,1720,-144,3357,0,2319
-540,2264,-980,2525,0,2319
368,1488,280,1558,0,2319
668,1120,124,1309,0,2319
1100,668,-284,1317,1317,2319
508,1100,-72,1213,0,2319
-3172,3140,-836,4540,0,2390
-3408,1696,76,3807,0,2390
-2352,920,304,2543,0,2390
-996,100,216,1024,0,2390
-388,-580,288,754,0,2390
16,-832,12,832,832,2390
140,-1188,224,1217,0,2390
-488,-1280,368,1418,0,2390
-1812,-820,-64,1989,0,2390
-4244,356,-528,4291,0,2390
-3316,1052,-372,3498,0,2390
-2100,1720,-180,2720,0,2390
-180,1776,-228,1799,0,2390
816,1228,-580,1584,0,2390
1080,540,-116,1213,1213,2390
828,920,60,1239,0,2390
352,2160,-308,2210,0,2390
-4060,4000,-868,5765,0,2390
-3688,1424,-224,3959,0,2390
-2100,48,60,2101,0,2390
-996,-1124,-36,1502,0,2390
-256,-1488,608,1627,1627,2390
-336,-1224,1068,1658,0,2390
