X,Y,Z,G,S,AVG
-700,544,448,993,0,1185
-752,608,472,1076,0,1185
-712,576,448,1019,0,1185
-736,636,484,1086,0,1185
-840,688,432,1168,0,1185
-904,668,384,1187,0,1185
-784,588,572,1134,0,1185
-672,448,496,947,0,1185
-880,484,636,1188,0,1185
-776,508,736,1184,0,1185
-676,464,816,1156,0,1185
-564,568,924,1222,0,1185
-628,592,972,1299,0,1185
-508,600,932,1219,0,1185
-400,668,892,1184,0,1185
-416,608,944,1197,0,1185
-356,480,944,1117,0,1185
-372,560,1060,1255,0,1185
-388,608,1056,1278,0,1185
-316,608,1088,1285,0,1185
-292,632,1084,1288,0,1185
-304,624,1116,1314,0,1185
-256,608,1084,1268,0,1185
-228,588,1088,1257,0,1185
-272,636,1124,1319,0,1185
-260,652,1116,1318,0,1268
-288,624,1120,1314,0,1268
-244,580,1112,1277,0,1268
-260,612,1132,1312,0,1268
-264,624,1120,1308,0,1268
-256,608,1120,1299,0,1268
-256,588,1112,1283,0,1268
-260,608,1116,1297,0,1268
-144,576,1052,1207,0,1268
-228,580,1072,1239,0,1268
-132,588,896,1079,0,1268
-164,632,896,1108,0,1268
-324,480,976,1134,0,1268
-232,624,1100,1285,0,1268
-256,608,1116,1296,0,1268
-256,636,1088,1285,0,1268
-284,636,1120,1318,0,1268
-256,624,1100,1290,0,1268
-272,624,1072,1269,0,1268
-288,624,1092,1290,0,1268
-256,624,1036,1236,0,1268
-416,604,972,1217,0,1268
-832,536,816,1282,0,1268
-1120,388,408,1253,0,1268
-1424,260,472,1522,0,1268
-788,192,272,855,0,847
-772,96,316,839,0,847
-808,96,312,871,0,847
-772,4,240,808,0,847
-816,-28,268,859,0,847
-740,-52,316,806,0,847
-784,-80,304,844,0,847
-740,-128,284,802,0,847
-860,-128,376,947,0,847
-768,-188,284,840,0,847
-832,-192,332,916,0,847
-784,-208,344,881,0,847
-800,-232,348,902,0,847
-784,-220,324,876,0,847
-732,-196,288,810,0,847
-820,-180,288,887,0,847
-592,-180,272,675,0,847
-688,-92,96,700,0,847
-616,-28,156,636,0,847
-736,96,-8,742,0,847
-648,140,284,721,0,847
-476,192,156,536,0,847
-512,496,420,827,0,847
-756,900,344,1224,0,847
-564,1248,224,1387,0,847
-572,1412,544,1617,0,1273
-260,1520,464,1610,0,1273
-500,1456,676,1681,0,1273
-360,1252,588,1429,0,1273
-264,1208,460,1319,0,1273
-244,1180,352,1255,0,1273
-284,1156,376,1248,0,1273
-384,1116,352,1231,0,1273
-288,1036,376,1139,0,1273
-356,1084,376,1201,0,1273
-360,1084,460,1231,0,1273
-320,1184,440,1303,0,1273
-308,1508,384,1586,0,1273
-180,1648,368,1698,0,1273
-188,1252,304,1302,0,1273
-116,972,224,1004,0,1273
-100,1432,192,1448,0,1273
-64,1420,164,1430,0,1273
-52,1100,96,1105,0,1273
60,972,192,992,0,1273
-32,908,204,931,0,1273
12,888,224,915,0,1273
-4,856,152,869,0,1273
56,992,56,995,0,1273
-52,1308,64,1310,0,1273
120,1628,-96,1635,0,1231
-264,1912,-52,1930,0,1231
-784,1164,432,1468,0,1231
-532,1304,484,1489,0,1231
-80,1248,228,1271,0,1231
-144,856,304,919,0,1231
-100,652,228,697,0,1231
-180,704,252,769,0,1231
-136,816,132,837,0,1231
-260,1020,48,1053,0,1231
-468,1116,68,1212,0,1231
-608,1180,88,1330,0,1231
-612,1340,64,1474,0,1231
-604,1520,92,1638,0,1231
-500,1276,160,1379,0,1231
-512,1408,192,1510,0,1231
-444,1400,112,1472,0,1231
-212,1052,132,1081,0,1231
-16,836,164,852,0,1231
12,800,292,851,0,1231
24,760,196,785,0,1231
60,816,220,847,0,1231
48,1056,120,1063,0,1231
100,1264,44,1268,0,1231
92,1948,-192,1959,0,1231
-196,1548,-28,1560,0,1238
-900,1020,548,1466,0,1238
-320,1504,380,1583,0,1238
92,1376,204,1394,0,1238
-80,864,284,912,0,1238
-228,740,384,864,0,1238
-104,768,268,820,0,1238
-260,928,300,1009,0,1238
-228,1008,220,1056,0,1238
-488,1248,216,1357,0,1238
