X,Y,Z,G,S,AVG
-692,204,28,721,0,1154
-808,240,64,845,0,1154
-892,352,284,1000,0,1154
-832,364,316,961,0,1154
-916,384,540,1130,0,1154
-636,384,636,977,0,1154
-668,496,760,1126,0,1154
-612,576,848,1193,0,1154
-612,608,924,1264,0,1154
-580,632,896,1240,0,1154
-544,620,928,1241,0,1154
-508,644,924,1235,0,1154
-480,652,960,1255,0,1154
-464,664,908,1216,0,1154
-580,644,932,1272,0,1154
-572,600,960,1268,0,1154
-508,588,888,1179,0,1154
-480,612,900,1189,0,1154
-508,704,924,1267,0,1154
-576,688,900,1270,0,1154
-552,612,896,1217,0,1154
-468,632,844,1153,0,1154
-476,696,832,1184,0,1154
-540,704,864,1238,0,1154
-500,676,896,1228,0,1154
-488,688,896,1230,0,1197
-452,668,792,1130,0,1197
-516,716,896,1257,0,1197
-500,736,868,1243,0,1197
-484,704,880,1226,0,1197
-484,708,860,1214,0,1197
-484,716,864,1222,0,1197
-480,736,864,1232,0,1197
-288,1048,912,1418,0,1197
-480,684,860,1199,0,1197
-476,732,816,1195,0,1197
-420,652,736,1069,0,1197
-388,708,860,1179,0,1197
-496,668,848,1188,0,1197
-488,728,844,1216,0,1197
-512,708,828,1203,0,1197
-508,716,844,1217,0,1197
-484,696,796,1162,0,1197
-500,708,832,1201,0,1197
-484,704,836,1195,0,1197
-508,672,832,1184,0,1197
-544,676,836,1204,0,1197
-500,612,780,1110,0,1197
-584,540,768,1105,0,1197
-700,536,732,1145,0,1197
-756,568,652,1148,0,1261
-948,548,688,1293,0,1261
-1120,608,748,1477,0,1261
-1028,792,716,1482,0,1261
-892,836,644,1381,0,1261
-676,784,524,1160,0,1261
-580,764,548,1104,0,1261
-544,668,588,1043,0,1261
-452,636,496,924,0,1261
-388,668,460,899,0,1261
-336,704,384,869,0,1261
-284,868,304,962,0,1261
-156,960,248,1003,0,1261
-136,1232,268,1268,0,1261
-160,1376,216,1402,0,1261
-180,1632,288,1666,0,1261
-288,1756,332,1810,0,1261
-324,1564,496,1672,0,1261
-228,1400,352,1461,0,1261
-296,1308,460,1417,0,1261
-444,1208,528,1391,0,1261
-464,1048,452,1232,0,1261
-420,996,324,1128,0,1261
-424,992,216,1100,0,1261
-496,1144,164,1257,0,1261
-512,1156,128,1270,0,1423
-500,1308,60,1401,0,1423
-608,1616,12,1726,0,1423
-436,1932,-228,1993,0,1423
-304,2008,-72,2032,0,1423
-168,1612,-4,1620,0,1423
-48,1472,-4,1472,0,1423
32,1280,-92,1283,0,1423
-96,1196,108,1204,0,1423
-64,1020,216,1044,0,1423
76,1020,108,1028,0,1423
124,960,60,969,0,1423
60,1120,120,1128,0,1423
-176,1344,192,1369,0,1423
-160,1420,272,1454,0,1423
-244,1604,208,1635,0,1423
-272,1496,188,1532,0,1423
-336,1340,292,1412,0,1423
-448,1292,332,1407,0,1423
-420,1356,332,1457,0,1423
-528,1124,316,1281,0,1423
-476,1136,252,1257,0,1423
-628,1400,176,1544,0,1423
-640,1276,164,1436,0,1423
-636,1468,268,1622,0,1423
-548,1340,312,1480,0,1423
-720,1820,224,1970,0,1423
-464,1804,288,1884,0,1423
-252,1420,220,1458,0,1423
-188,1264,172,1289,0,1423
-168,1228,60,1240,0,1423
-160,1176,32,1187,0,1423
-16,1120,-32,1120,0,1423
124,1132,4,1138,0,1423
252,932,16,965,0,1423
128,1292,88,1301,0,1423
-144,1592,152,1605,0,1423
-208,1724,272,1757,0,1423
-232,1692,332,1739,0,1423
-244,1496,204,1529,0,1423
-360,1348,420,1457,0,1423
-368,1324,316,1410,0,1423
-564,1336,432,1513,0,1423
-544,1308,344,1457,0,1423
-784,1392,192,1609,0,1423
-784,1180,88,1419,0,1423
-720,1348,156,1536,0,1423
-612,1304,76,1442,0,1423
-564,1712,-52,1803,0,1423
-452,1796,0,1852,0,1423
-288,1376,-64,1407,0,1468
-168,1368,192,1391,0,1468
-164,1504,112,1517,0,1468
-196,1496,100,1512,0,1468
-52,1380,12,1381,0,1468
260,1200,16,1227,0,1468
268,960,-16,996,0,1468
140,1200,224,1228,0,1468
124,1648,252,1671,0,1468
-4,1600,172,1609,0,1468
-128,1580,156,1592,0,1468
-328,1432,440,1533,0,1468
-180,1372,304,1416,0,1468
-264,1244,196,1286,0,1468
-484,1340,352,1467,0,1468
-576,1292,288,1443,0,1468
-720,1308,324,1527,0,1468
-884,1188,128,1486,0,1468
-680,1444,-8,1596,0,1468
-628,1180,96,1340,0,1468
-580,1520,-32,1627,0,1468
-540,1712,-48,1795,0,1468
-348,1548,-32,1586,0,1468
-320,1392,60,1429,0,1468
-244,1420,36,1441,0,1468
-116,1328,60,1334,0,1457
-160,1188,28,1199,0,1457
-36,1228,120,1234,0,1457
32,1240,48,1241,0,1457
56,1048,160,1061,0,1457
-16,1148,252,1175,0,1457
-128,1180,256,1214,0,1457
-28,1324,284,1354,0,1457
-168,1436,240,1465,0,1457
-272,1308,460,1412,0,1457
-168,1308,252,1342,0,1457
-348,1356,268,1425,0,1457
-500,1344,440,1499,0,1457
-464,1240,412,1386,0,1457
-528,1324,368,1472,0,1457
-692,1280,192,1467,0,1457
-608,1216,120,1364,0,1457
-788,1376,192,1597,0,1457
-640,1408,80,1548,0,1457
-644,1616,12,1739,0,1457
-384,1676,-72,1720,0,1457
-244,1420,-72,1442,0,1457
-176,1436,48,1447,0,1457
-160,1456,76,1466,0,1457
-196,1348,60,1363,0,1457
-160,1276,56,1287,0,1396
12,1240,12,1240,0,1396
228,992,60,1019,0,1396
112,1132,160,1148,0,1396
-160,1276,236,1307,0,1396
-144,1424,460,1503,0,1396
-132,1560,332,1600,0,1396
-160,1344,256,1377,0,1396
-244,1292,572,1433,0,1396
-360,1324,572,1486,0,1396
-456,1280,620,1493,0,1396
-484,1200,600,1426,0,1396
-564,1308,484,1504,0,1396
-700,1280,420,1518,0,1396
-560,1120,284,1284,0,1396
-736,1472,160,1653,0,1396
-592,1376,120,1502,0,1396
-640,1900,-16,2004,0,1396
-372,1552,-320,1627,0,1396
-272,1252,-192,1295,0,1396
-180,1336,-228,1367,0,1396
-132,1408,28,1414,0,1396
-252,1432,56,1455,0,1396
-224,1296,28,1315,0,1396
-124,1200,96,1210,0,1396
-64,1148,76,1152,0,1413
16,1020,76,1022,0,1413
-32,1180,96,1184,0,1413
-160,856,504,1006,0,1413
-156,1164,612,1324,0,1413
-212,1324,416,1403,0,1413
-144,1276,440,1357,0,1413
-164,1328,652,1488,0,1413
-264,1420,624,1573,0,1413
-336,1344,664,1536,0,1413
-400,1244,672,1469,0,1413
-372,1180,504,1335,0,1413
-456,1164,368,1303,0,1413
-572,1164,240,1318,1318,1413
-628,1472,28,1600,1318,1413
-452,1344,36,1418,0,1413
-520,1412,-52,1505,0,1413
-640,1464,48,1598,0,1413
-416,1584,-320,1668,0,1413
-244,1616,-160,1642,0,1413
-196,1584,112,1600,0,1413
-224,1500,124,1521,0,1413
-136,1276,132,1289,0,1413
-136,1280,132,1293,0,1413
-128,1180,76,1189,1189,1413
100,1116,48,1121,0,1390
140,1260,132,1274,0,1390
60,1408,120,1414,0,1390
44,1408,224,1426,0,1390
-160,1248,432,1330,0,1390
-200,1240,480,1344,0,1390
-228,1244,384,1321,0,1390
-256,1292,452,1392,0,1390
-352,1252,524,1402,0,1390
-384,1380,452,1502,0,1390
-448,1464,240,1549,0,1390
-612,1240,240,1403,0,1390
-656,1272,140,1438,0,1390
-640,1104,132,1282,0,1390
-580,1504,-48,1612,0,1390
-480,1648,48,1717,0,1390
-316,1528,112,1564,0,1390
-288,1456,152,1491,0,1390
-208,1468,140,1489,0,1390
-132,1304,156,1319,0,1390
-36,1228,156,1238,0,1390
-32,1264,164,1274,1274,1390
140,1180,112,1193,1274,1390
240,1020,124,1055,0,1390
-8,1248,216,1266,0,1390
-104,1484,176,1498,0,1391
-40,1656,128,1661,0,1391
-196,1516,300,1557,0,1391
-208,1344,284,1389,0,1391
-272,1328,216,1372,0,1391
-352,1248,384,1352,1352,1391
-416,1308,352,1416,0,1391
-444,1344,320,1451,0,1391
-612,1472,152,1601,0,1391
-832,1148,176,1428,0,1391
-700,1120,252,1344,0,1391
-740,1272,60,1472,0,1391
-680,1824,-116,1950,0,1391
-372,1868,-28,1904,0,1391
-196,1472,216,1500,0,1391
-260,1456,256,1501,0,1391
16,1436,140,1442,0,1391
-128,1328,96,1337,0,1391
56,1168,144,1178,0,1391
76,1216,176,1231,1231,1391
128,996,56,1005,0,1391
120,1148,216,1174,0,1391
-8,1692,88,1694,0,1391
-116,1740,0,1743,0,1391
-232,1636,304,1680,0,1391
-352,1356,316,1436,0,1452
-316,1184,156,1235,0,1452
-356,1244,280,1323,0,1452
-500,1292,448,1456,1456,1452
-552,1440,352,1581,0,1452
-724,1508,248,1691,0,1452
-712,1136,184,1353,0,1452
-744,1252,164,1465,0,1452
-712,1308,156,1497,0,1452
-576,1820,36,1909,0,1452
-384,1784,16,1824,0,1452
-224,1520,124,1541,0,1452
-200,1348,216,1379,0,1452
-144,1228,188,1250,0,1452
-68,1228,140,1237,1237,1452
68,1200,176,1214,0,1452
96,1264,152,1276,0,1452
204,960,120,988,0,1452
112,1180,304,1223,0,1452
-148,1804,76,1811,0,1452
-188,1808,64,1818,0,1452
-256,1584,380,1648,0,1452
-328,1208,316,1291,0,1452
-284,1080,140,1125,0,1452
-328,1176,312,1260,1260,1452
-452,1252,368,1381,0,1442
-572,1360,352,1516,0,1442
-752,1456,156,1646,0,1442
-852,1188,48,1462,0,1442
-764,1284,176,1504,0,1442
