X,Y,Z,G,S,AVG
-668,-288,444,852,0,1097
-756,-324,352,894,0,1097
-796,-320,312,912,0,1097
-756,-388,368,926,0,1097
-692,-380,356,866,0,1097
-884,-356,388,1028,0,1097
-884,-272,704,1162,0,1097
-708,-180,716,1022,0,1097
-592,-264,636,908,0,1097
-508,-100,900,1038,0,1097
-676,-116,964,1183,0,1097
-468,-28,1040,1140,0,1097
-544,-68,1008,1147,0,1097
-512,-32,1084,1199,0,1097
-508,-52,1060,1176,0,1097
-552,-64,1052,1189,0,1097
-520,-16,1072,1191,0,1097
-576,-8,1144,1280,0,1097
-476,-36,1100,1199,0,1097
-464,-16,1092,1186,0,1097
-456,24,1072,1165,0,1097
-476,16,1084,1184,0,1097
-464,-32,1052,1150,0,1097
-496,-16,1124,1228,0,1097
-468,-52,1116,1211,0,1097
-372,-32,1148,1207,0,1165
-444,-176,1052,1155,0,1165
-388,-64,1052,1123,0,1165
-388,-4,960,1035,0,1165
-544,-112,960,1109,0,1165
-452,-32,1092,1182,0,1165
-452,-64,1072,1165,0,1165
-420,-96,1020,1107,0,1165
-420,-80,996,1083,0,1165
-392,-84,952,1032,0,1165
-416,-4,812,912,0,1165
-360,156,768,862,0,1165
-464,268,716,894,0,1165
-512,336,708,936,0,1165
-640,472,748,1091,0,1165
-848,640,812,1337,0,1165
-912,588,828,1364,0,1165
-800,484,656,1142,0,1165
-948,512,640,1253,0,1165
-1184,572,600,1445,0,1165
-1296,632,604,1563,0,1165
-1332,524,668,1579,0,1165
-1192,416,568,1384,0,1165
-1020,256,600,1210,0,1165
-820,76,496,961,0,1165
-544,-160,408,698,0,1694
-540,-444,164,718,0,1694
-1664,-208,-36,1677,0,1694
-3524,992,-196,3666,0,1694
-2320,1628,-220,2842,0,1694
-776,1484,-360,1712,0,1694
-36,1084,-100,1089,0,1694
176,892,-244,941,0,1694
304,768,-16,826,0,1694
260,696,48,744,0,1694
396,1020,124,1101,0,1694
-708,1760,-160,1903,0,1694
-3828,1920,300,4293,0,1694
-2240,460,240,2299,0,1694
-1168,-220,220,1208,0,1694
-488,-528,240,757,0,1694
-228,-772,248,842,0,1694
36,-800,348,873,0,1694
-444,-516,252,725,0,1694
-3304,80,-100,3306,0,1694
-4036,1888,-256,4463,0,1694
-1316,1788,-296,2239,0,1694
32,1304,-240,1326,0,1694
636,944,-404,1207,0,1694
636,632,-160,910,0,1694
484,588,24,761,0,1649
356,688,196,799,0,1649
-1344,2276,-336,2664,0,1649
-4124,2108,480,4656,0,1649
-1924,560,348,2033,0,1649
-756,-264,304,856,0,1649
-388,-432,384,696,0,1649
-200,-544,284,645,0,1649
28,-592,252,644,0,1649
-96,-616,152,641,0,1649
-2240,-612,-144,2326,0,1649
-4580,1724,-372,4907,0,1649
-1736,1920,-36,2588,0,1649
-16,1328,-208,1344,0,1649
684,896,-264,1157,0,1649
764,988,-4,1248,0,1649
396,588,-8,708,0,1649
196,728,172,773,0,1649
-640,1720,-232,1849,0,1649
-4240,2628,224,4993,0,1649
-1760,620,352,1898,0,1649
-832,-228,332,924,0,1649
-360,-444,376,684,0,1649
-224,-528,444,725,0,1649
4,-644,324,720,0,1649
-324,-648,88,729,0,1631
-2664,-144,-84,2669,0,1631
-4020,1520,-436,4319,0,1631
-1568,1984,-4,2528,0,1631
-104,1164,-288,1203,0,1631
496,888,-252,1047,0,1631
492,728,-112,885,0,1631
508,748,124,912,0,1631
240,708,112,755,0,1631
-592,1552,-32,1661,0,1631
-3408,2416,28,4177,0,1631
-1920,844,304,2119,0,1631
-1044,-32,316,1091,0,1631
-596,-324,460,819,0,1631
-436,-456,480,792,0,1631
-100,-552,396,686,0,1631
-64,-564,176,594,0,1631
-1908,-320,-156,1940,0,1631
-4296,1392,-708,4571,0,1631
-2192,1328,-564,2624,0,1631
-544,1132,-488,1347,0,1631
132,816,-272,870,0,1631
448,656,-64,796,0,1631
412,636,132,769,0,1631
252,736,400,874,0,1631
304,796,-100,857,0,1525
-2108,2172,-16,3026,0,1525
-2780,1728,448,3303,0,1525
-1396,572,304,1538,0,1525
-800,64,364,881,0,1525
-572,-188,548,814,0,1525
-340,-384,668,842,0,1525
-208,-436,304,570,0,1525
-636,-516,-188,840,0,1525
-2300,164,-580,2377,0,1525
-3300,888,-592,3468,0,1525
-2176,1080,-540,2488,0,1525
-1220,1272,-468,1823,0,1525
-468,1052,-256,1179,0,1525
252,688,-80,737,0,1525
400,572,56,700,0,1525
332,620,176,724,0,1525
284,888,140,942,0,1525
-500,1392,92,1481,0,1525
-3144,2264,412,3896,0,1525
-2332,984,492,2578,0,1525
-1076,128,416,1160,0,1525
-576,-260,332,713,0,1525
-424,-384,240,620,0,1525
-176,-508,224,582,0,1525
-168,-544,128,583,0,1641
-1200,-456,-144,1291,0,1641
-4264,1340,-232,4475,0,1641
-2564,1852,-72,3163,0,1641
-544,1264,-168,1386,0,1641
364,824,-272,940,0,1641
652,588,-180,896,0,1641
604,480,-80,775,0,1641
412,672,48,789,0,1641
280,1228,-220,1278,0,1641
-3360,2864,-28,4415,0,1641
-3024,1472,420,3389,0,1641
-1064,48,268,1098,0,1641
-308,-464,192,589,0,1641
-156,-464,344,598,0,1641
56,-576,428,719,0,1641
-8,-768,304,826,0,1641
-1588,-740,108,1755,0,1641
-4772,1496,-64,5001,0,1641
-2088,2080,-168,2952,0,1641
-112,1244,-192,1263,0,1641
460,760,-84,892,0,1641
528,460,68,703,0,1641
