X,Y,Z,G,S,AVG
-156,188,1292,1314,0,1297
-164,176,1264,1286,0,1297
-164,176,1296,1318,0,1297
-168,176,1308,1330,0,1297
-168,176,1292,1314,0,1297
-160,164,1272,1292,0,1297
-164,160,1260,1280,0,1297
-160,156,1264,1283,0,1297
-160,156,1252,1271,0,1297
-144,160,1272,1290,0,1297
-156,160,1276,1295,0,1297
-160,156,1280,1299,0,1297
-176,160,1276,1297,0,1297
-180,152,1280,1301,0,1297
-96,156,1228,1241,0,1297
-104,172,1272,1287,0,1297
-128,156,1248,1264,0,1297
-156,152,1276,1294,0,1297
-164,204,1368,1392,0,1297
-144,208,1340,1363,0,1297
-124,192,1292,1312,0,1297
-156,176,1148,1171,0,1297
-80,220,1248,1269,0,1297
12,208,1284,1300,0,1297
88,260,1336,1363,0,1297
76,240,1312,1335,0,1335
96,252,1340,1366,0,1335
96,252,1336,1362,0,1335
60,256,1312,1338,0,1335
60,240,1328,1350,0,1335
36,224,1308,1327,0,1335
80,252,1292,1318,0,1335
80,252,1308,1334,0,1335
68,252,1292,1318,0,1335
76,252,1292,1318,0,1335
48,240,1312,1334,0,1335
48,256,1292,1317,0,1335
56,268,1328,1355,0,1335
68,260,1312,1339,0,1335
48,284,1328,1358,0,1335
96,280,1340,1372,0,1335
132,256,1664,1688,0,1335
76,224,1208,1230,0,1335
92,236,1276,1300,0,1335
188,252,1152,1194,0,1335
76,284,1276,1309,0,1335
-52,216,1212,1232,0,1335
64,268,1292,1321,0,1335
60,284,1292,1324,0,1335
60,268,1308,1336,0,1335
0,316,1344,1380,0,1335
60,256,1308,1334,0,1335
76,268,1308,1337,0,1335
60,256,1304,1330,0,1335
64,240,1284,1307,0,1335
92,224,1276,1298,0,1335
100,228,1252,1276,0,1335
124,204,1264,1286,0,1335
120,204,1252,1274,0,1335
100,236,1184,1211,0,1335
96,252,1264,1292,0,1335
112,268,1220,1254,0,1335
36,268,1276,1304,0,1335
60,268,1280,1309,0,1335
60,356,1280,1329,0,1335
36,432,1304,1374,0,1335
24,496,1216,1313,0,1335
-188,492,1216,1325,0,1335
-308,624,1100,1301,0,1335
-476,828,1144,1490,0,1335
-444,920,960,1401,0,1335
-436,1020,704,1313,0,1335
-576,1144,540,1390,0,1335
-608,1304,448,1506,0,1335
-424,1308,192,1388,0,1335
-436,1408,140,1480,0,1336
-444,1392,144,1468,0,1336
-352,1276,120,1329,0,1336
-284,1180,96,1217,0,1336
-256,1036,176,1081,0,1336
-256,1120,304,1188,0,1336
-288,896,324,995,0,1336
-320,972,544,1158,0,1336
-340,984,440,1130,0,1336
-372,1056,460,1210,0,1336
-400,1220,304,1319,0,1336
-484,1472,304,1579,0,1336
-480,1348,124,1436,0,1336
-544,1228,-28,1343,0,1336
-488,1408,-116,1494,0,1336
-284,1584,-252,1628,0,1336
-192,1504,-212,1530,0,1336
-128,1344,-136,1356,0,1336
-100,1176,-80,1182,0,1336
-64,1036,-40,1038,0,1336
-40,964,0,964,0,1336
-32,876,60,878,0,1336
-36,896,152,909,0,1336
-32,960,140,970,0,1336
-16,1100,176,1114,0,1336
-36,1424,76,1426,0,1253
-228,1280,368,1351,0,1253
-288,1436,412,1521,0,1253
-224,1372,252,1412,0,1253
-100,1276,144,1287,0,1253
-252,1276,304,1335,0,1253
-336,1164,384,1270,0,1253
-308,1068,352,1165,0,1253
-308,1020,352,1122,0,1253
-292,1036,280,1112,0,1253
-320,1052,184,1114,0,1253
-352,1124,60,1179,0,1253
-400,1312,-60,1372,0,1253
-516,1328,28,1424,0,1253
-356,1292,-80,1342,0,1253
-372,1660,-116,1705,0,1253
-348,1564,-68,1603,0,1253
-200,1404,-8,1418,0,1253
-124,1312,-64,1319,0,1253
-28,1216,-8,1216,0,1253
-32,1052,0,1052,0,1253
-36,1056,64,1058,0,1253
-4,1028,48,1029,0,1253
0,992,36,992,0,1253
28,972,68,974,0,1253
-16,1176,60,1177,0,1289
-92,1216,108,1224,0,1289
-156,1340,196,1363,0,1289
-132,1464,216,1485,0,1289
-100,1216,256,1246,0,1289
-68,1164,176,1179,0,1289
-272,1180,280,1242,0,1289
-388,1272,344,1373,0,1289
-324,1144,272,1219,0,1289
-352,1184,252,1260,0,1289
-432,1220,248,1317,0,1289
-448,1200,152,1289,0,1289
-388,1124,112,1194,0,1289
-528,1344,96,1447,0,1289
-464,1344,28,1422,0,1289
-436,1624,-48,1682,0,1289
-328,1592,-52,1626,0,1289
-192,1316,-48,1330,0,1289
-104,1340,-28,1344,0,1289
-64,1276,-16,1277,0,1289
-64,1148,56,1151,0,1289
-36,988,28,989,0,1289
24,944,60,946,0,1289
60,932,28,934,0,1289
28,928,152,940,0,1289
44,1216,140,1224,0,1283
-68,1376,100,1381,0,1283
-132,1472,192,1490,0,1283
-160,1568,144,1582,0,1283
-208,1372,184,1399,0,1283
-180,1144,172,1170,0,1283
-264,1216,152,1253,0,1283
-296,1180,152,1226,0,1283
-336,1084,196,1151,0,1283
-324,1008,216,1080,0,1283
-384,1148,184,1224,0,1283
-384,1264,124,1326,0,1283
-404,1284,76,1348,0,1283
-532,1456,132,1555,0,1283
-452,1144,216,1248,0,1283
-380,1572,0,1617,0,1283
-348,1564,60,1603,0,1283
-212,1408,76,1425,0,1283
-132,1388,-8,1394,0,1283
-72,1328,-8,1329,0,1283
-40,1164,56,1166,0,1283
-32,992,96,997,0,1283
-28,956,88,960,0,1283
36,960,88,964,0,1283
60,864,128,875,0,1283
48,1052,176,1067,0,1259
-64,1292,124,1299,0,1259
-144,1404,204,1426,0,1259
-164,1584,224,1608,0,1259
-156,1368,160,1386,0,1259
-100,1156,128,1167,0,1259
-180,1180,132,1200,0,1259
-196,1240,188,1269,0,1259
-272,1120,140,1161,0,1259
-392,1084,304,1192,0,1259
-400,1180,224,1265,0,1259
-448,1284,108,1364,0,1259
-528,1180,100,1296,0,1259
-624,1488,12,1613,0,1259
-540,1240,36,1352,0,1259
-436,1472,-48,1535,0,1259
-320,1456,-92,1493,0,1259
-240,1356,28,1377,0,1259
-136,1360,-40,1367,0,1259
-116,1376,-48,1381,0,1259
-16,1216,-4,1216,0,1259
-72,1080,28,1082,0,1259
-40,1084,56,1086,0,1259
24,1040,24,1040,0,1259
48,928,60,931,0,1259
32,1136,156,1147,0,1277
-144,1408,152,1423,0,1277
-128,1216,316,1262,0,1277
48,1392,192,1405,0,1277
-64,1284,204,1301,0,1277
-124,1124,184,1145,0,1277
-180,1188,252,1227,0,1277
-272,1264,252,1317,0,1277
-360,1208,352,1308,0,1277
-372,1184,356,1291,0,1277
-416,1228,268,1323,0,1277
-544,1272,176,1394,0,1277
-512,1136,124,1252,0,1277
-624,1536,32,1658,0,1277
-468,1316,-36,1397,0,1277
-384,1488,-196,1549,0,1277
-372,1404,-244,1472,0,1277
-264,1208,-224,1256,0,1277
-144,1328,-308,1370,0,1277
-72,1356,-232,1377,0,1277
-208,1216,-132,1240,0,1277
-272,1136,-32,1168,0,1277
-176,1020,-100,1039,0,1277
-60,928,-104,935,0,1277
-64,928,28,930,0,1277
-68,892,108,901,0,1267
-60,1120,156,1132,0,1267
-164,1336,160,1355,0,1267
-196,1148,336,1212,0,1267
-104,1380,380,1435,0,1267
-92,1228,280,1262,0,1267
-84,1188,216,1210,0,1267
-196,1312,284,1356,0,1267
-288,1348,348,1421,0,1267
-388,1240,416,1364,0,1267
-380,1104,400,1234,0,1267
-356,1116,380,1231,0,1267
-356,1156,224,1230,1230,1267
-380,1120,184,1196,1230,1267
-340,1188,28,1236,0,1267
-388,1472,-160,1530,0,1267
-392,1308,-180,1377,0,1267
-196,1404,-488,1499,0,1267
-232,1372,-264,1416,0,1267
-284,1340,-244,1391,0,1267
-180,1308,-144,1328,0,1267
-168,1244,-136,1262,0,1267
-200,1208,-128,1231,0,1267
-180,1244,-96,1260,1260,1267
-144,1164,-36,1173,0,1267
-132,1132,12,1139,0,1264
-52,1052,96,1057,0,1264
60,960,76,964,0,1264
-16,1124,132,1131,0,1264
-144,1048,312,1102,0,1264
-136,1360,204,1381,0,1264
-116,1336,144,1348,0,1264
-52,1148,224,1170,0,1264
-92,1088,268,1124,0,1264
-132,1072,252,1109,0,1264
-220,1056,368,1139,0,1264
-208,1072,380,1156,0,1264
-208,1148,332,1213,0,1264
-296,1276,300,1343,0,1264
-384,1344,204,1412,0,1264
-436,1412,128,1483,0,1264
-576,1468,204,1590,0,1264
-420,1276,96,1346,0,1264
-388,1420,0,1472,0,1264
-308,1356,28,1390,0,1264
-228,1184,48,1206,0,1264
-224,1216,32,1236,0,1264
-128,1200,-28,1207,1207,1264
-64,1052,56,1055,1207,1264
-72,992,176,1010,0,1264
-52,972,120,980,0,1234
-4,1036,80,1039,0,1234
-4,1016,156,1027,0,1234
96,1164,132,1175,0,1234
-52,1404,96,1408,0,1234
-124,1284,256,1315,0,1234
-40,1476,160,1485,0,1234
-32,1252,124,1258,0,1234
-72,1020,216,1045,0,1234
-80,972,184,992,0,1234
