X,Y,Z,G,S,AVG
204,288,1284,1331,0,0
156,284,1248,1289,0,0
192,252,1276,1314,0,0
216,316,1272,1328,0,0
196,364,1228,1295,0,0
160,292,1272,1314,0,0
164,192,1316,1340,0,0
192,224,1304,1336,0,0
140,304,1376,1416,0,0
120,416,1368,1434,0,0
176,292,1328,1371,0,0
192,292,1276,1322,0,0
112,260,1340,1369,0,0
176,288,1276,1319,0,0
0,704,1520,1675,0,0
88,324,1276,1319,0,0
32,324,1308,1347,0,0
124,412,1272,1342,0,0
96,412,1228,1298,0,0
76,384,1216,1277,0,0
124,384,1228,1292,0,0
96,432,1276,1350,0,0
124,432,1248,1326,0,0
124,416,1276,1347,0,0
124,396,1276,1341,0,0
88,448,1228,1310,0,1333
92,388,1272,1333,0,1333
204,356,1228,1294,0,1333
124,344,1120,1178,0,1333
80,384,1260,1319,0,1333
108,380,1264,1324,0,1333
-32,260,1084,1115,0,1333
96,368,1272,1327,0,1333
96,352,1260,1311,0,1333
96,376,1264,1322,0,1333
120,384,1308,1368,0,1333
88,480,1284,1373,0,1333
140,396,1292,1358,0,1333
128,332,1248,1297,0,1333
112,356,1228,1283,0,1333
96,352,1180,1235,0,1333
100,384,1272,1332,0,1333
120,400,1276,1342,0,1333
124,396,1284,1349,0,1333
196,460,1264,1359,0,1333
128,420,1248,1322,0,1333
124,492,1208,1310,0,1333
92,548,1132,1261,0,1333
36,560,1112,1245,0,1333
32,472,1100,1197,0,1333
28,480,1088,1189,0,1293
-100,452,1072,1167,0,1293
-156,496,984,1112,0,1293
-292,508,896,1070,0,1293
-412,608,732,1036,0,1293
-644,736,580,1137,0,1293
-1000,768,624,1406,0,1293
-708,1084,432,1364,0,1293
-928,1144,196,1486,0,1293
-900,1400,48,1665,0,1293
-868,1548,0,1774,0,1293
-800,1404,64,1617,0,1293
-676,1192,112,1374,0,1293
-516,1148,64,1260,0,1293
-388,1136,-8,1200,0,1293
-260,1088,32,1119,0,1293
-252,1104,60,1133,0,1293
-336,1264,128,1314,0,1293
-484,1276,96,1368,0,1293
-572,1184,124,1320,0,1293
-392,1596,336,1677,0,1293
-628,1392,204,1540,0,1293
-484,1656,216,1738,0,1293
-72,1708,-272,1731,0,1293
-64,1760,-208,1773,0,1293
32,1184,-356,1236,0,1360
-80,1144,-160,1157,0,1360
-136,1156,56,1165,0,1360
-288,1040,188,1095,0,1360
-116,1092,-112,1103,0,1360
28,1060,-100,1065,0,1360
-232,1228,60,1251,0,1360
240,1472,-416,1548,0,1360
316,2180,-156,2208,0,1360
-228,2252,-72,2264,0,1360
-676,1540,96,1684,0,1360
-640,1164,140,1335,0,1360
-544,1144,128,1273,0,1360
-628,1092,36,1260,0,1360
-796,1008,32,1284,0,1360
-1056,944,56,1417,0,1360
-1020,1036,196,1467,0,1360
-776,1408,64,1608,0,1360
-832,2352,-520,2548,0,1360
-348,2180,-528,2269,0,1360
-316,1804,-100,1834,0,1360
-508,1868,-160,1942,0,1360
-356,1636,-244,1691,0,1360
12,1436,-284,1463,0,1360
184,1292,-296,1338,0,1360
24,1004,-16,1004,0,1524
124,984,76,994,0,1524
28,1520,48,1521,0,1524
-288,2032,140,2057,0,1524
-412,2060,140,2105,0,1524
-520,1900,248,1985,0,1524
-756,1420,316,1639,0,1524
-800,1184,216,1445,0,1524
-612,1376,60,1507,0,1524
-700,1292,76,1471,0,1524
-884,1020,128,1355,0,1524
-1052,1052,332,1524,0,1524
-1060,1136,384,1600,0,1524
-924,1764,-16,1991,0,1524
-388,2148,-68,2183,0,1524
-476,1668,112,1738,0,1524
-484,1512,176,1597,0,1524
-320,1420,60,1456,0,1524
-124,1456,-96,1464,0,1524
48,1228,-192,1243,0,1524
108,1164,-180,1182,0,1524
28,1016,36,1017,0,1524
-148,1440,12,1447,0,1524
-420,1760,216,1822,0,1524
-352,1776,204,1822,0,1524
-452,1540,224,1620,0,1615
-832,1344,252,1600,0,1615
-756,1284,252,1511,0,1615
-616,1292,252,1453,0,1615
-672,1276,284,1469,0,1615
-860,1144,332,1469,0,1615
-924,928,572,1429,0,1615
-1028,1216,448,1654,0,1615
-884,1856,28,2055,0,1615
-592,1952,-100,2042,0,1615
-448,1720,56,1778,0,1615
-372,1532,92,1579,0,1615
-260,1340,28,1365,0,1615
96,1336,-160,1348,0,1615
240,1292,-316,1351,0,1615
-52,1052,-72,1055,0,1615
-208,988,384,1080,0,1615
-52,1308,-80,1311,0,1615
-116,1848,48,1852,0,1615
-388,2000,416,2079,0,1615
-384,1776,280,1838,0,1615
-736,1412,260,1613,0,1615
-868,1100,332,1440,0,1615
-612,1100,228,1279,0,1615
-592,1208,224,1363,0,1615
-784,1112,204,1375,0,1534
-964,1216,268,1574,0,1534
-868,1048,288,1390,0,1534
-916,1712,-116,1945,0,1534
-576,2032,-448,2159,0,1534
-400,1728,-144,1779,0,1534
-368,1412,4,1459,0,1534
-308,1228,68,1267,0,1534
-180,1228,-32,1241,0,1534
60,1228,-160,1239,0,1534
-4,1216,-220,1235,0,1534
-96,1184,-60,1189,0,1534
-80,1084,124,1093,0,1534
-208,1584,88,1600,0,1534
-412,1984,224,2038,0,1534
-452,1740,356,1832,0,1534
-508,1408,320,1530,0,1534
-580,1100,252,1268,0,1534
-612,1136,224,1309,0,1534
-636,1212,164,1378,0,1534
-784,1272,156,1502,0,1534
-912,1120,140,1451,0,1534
-820,1020,316,1346,0,1534
-832,1276,288,1550,0,1534
-904,2000,-52,2195,0,1534
-592,1980,-128,2070,0,1548
-308,1628,36,1657,0,1548
-328,1412,32,1449,0,1548
-228,1276,12,1296,0,1548
60,1276,-220,1296,0,1548
140,1148,-308,1196,0,1548
12,1184,-292,1219,0,1548
28,1020,-100,1025,0,1548
80,1504,-40,1506,0,1548
-156,2072,-52,2078,0,1548
-436,2204,128,2250,0,1548
-528,1784,320,1887,0,1548
-572,1424,272,1558,0,1548
-564,1072,316,1251,0,1548
-564,976,388,1192,0,1548
-596,932,384,1171,0,1548
-692,1052,352,1307,0,1548
-744,944,320,1243,0,1548
-612,1116,368,1324,0,1548
-404,1336,216,1412,0,1548
-292,1956,-208,1988,0,1548
164,2012,-564,2095,0,1548
156,1664,-360,1709,0,1548
92,1392,-228,1413,0,1548
-96,1248,-196,1266,0,1548
-196,1156,-164,1183,1183,1456
-380,1020,-64,1090,1183,1456
-584,1040,56,1194,0,1456
-456,1152,36,1239,0,1456
-416,1120,160,1205,0,1456
