X,Y,Z,G,S,AVG
-772,-612,416,1069,0,0
-884,-576,388,1124,0,0
-528,-484,536,894,0,0
-240,-324,836,928,0,0
-380,-192,1164,1239,0,0
-224,-192,1228,1262,0,0
-220,-116,1188,1213,0,0
-196,-32,1324,1338,0,0
-160,-20,1284,1294,0,0
-156,12,1312,1321,0,0
-164,-16,1292,1302,0,0
-164,12,1292,1302,0,0
-164,44,1308,1318,0,0
-168,36,1264,1275,0,0
-116,56,1276,1282,0,0
-136,60,1284,1292,0,0
-136,60,1284,1292,0,0
-168,80,1308,1321,0,0
-156,60,1304,1314,0,0
-180,68,1308,1322,0,0
-156,32,1308,1317,0,0
-164,60,1276,1287,0,0
-36,172,1340,1351,0,0
-180,88,1264,1279,0,0
-144,80,1248,1258,0,0
-180,68,1272,1286,0,0
-160,60,1276,1287,0,0
-196,80,1280,1297,0,0
-148,68,1308,1318,0,0
-144,48,1304,1312,0,0
-176,16,1276,1288,0,0
-132,76,1264,1273,0,0
-96,76,1228,1234,0,0
-176,24,1120,1133,0,0
-124,88,1276,1285,0,0
-92,76,1244,1249,0,0
-200,-100,1084,1106,0,0
-144,-16,1344,1351,0,0
-136,-64,1392,1400,0,0
-228,140,1424,1448,0,0
-144,56,1248,1257,0,0
-136,28,1188,1196,1257,0
-128,28,1184,1191,0,0
-124,36,1196,1202,0,0
-116,44,1244,1250,0,0
-128,68,1216,1224,0,0
-112,60,1308,1314,0,0
-124,60,1304,1311,0,0
-116,32,1292,1297,0,0
-116,48,1304,1310,0,0
-124,60,1292,1299,0,0
-116,60,1292,1298,0,0
-124,48,1292,1298,0,0
-96,44,1276,1280,0,0
-116,44,1232,1238,0,0
-112,32,1276,1281,0,0
-128,28,1276,1282,0,0
-144,24,1272,1280,0,0
-104,-40,1212,1217,0,0
-200,-92,1244,1263,0,0
-256,-96,1248,1277,0,0
-260,-128,1216,1250,0,0
-320,-116,1228,1274,0,0
-372,-100,1176,1237,0,0
-424,-80,1148,1226,0,0
-372,-84,992,1062,0,0
-328,-28,920,977,0,0
-288,96,768,825,0,0
-136,284,704,771,0,0
-104,496,480,698,0,0
-416,816,508,1047,0,0
-1092,1036,572,1610,0,0
-900,1120,460,1508,0,0
-1288,1292,704,1955,1508,0
-1576,1176,796,2121,0,0
-1320,1080,688,1839,0,0
-1280,796,304,1537,0,0
-1440,432,48,1504,0,0
-1088,-80,-144,1100,0,0
-656,-452,-72,799,0,0
-352,-452,-72,577,0,0
-388,-304,76,498,0,0
-1748,164,-916,1980,0,0
-4736,1444,-2276,5449,0,0
-3196,1996,-2184,4355,0,0
-872,2072,-872,2411,4355,0
780,1184,-288,1446,0,0
960,1028,100,1410,0,0
796,1376,300,1617,0,0
384,1276,284,1362,0,0
100,1216,-4,1220,0,0
-1984,2244,-400,3021,0,0
-4688,1728,-1332,5170,0,0
-2820,668,-868,3025,0,0
-192,-296,-132,376,3025,0
644,-1024,124,1216,0,0
444,-672,580,992,0,0
224,-464,444,680,0,0
-60,-336,408,531,0,0
-1088,-156,28,1099,0,0
-5408,348,-1500,5622,0,0
-4276,1444,-1764,4845,0,0
-820,1560,-1188,2125,4845,0
1072,1248,-388,1690,0,0
1100,1564,284,1933,0,0
832,1336,156,1581,0,0
368,1344,-16,1393,0,0
-256,1356,-324,1417,0,0
-4648,1984,-1652,5316,0,0
-3664,736,-1212,3928,0,0
-864,-32,-356,935,3928,0
356,-992,124,1061,0,0
560,-848,528,1145,0,0
504,-592,492,920,0,0
152,-400,384,574,0,0
-1212,-532,-324,1362,0,0
-5904,-124,-1268,6039,0,0
-3472,896,-1220,3787,0,0
-196,1440,-820,1668,3787,0
768,1468,-384,1700,0,0
