X,Y,Z,G,S,AVG
-292,608,1088,1280,0,1280
-284,572,1060,1237,0,1280
-276,608,1084,1273,0,1280
-308,608,1100,1294,0,1280
-308,608,1092,1287,0,1280
-288,604,1088,1277,0,1280
-308,624,1092,1294,0,1280
-288,608,1072,1265,0,1280
-288,624,1088,1286,0,1280
-284,632,1072,1276,0,1280
-308,608,1084,1280,0,1280
-288,612,1084,1277,0,1280
-308,632,1092,1298,0,1280
-308,640,1100,1309,0,1280
-304,636,1084,1293,0,1280
-292,608,1084,1276,0,1280
-288,608,1052,1248,0,1280
-288,632,1072,1277,0,1280
-272,632,1084,1283,0,1280
-296,640,1112,1316,0,1280
-296,624,1084,1285,0,1280
-296,624,1084,1285,0,1280
-260,636,1056,1259,0,1280
-288,608,1084,1275,0,1280
-264,636,1084,1284,0,1280
-132,860,1216,1495,0,1277
-368,504,1004,1182,0,1277
-264,608,1020,1216,0,1277
-256,612,1036,1230,0,1277
-260,636,1020,1229,0,1277
-352,576,1088,1280,0,1277
-288,612,1072,1267,0,1277
-320,620,1084,1289,0,1277
-288,612,1088,1281,0,1277
-288,608,1036,1235,0,1277
-304,636,1100,1306,0,1277
-296,624,1116,1312,0,1277
-292,632,1100,1301,0,1277
-228,668,1072,1283,0,1277
-296,624,1052,1258,0,1277
-284,632,1052,1259,0,1277
-292,624,1080,1281,0,1277
-288,612,1100,1291,0,1277
-320,620,1112,1312,0,1277
-288,612,1092,1284,0,1277
-292,612,1100,1292,0,1277
-288,632,1084,1287,0,1277
-288,580,1008,1198,0,1277
-292,612,1072,1268,0,1277
-324,612,1088,1289,0,1277
-320,624,1088,1294,0,1292
-284,624,1016,1225,0,1292
-288,636,1084,1289,0,1292
-272,612,1080,1270,0,1292
-276,636,1088,1290,0,1292
-256,644,1084,1286,0,1292
-272,624,1072,1269,0,1292
-296,636,1100,1304,0,1292
-288,636,1092,1296,0,1292
-296,636,1088,1294,0,1292
-308,592,1016,1215,0,1292
-292,636,1088,1293,0,1292
-272,636,1084,1285,0,1292
-284,632,1080,1283,0,1292
-276,624,1072,1270,0,1292
-284,604,1048,1242,0,1292
-284,636,1088,1291,0,1292
-256,636,1088,1285,0,1292
-292,636,1084,1290,0,1292
-284,624,1020,1228,0,1292
-284,624,1092,1289,0,1292
-288,632,1072,1277,0,1292
-288,624,1084,1283,0,1292
-372,952,1328,1675,0,1292
-288,624,1084,1283,0,1292
-284,632,1080,1283,0,1280
-272,636,1092,1292,0,1280
-272,624,1080,1276,0,1280
-272,608,1020,1218,0,1280
-288,636,1084,1289,0,1280
-284,636,1084,1288,0,1280
-276,636,1072,1276,0,1280
-276,608,1020,1219,0,1280
-296,624,1080,1281,0,1280
-288,620,1084,1281,0,1280
-308,608,1084,1280,0,1280
-164,752,1212,1435,0,1280
-308,612,1088,1285,0,1280
-304,608,1088,1282,0,1280
-304,604,1084,1277,0,1280
-288,608,1088,1279,0,1280
-308,572,1036,1222,0,1280
-304,576,1100,1278,0,1280
-308,580,1084,1267,0,1280
-320,588,1088,1277,0,1280
-276,636,1072,1276,0,1280
-320,608,1080,1280,0,1280
-292,608,1052,1249,0,1280
-336,612,1092,1296,0,1280
-356,668,1104,1338,0,1280
-352,632,1084,1303,0,1277
-372,668,1112,1349,0,1277
-352,664,1080,1315,0,1277
-316,676,1036,1276,0,1277
-256,708,912,1182,0,1277
-244,764,944,1238,0,1277
-256,780,912,1227,0,1277
-284,824,972,1305,0,1277
-244,856,960,1309,0,1277
-160,796,960,1257,0,1277
-144,772,952,1234,0,1277
-180,780,972,1259,0,1277
-244,768,1016,1296,0,1277
-244,752,964,1246,0,1277
-244,772,1020,1302,0,1277
-244,780,1020,1307,0,1277
-232,812,992,1302,0,1277
-188,844,960,1292,0,1277
-188,768,1008,1281,0,1277
-156,768,996,1267,0,1277
-200,768,1020,1292,0,1277
-244,780,992,1285,0,1277
-256,764,1004,1287,0,1277
-240,780,984,1278,0,1277
-228,716,988,1241,0,1277
-252,708,1036,1279,0,1280
-264,704,988,1241,0,1280
-272,740,1084,1340,0,1280
-284,728,1080,1333,0,1280
-244,704,972,1224,0,1280
-208,716,1016,1260,0,1280
-244,608,1008,1202,0,1280
-288,548,960,1142,0,1280
-288,600,1008,1207,0,1280
-168,612,896,1097,0,1280
60,572,600,831,0,1280
88,772,416,881,0,1280
-256,1216,368,1296,0,1280
-244,1424,152,1452,0,1280
-272,1584,92,1609,0,1280
-288,1516,92,1545,0,1280
-336,1436,28,1475,0,1280
-328,1392,-16,1430,0,1280
-264,1344,-16,1369,0,1280
-240,1264,120,1292,0,1280
-208,1292,176,1320,0,1280
-212,1248,192,1280,0,1280
-336,1260,156,1313,0,1280
-456,1220,156,1311,0,1280
-540,1148,188,1282,0,1280
-572,1072,128,1221,0,1392
-804,1148,228,1419,0,1392
-756,1340,-64,1539,0,1392
-496,1868,-544,2007,0,1392
-244,2244,-956,2451,0,1392
-148,2044,-564,2125,0,1392
-316,1760,-244,1804,0,1392
-328,1456,-188,1504,0,1392
-192,1072,-124,1096,0,1392
-32,752,-36,753,0,1392
12,608,56,610,0,1392
36,624,44,626,0,1392
28,800,32,801,0,1392
12,1180,68,1182,0,1392
-100,1616,140,1625,0,1392
-116,1840,-4,1843,0,1392
-192,2016,160,2031,0,1392
-148,2044,-168,2056,0,1392
-288,1612,-116,1641,0,1392
-388,1228,16,1287,0,1392
-420,1068,88,1150,0,1392
-368,960,120,1035,0,1392
-288,876,172,938,0,1392
-296,932,164,991,0,1392
-352,1004,124,1071,0,1392
-452,1104,68,1194,0,1338
-592,1372,44,1494,0,1338
-544,1340,56,1447,0,1338
-456,1636,-156,1705,0,1338
-328,1852,-412,1925,0,1338
-228,1932,-244,1960,0,1338
-144,1660,-144,1672,0,1338
-160,1328,-40,1338,0,1338
-36,1100,48,1101,0,1338
-4,908,48,909,0,1338
64,800,24,802,0,1338
60,748,-16,750,0,1338
48,728,-16,729,0,1338
-16,1120,48,1121,0,1338
-180,1504,60,1515,0,1338
-288,1996,-28,2016,0,1338
-228,1892,-68,1906,0,1338
48,1796,-32,1796,0,1338
-288,1248,28,1281,0,1338
