G,T,D,S
1396,200.0,0,0
1458,200.0,0,0
1095,200.0,62,0
1310,200.0,0,0
1392,200.0,0,0
1255,200.0,297,0
1394,200.0,0,0
1265,200.0,139,0
1612,200.0,0,0
1438,200.0,347,0
1260,200.0,0,0
1263,200.0,0,0
1244,200.0,3,0
1323,200.0,0,0
1440,200.0,0,0
1578,200.0,0,1578
1268,200.0,334,0
1051,200.0,0,0
1364,200.0,0,0
1359,200.0,313,0
1285,200.0,0,0
1274,200.0,0,0
1215,200.0,0,0
1195,200.0,0,0
1236,200.0,0,0
1229,200.0,41,0
1218,200.0,0,0
1211,200.0,0,0
1226,200.0,0,0
1217,200.0,15,0
1248,200.0,0,0
1224,200.0,31,0
1244,200.0,0,0
1207,200.0,20,0
1249,200.0,0,0
1222,200.0,42,0
1239,200.0,0,0
1324,200.0,0,0
1598,200.0,0,1598
1136,200.0,376,0
926,200.0,0,0
1294,200.0,0,0
1223,200.0,368,0
1146,200.0,0,0
1217,200.0,0,0
1209,200.0,71,0
1204,200.0,0,0
1250,200.0,0,0
1198,200.0,46,0
1181,200.0,0,0
1216,200.0,0,0
1212,200.0,35,0
1298,200.0,0,0
1235,200.0,86,0
1237,200.0,0,0
1211,200.0,2,0
1211,200.0,0,0
1198,200.0,0,0
1175,200.0,0,0
1271,200.0,0,0
1184,200.0,96,0
1199,200.0,0,0
1205,200.0,0,0
1189,200.0,21,0
1234,200.0,0,0
1191,200.0,45,0
1256,200.0,0,0
1217,200.0,65,0
1228,200.0,0,0
1225,200.0,11,0
1239,200.0,0,0
1225,200.0,14,0
1196,200.0,0,0
1264,200.0,0,0
1161,200.0,68,0
1167,200.0,0,0
1162,200.0,6,0
1178,200.0,0,0
1237,200.0,0,0
1245,200.0,0,0
1181,200.0,83,0
1189,200.0,0,0
1353,200.0,0,0
1218,200.0,172,0
1259,200.0,0,0
1169,200.0,41,0
1205,200.0,0,0
1179,200.0,36,0
1181,200.0,0,0
1215,200.0,0,0
1178,200.0,36,0
1236,200.0,0,0
1246,200.0,0,0
1235,200.0,68,0
1227,200.0,0,0
1262,200.0,0,0
1370,200.0,0,0
1261,130.0,143,0
1262,130.0,0,0
1181,130.0,1,0
1185,130.0,0,0
1212,130.0,0,0
1170,130.0,31,0
1312,130.0,0,1312
1159,130.0,142,0
1186,130.0,0,0
1245,130.0,0,0
1212,130.0,86,0
1243,130.0,0,0
1208,130.0,31,0
1404,130.0,0,1404
1187,130.0,196,0
1225,130.0,0,0
1262,130.0,0,0
1192,130.0,75,0
1214,130.0,0,0
1197,130.0,22,0
1208,130.0,0,0
1192,130.0,11,0
1247,130.0,0,0
1203,130.0,55,0
1187,130.0,0,0
1233,130.0,0,0
1195,130.0,46,0
1269,130.0,0,0
1200,130.0,74,0
1203,130.0,0,0
1130,130.0,3,0
1021,130.0,0,0
909,130.0,0,0
826,130.0,0,0
809,130.0,0,0
1098,130.0,0,0
2186,130.0,0,2186
1920,130.0,1377,0
1587,130.0,0,0
1435,130.0,0,0
1179,130.0,0,0
900,130.0,0,0
1075,130.0,0,0
1169,130.0,0,1169
1116,230.0,269,0
1121,230.0,0,0
1146,230.0,0,0
1099,230.0,30,0
1136,230.0,0,0
1216,230.0,0,0
1406,230.0,0,1406
1344,130.0,307,0
1248,130.0,0,0
1464,130.0,0,0
1542,130.0,0,0
1298,130.0,294,0
1141,130.0,0,0
1428,130.0,0,1428
1373,130.0,287,0
1484,130.0,0,0
2050,130.0,0,0
2439,130.0,0,0
2425,130.0,1066,0
1797,130.0,0,0
1479,130.0,0,0
1428,130.0,0,0
1498,130.0,0,0
1506,130.0,0,0
1604,130.0,0,0
1726,130.0,0,0
2094,130.0,0,0
2584,130.0,0,2584
2280,130.0,1156,0
1641,130.0,0,0
1243,130.0,0,0
1423,130.0,0,0
1829,130.0,0,0
1767,130.0,586,0
1965,130.0,0,0
2421,130.0,0,0
3088,130.0,0,3088
2324,230.0,1321,0
2093,230.0,0,0
1917,230.0,0,0
1610,230.0,0,0
1343,230.0,0,0
1350,230.0,0,0
1178,230.0,7,0
1354,230.0,0,0
1932,230.0,0,0
2730,230.0,0,2730
2599,230.0,1552,0
1775,230.0,0,0
1653,230.0,0,0
1374,230.0,0,0
1287,230.0,0,0
1755,230.0,0,0
1819,230.0,0,0
2330,230.0,0,0
2470,230.0,0,0
2627,230.0,0,2627
1735,230.0,1340,0
1453,230.0,0,0
1673,230.0,0,0
1730,230.0,0,0
1779,230.0,0,0
1526,230.0,326,0
1373,230.0,0,0
1226,230.0,0,0
1726,230.0,0,0
2226,230.0,0,0
2524,230.0,0,0
2582,230.0,0,2582
1519,230.0,1356,0
1349,230.0,0,0
1529,230.0,0,0
1435,230.0,180,0
1269,230.0,0,0
1985,230.0,0,0
2762,230.0,0,2762
2506,230.0,1493,0
1976,230.0,0,0
1887,230.0,0,0
1802,230.0,0,0
1626,230.0,0,0
1406,230.0,0,0
1274,230.0,0,0
1163,230.0,0,0
1085,230.0,0,0
1638,230.0,0,0
2016,230.0,0,0
2218,230.0,0,0
2359,230.0,0,2359
2096,230.0,1274,0
1612,230.0,0,0
1711,230.0,0,0
1707,230.0,99,0
1375,230.0,0,0
1776,230.0,0,0
2118,230.0,0,0
2470,230.0,0,2470
1992,230.0,1095,0
1697,230.0,0,0
1706,230.0,0,0
1523,230.0,9,0
1524,230.0,0,0
1443,230.0,1,0
1197,230.0,0,0
1113,230.0,0,0
1178,230.0,0,0
1545,230.0,0,0
1668,230.0,0,0
1814,230.0,0,1814
1754,230.0,701,0
1877,230.0,0,0
1974,230.0,0,0
1829,230.0,220,0
1618,230.0,0,0
1672,230.0,0,0
1722,230.0,0,0
2055,230.0,0,2055
1828,200.0,437,0
1447,200.0,0,0
1505,200.0,0,0
1614,200.0,0,0
1605,200.0,167,0
1419,200.0,0,0
1447,200.0,0,0
1159,200.0,28,0
1359,200.0,0,0
1621,200.0,0,1621
1533,200.0,462,0
1275,200.0,0,0
1368,200.0,0,0
1625,200.0,0,0
2178,200.0,0,0
2026,200.0,903,0
1489,200.0,0,0
1504,200.0,0,0
1908,200.0,0,0
2081,200.0,0,0
2622,200.0,0,2622
2184,200.0,1133,0
1759,200.0,0,0
1676,200.0,0,0
1631,200.0,0,0
1401,200.0,0,0
1108,200.0,0,0
783,200.0,0,0
864,200.0,0,0
1055,200.0,0,0
1653,200.0,0,0
