G,T,D,S
878,200.0,0,0
892,200.0,0,0
856,200.0,0,0
864,200.0,0,0
901,200.0,0,0
898,200.0,45,0
892,200.0,0,0
885,200.0,0,0
903,200.0,0,0
850,200.0,0,0
887,200.0,0,0
908,200.0,0,0
890,200.0,58,0
890,200.0,0,0
877,200.0,0,0
867,200.0,0,0
877,200.0,0,0
865,200.0,0,0
890,200.0,0,0
882,200.0,0,0
885,200.0,0,0
873,200.0,0,0
876,200.0,0,0
726,200.0,0,0
793,200.0,0,0
916,200.0,0,0
791,200.0,190,0
955,200.0,0,0
969,200.0,0,0
797,200.0,178,0
916,200.0,0,0
874,200.0,0,0
914,200.0,0,0
877,200.0,0,0
894,200.0,0,0
889,200.0,0,0
882,200.0,0,0
875,200.0,0,0
878,200.0,0,0
869,200.0,0,0
900,200.0,0,0
878,200.0,0,0
766,200.0,0,0
799,200.0,0,0
686,200.0,0,0
583,200.0,0,0
402,200.0,0,0
467,200.0,0,0
716,200.0,0,716
680,200.0,314,0
896,200.0,0,0
1071,200.0,0,0
1233,200.0,0,0
1235,200.0,0,0
1361,200.0,0,0
1382,200.0,0,0
1420,200.0,0,1420
1327,200.0,740,0
1237,200.0,0,0
1228,200.0,0,0
1152,200.0,0,0
1195,200.0,0,0
1416,200.0,0,1416
1087,200.0,264,0
1182,200.0,0,0
1102,200.0,95,0
1053,200.0,0,0
1089,200.0,0,0
1152,200.0,0,0
1161,200.0,0,0
1198,200.0,0,0
1145,200.0,145,0
1133,200.0,0,0
1129,200.0,0,0
1129,200.0,0,0
1111,200.0,0,0
1145,200.0,0,0
1152,200.0,0,0
1117,200.0,41,0
1117,200.0,0,0
1138,200.0,0,0
1149,200.0,0,0
1368,200.0,0,1368
1260,200.0,251,0
1147,200.0,0,0
990,200.0,0,0
866,200.0,0,0
894,200.0,0,0
1023,200.0,0,0
1476,200.0,0,0
1767,200.0,0,0
2574,200.0,0,0
2819,200.0,0,2819
2095,200.0,1953,0
1456,200.0,0,0
