G,T
1146,200.0
1088,200.0
1090,200.0
1086,200.0
1094,200.0
1108,200.0
1104,200.0
1114,200.0
1097,200.0
1114,200.0
1109,200.0
1095,200.0
1100,200.0
1123,200.0
1119,200.0
1111,200.0
1106,200.0
1098,200.0
1115,200.0
1090,200.0
1099,200.0
1123,200.0
1118,200.0
1090,200.0
1113,200.0
1071,200.0
1080,200.0
1006,200.0
1031,200.0
1074,200.0
1063,200.0
877,200.0
1120,200.0
1100,200.0
1093,200.0
1108,200.0
1076,200.0
1097,200.0
1099,200.0
1115,200.0
1080,200.0
1121,200.0
1107,200.0
1248,200.0
1082,200.0
1099,200.0
1089,200.0
1099,200.0
1115,200.0
1097,200.0
1102,200.0
1107,200.0
1106,200.0
1085,200.0
1106,200.0
1137,200.0
1089,200.0
1086,200.0
1136,200.0
1084,200.0
1018,200.0
1047,200.0
1047,200.0
1083,200.0
1100,200.0
1087,200.0
1145,200.0
1054,200.0
1120,200.0
1183,200.0
1132,200.0
1105,200.0
1091,200.0
1063,200.0
1018,200.0
1040,200.0
1128,200.0
1130,200.0
1102,200.0
1071,200.0
1124,200.0
1136,200.0
1114,200.0
1121,200.0
1105,200.0
1112,200.0
1142,200.0
1239,200.0
1155,200.0
1237,200.0
1288,200.0
1309,200.0
1465,200.0
1276,200.0
1214,200.0
1151,200.0
1114,200.0
1032,200.0
1002,200.0
1020,200.0
1091,200.0
1214,200.0
1492,200.0
2096,200.0
2186,200.0
2354,200.0
2116,200.0
2092,200.0
1467,200.0
1007,200.0
832,200.0
710,200.0
614,200.0
760,200.0
1345,200.0
2252,200.0
2475,200.0
2613,200.0
2085,230.0
1673,230.0
1369,230.0
1012,230.0
902,230.0
883,230.0
966,230.0
1141,230.0
1419,230.0
1912,230.0
2084,230.0
2226,230.0
2069,230.0
1844,230.0
1650,230.0
1415,230.0
1107,230.0
914,230.0
924,230.0
925,230.0
1270,230.0
1422,230.0
1779,230.0
1711,230.0
1651,230.0
1640,230.0
1502,230.0
1342,230.0
1425,230.0
1380,230.0
1475,230.0
1636,230.0
1707,230.0
1663,200.0
1798,200.0
1930,200.0
1757,200.0
1605,200.0
1420,200.0
1395,200.0
1323,200.0
1168,200.0
1201,200.0
1300,200.0
1089,130.0
1477,130.0
1828,130.0
1836,130.0
1908,130.0
1803,130.0
1687,130.0
1354,130.0
1269,130.0
1137,130.0
1136,130.0
1576,130.0
1945,130.0
2200,130.0
2130,130.0
1937,130.0
1715,130.0
1501,130.0
1316,130.0
1170,130.0
1088,130.0
971,130.0
1101,130.0
1021,200.0
1393,200.0
2077,200.0
1956,200.0
1871,200.0
1777,200.0
1524,200.0
1313,200.0
1202,200.0
1172,200.0
1161,200.0
1461,200.0
1524,200.0
1796,200.0
1891,200.0
1868,130.0
1720,130.0
1514,130.0
1316,130.0
1107,130.0
1031,130.0
980,130.0
962,130.0
1124,130.0
1115,200.0
1533,200.0
1654,200.0
1539,200.0
1516,200.0
1480,200.0
1437,200.0
1306,200.0
1326,200.0
1397,200.0
1278,200.0
1685,200.0
1698,200.0
1933,200.0
1851,130.0
1656,130.0
1577,130.0
1411,130.0
1186,130.0
1005,130.0
1080,130.0
945,130.0
1172,130.0
1043,130.0
1356,130.0
1548,130.0
1590,130.0
1573,130.0
1694,130.0
1442,130.0
1325,130.0
1196,130.0
1258,130.0
1241,130.0
1573,130.0
1439,130.0
1600,130.0
1689,130.0
1598,130.0
1501,130.0
1341,130.0
1216,130.0
1105,130.0
1041,130.0
1088,130.0
1138,130.0
1333,130.0
1173,130.0
1406,130.0
1438,130.0
1387,130.0
1363,130.0
1376,130.0
1316,130.0
1170,130.0
1248,130.0
1383,130.0
1517,130.0
1511,130.0
1577,130.0
2000,130.0
1811,130.0
1556,130.0
1387,130.0
1249,130.0
1028,130.0
814,130.0
825,130.0
865,130.0
1180,130.0
1541,130.0
1673,130.0
2069,130.0
1552,130.0
1297,130.0
1109,130.0
1103,130.0
1091,130.0
1046,130.0
1220,130.0
1387,130.0
1472,130.0
1488,130.0
1634,130.0
1759,130.0
1692,230.0
1550,230.0
1435,230.0
1307,230.0
1122,230.0
930,230.0
909,230.0
908,230.0
1152,230.0
1442,230.0
1477,230.0
1734,230.0
1495,200.0
1285,200.0
1211,200.0
1205,200.0
1212,200.0
1072,200.0
1137,200.0
1210,200.0
1401,200.0
1588,200.0
1464,200.0
1693,200.0
1668,200.0
1505,200.0
1396,200.0
1238,200.0
1102,200.0
967,200.0
1061,200.0
1102,200.0
1233,200.0
1315,200.0
1323,200.0
1380,200.0
1307,130.0
1247,130.0
1272,130.0
1273,130.0
1286,130.0
1276,130.0
1301,130.0
1315,130.0
1238,130.0
1468,130.0
1595,130.0
1839,130.0
1979,130.0
1721,130.0
1656,130.0
1506,130.0
1249,130.0
1048,130.0
965,130.0
1026,130.0
1087,130.0
1219,130.0
1345,130.0
1624,130.0
1694,130.0
1717,130.0
1680,200.0
1520,200.0
1439,200.0
1279,200.0
1341,200.0
1317,200.0
1506,200.0
1509,200.0
1787,200.0
2046,200.0
1984,200.0
1823,200.0
1545,200.0
1311,200.0
1104,200.0
938,200.0
978,200.0
908,200.0
1182,200.0
1220,200.0
1576,200.0
1813,200.0
1695,200.0
1652,200.0
1653,200.0
1464,200.0
1249,200.0
1206,200.0
1284,200.0
1247,200.0
1536,200.0
1446,200.0
1834,200.0
1986,200.0
1828,200.0
1634,200.0
1419,200.0
1208,200.0
995,200.0
937,200.0
944,200.0
978,200.0
1366,200.0
1447,200.0
1932,200.0
1622,130.0
1446,130.0
1174,130.0
1146,130.0
1150,130.0
1160,130.0
1253,130.0
1376,130.0
1344,200.0
1613,200.0
1496,200.0
1774,200.0
1760,200.0
1609,200.0
1473,200.0
1333,200.0
1086,200.0
869,200.0
740,200.0
637,200.0
814,200.0
1088,200.0
1603,200.0
2263,200.0
1661,130.0
1357,130.0
1250,130.0
1131,130.0
1209,130.0
1189,130.0
1161,130.0
1083,130.0
1257,130.0
1734,130.0
1952,130.0
2191,130.0
1960,230.0
1630,230.0
1398,230.0
1156,230.0
869,230.0
719,230.0
782,230.0
831,230.0
1240,230.0
1485,230.0
1886,230.0
2068,230.0
1714,230.0
1543,230.0
1369,230.0
1220,230.0
1155,230.0
1090,230.0
1275,230.0
1326,230.0
1578,230.0
1605,230.0
1833,230.0
1871,230.0
1830,230.0
1703,230.0
1522,230.0
1284,230.0
1018,230.0
916,230.0
937,230.0
934,230.0
1253,230.0
1323,230.0
1625,230.0
1630,230.0
1619,200.0
1680,200.0
1584,200.0
1417,200.0
1269,200.0
1258,200.0
1273,200.0
1265,200.0
1655,200.0
1517,200.0
1712,200.0
1752,200.0
1750,200.0
1605,200.0
1446,200.0
1261,200.0
1103,200.0
1165,200.0
1060,200.0
1150,200.0
1020,200.0
1034,200.0
1254,200.0
1315,200.0
1426,200.0
1581,200.0
1645,200.0
1557,130.0
1408,130.0
1472,130.0
1411,130.0
1471,130.0
1769,130.0
1511,130.0
1738,130.0
1722,130.0
1597,130.0
1402,130.0
1352,130.0
1299,130.0
1458,130.0
1338,130.0
1137,130.0
1181,130.0
845,130.0
1069,130.0
1321,130.0
1468,130.0
1561,130.0
1595,130.0
1568,130.0
1497,130.0
1442,130.0
1507,130.0
1475,130.0
1637,130.0
1511,130.0
1723,130.0
1809,130.0
1629,200.0
1504,200.0
1391,200.0
1293,200.0
1234,200.0
1193,200.0
1171,200.0
1087,200.0
1037,200.0
969,200.0
1269,200.0
1339,200.0
1339,200.0
1589,200.0
1730,200.0
1777,200.0
1486,130.0
1358,130.0
1346,130.0
1335,130.0
1595,130.0
1537,130.0
1940,130.0
1691,200.0
1589,200.0
1539,200.0
1472,200.0
1276,200.0
1007,200.0
879,200.0
903,200.0
996,200.0
1202,200.0
1284,200.0
1641,200.0
1552,130.0
1627,130.0
1653,130.0
1615,130.0
1495,130.0
1343,130.0
1323,130.0
1360,130.0
1464,130.0
1598,130.0
1580,200.0
1815,200.0
1785,200.0
1658,200.0
1502,200.0
1384,200.0
1190,200.0
1083,200.0
1034,200.0
960,200.0
1166,200.0
1035,130.0
1281,130.0
1448,130.0
1382,130.0
1519,130.0
1650,130.0
1628,130.0
1419,130.0
1363,130.0
1472,130.0
1339,130.0
1433,130.0
1410,130.0
1645,130.0
1717,130.0
1586,130.0
1541,130.0
1447,130.0
1334,130.0
1103,130.0
1004,130.0
1059,130.0
1022,130.0
1203,130.0
1065,130.0
1382,130.0
1504,130.0
1474,130.0
1513,130.0
1528,130.0
1424,130.0
1246,130.0
1229,130.0
1391,130.0
1325,130.0
1655,130.0
1432,130.0
1596,130.0
1646,130.0
1568,130.0
1513,130.0
1414,130.0
1224,130.0
1045,130.0
1041,130.0
1040,130.0
935,130.0
1086,130.0
1126,130.0
1350,130.0
1420,130.0
1372,130.0
1428,130.0
