G,T,D,S
793,200.0,0,0
785,200.0,0,0
882,200.0,0,0
746,200.0,0,0
735,200.0,0,0
736,200.0,0,0
775,200.0,0,0
707,200.0,40,0
956,200.0,0,0
743,200.0,0,0
919,200.0,0,0
1019,200.0,0,1019
763,200.0,276,0
1013,200.0,0,0
906,200.0,250,0
832,200.0,0,0
1046,200.0,0,0
1284,200.0,0,0
1441,200.0,0,0
1522,200.0,0,1522
1473,200.0,690,0
1359,200.0,0,0
1302,200.0,0,0
1349,200.0,0,0
1326,200.0,47,0
1420,200.0,0,0
1417,200.0,94,0
1265,200.0,0,0
1252,200.0,0,0
1333,200.0,0,0
1305,200.0,81,0
1293,200.0,0,0
1283,200.0,0,0
1304,200.0,0,0
1314,200.0,0,0
1316,200.0,0,0
1283,200.0,33,0
1239,200.0,0,0
1258,200.0,0,0
1042,200.0,19,0
1269,200.0,0,1269
1268,200.0,227,0
1276,200.0,0,0
1284,200.0,0,0
1262,200.0,16,0
1314,200.0,0,0
1304,200.0,52,0
1303,200.0,0,0
1263,200.0,0,0
1306,200.0,0,0
1293,200.0,43,0
1311,200.0,0,0
1324,200.0,0,0
1288,200.0,31,0
1281,200.0,0,0
1259,200.0,0,0
1247,200.0,0,0
1201,200.0,0,0
1210,200.0,0,0
1196,200.0,9,0
1227,200.0,0,0
1237,200.0,0,0
1291,200.0,0,0
1299,200.0,0,0
1273,200.0,103,0
1224,200.0,0,0
1187,200.0,0,0
1147,200.0,0,0
1179,200.0,0,0
1032,200.0,32,0
783,200.0,0,0
808,200.0,0,0
900,200.0,0,0
1212,200.0,0,0
1429,200.0,0,0
1617,200.0,0,0
1794,200.0,0,1794
1736,200.0,1011,0
1775,200.0,0,0
1712,200.0,39,0
1794,200.0,0,0
1750,200.0,82,0
1827,200.0,0,0
1464,200.0,77,0
1387,200.0,0,0
1742,200.0,0,0
1923,200.0,0,1923
1667,230.0,536,0
1541,230.0,0,0
1426,230.0,0,0
1393,230.0,0,0
1581,230.0,0,0
1479,230.0,188,0
1142,230.0,0,0
1235,230.0,0,0
1348,230.0,0,0
1295,230.0,206,0
1494,230.0,0,0
1584,230.0,0,0
1773,230.0,0,0
1822,230.0,0,0
1974,230.0,0,1974
1949,200.0,679,0
1997,200.0,0,0
2334,200.0,0,0
2181,200.0,385,0
1756,200.0,0,0
1620,200.0,0,0
1635,200.0,0,0
1712,200.0,0,0
1526,200.0,92,0
956,200.0,0,0
913,200.0,0,0
1191,200.0,0,0
1791,200.0,0,0
2243,200.0,0,0
2367,200.0,0,2367
2209,230.0,1454,0
1784,230.0,0,0
1921,230.0,0,0
1962,230.0,0,0
2371,230.0,0,0
2374,230.0,0,0
2689,230.0,0,2689
2620,230.0,905,0
2523,230.0,0,0
2358,230.0,0,0
2043,230.0,0,0
2116,230.0,0,0
1265,230.0,73,0
1065,230.0,0,0
1514,230.0,0,0
1957,230.0,0,0
2402,230.0,0,2402
2309,230.0,1337,0
2401,230.0,0,0
2471,230.0,0,0
2478,230.0,0,0
2188,230.0,169,0
2227,230.0,0,0
2295,230.0,0,0
2027,230.0,107,0
1680,230.0,0,0
1894,230.0,0,0
1987,230.0,0,0
2139,230.0,0,2139
1809,230.0,459,0
2150,230.0,0,0
2805,230.0,0,0
2874,230.0,0,0
2418,230.0,1065,0
2248,230.0,0,0
2651,230.0,0,0
2893,230.0,0,2893
2634,230.0,645,0
3026,230.0,0,0
3203,230.0,0,0
2698,230.0,569,0
2459,230.0,0,0
2836,230.0,0,2836
2604,230.0,377,0
2625,230.0,0,0
2337,230.0,21,0
2504,230.0,0,0
3306,230.0,0,0
3877,230.0,0,3877
3076,200.0,1540,0
2663,200.0,0,0
3378,200.0,0,0
3749,200.0,0,0
3051,200.0,1086,0
3415,200.0,0,0
3677,200.0,0,3677
3336,230.0,626,0
3142,230.0,0,0
3316,230.0,0,0
3117,230.0,174,0
2739,230.0,0,0
2204,230.0,0,0
2946,230.0,0,0
4089,230.0,0,4089
3935,230.0,1885,0
3011,230.0,0,0
3408,230.0,0,0
3639,230.0,0,0
3832,230.0,0,0
3113,230.0,821,0
3731,230.0,0,3731
3708,330.0,618,0
3517,330.0,0,0
3606,330.0,0,0
3522,330.0,89,0
3620,330.0,0,0
2524,330.0,98,0
3031,330.0,0,0
4391,330.0,0,4391
4194,230.0,1867,0
3035,230.0,0,0
3121,230.0,0,0
3791,230.0,0,0
3872,230.0,0,0
3293,230.0,837,0
4220,230.0,0,0
4271,230.0,0,4271
3833,330.0,978,0
3534,330.0,0,0
3808,330.0,0,0
3860,330.0,0,0
2752,330.0,326,0
3608,330.0,0,0
4908,330.0,0,4908
3835,230.0,2156,0
2995,230.0,0,0
3594,230.0,0,0
4110,230.0,0,0
3380,230.0,1115,0
3277,230.0,0,0
3848,230.0,0,3848
3533,430.0,571,0
3092,430.0,0,0
3376,430.0,0,0
3330,430.0,284,0
3119,430.0,0,0
2386,430.0,0,0
