G,T,D,S
1063,200.0,0,0
1621,200.0,0,0
1502,200.0,558,0
1480,200.0,0,0
1368,200.0,0,0
1125,200.0,0,0
1144,200.0,0,0
1277,200.0,0,0
1135,200.0,152,0
1294,200.0,0,0
1246,200.0,159,0
1096,200.0,0,0
1166,200.0,0,0
1348,200.0,0,0
1499,200.0,0,1499
1468,200.0,403,0
1472,200.0,0,0
1295,200.0,4,0
1274,200.0,0,0
1106,200.0,0,0
1242,200.0,0,0
1243,200.0,0,0
1359,200.0,0,1359
1334,200.0,253,0
1246,200.0,0,0
1448,200.0,0,0
1377,200.0,202,0
1373,200.0,0,0
1331,200.0,0,0
1320,200.0,0,0
1339,200.0,0,0
1366,200.0,0,0
1311,200.0,46,0
1279,200.0,0,0
1304,200.0,0,0
1328,200.0,0,0
1364,200.0,0,0
1393,200.0,0,0
1366,200.0,114,0
1332,200.0,0,0
1307,200.0,0,0
1469,200.0,0,0
1272,200.0,162,0
1287,200.0,0,0
1270,200.0,15,0
1293,200.0,0,0
1311,200.0,0,0
1320,200.0,0,0
1336,200.0,0,0
1324,200.0,66,0
1273,200.0,0,0
1340,200.0,0,0
1332,200.0,67,0
1336,200.0,0,0
1440,200.0,0,0
1377,200.0,108,0
1336,200.0,0,0
1321,200.0,0,0
1307,200.0,0,0
1301,200.0,0,0
1326,200.0,0,0
1321,200.0,25,0
1330,200.0,0,0
1281,200.0,9,0
1386,200.0,0,0
1310,200.0,105,0
1252,200.0,0,0
1243,200.0,0,0
1186,200.0,0,0
1138,200.0,0,0
1168,200.0,0,0
1197,200.0,0,0
1187,200.0,59,0
1238,200.0,0,0
1253,200.0,0,0
1251,200.0,66,0
1235,200.0,0,0
1280,200.0,0,0
1512,200.0,0,0
1646,200.0,0,0
1799,200.0,0,1799
1581,130.0,564,0
1065,130.0,0,0
590,130.0,0,0
492,130.0,0,0
522,130.0,0,0
895,130.0,0,0
1348,130.0,0,0
1931,130.0,0,0
3093,130.0,0,0
3339,130.0,0,3339
2010,200.0,2847,0
1539,200.0,0,0
1159,200.0,0,0
908,200.0,0,0
704,200.0,0,0
672,200.0,0,0
909,200.0,0,0
3603,200.0,0,0
4568,200.0,0,4568
2328,430.0,3896,0
1089,430.0,0,0
1076,430.0,0,0
1161,430.0,0,0
1218,430.0,0,0
1373,430.0,0,0
1795,430.0,0,0
4933,430.0,0,4933
4739,430.0,3857,0
1760,430.0,0,0
1281,430.0,0,0
1043,430.0,0,0
1054,430.0,0,0
919,430.0,11,0
3252,430.0,0,0
5518,430.0,0,5518
3033,430.0,4599,0
2217,430.0,0,0
2048,430.0,0,0
1949,430.0,0,0
2455,430.0,0,0
2073,430.0,506,0
2498,430.0,0,0
7064,430.0,0,7064
4771,430.0,4991,0
1672,430.0,0,0
1724,430.0,0,0
1391,430.0,52,0
1037,430.0,0,0
1060,430.0,0,0
3549,430.0,0,0
5306,430.0,0,5306
2905,430.0,4269,0
1854,430.0,0,0
2446,430.0,0,0
2838,430.0,0,0
2034,430.0,984,0
2782,430.0,0,0
4762,430.0,0,4762
4340,430.0,2728,0
1999,430.0,0,0
1729,430.0,0,0
1447,430.0,0,0
1026,430.0,0,0
543,430.0,0,0
918,430.0,0,0
3517,430.0,0,0
4276,430.0,0,4276
1591,430.0,3733,0
1022,430.0,0,0
1210,430.0,0,0
1661,430.0,0,0
1766,430.0,0,0
2186,430.0,0,0
5353,430.0,0,5353
2920,430.0,4331,0
1530,430.0,0,0
1074,430.0,0,0
898,430.0,0,0
606,430.0,0,0
475,430.0,0,0
2012,430.0,0,0
4983,430.0,0,4983
2241,430.0,4508,0
896,430.0,0,0
1213,430.0,0,0
1121,430.0,317,0
1412,430.0,0,0
1442,430.0,0,0
1773,430.0,0,0
5703,430.0,0,5703
3064,430.0,4582,0
1285,430.0,0,0
937,430.0,0,0
803,430.0,0,0
735,430.0,0,0
555,430.0,0,0
1504,430.0,0,0
4584,430.0,0,4584
3124,430.0,4029,0
1053,430.0,0,0
1229,430.0,0,0
1372,430.0,0,0
1559,430.0,0,0
1519,430.0,506,0
2143,430.0,0,0
5255,430.0,0,5255
2411,430.0,3736,0
1219,430.0,0,0
943,430.0,0,0
846,430.0,0,0
721,430.0,0,0
628,430.0,0,0
2200,430.0,0,0
4540,430.0,0,4540
2121,430.0,3912,0
939,430.0,0,0
1023,430.0,0,0
1362,430.0,0,0
1448,430.0,0,0
1537,430.0,0,0
2734,430.0,0,0
4829,430.0,0,4829
2325,430.0,3890,0
1221,430.0,0,0
993,430.0,0,0
808,430.0,0,0
641,430.0,0,0
684,430.0,0,0
2732,430.0,0,0
4169,430.0,0,4169
1727,430.0,3528,0
884,430.0,0,0
919,430.0,0,0
1184,430.0,0,0
1312,430.0,0,0
1393,430.0,0,0
2183,430.0,0,0
4601,430.0,0,4601
2476,430.0,3717,0
1345,430.0,0,0
1169,430.0,0,0
908,430.0,0,0
688,430.0,0,0
746,430.0,0,0
2998,430.0,0,0
4073,430.0,0,4073
1727,430.0,3385,0
803,430.0,0,0
1026,430.0,0,0
1450,430.0,0,0
1445,430.0,647,0
1404,430.0,0,0
2895,430.0,0,0
4375,430.0,0,4375
2296,430.0,2971,0
1425,430.0,0,0
1209,430.0,0,0
831,430.0,0,0
618,430.0,0,0
1536,430.0,0,0
3761,430.0,0,3761
3066,430.0,3143,0
1113,430.0,0,0
747,430.0,0,0
1058,430.0,0,0
1243,430.0,0,0
1247,430.0,0,1247
1179,430.0,500,0
3114,430.0,0,0
3923,430.0,0,0
1925,430.0,2744,0
1121,430.0,0,0
992,430.0,0,0
819,430.0,0,0
652,430.0,0,0
1276,430.0,0,0
3571,430.0,0,3571
3098,200.0,2919,0
1360,200.0,0,0
884,200.0,0,0
1258,200.0,0,0
1435,200.0,0,0
1351,200.0,551,0
1246,200.0,0,0
3192,200.0,0,0
3865,200.0,0,3865
1995,430.0,2619,0
1152,430.0,0,0
983,430.0,0,0
703,430.0,0,0
587,430.0,0,0
1659,430.0,0,0
4002,430.0,0,4002
2749,430.0,3415,0
953,430.0,0,0
726,430.0,0,0
987,430.0,0,0
1190,430.0,0,0
1333,430.0,0,0
1866,430.0,0,0
4029,430.0,0,4029
3279,430.0,3303,0
1493,430.0,0,0
1136,430.0,0,0
851,430.0,0,0
712,430.0,0,0
854,430.0,0,0
3315,430.0,0,0
4184,430.0,0,4184
2147,430.0,3472,0
881,430.0,0,0
1329,430.0,0,0
1723,430.0,0,0
1568,430.0,842,0
1773,430.0,0,0
4270,430.0,0,4270
4248,430.0,2702,0
1489,430.0,0,0
1240,430.0,0,0
1058,430.0,0,0
852,430.0,0,0
637,430.0,0,0
1035,430.0,0,0
4030,430.0,0,4030
3708,430.0,3393,0
1484,430.0,0,0
779,430.0,0,0
1142,430.0,0,0
1469,430.0,0,0
1421,430.0,690,0
1819,430.0,0,0
3932,430.0,0,3932
3654,430.0,2511,0
1576,430.0,0,0
1169,430.0,0,0
1106,430.0,0,0
898,430.0,0,0
721,430.0,0,0
1242,430.0,0,0
3971,430.0,0,3971
3389,430.0,3250,0
1488,430.0,0,0
900,430.0,0,0
1183,430.0,0,0
1523,430.0,0,0
1557,430.0,0,0
1856,430.0,0,0
4018,430.0,0,4018
3764,430.0,3118,0
1668,430.0,0,0
1298,430.0,0,0
1152,430.0,0,0
905,430.0,0,0
832,430.0,0,0
2317,430.0,0,0
4343,430.0,0,4343
2683,430.0,3511,0
1323,430.0,0,0
1168,430.0,0,0
1554,430.0,0,0
1820,430.0,0,0
1568,430.0,652,0
2589,430.0,0,0
4944,430.0,0,4944
2502,430.0,3376,0
1153,430.0,0,0
1068,430.0,0,0
868,430.0,0,0
834,430.0,0,0
975,430.0,0,0
3642,430.0,0,0
4164,430.0,0,4164
2153,430.0,3330,0
969,430.0,0,0
1299,430.0,0,0
1569,430.0,0,0
1475,430.0,600,0
1594,430.0,0,0
3074,430.0,0,0
4727,430.0,0,4727
2574,430.0,3252,0
1336,430.0,0,0
1212,430.0,0,0
1163,430.0,0,0
903,430.0,0,0
853,430.0,0,0
2781,430.0,0,0
4372,430.0,0,4372
2646,430.0,3519,0
1132,430.0,0,0
1345,430.0,0,0
2001,430.0,0,0
1785,430.0,869,0
1841,430.0,0,0
3520,430.0,0,0
4516,430.0,0,4516
2079,430.0,2731,0
1186,430.0,0,0
1081,430.0,0,0
1062,430.0,0,0
792,430.0,0,0
1067,430.0,0,0
3175,430.0,0,0
4047,430.0,0,4047
2192,430.0,3255,0
1027,430.0,0,0
1701,430.0,0,0
2224,430.0,0,0
1807,430.0,1197,0
2129,430.0,0,0
4382,430.0,0,4382
4334,430.0,2575,0
1946,430.0,0,0
1287,430.0,0,0
1263,430.0,0,0
1119,430.0,0,0
921,430.0,0,0
1545,430.0,0,0
3567,430.0,0,0
3568,430.0,0,3568
1588,430.0,2647,0
1075,430.0,0,0
1742,430.0,0,0
1652,430.0,667,0
1602,430.0,0,0
2191,430.0,0,0
4087,430.0,0,4087
3943,430.0,2485,0
1911,430.0,0,0
1420,430.0,0,0
1365,430.0,0,0
1293,430.0,0,0
843,430.0,0,0
1365,430.0,0,0
3553,430.0,0,3553
3541,430.0,2710,0
1423,430.0,0,0
1018,430.0,0,0
1892,430.0,0,0
2092,430.0,0,0
1784,430.0,1074,0
2710,430.0,0,0
4459,430.0,0,4459
3498,430.0,2675,0
1820,430.0,0,0
1274,430.0,0,0
1178,430.0,0,0
1068,430.0,0,0
966,430.0,0,0
1886,430.0,0,0
3794,430.0,0,3794
2958,430.0,2828,0
1096,430.0,0,0
1172,430.0,0,0
1891,430.0,0,0
1910,430.0,0,0
1809,430.0,814,0
3293,430.0,0,0
4991,430.0,0,4991
2758,430.0,3182,0
1443,430.0,0,0
1117,430.0,0,0
1057,430.0,0,0
920,430.0,0,0
914,430.0,0,0
2358,430.0,0,0
4214,430.0,0,4214
2405,430.0,3300,0
738,430.0,0,0
1485,430.0,0,0
2046,430.0,0,0
1797,430.0,1308,0
2025,430.0,0,0
3414,430.0,0,0
4481,430.0,0,4481
2552,430.0,2684,0
1550,430.0,0,0
1294,430.0,0,0
1112,430.0,0,0
683,430.0,0,0
797,430.0,0,0
2199,430.0,0,0
4417,430.0,0,4417
2527,430.0,3734,0
904,430.0,0,0
1287,430.0,0,0
1884,430.0,0,0
1758,430.0,980,0
1721,430.0,0,0
3381,430.0,0,0
4823,430.0,0,4823
2704,430.0,3102,0
1517,430.0,0,0
1296,430.0,0,0
1176,430.0,0,0
794,430.0,0,0
1007,430.0,0,0
3500,430.0,0,0
4079,430.0,0,4079
1879,430.0,3285,0
1079,430.0,0,0
1581,430.0,0,0
1832,430.0,0,0
1537,430.0,753,0
1958,430.0,0,0
4058,430.0,0,0
4286,430.0,0,4286
1948,430.0,2749,0
1436,430.0,0,0
1418,430.0,0,0
1115,430.0,0,0
760,430.0,0,0
1499,430.0,0,0
4191,430.0,0,4191
3535,430.0,3431,0
1639,430.0,0,0
1208,430.0,0,0
1523,430.0,0,0
1647,430.0,0,0
1664,430.0,0,0
2446,430.0,0,0
4631,430.0,0,4631
4172,430.0,3423,0
2193,430.0,0,0
1573,430.0,0,0
1333,430.0,0,0
918,430.0,0,0
777,430.0,0,0
2027,430.0,0,0
4519,430.0,0,4519
3319,430.0,3742,0
1323,430.0,0,0
1360,430.0,0,0
1985,430.0,0,0
1983,430.0,662,0
1855,430.0,0,0
3429,430.0,0,0
4508,430.0,0,4508
2406,430.0,2653,0
1438,430.0,0,0
1234,430.0,0,0
1032,430.0,0,0
940,430.0,0,0
971,430.0,0,0
3131,430.0,0,0
4051,430.0,0,4051
1820,430.0,3111,0
942,430.0,0,0
1514,430.0,0,0
1829,430.0,0,0
1758,430.0,887,0
2370,430.0,0,0
4497,430.0,0,4497
3948,430.0,2739,0
1685,430.0,0,0
1295,430.0,0,0
1195,430.0,0,0
1112,430.0,0,0
973,430.0,0,0
1581,430.0,0,0
3755,430.0,0,3755
3271,430.0,2782,0
1299,430.0,0,0
1119,430.0,0,0
1698,430.0,0,0
1794,430.0,0,0
1737,430.0,675,0
2769,430.0,0,0
4316,430.0,0,4316
3046,430.0,2579,0
1600,430.0,0,0
1262,430.0,0,0
1014,430.0,0,0
872,430.0,0,0
667,430.0,0,0
1682,430.0,0,0
4429,430.0,0,4429
2604,430.0,3762,0
922,430.0,0,0
988,430.0,0,0
1590,430.0,0,0
1760,430.0,0,0
1668,430.0,838,0
2827,430.0,0,0
4779,430.0,0,4779
3034,430.0,3111,0
1541,430.0,0,0
1105,430.0,0,0
1129,430.0,0,0
873,430.0,24,0
756,430.0,0,0
2663,430.0,0,0
4128,430.0,0,4128
2098,430.0,3372,0
832,430.0,0,0
1205,430.0,0,0
1638,430.0,0,0
1707,430.0,0,0
1719,430.0,0,0
3224,430.0,0,0
4105,430.0,0,4105
2112,430.0,3273,0
934,430.0,0,0
964,430.0,0,0
931,430.0,0,0
906,430.0,0,0
1361,430.0,0,0
3870,430.0,0,3870
3699,430.0,2964,0
1911,430.0,0,0
1009,430.0,0,0
1569,430.0,0,0
1969,430.0,0,0
1809,430.0,960,0
2316,430.0,0,0
4615,430.0,0,4615
4055,430.0,2806,0
1902,430.0,0,0
1274,430.0,0,0
1260,430.0,0,0
913,430.0,0,0
665,430.0,0,0
1838,430.0,0,0
4028,430.0,0,4028
3349,430.0,3363,0
1197,430.0,0,0
1034,430.0,0,0
1581,430.0,0,0
1608,430.0,0,0
1589,430.0,574,0
2224,430.0,0,0
3901,430.0,0,3901
3405,430.0,2312,0
1626,430.0,0,0
1258,430.0,0,0
1177,430.0,0,0
910,430.0,0,0
633,430.0,0,0
1354,430.0,0,0
3514,430.0,0,3514
3138,330.0,2881,0
1197,330.0,0,0
859,330.0,0,0
1438,330.0,0,0
1608,330.0,0,0
1598,330.0,749,0
2327,330.0,0,0
4032,330.0,0,4032
3395,430.0,2434,0
1619,430.0,0,0
1096,430.0,0,0
1085,430.0,0,0
909,430.0,0,0
875,430.0,0,0
2025,430.0,0,0
3814,430.0,0,3814
2870,430.0,2939,0
1209,430.0,0,0
920,430.0,0,0
1580,430.0,0,0
1760,430.0,0,0
1726,430.0,840,0
2544,430.0,0,0
4706,430.0,0,4706
3647,430.0,2980,0
1420,430.0,0,0
1244,430.0,0,0
1188,430.0,0,0
874,430.0,0,0
983,430.0,0,0
2140,430.0,0,0
4288,430.0,0,4288
2750,430.0,3414,0
1214,430.0,0,0
910,430.0,0,0
1501,430.0,0,0
1857,430.0,0,0
1704,430.0,947,0
2452,430.0,0,0
4433,430.0,0,4433
3074,430.0,2729,0
1363,430.0,0,0
1030,430.0,0,0
849,430.0,0,0
796,430.0,0,0
751,430.0,0,0
1938,430.0,0,0
4318,430.0,0,4318
3459,430.0,3567,0
1593,430.0,0,0
1029,430.0,0,0
1659,430.0,0,0
2000,430.0,0,0
1822,430.0,971,0
2601,430.0,0,0
5305,430.0,0,5305
3314,430.0,3483,0
1385,430.0,0,0
1312,430.0,0,0
1289,430.0,0,0
962,430.0,0,0
847,430.0,0,0
1790,430.0,0,0
4370,430.0,0,4370
3152,430.0,3523,0
1008,430.0,0,0
1222,430.0,0,0
1601,430.0,0,0
1540,430.0,593,0
1550,430.0,0,0
2437,430.0,0,0
4353,430.0,0,4353
3084,430.0,2813,0
1337,430.0,0,0
1134,430.0,0,0
1042,430.0,0,0
1017,430.0,0,0
767,430.0,0,0
1793,430.0,0,0
4875,430.0,0,4875
3079,430.0,4108,0
1090,430.0,0,0
1020,430.0,0,0
1618,430.0,0,0
1913,430.0,0,0
1689,430.0,893,0
2417,430.0,0,0
5200,430.0,0,5200
3291,430.0,3511,0
1481,430.0,0,0
1284,430.0,0,0
1277,430.0,0,0
1021,430.0,0,0
839,430.0,0,0
2611,430.0,0,0
4922,430.0,0,4922
2896,430.0,4083,0
1220,430.0,0,0
1299,430.0,0,0
1827,430.0,0,0
1808,430.0,607,0
1601,430.0,0,0
2469,430.0,0,0
5329,430.0,0,5329
4119,430.0,3728,0
1646,430.0,0,0
1196,430.0,0,0
1217,430.0,0,0
1150,430.0,21,0
853,430.0,0,0
1402,430.0,0,0
4234,430.0,0,4234
3858,430.0,3381,0
1228,430.0,0,0
1019,430.0,0,0
1217,430.0,0,0
1496,430.0,0,0
1403,430.0,477,0
1435,430.0,0,0
2881,430.0,0,0
5299,430.0,0,5299
2850,430.0,3896,0
1456,430.0,0,0
1246,430.0,0,0
1029,430.0,0,0
872,430.0,0,0
678,430.0,0,0
2517,430.0,0,0
4536,430.0,0,4536
1983,430.0,3858,0
867,430.0,0,0
886,430.0,0,0
1196,430.0,0,0
1558,430.0,0,0
1587,430.0,0,0
2094,430.0,0,0
5039,430.0,0,5039
3864,430.0,4172,0
1974,430.0,0,0
1722,430.0,0,0
1389,430.0,0,0
1236,430.0,0,0
1357,430.0,0,0
3712,430.0,0,0
4793,430.0,0,4793
2557,430.0,3557,0
1136,430.0,0,0
1766,430.0,0,0
2053,430.0,0,0
1711,430.0,917,0
2026,430.0,0,0
3904,430.0,0,0
5630,430.0,0,5630
3184,430.0,3919,0
2039,430.0,0,0
1713,430.0,0,0
1191,430.0,0,0
973,430.0,0,0
1049,430.0,0,0
3826,430.0,0,0
4835,430.0,0,4835
2620,430.0,3862,0
1211,430.0,0,0
1318,430.0,0,0
1829,430.0,0,0
2050,430.0,0,0
1907,430.0,839,0
3038,430.0,0,0
6072,430.0,0,6072
3872,430.0,4165,0
1571,430.0,0,0
1196,430.0,0,0
1030,430.0,0,0
819,430.0,0,0
741,430.0,0,0
3002,430.0,0,0
5918,430.0,0,5918
3064,430.0,5177,0
1272,430.0,0,0
1389,430.0,0,0
1800,430.0,0,0
