G,T,D,S
1057,200.0,0,0
1027,200.0,0,0
1040,200.0,0,0
1027,200.0,13,0
1046,200.0,0,0
1119,200.0,0,0
1106,200.0,92,0
1066,200.0,0,0
1038,200.0,0,0
1024,200.0,0,0
1028,200.0,0,0
1048,200.0,0,0
1029,200.0,24,0
1024,200.0,0,0
1043,200.0,0,0
1024,200.0,19,0
1044,200.0,0,0
1002,200.0,20,0
1009,200.0,0,0
1030,200.0,0,0
1006,200.0,28,0
1029,200.0,0,0
1011,200.0,23,0
1036,200.0,0,0
1032,200.0,25,0
1038,200.0,0,0
1033,200.0,6,0
1002,200.0,0,0
1025,200.0,0,0
1010,200.0,23,0
1024,200.0,0,0
1044,200.0,0,0
1042,200.0,34,0
1109,200.0,0,0
989,200.0,67,0
945,200.0,0,0
945,200.0,0,0
1005,200.0,0,0
853,200.0,60,0
1001,200.0,0,0
1010,200.0,0,0
1007,200.0,157,0
1052,200.0,0,0
1160,200.0,0,0
1029,200.0,153,0
1006,200.0,0,0
1022,200.0,0,0
1046,200.0,0,0
1045,200.0,40,0
1008,200.0,0,0
1033,200.0,0,0
1062,200.0,0,0
1031,200.0,54,0
1058,200.0,0,0
1072,200.0,0,0
1059,200.0,41,0
968,200.0,0,0
994,200.0,0,0
948,200.0,26,0
963,200.0,0,0
1234,200.0,0,1234
997,200.0,286,0
1043,200.0,0,0
1019,200.0,46,0
996,200.0,0,0
939,200.0,0,0
971,200.0,0,0
1022,200.0,0,0
1015,200.0,83,0
997,200.0,0,0
1011,200.0,0,0
1032,200.0,0,0
1009,200.0,35,0
1082,200.0,0,0
1043,200.0,73,0
1065,200.0,0,0
1032,200.0,22,0
973,200.0,0,0
922,200.0,0,0
958,200.0,0,0
1069,200.0,0,0
1159,200.0,0,0
1238,200.0,0,1238
1232,200.0,316,0
1123,200.0,0,0
1159,200.0,0,0
1223,200.0,0,0
1233,200.0,0,0
1206,200.0,110,0
1131,200.0,0,0
1177,200.0,0,0
1086,200.0,46,0
1098,200.0,0,0
1036,200.0,12,0
1448,200.0,0,1448
1378,200.0,412,0
1541,200.0,0,0
1745,200.0,0,0
1990,200.0,0,0
1737,200.0,612,0
1470,200.0,0,0
1441,200.0,0,0
1214,200.0,0,0
1010,200.0,0,0
862,200.0,0,0
921,200.0,0,0
1076,200.0,0,0
1334,200.0,0,0
1605,200.0,0,0
1630,200.0,0,1630
