G,T,D,S
1085,200.0,0,0
1133,200.0,0,0
1144,200.0,0,0
1117,200.0,59,0
1109,200.0,0,0
1135,200.0,0,0
1138,200.0,0,0
1125,200.0,29,0
1213,200.0,0,0
1134,200.0,88,0
1134,200.0,0,0
1111,200.0,0,0
1139,200.0,0,0
1115,200.0,28,0
1141,200.0,0,0
1124,200.0,26,0
1127,200.0,0,0
1103,200.0,3,0
1141,200.0,0,0
1141,200.0,0,0
1153,200.0,0,0
1134,200.0,50,0
1137,200.0,0,0
1136,200.0,3,0
1139,200.0,0,0
1145,200.0,0,0
1128,200.0,9,0
1130,200.0,0,0
1134,200.0,0,0
1127,200.0,6,0
1121,200.0,0,0
1152,200.0,0,0
1163,200.0,0,0
1168,200.0,0,0
1141,200.0,47,0
1140,200.0,0,0
1135,200.0,0,0
1153,200.0,0,0
1154,200.0,0,0
1111,200.0,19,0
1028,200.0,0,0
1102,200.0,0,0
1066,200.0,74,0
1079,200.0,0,0
868,200.0,13,0
1181,200.0,0,1181
1140,200.0,313,0
1151,200.0,0,0
1159,200.0,0,0
1132,200.0,19,0
1167,200.0,0,0
1146,200.0,35,0
1156,200.0,0,0
1140,200.0,10,0
1165,200.0,0,0
1160,200.0,25,0
1137,200.0,0,0
1162,200.0,0,0
1165,200.0,0,0
1133,200.0,28,0
1146,200.0,0,0
1147,200.0,0,0
1106,200.0,14,0
1169,200.0,0,0
1387,200.0,0,1387
1151,200.0,281,0
1209,200.0,0,0
1152,200.0,58,0
1162,200.0,0,0
1142,200.0,10,0
1148,200.0,0,0
1305,200.0,0,0
1144,200.0,163,0
1150,200.0,0,0
1145,200.0,6,0
1124,200.0,0,0
1148,200.0,0,0
1154,200.0,0,0
1123,200.0,30,0
1115,200.0,0,0
1134,200.0,0,0
1154,200.0,0,0
1130,200.0,39,0
1096,200.0,0,0
1113,200.0,0,0
1125,200.0,0,0
1104,200.0,29,0
1123,200.0,0,0
1080,200.0,19,0
1178,200.0,0,0
1183,200.0,0,0
1188,200.0,0,0
1123,200.0,108,0
1080,200.0,0,0
1135,200.0,0,0
1186,200.0,0,0
1136,200.0,106,0
1116,200.0,0,0
1079,200.0,0,0
1150,200.0,0,0
1147,200.0,71,0
1149,200.0,0,0
1133,200.0,2,0
1126,200.0,0,0
1137,200.0,0,0
1051,200.0,11,0
1021,200.0,0,0
941,200.0,0,0
1014,200.0,0,0
1113,200.0,0,0
1096,200.0,172,0
1013,200.0,0,0
1123,200.0,0,0
1014,200.0,110,0
913,200.0,0,0
872,200.0,0,0
1016,200.0,0,0
1079,200.0,0,1079
1053,130.0,207,0
1165,130.0,0,0
1353,130.0,0,0
1489,130.0,0,0
1532,130.0,0,0
1464,130.0,479,0
1485,130.0,0,0
1131,130.0,21,0
953,130.0,0,0
950,130.0,0,0
1002,130.0,0,0
1164,130.0,0,0
1224,130.0,0,0
1319,130.0,0,0
1510,130.0,0,1510
1497,130.0,560,0
1194,130.0,0,0
1559,130.0,0,0
1544,130.0,365,0
1328,130.0,0,0
1206,130.0,0,0
1026,130.0,0,0
960,130.0,0,0
940,130.0,0,0
949,130.0,0,0
1161,130.0,0,0
1244,130.0,0,0
1552,130.0,0,1552
1386,200.0,612,0
1528,200.0,0,0
1393,200.0,142,0
988,200.0,0,0
919,200.0,0,0
996,200.0,0,0
1099,200.0,0,0
1175,200.0,0,0
1310,200.0,0,0
1509,200.0,0,0
1556,200.0,0,1556
1363,200.0,637,0
1451,200.0,0,0
2009,200.0,0,0
1728,200.0,646,0
1186,200.0,0,0
964,200.0,0,0
852,200.0,0,0
727,200.0,0,0
771,200.0,0,0
1045,200.0,0,0
1261,200.0,0,0
1610,200.0,0,0
1662,200.0,0,0
1725,200.0,0,1725
1481,200.0,998,0
1093,200.0,0,0
949,200.0,0,0
932,200.0,0,0
1091,200.0,0,0
1188,200.0,0,0
1340,200.0,0,0
1546,200.0,0,1546
1444,230.0,614,0
1436,230.0,0,0
1604,230.0,0,0
1949,230.0,0,0
1647,230.0,513,0
1291,230.0,0,0
949,230.0,0,0
677,230.0,0,0
630,230.0,0,0
844,230.0,0,0
1240,230.0,0,0
1355,230.0,0,0
1621,230.0,0,1621
1450,200.0,991,0
1685,200.0,0,0
1400,200.0,235,0
1053,200.0,0,0
975,200.0,0,0
1076,200.0,0,0
1099,200.0,0,0
1162,200.0,0,0
1469,200.0,0,0
1534,200.0,0,0
1562,200.0,0,1562
1306,230.0,587,0
1852,230.0,0,0
1762,230.0,546,0
1276,230.0,0,0
1033,230.0,0,0
850,230.0,0,0
796,230.0,0,0
914,230.0,0,0
1113,230.0,0,0
1213,230.0,0,0
1526,230.0,0,1526
1285,200.0,730,0
1577,200.0,0,0
1490,200.0,292,0
1142,200.0,0,0
1080,200.0,0,0
1071,200.0,0,0
1130,200.0,0,0
1260,200.0,0,0
1455,200.0,0,1455
1454,200.0,384,0
1477,200.0,0,0
1357,200.0,23,0
1485,200.0,0,0
2031,200.0,0,0
1697,200.0,674,0
1302,200.0,0,0
1027,200.0,0,0
790,200.0,0,0
665,200.0,0,0
768,200.0,0,0
1028,200.0,0,0
1109,200.0,0,0
1583,200.0,0,1583
1491,130.0,918,0
1826,130.0,0,0
1548,130.0,335,0
1122,130.0,0,0
966,130.0,0,0
1021,130.0,0,0
1077,130.0,0,0
1107,130.0,0,0
1352,130.0,0,0
1534,130.0,0,0
1534,130.0,0,1534
1412,230.0,568,0
1569,230.0,0,0
1985,230.0,0,0
1568,230.0,573,0
1239,230.0,0,0
1024,230.0,0,0
797,230.0,0,0
631,230.0,0,0
731,230.0,0,0
1013,230.0,0,0
1316,230.0,0,0
1710,230.0,0,1710
1582,200.0,1079,0
1710,200.0,0,0
1485,200.0,128,0
1092,200.0,0,0
996,200.0,0,0
1016,200.0,0,0
1001,200.0,20,0
1147,200.0,0,0
1398,200.0,0,0
1502,200.0,0,1502
1445,230.0,501,0
1355,230.0,0,0
1509,230.0,0,0
2128,230.0,0,0
1610,230.0,773,0
1227,230.0,0,0
1043,230.0,0,0
857,230.0,0,0
771,230.0,0,0
863,230.0,0,0
1127,230.0,0,0
1213,230.0,0,0
1221,230.0,0,0
1570,230.0,0,0
1858,230.0,0,1858
1412,200.0,1087,0
904,200.0,0,0
898,200.0,0,0
1074,200.0,0,0
1244,200.0,0,0
1422,200.0,0,0
1739,200.0,0,1739
1485,230.0,841,0
1345,230.0,0,0
1287,230.0,0,0
2012,230.0,0,0
2072,230.0,0,0
1419,230.0,785,0
1288,230.0,0,0
1109,230.0,0,0
738,230.0,0,0
598,230.0,0,0
697,230.0,0,0
1055,230.0,0,0
1529,230.0,0,0
1842,230.0,0,1842
1700,200.0,1244,0
1805,200.0,0,0
1327,200.0,105,0
1059,200.0,0,0
1036,200.0,0,0
1044,200.0,0,0
1046,200.0,0,0
1209,200.0,0,0
1561,200.0,0,1561
1555,230.0,525,0
1567,230.0,0,0
1378,230.0,12,0
2056,230.0,0,0
1974,230.0,678,0
1319,230.0,0,0
974,230.0,0,0
823,230.0,0,0
670,230.0,0,0
781,230.0,0,0
954,230.0,0,0
1182,230.0,0,0
1628,230.0,0,0
1732,230.0,0,0
2046,230.0,0,2046
1525,200.0,1376,0
1074,200.0,0,0
998,200.0,0,0
964,200.0,0,0
1002,200.0,0,0
1103,200.0,0,0
1496,200.0,0,0
1573,200.0,0,0
1590,200.0,0,1590
1362,230.0,626,0
1731,230.0,0,0
2096,230.0,0,0
1489,230.0,734,0
1210,230.0,0,0
989,230.0,0,0
781,230.0,0,0
675,230.0,0,0
843,230.0,0,0
1149,230.0,0,0
1255,230.0,0,0
1498,230.0,0,1498
1386,200.0,823,0
1758,200.0,0,0
1487,200.0,372,0
1259,200.0,0,0
1201,200.0,0,0
1243,200.0,0,0
1137,200.0,42,0
1156,200.0,0,0
1398,200.0,0,1398
1368,200.0,261,0
1572,200.0,0,0
1608,200.0,0,0
1372,200.0,240,0
1960,200.0,0,0
1483,200.0,588,0
1214,200.0,0,0
1091,200.0,0,0
951,200.0,0,0
922,200.0,0,0
910,200.0,0,0
1118,200.0,0,0
1255,200.0,0,0
1480,200.0,0,1480
1141,130.0,570,0
1282,130.0,0,0
1749,130.0,0,0
1428,130.0,608,0
1310,130.0,0,0
1119,130.0,0,0
1200,130.0,0,0
1150,130.0,81,0
1177,130.0,0,0
1388,130.0,0,1388
1312,200.0,238,0
1500,200.0,0,0
