G,T,D,S
1097,200.0,0,0
933,200.0,0,0
960,200.0,0,0
968,200.0,0,0
893,200.0,35,0
895,200.0,0,0
884,200.0,0,0
880,200.0,0,0
854,200.0,0,0
754,200.0,0,0
850,200.0,0,0
766,200.0,0,0
836,200.0,0,0
762,200.0,0,0
754,200.0,0,0
762,200.0,0,0
744,200.0,0,0
761,200.0,0,0
763,200.0,0,0
722,200.0,19,0
762,200.0,0,0
754,200.0,0,0
746,200.0,0,0
751,200.0,0,0
737,200.0,0,0
716,200.0,0,0
753,200.0,0,0
868,200.0,0,0
767,200.0,152,0
742,200.0,0,0
723,200.0,0,0
767,200.0,0,0
737,200.0,0,0
721,200.0,0,0
762,200.0,0,0
759,200.0,0,0
753,200.0,0,0
754,200.0,0,0
755,200.0,0,0
760,200.0,0,0
772,200.0,0,0
748,200.0,19,0
771,200.0,0,0
765,200.0,0,0
765,200.0,0,0
766,200.0,0,0
694,200.0,1,0
767,200.0,0,0
766,200.0,0,0
760,200.0,0,0
760,200.0,0,0
757,200.0,0,0
759,200.0,0,0
760,200.0,0,0
767,200.0,0,0
771,200.0,0,0
754,200.0,14,0
744,200.0,0,0
760,200.0,0,0
764,200.0,0,0
778,200.0,0,0
766,200.0,34,0
764,200.0,0,0
777,200.0,0,0
752,200.0,0,0
772,200.0,0,0
750,200.0,0,0
777,200.0,0,0
784,200.0,0,0
767,200.0,34,0
760,200.0,0,0
768,200.0,0,0
763,200.0,0,0
746,200.0,0,0
758,200.0,0,0
767,200.0,0,0
765,200.0,21,0
733,200.0,0,0
767,200.0,0,0
754,200.0,0,0
774,200.0,0,0
836,200.0,0,0
756,200.0,82,0
767,200.0,0,0
778,200.0,0,0
767,200.0,22,0
745,200.0,0,0
757,200.0,0,0
754,200.0,0,0
779,200.0,0,0
775,200.0,0,0
758,200.0,0,0
759,200.0,0,0
738,200.0,0,0
743,200.0,0,0
751,200.0,0,0
726,200.0,13,0
722,200.0,0,0
689,200.0,0,0
696,200.0,0,0
706,200.0,0,0
735,200.0,0,0
798,200.0,0,0
858,200.0,0,0
788,200.0,169,0
802,200.0,0,0
787,200.0,0,0
888,200.0,0,0
902,200.0,0,0
892,200.0,115,0
1114,200.0,0,0
1163,200.0,0,1163
1148,200.0,271,0
999,200.0,0,0
944,200.0,0,0
870,200.0,0,0
870,200.0,0,0
1028,200.0,0,0
1054,200.0,0,0
1113,200.0,0,0
1421,200.0,0,1421
1166,200.0,551,0
1232,200.0,0,0
960,200.0,66,0
1050,200.0,0,0
1055,200.0,0,0
1270,200.0,0,1270
1128,130.0,310,0
965,130.0,0,0
875,130.0,0,0
912,130.0,0,0
1151,130.0,0,0
1944,130.0,0,0
2485,130.0,0,2485
1955,130.0,1610,0
1353,130.0,0,0
974,130.0,0,0
714,130.0,0,0
554,130.0,0,0
629,130.0,0,0
993,130.0,0,0
2700,130.0,0,0
4474,130.0,0,4474
1919,230.0,3920,0
1096,230.0,0,0
1081,230.0,0,0
776,230.0,0,0
1082,230.0,0,0
1063,230.0,306,0
1635,230.0,0,0
4663,230.0,0,4663
2702,430.0,3600,0
1371,430.0,0,0
1006,430.0,0,0
719,430.0,0,0
683,430.0,0,0
941,430.0,0,0
3773,430.0,0,3773
