G,T,D,S
1306,200.0,0,0
1202,200.0,0,0
1075,200.0,0,0
1238,200.0,0,0
1192,200.0,163,0
1115,200.0,0,0
1155,200.0,0,0
1156,200.0,0,0
1199,200.0,0,0
1154,200.0,84,0
1191,200.0,0,0
872,200.0,37,0
1042,200.0,0,0
1294,200.0,0,0
1518,200.0,0,1518
1171,200.0,646,0
1222,200.0,0,0
1294,200.0,0,0
1361,200.0,0,0
1209,200.0,190,0
1218,200.0,0,0
1130,200.0,9,0
1280,200.0,0,0
1216,200.0,150,0
1279,200.0,0,0
1226,200.0,63,0
1251,200.0,0,0
1238,200.0,25,0
1237,200.0,0,0
1185,200.0,0,0
1253,200.0,0,0
1231,200.0,68,0
1259,200.0,0,0
1297,200.0,0,0
1241,200.0,66,0
1094,200.0,0,0
1180,200.0,0,0
1096,200.0,86,0
1176,200.0,0,0
1102,200.0,80,0
1253,200.0,0,0
1259,200.0,0,0
1246,200.0,157,0
1263,200.0,0,0
1214,200.0,17,0
1259,200.0,0,0
1243,200.0,45,0
1240,200.0,0,0
1216,200.0,0,0
1262,200.0,0,0
1243,200.0,46,0
1262,200.0,0,0
1223,200.0,19,0
1273,200.0,0,0
1251,200.0,50,0
1244,200.0,0,0
1266,200.0,0,0
1241,200.0,22,0
1272,200.0,0,0
1262,200.0,31,0
1258,200.0,0,0
1217,200.0,0,0
1284,200.0,0,0
1255,200.0,67,0
1277,200.0,0,0
1557,200.0,0,1557
1282,200.0,302,0
1248,200.0,0,0
1271,200.0,0,0
1229,200.0,23,0
1259,200.0,0,0
1262,200.0,0,0
1274,200.0,0,0
1281,200.0,0,0
1240,200.0,52,0
1313,200.0,0,0
1316,200.0,0,0
1256,200.0,76,0
1223,200.0,0,0
1217,200.0,0,0
1223,200.0,0,0
1220,200.0,6,0
1215,200.0,0,0
1229,200.0,0,0
1269,200.0,0,0
1301,200.0,0,0
1272,200.0,86,0
1482,200.0,0,1482
1273,200.0,210,0
1265,200.0,0,0
1276,200.0,0,0
1296,200.0,0,0
1271,200.0,31,0
1342,200.0,0,0
1202,200.0,71,0
1357,200.0,0,0
1217,130.0,155,0
1250,130.0,0,0
1283,130.0,0,0
1252,130.0,66,0
1393,130.0,0,0
1200,130.0,141,0
1264,130.0,0,0
1232,130.0,64,0
1257,130.0,0,0
1232,130.0,25,0
1228,130.0,0,0
1257,130.0,0,0
1251,130.0,29,0
1235,130.0,0,0
1310,130.0,0,0
1312,130.0,0,0
1198,130.0,77,0
1188,130.0,0,0
1223,130.0,0,0
1298,130.0,0,0
1325,130.0,0,0
1394,130.0,0,1394
1328,130.0,206,0
1266,130.0,0,0
1232,130.0,0,0
1287,130.0,0,0
1202,130.0,55,0
1301,130.0,0,0
1148,130.0,99,0
1181,130.0,0,0
1193,130.0,0,0
1134,130.0,45,0
1087,130.0,0,0
1076,130.0,0,0
1075,130.0,0,0
1029,130.0,0,0
1155,130.0,0,0
1340,130.0,0,1340
1234,130.0,311,0
1560,130.0,0,0
1430,130.0,326,0
1189,130.0,0,0
1135,130.0,0,0
1069,130.0,0,0
1086,130.0,0,0
1100,130.0,0,0
1101,130.0,0,0
1291,130.0,0,0
1368,130.0,0,0
1535,130.0,0,1535
1129,200.0,466,0
1138,200.0,0,0
1303,200.0,0,0
1260,200.0,174,0
1093,200.0,0,0
972,200.0,0,0
1017,200.0,0,0
1010,200.0,45,0
1104,200.0,0,0
1114,200.0,0,0
1230,200.0,0,0
1299,200.0,0,0
1402,200.0,0,1402
1236,200.0,392,0
860,200.0,0,0
1140,200.0,0,0
1202,200.0,0,0
1042,200.0,342,0
1045,200.0,0,0
1037,200.0,3,0
1141,200.0,0,0
1109,200.0,104,0
1145,200.0,0,0
1221,200.0,0,0
1439,200.0,0,1439
1350,200.0,330,0
959,200.0,0,0
1266,200.0,0,0
1212,200.0,307,0
937,200.0,0,0
993,200.0,0,0
1037,200.0,0,0
984,200.0,100,0
1059,200.0,0,0
1087,200.0,0,0
1273,200.0,0,1273
1239,200.0,289,0
1439,200.0,0,0
1202,200.0,200,0
659,200.0,0,0
1257,200.0,0,0
1235,200.0,598,0
1113,200.0,0,0
1022,200.0,0,0
1044,200.0,0,0
1127,200.0,0,0
1140,200.0,0,0
1072,200.0,118,0
1241,200.0,0,0
1213,200.0,169,0
1323,200.0,0,0
1444,200.0,0,0
1068,200.0,231,0
1229,200.0,0,0
1382,200.0,0,1382
1261,130.0,314,0
1037,130.0,0,0
1035,130.0,0,0
934,130.0,0,0
948,130.0,0,0
926,130.0,0,0
1174,130.0,0,0
1308,130.0,0,0
1510,130.0,0,1510
1262,200.0,584,0
950,200.0,0,0
1249,200.0,0,0
1205,200.0,299,0
1041,200.0,0,0
1045,200.0,0,0
1063,200.0,0,0
1098,200.0,0,0
1112,200.0,0,0
1314,200.0,0,1314
1301,200.0,273,0
1375,200.0,0,0
1329,200.0,74,0
1115,200.0,0,0
1328,200.0,0,0
1314,200.0,213,0
1148,200.0,0,0
1029,200.0,0,0
1016,200.0,0,0
1105,200.0,0,0
991,200.0,89,0
1018,200.0,0,0
1268,200.0,0,0
1349,200.0,0,0
1509,200.0,0,1509
965,200.0,518,0
892,200.0,0,0
1293,200.0,0,0
1140,200.0,401,0
1090,200.0,0,0
1067,200.0,0,0
1100,200.0,0,0
1134,200.0,0,0
1179,200.0,0,0
1262,200.0,0,0
1217,200.0,195,0
1245,200.0,0,0
1474,200.0,0,0
1194,200.0,257,0
1272,200.0,0,0
1353,200.0,0,0
1224,130.0,159,0
1038,130.0,0,0
952,130.0,0,0
1036,130.0,0,0
1019,130.0,84,0
1010,130.0,0,0
1153,130.0,0,0
1311,130.0,0,0
1551,130.0,0,1551
1290,130.0,541,0
895,130.0,0,0
1212,130.0,0,0
1203,130.0,317,0
1073,130.0,0,0
1055,130.0,0,0
1040,130.0,0,0
1123,130.0,0,0
1115,130.0,83,0
1161,130.0,0,0
1311,130.0,0,0
1348,130.0,0,0
1436,130.0,0,1436
1085,200.0,321,0
1055,200.0,0,0
1349,200.0,0,0
1390,200.0,0,0
1153,200.0,335,0
976,200.0,0,0
982,200.0,0,0
913,200.0,6,0
936,200.0,0,0
1114,200.0,0,0
1302,200.0,0,0
1447,200.0,0,0
1543,200.0,0,1543
921,200.0,630,0
1009,200.0,0,0
1418,200.0,0,0
1066,200.0,497,0
1109,200.0,0,0
1040,200.0,43,0
1082,200.0,0,0
1057,200.0,42,0
1100,200.0,0,0
1238,200.0,0,0
1202,200.0,181,0
1287,200.0,0,0
1401,200.0,0,0
1042,200.0,199,0
1054,200.0,0,0
1427,200.0,0,1427
1304,130.0,385,0
