G,T,D,S
1408,200.0,0,0
1361,200.0,0,0
1173,200.0,0,0
1251,200.0,0,0
1246,200.0,78,0
1181,200.0,0,0
1186,200.0,0,0
1057,200.0,5,0
1170,200.0,0,0
1265,200.0,0,1265
1219,200.0,208,0
1143,200.0,0,0
1149,200.0,0,0
1163,200.0,0,0
1185,200.0,0,0
1186,200.0,0,0
1238,200.0,0,0
1153,200.0,95,0
1174,200.0,0,0
1153,200.0,21,0
1196,200.0,0,0
1069,200.0,43,0
1113,200.0,0,0
1260,200.0,0,0
1002,200.0,191,0
920,200.0,0,0
1067,200.0,0,0
1355,200.0,0,0
1607,200.0,0,0
1671,200.0,0,1671
1413,200.0,751,0
1318,200.0,0,0
1372,200.0,0,0
1349,200.0,54,0
1284,200.0,0,0
1292,200.0,0,0
1283,200.0,8,0
1357,200.0,0,0
1367,200.0,0,0
1306,200.0,84,0
1256,200.0,0,0
1283,200.0,0,0
1278,200.0,27,0
1268,200.0,0,0
1118,200.0,0,0
1189,200.0,0,0
1266,200.0,0,0
1461,200.0,0,1461
1308,200.0,343,0
1197,200.0,0,0
1076,200.0,0,0
966,200.0,0,0
1028,200.0,0,0
1185,200.0,0,0
1544,200.0,0,1544
1513,200.0,578,0
1571,200.0,0,0
1523,200.0,58,0
1600,200.0,0,0
1534,200.0,77,0
1458,200.0,0,0
1409,200.0,0,0
1506,200.0,0,0
1547,200.0,0,0
1611,200.0,0,1611
1291,230.0,202,0
1729,230.0,0,0
2086,230.0,0,0
1976,230.0,795,0
1921,230.0,0,0
1559,230.0,0,0
1319,230.0,0,0
1375,230.0,0,0
1581,230.0,0,1581
1428,200.0,262,0
1418,200.0,0,0
1541,200.0,0,0
1602,200.0,0,0
1460,200.0,184,0
1513,200.0,0,0
1552,200.0,0,0
1648,200.0,0,0
1929,200.0,0,1929
1850,200.0,469,0
1592,200.0,0,0
1521,200.0,0,0
2135,200.0,0,0
2021,200.0,614,0
1764,200.0,0,0
1689,200.0,0,0
1699,200.0,0,0
1706,200.0,0,0
1387,200.0,17,0
1380,200.0,0,0
1252,200.0,0,0
1364,200.0,0,0
1513,200.0,0,1513
1430,230.0,261,0
1520,230.0,0,0
1874,230.0,0,0
1912,230.0,0,0
1944,230.0,0,0
1903,230.0,514,0
1614,230.0,0,0
1711,230.0,0,0
1903,230.0,0,0
1961,230.0,0,1961
1554,200.0,347,0
1588,200.0,0,0
1678,200.0,0,0
1697,200.0,0,0
1759,200.0,0,0
1582,200.0,205,0
1972,200.0,0,1972
1607,200.0,390,0
1953,200.0,0,0
2324,200.0,0,0
2153,200.0,717,0
1758,200.0,0,0
1583,200.0,0,0
1703,200.0,0,0
1570,200.0,120,0
1284,200.0,0,0
1719,200.0,0,0
2445,200.0,0,2445
2351,200.0,1161,0
1859,200.0,0,0
1668,200.0,0,0
1714,200.0,0,0
1456,200.0,46,0
1655,200.0,0,0
1341,230.0,199,0
1402,230.0,0,0
1591,230.0,0,0
1760,230.0,0,0
1694,230.0,419,0
1909,230.0,0,0
2065,230.0,0,0
2081,230.0,0,2081
2076,200.0,387,0
1845,200.0,0,0
1742,200.0,0,0
1820,200.0,0,0
2313,200.0,0,0
1922,200.0,571,0
1821,200.0,0,0
1909,200.0,0,0
1817,200.0,88,0
1536,200.0,0,0
1358,200.0,0,0
1267,200.0,0,0
1426,200.0,0,0
1653,200.0,0,0
1760,200.0,0,0
1774,200.0,0,0
1893,200.0,0,0
2056,200.0,0,0
2062,200.0,0,2062
2039,200.0,795,0
1851,200.0,0,0
1549,200.0,0,0
1695,200.0,0,0
2195,200.0,0,0
2147,200.0,646,0
1608,200.0,0,0
1612,200.0,0,0
1564,200.0,4,0
1644,200.0,0,0
1340,200.0,80,0
1171,200.0,0,0
1106,200.0,0,0
1425,200.0,0,0
1641,200.0,0,1641
1584,230.0,535,0
1594,230.0,0,0
2036,230.0,0,0
2002,230.0,452,0
1841,230.0,0,0
1709,230.0,0,0
1412,230.0,0,0
1336,230.0,0,0
2253,230.0,0,2253
2133,230.0,917,0
1621,230.0,0,0
1677,230.0,0,0
1751,230.0,0,0
1524,230.0,130,0
1359,230.0,0,0
1416,230.0,0,0
1413,230.0,57,0
1342,230.0,0,0
902,230.0,0,0
1348,230.0,0,0
