G,T,D,S
1445,200.0,0,0
1240,200.0,0,0
1204,200.0,0,0
1156,200.0,0,0
780,200.0,0,0
1340,200.0,0,1340
1322,200.0,560,0
1324,200.0,0,0
1310,200.0,2,0
1426,200.0,0,0
1136,200.0,116,0
1183,200.0,0,0
1246,200.0,0,0
795,200.0,110,0
1358,200.0,0,1358
1306,200.0,563,0
1324,200.0,0,0
1318,200.0,18,0
1272,200.0,0,0
1311,200.0,0,0
1330,200.0,0,0
1322,200.0,58,0
1206,200.0,0,0
1307,200.0,0,0
1288,200.0,101,0
1301,200.0,0,0
1326,200.0,0,0
1301,200.0,38,0
1360,200.0,0,0
1339,200.0,59,0
1332,200.0,0,0
1234,200.0,0,0
1302,200.0,0,0
1302,200.0,0,0
1316,200.0,0,0
1445,200.0,0,1445
1324,200.0,211,0
1278,200.0,0,0
1303,200.0,0,0
1192,200.0,25,0
1273,200.0,0,0
1121,200.0,81,0
1028,200.0,0,0
988,200.0,0,0
1274,200.0,0,0
1298,200.0,0,1298
1271,200.0,310,0
1285,200.0,0,0
1316,200.0,0,0
1324,200.0,0,0
1356,200.0,0,0
1359,200.0,0,0
1243,200.0,88,0
1196,200.0,0,0
1333,200.0,0,0
1387,200.0,0,0
1734,200.0,0,1734
1263,230.0,538,0
1335,230.0,0,0
998,230.0,72,0
1416,230.0,0,0
1359,230.0,418,0
1613,230.0,0,1613
844,230.0,254,0
1247,230.0,0,0
1745,230.0,0,0
1264,230.0,901,0
1247,230.0,0,0
1748,230.0,0,1748
1210,200.0,501,0
1448,200.0,0,0
1421,200.0,238,0
1298,200.0,0,0
1269,200.0,0,0
1323,200.0,0,0
1270,200.0,54,0
1399,200.0,0,0
1281,200.0,129,0
1307,200.0,0,0
1334,200.0,0,0
1243,200.0,53,0
1149,200.0,0,0
1032,200.0,0,0
1390,200.0,0,1390
1010,230.0,358,0
1396,230.0,0,0
1154,230.0,386,0
1515,230.0,0,0
1172,230.0,361,0
1326,230.0,0,0
1140,230.0,154,0
1352,230.0,0,0
1447,230.0,0,0
1417,230.0,307,0
1470,230.0,0,0
1411,230.0,53,0
1403,230.0,0,0
1338,230.0,0,0
2152,230.0,0,2152
1387,200.0,814,0
1020,200.0,0,0
1576,200.0,0,0
1243,200.0,556,0
1136,200.0,0,0
1021,200.0,0,0
1255,200.0,0,1255
1145,230.0,234,0
1321,230.0,0,0
1378,230.0,0,0
1232,230.0,233,0
1320,230.0,0,0
1409,230.0,0,0
1439,230.0,0,0
1302,200.0,207,0
1517,200.0,0,0
1289,200.0,215,0
1342,200.0,0,0
1169,200.0,53,0
1184,200.0,0,0
1302,200.0,0,0
1258,200.0,133,0
1239,200.0,0,0
1296,200.0,0,0
1577,200.0,0,0
1442,200.0,338,0
1409,200.0,0,0
1325,200.0,0,0
1289,200.0,0,0
1226,200.0,0,0
1297,200.0,0,0
1356,200.0,0,0
1217,200.0,130,0
1348,200.0,0,0
1332,200.0,131,0
1424,200.0,0,0
1436,200.0,0,0
1374,200.0,104,0
1232,200.0,0,0
1322,200.0,0,0
1231,200.0,90,0
1188,200.0,0,0
1300,200.0,0,0
1421,200.0,0,1421
1411,200.0,233,0
1371,200.0,0,0
1337,200.0,0,0
1347,200.0,0,0
1270,200.0,10,0
1327,200.0,0,0
1364,200.0,0,0
838,200.0,94,0
1399,200.0,0,1399
1171,200.0,561,0
1677,200.0,0,0
1244,200.0,506,0
1319,200.0,0,0
1185,200.0,75,0
1350,200.0,0,0
1250,230.0,165,0
1271,230.0,0,0
1316,230.0,0,0
1220,230.0,66,0
1361,230.0,0,0
1435,230.0,0,0
1339,200.0,215,0
1287,200.0,0,0
1409,200.0,0,0
1356,200.0,122,0
1360,200.0,0,0
1328,200.0,4,0
958,200.0,0,0
1255,200.0,0,1255
1211,200.0,297,0
1213,200.0,0,0
1426,200.0,0,0
1309,200.0,215,0
1509,200.0,0,0
1325,200.0,200,0
1211,200.0,0,0
1233,200.0,0,0
1367,200.0,0,0
1109,230.0,156,0
1454,230.0,0,0
1191,230.0,345,0
1448,230.0,0,0
1389,230.0,257,0
1246,230.0,0,0
1324,230.0,0,0
1225,230.0,78,0
1242,230.0,0,0
1323,230.0,0,0
1425,230.0,0,0
1395,200.0,200,0
1530,200.0,0,0
1275,200.0,135,0
1532,200.0,0,0
1169,200.0,257,0
1361,200.0,0,0
1240,200.0,192,0
1331,200.0,0,0
1244,200.0,91,0
1289,200.0,0,0
1175,200.0,45,0
1396,200.0,0,1396
1123,200.0,221,0
1383,200.0,0,0
1512,200.0,0,0
1108,200.0,389,0
1284,200.0,0,0
1328,200.0,0,0
1351,200.0,0,0
1469,200.0,0,1469
1447,200.0,361,0
1175,200.0,0,0
1465,200.0,0,0
1279,200.0,290,0
1388,200.0,0,0
1198,200.0,109,0
1377,200.0,0,0
1192,230.0,179,0
1313,230.0,0,0
1152,230.0,121,0
1401,230.0,0,0
1321,230.0,249,0
1569,230.0,0,1569
1276,200.0,248,0
984,200.0,0,0
1298,200.0,0,0
1497,200.0,0,0
1397,200.0,513,0
1292,200.0,0,0
1275,200.0,0,0
1482,200.0,0,1482
1433,200.0,207,0
1424,200.0,0,0
1568,200.0,0,0
1380,200.0,144,0
1034,200.0,0,0
1484,200.0,0,1484
1256,200.0,450,0
1224,200.0,0,0
1248,200.0,0,0
1514,200.0,0,0
1274,200.0,290,0
1241,200.0,0,0
1392,200.0,0,0
1423,200.0,0,0
1226,230.0,182,0
1260,230.0,0,0
1213,230.0,34,0
1428,230.0,0,0
1255,230.0,215,0
1391,230.0,0,0
1529,230.0,0,1529
1270,200.0,274,0
1285,200.0,0,0
1295,200.0,0,0
1259,200.0,25,0
1145,200.0,0,0
1306,200.0,0,0
1208,230.0,161,0
1282,230.0,0,0
1295,230.0,0,0
1423,230.0,0,0
1355,230.0,215,0
1383,230.0,0,0
1176,230.0,28,0
1297,230.0,0,0
1060,230.0,121,0
1333,230.0,0,1333
1277,200.0,273,0
1365,200.0,0,0
1346,200.0,88,0
1411,200.0,0,0
1343,200.0,65,0
1259,200.0,0,0
1296,200.0,0,0
1336,200.0,0,0
1365,200.0,0,0
1336,200.0,106,0
1180,200.0,0,0
1257,200.0,0,0
1267,200.0,0,0
1313,200.0,0,0
1300,230.0,133,0
1230,230.0,0,0
1354,230.0,0,0
1169,230.0,124,0
1342,230.0,0,0
1410,230.0,0,1410
1275,200.0,241,0
1338,200.0,0,0
1409,200.0,0,0
1473,200.0,0,0
1474,200.0,0,0
1362,200.0,199,0
1177,200.0,0,0
1367,200.0,0,0
1316,200.0,190,0
1247,200.0,0,0
1414,200.0,0,0
1289,200.0,167,0
1517,200.0,0,0
1215,200.0,228,0
1144,200.0,0,0
1222,200.0,0,0
1340,200.0,0,0
1455,200.0,0,1455
1334,200.0,311,0
1364,200.0,0,0
1474,200.0,0,0
1267,200.0,140,0
1229,200.0,0,0
1251,200.0,0,0
1333,200.0,0,0
1276,200.0,104,0
1301,200.0,0,0
1196,200.0,25,0
1367,200.0,0,0
1294,230.0,171,0
1246,230.0,0,0
1252,230.0,0,0
1208,230.0,6,0
1378,230.0,0,0
1266,230.0,170,0
1407,230.0,0,0
1423,230.0,0,0
1229,200.0,157,0
1576,200.0,0,0
1477,200.0,347,0
1539,200.0,0,0
1308,200.0,62,0
1357,200.0,0,0
1428,200.0,0,0
1214,200.0,120,0
1505,200.0,0,1505
1254,200.0,291,0
1197,200.0,0,0
1357,200.0,0,0
1138,200.0,160,0
1239,200.0,0,0
1329,200.0,0,0
1407,200.0,0,1407
1304,230.0,269,0
1419,230.0,0,0
1265,230.0,115,0
1377,230.0,0,0
1356,230.0,112,0
1428,230.0,0,0
1318,230.0,72,0
1307,230.0,0,0
1321,230.0,0,0
1354,230.0,0,0
1309,230.0,47,0
1288,230.0,0,0
1277,230.0,0,0
1234,230.0,0,0
1290,230.0,0,0
1301,230.0,0,0
1539,230.0,0,1539
1465,230.0,305,0
1324,230.0,0,0
1348,230.0,0,0
1387,230.0,0,0
1212,230.0,63,0
1345,230.0,0,0
1293,230.0,133,0
1351,230.0,0,0
1335,230.0,58,0
1363,230.0,0,0
1331,230.0,28,0
1267,230.0,0,0
1390,230.0,0,0
1229,230.0,123,0
1389,230.0,0,0
1278,200.0,160,0
1470,200.0,0,0
1259,200.0,192,0
1359,200.0,0,0
1405,200.0,0,0
1348,200.0,146,0
1251,200.0,0,0
1334,200.0,0,0
1335,200.0,0,0
1237,200.0,84,0
1435,200.0,0,0
1443,200.0,0,1443
1193,200.0,206,0
1366,200.0,0,0
1342,200.0,173,0
1331,200.0,0,0
1189,200.0,0,0
1451,200.0,0,1451
1392,200.0,262,0
1420,200.0,0,0
1108,200.0,28,0
1169,200.0,0,0
1256,200.0,0,0
1369,200.0,0,1369
1070,200.0,261,0
1392,200.0,0,0
1408,200.0,0,0
1205,200.0,338,0
1263,200.0,0,0
1313,200.0,0,0
1415,200.0,0,1415
1313,200.0,210,0
1453,200.0,0,0
1299,200.0,140,0
1194,200.0,0,0
1419,200.0,0,0
1256,200.0,225,0
1266,200.0,0,0
1383,200.0,0,0
1380,200.0,127,0
1349,200.0,0,0
1291,200.0,0,0
1338,200.0,0,0
1211,200.0,47,0
1414,200.0,0,1414
1164,200.0,203,0
1443,200.0,0,0
1472,200.0,0,0
1179,200.0,308,0
1389,200.0,0,0
1188,200.0,210,0
1267,200.0,0,0
1343,200.0,0,0
1300,200.0,155,0
1205,200.0,0,0
1256,200.0,0,0
1311,200.0,0,0
1333,200.0,0,0
1221,200.0,128,0
1450,200.0,0,1450
1281,200.0,229,0
1311,200.0,0,0
1284,200.0,30,0
1375,200.0,0,0
1383,200.0,0,0
1377,200.0,99,0
1255,200.0,0,0
1291,200.0,0,0
1312,200.0,0,0
1440,200.0,0,0
1219,200.0,185,0
1339,200.0,0,0
1298,200.0,120,0
1462,200.0,0,0
1310,200.0,164,0
1374,200.0,0,0
1398,200.0,0,0
1296,200.0,88,0
1371,200.0,0,0
1291,200.0,75,0
1342,200.0,0,0
1368,200.0,0,0
1278,200.0,77,0
1400,200.0,0,0
1009,200.0,122,0
1446,200.0,0,1446
1379,200.0,437,0
1257,200.0,0,0
1212,200.0,0,0
1169,200.0,0,0
1669,200.0,0,0
1355,200.0,500,0
1216,200.0,0,0
1269,200.0,0,0
1400,200.0,0,0
1386,230.0,184,0
1262,230.0,0,0
1184,230.0,0,0
1438,230.0,0,0
1373,230.0,254,0
1506,230.0,0,0
1096,200.0,133,0
1133,200.0,0,0
1278,200.0,0,0
1316,200.0,0,0
1265,200.0,220,0
1299,200.0,0,0
1362,200.0,0,0
1569,200.0,0,1569
1362,200.0,304,0
1126,200.0,0,0
1281,200.0,0,0
1453,200.0,0,0
1317,200.0,327,0
1329,200.0,0,0
1442,200.0,0,0
1344,200.0,125,0
1372,200.0,0,0
1274,200.0,28,0
1432,200.0,0,0
1249,230.0,158,0
1335,230.0,0,0
1248,230.0,86,0
1191,230.0,0,0
1401,230.0,0,0
1245,230.0,210,0
1338,230.0,0,0
1304,230.0,93,0
1422,230.0,0,0
1476,230.0,0,0
1354,200.0,172,0
1278,200.0,0,0
1394,200.0,0,0
1462,200.0,0,0
1278,200.0,184,0
1175,200.0,0,0
1361,200.0,0,0
1415,200.0,0,1415
1307,200.0,240,0
1233,200.0,0,0
1320,200.0,0,0
1346,200.0,0,0
1284,200.0,113,0
1300,200.0,0,0
1140,200.0,16,0
1308,200.0,0,0
1355,200.0,0,0
1465,200.0,0,1465
1344,200.0,325,0
1411,200.0,0,0
1363,200.0,67,0
1342,200.0,0,0
1292,200.0,0,0
1419,200.0,0,0
1254,200.0,127,0
1168,200.0,0,0
1440,200.0,0,1440
1300,230.0,272,0
1382,230.0,0,0
1350,230.0,82,0
1405,230.0,0,0
1087,230.0,55,0
1282,230.0,0,0
1254,230.0,195,0
1342,230.0,0,0
1367,230.0,0,0
1591,230.0,0,0
1293,230.0,337,0
1381,230.0,0,0
1492,230.0,0,0
1434,200.0,199,0
1303,200.0,0,0
