G,T
1262,200.0
1442,200.0
1653,200.0
1569,200.0
1326,200.0
1102,200.0
930,200.0
994,200.0
1090,200.0
1193,200.0
1037,200.0
1203,200.0
1134,200.0
1214,200.0
1155,200.0
1223,200.0
1127,200.0
1237,200.0
1369,200.0
1295,200.0
1464,200.0
1383,200.0
1290,200.0
1279,200.0
1329,200.0
1452,200.0
1368,200.0
1224,200.0
1235,200.0
1302,200.0
1310,200.0
1269,200.0
1263,200.0
1182,200.0
1240,200.0
1241,200.0
1289,200.0
1287,200.0
1253,200.0
1265,200.0
1286,200.0
1325,200.0
1270,200.0
1267,200.0
1264,200.0
1259,200.0
1287,200.0
1278,200.0
1250,200.0
1220,200.0
1143,200.0
1111,200.0
1035,200.0
1019,200.0
1104,200.0
1184,200.0
1555,200.0
2133,200.0
2344,200.0
2480,200.0
2046,200.0
1445,200.0
1201,200.0
1399,200.0
1038,200.0
2078,200.0
5683,200.0
4888,230.0
3028,230.0
1589,230.0
1535,230.0
1473,230.0
1170,230.0
1244,230.0
3650,230.0
4881,230.0
2244,430.0
1233,430.0
827,430.0
1137,430.0
1592,430.0
1288,430.0
3564,430.0
5983,430.0
3385,430.0
1690,430.0
1716,430.0
1704,430.0
1272,430.0
1082,430.0
3385,430.0
5626,430.0
2123,430.0
1034,430.0
1159,430.0
1618,430.0
1186,430.0
2581,430.0
6298,430.0
3296,430.0
1444,430.0
1947,430.0
2142,430.0
1356,430.0
1775,430.0
5989,430.0
4109,430.0
1105,430.0
784,430.0
1558,430.0
1830,430.0
1620,430.0
3354,430.0
5854,430.0
2791,430.0
1536,430.0
1837,430.0
1756,430.0
1290,430.0
1413,430.0
4924,430.0
4297,430.0
874,430.0
856,430.0
1257,430.0
1696,430.0
1675,430.0
4198,430.0
5015,430.0
2489,430.0
1341,430.0
1935,430.0
1582,430.0
1230,430.0
3033,430.0
5201,430.0
3006,430.0
453,430.0
816,430.0
1257,430.0
1450,430.0
1482,430.0
4414,430.0
5281,430.0
2335,430.0
1367,430.0
2030,430.0
1568,430.0
1065,430.0
3661,430.0
4310,430.0
2013,430.0
615,430.0
681,430.0
1283,430.0
1539,430.0
2124,430.0
5036,430.0
3535,430.0
1464,430.0
1253,430.0
1918,430.0
1393,430.0
1507,430.0
4380,430.0
4790,430.0
1752,430.0
539,430.0
874,430.0
1499,430.0
1752,430.0
1437,430.0
5418,430.0
4629,430.0
2045,430.0
1203,430.0
1360,430.0
1399,430.0
1289,430.0
1762,430.0
5565,430.0
3679,430.0
1349,430.0
947,430.0
871,430.0
1271,430.0
884,430.0
1626,430.0
4806,430.0
3705,430.0
2446,430.0
1391,430.0
2223,430.0
2528,430.0
2312,430.0
4840,430.0
4510,430.0
2029,430.0
1277,430.0
1196,430.0
1654,430.0
832,430.0
2034,430.0
4980,430.0
3599,430.0
2093,430.0
1366,430.0
1784,430.0
1686,430.0
1462,430.0
4027,430.0
4326,430.0
2085,430.0
1095,430.0
902,430.0
1370,430.0
1508,430.0
1410,430.0
5470,430.0
3895,430.0
1890,430.0
1646,430.0
1565,430.0
1317,430.0
1202,430.0
3041,430.0
4984,430.0
2425,430.0
782,430.0
755,430.0
1144,430.0
1397,430.0
1341,430.0
4046,430.0
4825,430.0
2302,430.0
1311,430.0
1685,430.0
1435,430.0
1326,430.0
1623,430.0
3962,430.0
4298,430.0
1576,430.0
742,430.0
952,430.0
1559,430.0
1079,430.0
2021,430.0
5573,430.0
3330,430.0
1802,430.0
1380,430.0
1687,430.0
1770,430.0
1400,430.0
2425,430.0
4777,430.0
3356,430.0
1497,430.0
954,430.0
1123,430.0
1214,430.0
1004,430.0
3119,430.0
4706,430.0
2385,430.0
1203,430.0
1209,430.0
1625,430.0
1588,430.0
2040,430.0
5286,430.0
3952,430.0
1406,430.0
1237,430.0
1252,430.0
1362,430.0
949,430.0
2215,430.0
5854,430.0
3013,430.0
1593,430.0
1915,430.0
1806,430.0
1548,430.0
1386,430.0
4526,430.0
4725,430.0
1755,430.0
779,430.0
1588,430.0
1531,430.0
1090,430.0
3710,430.0
5496,430.0
2744,430.0
1170,430.0
2127,430.0
1410,430.0
984,430.0
1155,430.0
3969,430.0
4835,430.0
2073,430.0
759,430.0
1009,430.0
1747,430.0
1112,430.0
2386,430.0
6299,430.0
2744,430.0
1380,430.0
1966,430.0
1769,430.0
1220,430.0
2002,430.0
4473,430.0
3662,430.0
1547,430.0
1216,430.0
1225,430.0
1565,430.0
903,430.0
3298,430.0
5942,430.0
2380,430.0
1128,430.0
1470,430.0
1296,430.0
1345,430.0
1801,430.0
4689,430.0
3975,430.0
1213,430.0
690,430.0
1209,430.0
1303,430.0
1014,430.0
3295,430.0
5349,430.0
3177,430.0
1507,430.0
1662,430.0
1761,430.0
1580,430.0
1590,430.0
4615,430.0
4017,430.0
1131,430.0
450,430.0
970,430.0
2055,430.0
1930,430.0
3327,430.0
5651,430.0
2695,430.0
1200,430.0
1582,430.0
1583,430.0
1510,430.0
1671,430.0
4493,430.0
4433,430.0
1436,430.0
867,430.0
1082,430.0
1372,430.0
956,430.0
2045,430.0
5870,430.0
3612,430.0
1801,430.0
1745,430.0
1656,430.0
1308,430.0
1215,430.0
3815,430.0
4980,430.0
2234,430.0
814,430.0
794,430.0
1589,430.0
1451,430.0
2074,430.0
4994,430.0
4036,430.0
1978,430.0
1538,430.0
2021,430.0
1338,430.0
1244,430.0
3532,430.0
4811,430.0
2332,430.0
712,430.0
636,430.0
953,430.0
1335,430.0
1309,430.0
4446,430.0
4777,430.0
1948,430.0
1181,430.0
1686,430.0
1507,430.0
1421,430.0
1958,430.0
4617,430.0
3880,430.0
1009,430.0
859,430.0
1213,430.0
1319,430.0
1271,430.0
2845,430.0
5259,430.0
2609,430.0
1380,430.0
1632,430.0
1411,430.0
1350,430.0
1495,430.0
4175,430.0
4753,430.0
1651,430.0
722,430.0
1012,430.0
1494,430.0
998,430.0
3436,430.0
5699,430.0
2269,430.0
1246,430.0
1592,430.0
1588,430.0
1404,430.0
1371,430.0
4425,430.0
5127,430.0
1493,430.0
622,430.0
890,430.0
1405,430.0
1078,430.0
2346,430.0
5434,430.0
3816,430.0
1759,430.0
1268,430.0
1657,430.0
1468,430.0
1558,430.0
3638,430.0
5956,430.0
2274,430.0
734,430.0
725,430.0
1086,430.0
1339,430.0
1185,430.0
3178,430.0
5542,430.0
2637,430.0
1376,430.0
1529,430.0
1784,430.0
1524,430.0
1345,430.0
3950,430.0
5023,430.0
1834,430.0
696,430.0
829,430.0
1403,430.0
1198,430.0
1556,430.0
4730,430.0
4449,430.0
2249,430.0
1341,430.0
1983,430.0
1935,430.0
1632,430.0
2532,430.0
5454,430.0
3710,430.0
1365,430.0
1000,430.0
1260,430.0
1592,430.0
1003,430.0
2687,430.0
5382,430.0
3047,430.0
1630,430.0
1700,430.0
2084,430.0
1697,430.0
2196,430.0
5263,430.0
4402,430.0
1572,430.0
1323,430.0
1409,430.0
1106,430.0
1024,430.0
3283,430.0
5106,430.0
2590,430.0
1252,430.0
1388,430.0
1609,430.0
1501,430.0
1149,430.0
3274,430.0
5379,430.0
2481,430.0
613,430.0
829,430.0
1101,430.0
1219,430.0
1017,430.0
3475,430.0
5369,430.0
2268,430.0
1290,430.0
1698,430.0
1743,430.0
1371,430.0
1803,430.0
5507,430.0
3440,430.0
871,430.0
668,430.0
853,430.0
1366,430.0
1105,430.0
3904,430.0
5154,430.0
2502,430.0
1414,430.0
1632,430.0
1743,430.0
1474,430.0
1252,430.0
4565,430.0
5019,430.0
1705,430.0
622,430.0
780,430.0
1122,430.0
882,430.0
1166,430.0
4513,430.0
4656,430.0
2509,430.0
1805,430.0
1931,430.0
1910,430.0
1585,430.0
3410,430.0
4769,430.0
2552,430.0
1004,430.0
1107,430.0
1380,430.0
1165,430.0
1280,430.0
5285,430.0
3842,430.0
1705,430.0
1227,430.0
1939,430.0
1811,430.0
1369,430.0
3109,430.0
5668,430.0
2562,430.0
809,430.0
890,430.0
1273,430.0
1233,430.0
1325,430.0
4778,430.0
4790,430.0
2007,430.0
1308,430.0
2104,430.0
1583,430.0
1268,430.0
1846,430.0
5792,430.0
3541,430.0
889,430.0
703,430.0
1094,430.0
1463,430.0
1203,430.0
3362,430.0
5309,430.0
2567,430.0
1423,430.0
1674,430.0
1726,430.0
1563,430.0
1548,430.0
4657,430.0
4354,430.0
1387,430.0
633,430.0
986,430.0
1268,430.0
1029,430.0
2483,430.0
5427,430.0
3315,430.0
1529,430.0
1518,430.0
1808,430.0
1489,430.0
1354,430.0
3982,430.0
4820,430.0
1826,430.0
657,430.0
861,430.0
1286,430.0
1142,430.0
1511,430.0
4228,430.0
5187,430.0
1967,430.0
1274,430.0
1739,430.0
1628,430.0
1431,430.0
3289,430.0
4528,430.0
2447,430.0
1026,430.0
892,430.0
1232,430.0
1434,430.0
