G,T
773,200.0
862,200.0
1730,200.0
1782,200.0
1384,200.0
1497,200.0
1328,200.0
1177,200.0
1082,200.0
1143,200.0
1126,200.0
1072,200.0
1116,200.0
1205,200.0
1327,200.0
1259,200.0
1230,200.0
1185,200.0
1213,200.0
1250,200.0
1257,200.0
1378,200.0
1331,200.0
1193,200.0
1176,200.0
1225,200.0
1310,200.0
1227,200.0
1180,200.0
1240,200.0
1234,200.0
1214,200.0
1189,200.0
1230,200.0
1238,200.0
1239,200.0
1278,200.0
1196,200.0
1061,200.0
1096,200.0
1135,200.0
1187,200.0
1038,200.0
1222,200.0
1206,200.0
1237,200.0
1488,200.0
1240,200.0
1197,200.0
1200,200.0
1196,200.0
1161,200.0
1215,200.0
1231,200.0
1213,200.0
1125,200.0
1141,200.0
1148,200.0
1186,200.0
1199,200.0
1113,200.0
1133,200.0
1213,200.0
1239,200.0
1175,200.0
1136,200.0
1247,200.0
1157,200.0
1128,200.0
1283,200.0
1265,200.0
1300,200.0
1275,200.0
1220,200.0
1241,200.0
1362,200.0
1391,200.0
1368,130.0
1154,130.0
1289,130.0
1636,130.0
1811,130.0
1711,130.0
1576,130.0
1448,130.0
1363,130.0
1281,130.0
1325,130.0
1348,130.0
1253,130.0
1273,130.0
1347,130.0
1474,130.0
1457,130.0
1562,130.0
1648,130.0
1556,130.0
1483,130.0
1438,130.0
1533,130.0
1360,130.0
1591,130.0
1690,130.0
1677,130.0
1767,130.0
1709,130.0
1522,130.0
1350,130.0
1356,130.0
1364,130.0
1290,130.0
1320,130.0
1218,130.0
1377,130.0
1378,130.0
1510,130.0
1777,130.0
1845,130.0
1676,130.0
1669,130.0
1830,130.0
1660,130.0
1437,130.0
1561,130.0
1846,130.0
2015,130.0
1854,200.0
1732,200.0
1550,200.0
1357,200.0
1501,200.0
1278,200.0
1142,200.0
1488,200.0
1478,200.0
1476,200.0
1453,200.0
1487,200.0
1730,200.0
1770,200.0
1835,200.0
1784,130.0
1443,130.0
1400,130.0
1739,130.0
1814,130.0
1571,130.0
1495,130.0
1520,130.0
1595,130.0
1289,130.0
1338,130.0
1158,130.0
1280,130.0
1551,130.0
1602,130.0
1384,130.0
1422,130.0
1654,130.0
1869,130.0
1892,130.0
1878,130.0
1563,130.0
1295,130.0
1499,130.0
1909,130.0
1682,130.0
1488,130.0
1531,130.0
1530,130.0
1547,130.0
1373,130.0
1395,130.0
1268,130.0
1233,130.0
1276,130.0
1380,130.0
1438,130.0
1741,130.0
1879,130.0
1785,200.0
1779,200.0
1656,200.0
1533,200.0
1447,200.0
1808,200.0
2077,200.0
1624,200.0
1486,200.0
1453,200.0
1511,200.0
1463,200.0
1366,200.0
1208,200.0
1184,200.0
1391,200.0
1365,200.0
1327,200.0
1566,200.0
1819,200.0
1819,200.0
1716,200.0
1774,200.0
1670,200.0
1390,200.0
1320,200.0
1854,200.0
1792,130.0
1607,130.0
1696,130.0
1646,130.0
1448,130.0
1276,130.0
1170,130.0
1147,130.0
1022,130.0
1164,130.0
1211,130.0
1480,130.0
1902,130.0
2055,130.0
1815,130.0
1551,130.0
1561,130.0
1762,130.0
1764,130.0
1403,130.0
1790,130.0
1824,130.0
1777,230.0
1846,230.0
1836,230.0
1363,230.0
1231,230.0
1216,230.0
1139,230.0
912,230.0
1076,230.0
1250,230.0
1611,230.0
1913,230.0
1982,230.0
1836,130.0
1598,130.0
1614,130.0
1685,130.0
1559,130.0
1282,130.0
1632,130.0
1903,130.0
1804,230.0
1627,230.0
1599,230.0
1552,230.0
1240,230.0
1479,230.0
1203,230.0
1118,230.0
1190,230.0
1378,230.0
1437,230.0
1521,230.0
1653,230.0
1713,230.0
1731,230.0
1831,230.0
1743,200.0
1568,200.0
1481,200.0
1761,200.0
1805,200.0
1705,200.0
1609,200.0
1572,200.0
1333,200.0
1089,200.0
1266,200.0
1308,200.0
1229,200.0
1373,200.0
1434,200.0
1376,200.0
1473,200.0
1801,200.0
1806,200.0
1686,130.0
1790,130.0
1872,130.0
1629,130.0
1380,130.0
1721,130.0
1897,130.0
1859,130.0
1798,130.0
1666,130.0
1439,130.0
1331,130.0
1320,130.0
1292,130.0
1243,130.0
1397,130.0
1699,130.0
1640,130.0
1682,130.0
1890,130.0
1934,130.0
1937,130.0
1944,130.0
1752,130.0
1407,130.0
1492,130.0
2048,130.0
1945,130.0
1720,130.0
1573,130.0
1515,130.0
1350,130.0
1456,130.0
1365,130.0
1236,130.0
1398,130.0
1475,130.0
1439,200.0
1533,200.0
1814,200.0
1869,200.0
1845,200.0
1916,200.0
1807,200.0
1471,200.0
1509,200.0
1891,200.0
1873,130.0
1608,130.0
1538,130.0
1565,130.0
1450,130.0
1507,130.0
1384,130.0
1192,130.0
1366,130.0
1444,130.0
1476,130.0
1524,130.0
1675,130.0
1807,130.0
1755,130.0
1893,130.0
1771,130.0
1457,130.0
1388,130.0
1809,130.0
1876,130.0
1572,200.0
1545,200.0
1510,200.0
1440,200.0
1359,200.0
1313,200.0
1163,200.0
1262,200.0
1411,200.0
1361,130.0
1238,130.0
1443,130.0
1760,130.0
1709,130.0
1715,130.0
1844,130.0
1649,130.0
1341,130.0
1469,130.0
1812,130.0
1590,130.0
1464,130.0
1491,130.0
1568,130.0
1507,130.0
1541,130.0
1371,130.0
1145,130.0
1329,130.0
1417,130.0
1346,130.0
1374,130.0
1691,130.0
1838,130.0
1723,130.0
1911,130.0
1816,130.0
1453,130.0
1404,130.0
1828,130.0
1808,130.0
1599,130.0
1620,130.0
1616,130.0
1422,130.0
1333,130.0
1344,130.0
1398,130.0
1326,130.0
1267,130.0
1349,130.0
1334,130.0
1491,130.0
1632,130.0
1696,130.0
1776,130.0
1856,130.0
1641,130.0
1408,130.0
1676,130.0
1954,130.0
1570,130.0
1348,130.0
1415,130.0
1468,130.0
1370,130.0
1331,130.0
1133,130.0
1225,130.0
1496,130.0
1566,130.0
1442,130.0
1349,130.0
1577,130.0
1661,130.0
1724,130.0
1820,130.0
1652,130.0
1467,130.0
1562,130.0
1949,130.0
1829,130.0
1609,130.0
1596,130.0
1589,130.0
1272,130.0
1331,130.0
1232,130.0
1192,130.0
1235,130.0
1520,130.0
1570,130.0
1446,130.0
1529,130.0
1668,130.0
1787,130.0
1679,130.0
1749,130.0
1531,130.0
1408,130.0
1334,130.0
1865,130.0
1911,130.0
1716,130.0
1737,130.0
1601,130.0
1315,130.0
1246,130.0
1128,130.0
1128,130.0
1313,130.0
1735,130.0
1664,200.0
1389,200.0
1486,200.0
1716,200.0
1677,200.0
1671,200.0
1799,200.0
1490,200.0
1338,200.0
1448,200.0
1804,200.0
1763,200.0
1634,200.0
1756,200.0
1609,200.0
1515,200.0
1479,200.0
1381,200.0
1163,200.0
1371,200.0
1700,200.0
1555,130.0
1355,130.0
1494,130.0
1659,130.0
1508,130.0
1592,130.0
1688,130.0
1478,130.0
1381,130.0
1535,130.0
1792,130.0
1556,130.0
1546,130.0
1593,130.0
1530,130.0
1450,130.0
1498,130.0
1252,130.0
1139,130.0
1394,130.0
1580,130.0
1447,130.0
1308,130.0
1467,130.0
1556,130.0
1567,130.0
1657,130.0
1636,130.0
1427,130.0
1389,130.0
1749,130.0
1736,130.0
1459,130.0
1513,130.0
1510,130.0
1410,130.0
1358,130.0
1348,130.0
1348,130.0
1241,130.0
1421,130.0
1500,130.0
1283,130.0
1288,130.0
1499,130.0
1607,130.0
1695,130.0
1735,130.0
1644,130.0
1332,130.0
1415,130.0
1896,130.0
1532,130.0
1387,130.0
1354,130.0
1411,130.0
1350,130.0
1458,130.0
1354,130.0
1255,130.0
1192,130.0
1464,130.0
1356,130.0
1163,130.0
1333,130.0
1542,130.0
1539,130.0
1688,130.0
1770,130.0
1496,130.0
1302,130.0
1506,130.0
1909,130.0
1504,130.0
1420,130.0
1537,130.0
1487,130.0
1299,130.0
1294,130.0
1212,130.0
1178,130.0
1384,130.0
1678,130.0
1449,130.0
1158,130.0
1241,130.0
1446,130.0
1519,130.0
1654,130.0
1695,130.0
1491,130.0
1432,130.0
1397,130.0
1763,130.0
1548,130.0
1541,130.0
1585,130.0
1541,130.0
1593,130.0
1393,130.0
1126,130.0
1189,130.0
1515,130.0
1699,130.0
1411,130.0
1223,130.0
1363,130.0
1475,130.0
1539,130.0
1745,130.0
1694,130.0
1460,130.0
1307,130.0
1704,130.0
1605,200.0
1338,200.0
1436,200.0
1519,200.0
1464,200.0
1510,200.0
1320,200.0
1280,200.0
1403,200.0
1439,200.0
1457,200.0
1312,130.0
1331,130.0
1455,130.0
1450,130.0
1536,130.0
1716,130.0
1554,130.0
1266,130.0
1589,130.0
1921,130.0
1768,130.0
1520,130.0
1533,130.0
1473,130.0
1371,130.0
1460,130.0
1201,130.0
1114,130.0
1377,130.0
1665,130.0
1477,200.0
1291,200.0
1429,200.0
1511,200.0
1576,200.0
1746,200.0
1706,200.0
1477,200.0
1332,200.0
1807,200.0
1831,200.0
1403,130.0
1316,130.0
1348,130.0
1421,130.0
1343,130.0
1337,130.0
1232,130.0
1254,130.0
1461,130.0
1510,130.0
1228,130.0
1286,130.0
1497,130.0
1666,130.0
1840,130.0
1859,130.0
1548,130.0
1362,130.0
1557,130.0
1851,130.0
1412,130.0
1338,130.0
1377,130.0
1334,130.0
1263,130.0
1448,130.0
1345,130.0
1115,130.0
1400,130.0
1532,130.0
1316,130.0
1157,130.0
1297,130.0
1456,130.0
1578,130.0
1853,130.0
1735,130.0
1463,130.0
1383,130.0
1716,130.0
1739,130.0
1344,130.0
1345,130.0
1393,130.0
1373,130.0
1330,130.0
1360,130.0
1241,130.0
1141,130.0
1322,130.0
1379,130.0
1266,130.0
1262,130.0
1383,130.0
1470,130.0
1523,130.0
1786,130.0
1638,130.0
1408,130.0
1449,130.0
1702,130.0
1660,130.0
1343,130.0
1398,130.0
1384,130.0
1331,130.0
1408,130.0
1421,130.0
1198,130.0
1078,130.0
1273,130.0
1436,130.0
1314,130.0
1204,130.0
1377,130.0
1566,130.0
1681,130.0
1909,130.0
1697,130.0
1357,130.0
1415,130.0
1784,130.0
1744,130.0
1446,130.0
1416,130.0
1457,130.0
1432,130.0
1479,130.0
1460,130.0
1189,130.0
1112,130.0
1218,130.0
1382,130.0
1286,130.0
1327,130.0
1529,130.0
1672,130.0
1690,130.0
1922,130.0
1768,130.0
1444,130.0
1493,130.0
1800,130.0
1632,130.0
1479,130.0
1473,130.0
1494,130.0
1251,130.0
1249,130.0
1092,130.0
1111,130.0
1219,130.0
1508,130.0
1477,130.0
1257,130.0
1298,130.0
1601,130.0
1735,130.0
1859,130.0
1938,130.0
1663,130.0
1474,130.0
1641,130.0
1813,130.0
1747,130.0
1480,130.0
1401,130.0
1441,130.0
1332,130.0
1255,130.0
1253,130.0
1118,130.0
1348,130.0
1443,130.0
1415,200.0
1387,200.0
1554,200.0
1737,200.0
1741,200.0
1774,200.0
1778,200.0
1582,130.0
1417,130.0
1719,130.0
1978,130.0
1573,130.0
1418,130.0
1479,130.0
1440,130.0
1197,130.0
1270,130.0
1192,130.0
1262,130.0
1333,130.0
1402,130.0
1478,130.0
1480,130.0
1592,130.0
1674,130.0
1707,130.0
1890,130.0
1803,130.0
1538,130.0
1586,130.0
1939,130.0
1917,130.0
1611,130.0
1480,130.0
1439,130.0
1408,130.0
1303,130.0
1242,130.0
1147,130.0
1216,130.0
1488,130.0
1532,130.0
1383,200.0
1520,200.0
1738,200.0
1859,200.0
1908,200.0
1907,200.0
1649,200.0
1400,200.0
1659,200.0
1907,200.0
1544,130.0
1450,130.0
1546,130.0
1410,130.0
1395,130.0
1374,130.0
1380,130.0
1280,130.0
1415,130.0
1376,130.0
1294,130.0
1420,130.0
1665,130.0
1691,130.0
1640,130.0
1836,130.0
1782,130.0
1531,130.0
1641,130.0
2004,130.0
1677,130.0
1379,130.0
1353,130.0
1316,130.0
1277,130.0
1444,130.0
1365,130.0
1211,130.0
1210,130.0
1335,130.0
1329,130.0
1292,130.0
1464,130.0
1618,130.0
1701,130.0
1769,130.0
1755,130.0
1516,130.0
1481,130.0
1786,130.0
1856,130.0
1465,130.0
1339,130.0
1383,130.0
1340,130.0
1523,130.0
1434,130.0
1221,130.0
1033,130.0
1371,130.0
1560,130.0
1387,130.0
1301,130.0
1271,130.0
1504,130.0
1733,130.0
1890,130.0
1728,130.0
1453,130.0
1444,130.0
1806,130.0
1875,130.0
1453,130.0
1368,130.0
1471,130.0
1296,130.0
1288,130.0
1305,130.0
1271,130.0
1067,130.0
1253,130.0
1395,130.0
1276,200.0
1355,200.0
1506,200.0
1575,200.0
1652,200.0
1817,200.0
1667,200.0
1413,200.0
1476,200.0
1938,200.0
1623,130.0
1243,130.0
1263,130.0
1348,130.0
1272,130.0
1312,130.0
1359,130.0
1198,130.0
1156,130.0
1421,130.0
1406,130.0
1097,130.0
1176,130.0
1358,130.0
1660,130.0
1779,130.0
1845,130.0
1621,130.0
1417,130.0
1651,130.0
1822,130.0
1396,130.0
1317,130.0
1337,130.0
1378,130.0
1347,130.0
1456,130.0
1182,130.0
1106,130.0
1335,130.0
1457,130.0
1254,200.0
1129,200.0
1293,200.0
1616,200.0
1600,200.0
1763,200.0
1732,200.0
1480,200.0
1611,200.0
1895,200.0
1699,130.0
1325,130.0
1334,130.0
1354,130.0
1404,130.0
1350,130.0
1272,130.0
1196,130.0
1099,130.0
1466,130.0
1636,130.0
1351,130.0
1363,130.0
1519,130.0
1666,130.0
1773,130.0
1822,130.0
1554,130.0
1290,130.0
1704,130.0
1941,130.0
1579,130.0
1339,130.0
1452,130.0
1565,130.0
1311,130.0
1309,130.0
1243,130.0
1110,130.0
1219,130.0
1479,130.0
1501,130.0
1339,200.0
1397,200.0
1543,200.0
1587,200.0
