G,T,D,S
1248,200.0,0,0
1282,200.0,0,0
1258,200.0,34,0
1264,200.0,0,0
1269,200.0,0,0
1275,200.0,0,0
1277,200.0,0,0
1253,200.0,19,0
1274,200.0,0,0
1254,200.0,21,0
1250,200.0,0,0
1272,200.0,0,0
1280,200.0,0,0
1281,200.0,0,0
1280,200.0,31,0
1264,200.0,0,0
1283,200.0,0,0
1279,200.0,19,0
1284,200.0,0,0
1281,200.0,5,0
1288,200.0,0,0
1276,200.0,7,0
1185,200.0,0,0
1236,200.0,0,0
1185,200.0,51,0
1241,200.0,0,0
944,200.0,56,0
1289,200.0,0,1289
1288,200.0,345,0
1260,200.0,0,0
1254,200.0,0,0
1213,200.0,0,0
1281,200.0,0,0
1286,200.0,0,0
1260,200.0,73,0
1609,200.0,0,1609
1286,200.0,349,0
1263,200.0,0,0
1266,200.0,0,0
1264,200.0,3,0
1254,200.0,0,0
1264,200.0,0,0
1274,200.0,0,0
1247,200.0,20,0
1231,200.0,0,0
1283,200.0,0,0
1283,200.0,0,0
1263,200.0,52,0
1264,200.0,0,0
1259,200.0,1,0
1254,200.0,0,0
1264,200.0,0,0
1250,200.0,10,0
1199,200.0,0,0
1200,200.0,0,0
1191,200.0,1,0
1196,200.0,0,0
1252,200.0,0,0
1210,200.0,61,0
1271,200.0,0,0
1294,200.0,0,0
1322,200.0,0,0
1237,200.0,112,0
1234,200.0,0,0
1147,200.0,0,0
1120,200.0,0,0
1023,200.0,0,0
1345,200.0,0,0
1364,200.0,0,1364
1167,200.0,341,0
1147,200.0,0,0
1224,200.0,0,0
1222,200.0,77,0
1214,200.0,0,0
1233,200.0,0,0
1259,200.0,0,0
1301,200.0,0,0
1420,200.0,0,0
1446,200.0,0,0
1699,200.0,0,1699
1474,200.0,485,0
1562,200.0,0,0
1294,200.0,88,0
1406,200.0,0,0
1558,200.0,0,0
1236,200.0,264,0
1153,200.0,0,0
1197,200.0,0,0
1205,200.0,0,0
1224,200.0,0,0
1186,200.0,71,0
1349,200.0,0,0
1264,200.0,163,0
1245,200.0,0,0
1072,200.0,0,0
1385,200.0,0,0
1247,200.0,313,0
1024,200.0,0,0
961,200.0,0,0
1041,200.0,0,0
1258,200.0,0,1258
1240,130.0,297,0
1276,130.0,0,0
1395,130.0,0,0
1309,130.0,155,0
1988,130.0,0,0
1513,130.0,679,0
1750,130.0,0,1750
1594,200.0,237,0
1120,200.0,0,0
1065,200.0,0,0
1193,200.0,0,0
1097,200.0,128,0
973,200.0,0,0
1048,200.0,0,0
1141,200.0,0,0
1142,200.0,0,0
1195,200.0,0,0
1327,200.0,0,0
1495,200.0,0,1495
1276,200.0,522,0
1025,200.0,0,0
962,200.0,0,0
1119,200.0,0,0
1315,200.0,0,0
1244,200.0,353,0
1519,200.0,0,1519
