G,T
1336,200.0
1498,200.0
1901,200.0
1869,200.0
1805,200.0
1815,200.0
1229,200.0
823,200.0
815,200.0
893,200.0
890,200.0
1016,200.0
1189,200.0
1374,200.0
1380,200.0
1315,200.0
1307,200.0
1198,200.0
1225,200.0
1147,200.0
1201,200.0
1338,200.0
1381,200.0
1459,200.0
1463,200.0
1487,200.0
1484,200.0
1410,200.0
1404,200.0
1385,200.0
1274,200.0
1352,200.0
1354,200.0
1342,200.0
1362,200.0
1379,200.0
1259,200.0
1191,200.0
1284,200.0
1375,200.0
1078,200.0
1338,200.0
1319,200.0
1404,200.0
1285,200.0
1273,200.0
1237,200.0
1209,200.0
1140,200.0
1064,200.0
1054,200.0
963,200.0
987,200.0
1177,200.0
1452,200.0
1739,200.0
1729,200.0
1563,200.0
1361,200.0
1323,200.0
1199,200.0
1170,200.0
1052,200.0
1126,200.0
1168,200.0
1245,200.0
1225,230.0
1192,230.0
1164,230.0
1145,230.0
1136,230.0
1077,230.0
1194,230.0
1186,230.0
1323,230.0
1165,200.0
1236,200.0
1007,200.0
983,200.0
1067,200.0
1143,200.0
1466,200.0
1511,200.0
1506,130.0
1533,130.0
1514,130.0
1318,130.0
1132,130.0
785,130.0
656,130.0
593,130.0
758,130.0
1670,130.0
2110,130.0
2080,200.0
1658,200.0
1474,200.0
1376,200.0
1312,200.0
857,200.0
1028,200.0
1204,200.0
1526,200.0
1618,200.0
2267,200.0
1898,230.0
2425,230.0
1988,230.0
1478,230.0
1361,230.0
1505,230.0
1868,230.0
1431,230.0
1488,230.0
1655,230.0
2404,230.0
2766,230.0
2040,230.0
1665,230.0
1432,230.0
1606,230.0
1697,230.0
1909,230.0
2187,230.0
1560,200.0
1662,200.0
2593,200.0
2257,200.0
1849,200.0
1648,200.0
1626,200.0
2381,200.0
1676,230.0
1457,230.0
1389,230.0
1879,230.0
2074,230.0
2324,230.0
1917,230.0
1547,230.0
1592,230.0
1725,230.0
1897,230.0
1758,230.0
2184,230.0
1764,230.0
2933,230.0
2684,230.0
1988,230.0
1663,230.0
1487,230.0
1539,230.0
1771,230.0
1278,200.0
1434,200.0
1604,200.0
2006,200.0
2590,200.0
2467,200.0
1957,200.0
1905,200.0
1902,200.0
1733,200.0
1667,200.0
1672,200.0
2458,200.0
2120,200.0
2821,200.0
2449,200.0
1744,200.0
1444,200.0
1299,200.0
1441,200.0
1583,200.0
1526,230.0
1061,230.0
1455,230.0
1723,230.0
2022,230.0
1853,230.0
1751,230.0
2069,230.0
2072,230.0
1741,200.0
1744,200.0
2579,200.0
2146,200.0
2469,200.0
2239,200.0
1329,200.0
1341,200.0
1494,200.0
1816,200.0
1824,200.0
1556,200.0
1277,200.0
1479,200.0
1885,200.0
2178,200.0
1820,200.0
1717,200.0
1704,200.0
1639,200.0
1864,200.0
2324,200.0
2126,200.0
1435,200.0
1834,200.0
1377,200.0
920,200.0
