G,T
1322,200.0
1315,200.0
656,200.0
1225,200.0
1320,200.0
1239,200.0
1378,200.0
1330,200.0
1416,200.0
1370,200.0
1185,200.0
1527,200.0
1426,200.0
1438,200.0
1479,200.0
1346,200.0
1175,200.0
1187,200.0
1268,200.0
1428,200.0
1363,200.0
1466,200.0
1258,200.0
1398,200.0
1225,200.0
1307,200.0
1376,200.0
1358,200.0
1413,200.0
1362,200.0
1345,200.0
1309,200.0
1361,200.0
1366,200.0
1254,200.0
1320,200.0
1275,200.0
1332,200.0
1301,200.0
1205,200.0
1263,200.0
1221,200.0
1157,200.0
1082,200.0
807,200.0
745,200.0
969,200.0
1206,200.0
1229,200.0
1310,200.0
1510,200.0
1374,200.0
1100,200.0
794,200.0
563,200.0
583,200.0
855,200.0
1361,200.0
2110,200.0
2928,200.0
3101,200.0
2495,200.0
1473,200.0
1155,200.0
1171,200.0
1001,200.0
1286,200.0
2363,200.0
4318,200.0
3862,330.0
1943,330.0
1079,330.0
959,330.0
825,330.0
1037,330.0
2403,330.0
5188,330.0
3786,430.0
2179,430.0
1149,430.0
936,430.0
927,430.0
748,430.0
1264,430.0
2745,430.0
3658,430.0
4152,430.0
2676,430.0
1783,430.0
1437,430.0
1164,430.0
1572,430.0
1181,430.0
2597,430.0
4594,430.0
3319,430.0
1696,430.0
1314,430.0
1125,430.0
942,430.0
1536,430.0
2578,430.0
3251,430.0
4680,430.0
3798,430.0
1892,430.0
1316,430.0
1082,430.0
1268,430.0
1663,430.0
4916,430.0
5454,430.0
3019,430.0
1706,430.0
1268,430.0
1223,430.0
1046,430.0
1316,430.0
3190,430.0
4590,430.0
3812,430.0
2490,430.0
1531,430.0
1057,430.0
893,430.0
891,430.0
1786,430.0
5760,430.0
4555,430.0
1995,430.0
1280,430.0
1317,430.0
1073,430.0
937,430.0
1094,430.0
3167,430.0
4121,430.0
3060,430.0
1361,430.0
1031,430.0
1204,430.0
1156,430.0
1142,430.0
2292,430.0
5480,430.0
3715,430.0
1899,430.0
1206,430.0
1273,430.0
1127,430.0
1049,430.0
1648,430.0
4015,430.0
4333,430.0
2990,430.0
1558,430.0
1399,430.0
1372,430.0
1524,430.0
1768,430.0
4557,430.0
5685,430.0
3096,430.0
1509,430.0
1531,430.0
1350,430.0
1175,430.0
1265,430.0
4173,430.0
4476,430.0
3244,430.0
1511,430.0
1163,430.0
1175,430.0
1133,430.0
1229,430.0
2931,430.0
5817,430.0
2992,430.0
2423,430.0
942,430.0
1630,430.0
1312,430.0
1374,430.0
2160,430.0
5132,430.0
4304,430.0
2842,430.0
1616,430.0
1184,430.0
1277,430.0
1461,430.0
2010,430.0
5988,430.0
4647,430.0
2780,430.0
1446,430.0
1461,430.0
1187,430.0
1351,430.0
1845,430.0
4379,430.0
4471,430.0
2953,430.0
1667,430.0
1240,430.0
1509,430.0
1407,430.0
1452,430.0
4169,430.0
5239,430.0
2874,430.0
1880,430.0
1295,430.0
1302,430.0
1200,430.0
1093,430.0
2466,430.0
4310,430.0
3544,430.0
1906,430.0
1557,430.0
1112,430.0
1168,430.0
1264,430.0
2165,430.0
5701,430.0
3280,430.0
2315,430.0
1447,430.0
1275,430.0
1191,430.0
1129,430.0
1119,430.0
3466,430.0
3815,430.0
2619,430.0
1447,430.0
1343,430.0
1174,430.0
1240,430.0
1107,430.0
2411,430.0
2562,430.0
1583,430.0
982,430.0
413,430.0
705,430.0
890,430.0
503,430.0
683,430.0
2110,430.0
4050,430.0
2430,230.0
839,230.0
365,230.0
600,230.0
518,230.0
1811,230.0
3201,230.0
2731,430.0
2101,430.0
1427,430.0
1313,430.0
1208,430.0
858,430.0
631,430.0
1743,430.0
4099,430.0
3820,430.0
2132,430.0
1374,430.0
810,430.0
680,430.0
1019,430.0
1689,430.0
5016,430.0
5114,430.0
1664,430.0
1712,430.0
1292,430.0
1039,430.0
955,430.0
1110,430.0
3111,430.0
4159,430.0
3216,430.0
1977,430.0
1097,430.0
989,430.0
1021,430.0
887,430.0
1807,430.0
5682,430.0
4244,430.0
2352,430.0
1254,430.0
1410,430.0
1165,430.0
962,430.0
871,430.0
3777,430.0
4283,430.0
2338,430.0
1124,430.0
888,430.0
972,430.0
760,430.0
1128,430.0
1885,430.0
4916,430.0
4228,430.0
2167,430.0
1463,430.0
1260,430.0
1147,430.0
983,430.0
936,430.0
4256,430.0
4023,430.0
2428,430.0
1223,430.0
1097,430.0
1093,430.0
989,430.0
821,430.0
2493,430.0
5856,430.0
2563,430.0
2172,430.0
1179,430.0
1203,430.0
1659,430.0
1269,430.0
1908,430.0
4905,430.0
3704,430.0
2751,430.0
1705,430.0
1108,430.0
1117,430.0
834,430.0
1145,430.0
5233,430.0
4880,430.0
2135,430.0
1476,430.0
1051,430.0
1649,430.0
1163,430.0
1531,430.0
2615,430.0
3892,430.0
3743,430.0
2381,430.0
1553,430.0
1375,430.0
1405,430.0
1229,430.0
2948,430.0
6171,430.0
2807,430.0
1775,430.0
965,430.0
1310,430.0
1104,430.0
914,430.0
1818,430.0
4492,430.0
3898,430.0
2267,430.0
852,430.0
894,430.0
896,430.0
1136,430.0
1254,430.0
3615,430.0
5784,430.0
3020,430.0
1778,430.0
1350,430.0
1675,430.0
1257,430.0
1010,430.0
2748,430.0
4260,430.0
3491,430.0
2852,430.0
1140,430.0
1094,430.0
1341,430.0
874,430.0
1156,430.0
4216,430.0
4958,430.0
2491,430.0
879,430.0
1111,430.0
2046,430.0
1304,430.0
1001,430.0
2956,430.0
4488,430.0
2699,430.0
1668,430.0
1061,430.0
1178,430.0
944,430.0
1237,430.0
2096,430.0
5650,430.0
3351,430.0
1626,430.0
1093,430.0
1069,430.0
1569,430.0
1544,430.0
1469,430.0
3421,430.0
4162,430.0
