G,T,D,S
993,200.0,0,0
1076,200.0,0,0
1019,200.0,83,0
1086,200.0,0,0
1168,200.0,0,0
1187,200.0,0,0
1134,200.0,168,0
947,200.0,0,0
1188,200.0,0,0
1184,200.0,241,0
1156,200.0,0,0
1222,200.0,0,0
1299,200.0,0,0
1219,200.0,143,0
1184,200.0,0,0
1197,200.0,0,0
1117,200.0,13,0
1255,200.0,0,0
1278,200.0,0,0
1285,200.0,0,0
1288,200.0,0,0
1314,200.0,0,0
1268,200.0,197,0
1257,200.0,0,0
1319,200.0,0,0
1318,200.0,62,0
1314,200.0,0,0
1277,200.0,0,0
1312,200.0,0,0
1308,200.0,35,0
1299,200.0,0,0
1283,200.0,0,0
1297,200.0,0,0
1207,200.0,14,0
1239,200.0,0,0
1079,200.0,32,0
1108,200.0,0,0
1134,200.0,0,0
1285,200.0,0,0
1296,200.0,0,1296
1285,200.0,217,0
1318,200.0,0,0
1290,200.0,33,0
1269,200.0,0,0
1290,200.0,0,0
1236,200.0,21,0
1217,200.0,0,0
1282,200.0,0,0
1253,200.0,65,0
1522,200.0,0,1522
855,130.0,269,0
839,130.0,0,0
871,130.0,0,0
808,130.0,0,0
859,130.0,0,0
806,130.0,0,0
844,130.0,0,0
802,130.0,0,0
947,130.0,0,0
840,130.0,0,0
916,130.0,0,0
881,130.0,0,0
902,130.0,0,0
876,130.0,0,0
810,130.0,0,0
887,130.0,0,0
675,130.0,0,0
700,130.0,0,0
636,130.0,0,0
742,130.0,0,0
721,130.0,0,0
536,130.0,0,0
827,130.0,0,0
1224,130.0,0,0
1387,130.0,0,0
1617,130.0,0,1617
1610,130.0,1081,0
1681,130.0,0,0
1429,130.0,71,0
1319,130.0,0,0
1255,130.0,0,0
1248,130.0,0,0
1231,130.0,0,0
1139,130.0,0,0
1201,130.0,0,0
1231,130.0,0,0
1303,130.0,0,0
1586,130.0,0,0
1698,130.0,0,1698
1302,200.0,559,0
1004,200.0,0,0
1448,200.0,0,0
1430,200.0,444,0
1105,200.0,0,0
992,200.0,0,0
931,200.0,0,0
915,200.0,0,0
869,200.0,0,0
995,200.0,0,0
1310,200.0,0,0
1635,200.0,0,0
1930,200.0,0,1930
1468,130.0,1061,0
1489,130.0,0,0
1271,130.0,21,0
919,130.0,0,0
697,130.0,0,0
769,130.0,0,0
837,130.0,0,0
1053,130.0,0,0
1212,130.0,0,0
1330,130.0,0,0
1474,130.0,0,0
1638,130.0,0,1638
1379,200.0,941,0
1510,200.0,0,0
1472,200.0,131,0
1081,200.0,0,0
852,200.0,0,0
851,200.0,0,0
785,200.0,0,0
847,200.0,0,0
1063,200.0,0,0
1268,200.0,0,0
1959,200.0,0,1959
1560,200.0,1174,0
1466,200.0,0,0
1583,200.0,0,0
1394,200.0,117,0
912,200.0,0,0
864,200.0,0,0
820,200.0,0,0
1009,200.0,0,0
1056,200.0,0,0
1357,200.0,0,0
1503,200.0,0,0
1535,200.0,0,1535
1440,230.0,715,0
1217,230.0,0,0
1685,230.0,0,0
1380,230.0,468,0
1038,230.0,0,0
906,230.0,0,0
929,230.0,0,0
865,230.0,0,0
1121,230.0,0,0
1186,230.0,0,0
1288,230.0,0,0
1573,230.0,0,1573
1284,200.0,708,0
1572,200.0,0,0
1527,200.0,288,0
1112,200.0,0,0
874,200.0,0,0
832,200.0,0,0
824,200.0,0,0
851,200.0,0,0
1014,200.0,0,0
1216,200.0,0,0
1411,200.0,0,0
1451,200.0,0,0
1650,200.0,0,1650
1312,200.0,826,0
1112,200.0,0,0
1729,200.0,0,0
1395,200.0,617,0
888,200.0,0,0
868,200.0,0,0
905,200.0,0,0
891,200.0,0,0
955,200.0,0,0
1173,200.0,0,0
1444,200.0,0,0
1838,200.0,0,1838
1638,200.0,947,0
1321,200.0,0,0
1426,200.0,0,0
1449,200.0,0,0
1017,200.0,128,0
960,200.0,0,0
1035,200.0,0,0
1096,200.0,0,0
1300,200.0,0,0
1342,200.0,0,0
1469,200.0,0,0
1701,200.0,0,1701
1526,200.0,741,0
1478,200.0,0,0
2135,200.0,0,0
1660,200.0,657,0
1253,200.0,0,0
1133,200.0,0,0
1009,200.0,0,0
932,200.0,0,0
1042,200.0,0,0
1251,200.0,0,0
1276,200.0,0,0
1318,200.0,0,1318
1175,200.0,386,0
1297,200.0,0,0
1889,200.0,0,0
1502,200.0,714,0
1266,200.0,0,0
1220,200.0,0,0
1240,200.0,0,0
1340,200.0,0,0
1310,200.0,120,0
1503,200.0,0,0
1595,200.0,0,0
1637,200.0,0,0
1707,200.0,0,1707
1615,130.0,397,0
2006,130.0,0,0
1634,130.0,391,0
1181,130.0,0,0
1100,130.0,0,0
1079,130.0,0,0
1022,130.0,0,0
1017,130.0,0,0
1030,130.0,0,0
1031,130.0,0,0
1485,130.0,0,1485
1444,130.0,468,0
1888,130.0,0,0
2038,130.0,0,0
1533,130.0,594,0
1173,130.0,0,0
1140,130.0,0,0
1159,130.0,0,0
