G,T,D,S
721,200.0,0,0
845,200.0,0,0
1000,200.0,0,0
961,200.0,279,0
1130,200.0,0,0
977,200.0,169,0
1126,200.0,0,0
1193,200.0,0,0
1264,200.0,0,1264
1240,200.0,287,0
1241,200.0,0,0
1235,200.0,1,0
1255,200.0,0,0
1216,200.0,20,0
1272,200.0,0,0
1268,200.0,56,0
1179,200.0,0,0
1189,200.0,0,0
1267,200.0,0,0
1270,200.0,0,0
1217,200.0,91,0
1153,200.0,0,0
1184,200.0,0,0
1238,200.0,0,0
1228,200.0,85,0
1230,200.0,0,0
1130,200.0,2,0
1257,200.0,0,0
1243,200.0,127,0
1226,200.0,0,0
1214,200.0,0,0
1222,200.0,0,0
1232,200.0,0,0
1418,200.0,0,1418
1199,200.0,204,0
1195,200.0,0,0
1069,200.0,0,0
1179,200.0,0,0
1188,200.0,0,0
1216,200.0,0,0
1203,200.0,147,0
1217,200.0,0,0
1162,200.0,14,0
1201,200.0,0,0
1195,200.0,39,0
1184,200.0,0,0
1204,200.0,0,0
1110,200.0,20,0
1105,200.0,0,0
1145,200.0,0,0
1148,200.0,0,0
1293,200.0,0,0
1477,200.0,0,0
1482,200.0,0,1482
1381,200.0,377,0
1160,200.0,0,0
1104,200.0,0,0
1043,200.0,0,0
924,200.0,0,0
899,200.0,0,0
869,200.0,0,0
962,200.0,0,0
1003,200.0,0,0
1268,200.0,0,0
1402,200.0,0,0
1666,200.0,0,0
1810,200.0,0,1810
1672,130.0,941,0
1461,130.0,0,0
1417,130.0,0,0
1391,130.0,0,0
1232,130.0,0,0
1128,130.0,0,0
1100,130.0,0,0
1257,130.0,0,0
1270,130.0,0,0
1401,130.0,0,0
1726,130.0,0,0
1993,130.0,0,0
2032,130.0,0,2032
1620,200.0,932,0
1472,200.0,0,0
1283,200.0,0,0
1204,200.0,0,0
1044,200.0,0,0
1028,200.0,0,0
969,200.0,0,0
1128,200.0,0,0
1369,200.0,0,0
1454,200.0,0,0
1635,200.0,0,1635
1532,200.0,666,0
1412,200.0,0,0
1407,200.0,0,0
1457,200.0,0,0
1281,200.0,50,0
1257,200.0,0,0
1544,200.0,0,1544
1436,200.0,287,0
1622,200.0,0,0
1480,200.0,186,0
1970,200.0,0,0
1884,200.0,490,0
1458,200.0,0,0
1289,200.0,0,0
1240,200.0,0,0
1187,200.0,0,0
1120,200.0,0,0
1138,200.0,0,0
965,200.0,18,0
1301,200.0,0,0
1605,200.0,0,0
1757,200.0,0,1757
1739,130.0,792,0
1529,130.0,0,0
1457,130.0,0,0
1410,130.0,0,0
