G,T,D,S
852,200.0,0,0
894,200.0,0,0
912,200.0,0,0
926,200.0,0,0
866,200.0,74,0
1028,200.0,0,0
1162,200.0,0,1162
1022,200.0,296,0
908,200.0,0,0
1038,200.0,0,0
1183,200.0,0,0
1140,200.0,275,0
1147,200.0,0,0
1199,200.0,0,0
1176,200.0,59,0
1189,200.0,0,0
1191,200.0,0,0
1280,200.0,0,0
1199,200.0,104,0
1186,200.0,0,0
1165,200.0,0,0
1184,200.0,0,0
1150,200.0,19,0
1228,200.0,0,0
1211,200.0,78,0
1207,200.0,0,0
1155,200.0,0,0
1123,200.0,0,0
1035,200.0,0,0
1109,200.0,0,0
1182,200.0,0,0
1165,200.0,147,0
1107,200.0,0,0
1083,200.0,0,0
1032,200.0,0,0
912,200.0,0,0
862,200.0,0,0
894,200.0,0,0
936,200.0,0,0
1091,200.0,0,0
1337,200.0,0,0
1364,200.0,0,1364
1142,200.0,502,0
1253,200.0,0,0
1445,200.0,0,0
1563,200.0,0,0
1579,200.0,0,0
1384,200.0,437,0
1210,200.0,0,0
961,200.0,0,0
698,200.0,0,0
718,200.0,0,0
1677,200.0,0,0
3666,200.0,0,3666
2842,200.0,2968,0
1712,200.0,0,0
1089,200.0,0,0
941,200.0,0,0
826,200.0,0,0
744,200.0,0,0
1101,200.0,0,0
1903,200.0,0,0
4293,200.0,0,4293
2299,430.0,3549,0
1208,430.0,0,0
757,430.0,0,0
842,430.0,0,0
873,430.0,0,0
725,430.0,116,0
3306,430.0,0,0
4463,430.0,0,4463
2239,430.0,3738,0
1326,430.0,0,0
1207,430.0,0,0
910,430.0,0,0
761,430.0,0,0
799,430.0,0,0
2664,430.0,0,0
4656,430.0,0,4656
2033,430.0,3895,0
856,430.0,0,0
696,430.0,0,0
645,430.0,0,0
644,430.0,0,0
641,430.0,0,0
2326,430.0,0,0
4907,430.0,0,4907
2588,430.0,4266,0
1344,430.0,0,0
1157,430.0,0,0
1248,430.0,0,0
708,430.0,91,0
773,430.0,0,0
1849,430.0,0,0
4993,430.0,0,4993
1898,430.0,4285,0
924,430.0,0,0
684,430.0,0,0
725,430.0,0,0
720,430.0,0,0
729,430.0,0,0
2669,430.0,0,0
4319,430.0,0,4319
2528,430.0,3599,0
1203,430.0,0,0
1047,430.0,0,0
885,430.0,0,0
912,430.0,0,0
755,430.0,0,0
1661,430.0,0,0
4177,430.0,0,4177
2119,430.0,3422,0
1091,430.0,0,0
819,430.0,0,0
792,430.0,0,0
686,430.0,0,0
594,430.0,0,0
1940,430.0,0,0
4571,430.0,0,4571
2624,430.0,3977,0
1347,430.0,0,0
870,430.0,0,0
796,430.0,0,0
769,430.0,0,0
874,430.0,0,0
857,430.0,0,0
3026,430.0,0,0
3303,430.0,0,3303
1538,430.0,2446,0
881,430.0,0,0
814,430.0,0,0
