G,T,D,S
1314,200.0,0,0
1286,200.0,0,0
1318,200.0,0,0
1330,200.0,0,0
1314,200.0,44,0
1292,200.0,0,0
1280,200.0,0,0
1283,200.0,0,0
1271,200.0,3,0
1290,200.0,0,0
1295,200.0,0,0
1299,200.0,0,0
1297,200.0,28,0
1301,200.0,0,0
1241,200.0,4,0
1287,200.0,0,0
1264,200.0,46,0
1294,200.0,0,0
1392,200.0,0,0
1363,200.0,128,0
1312,200.0,0,0
1171,200.0,0,0
1269,200.0,0,0
1300,200.0,0,0
1363,200.0,0,0
1335,200.0,192,0
1366,200.0,0,0
1362,200.0,31,0
1338,200.0,0,0
1350,200.0,0,0
1327,200.0,12,0
1318,200.0,0,0
1334,200.0,0,0
1318,200.0,16,0
1318,200.0,0,0
1334,200.0,0,0
1317,200.0,16,0
1355,200.0,0,0
1339,200.0,38,0
1358,200.0,0,0
1372,200.0,0,0
1688,200.0,0,1688
1230,200.0,349,0
1300,200.0,0,0
1194,200.0,70,0
1309,200.0,0,0
1232,200.0,115,0
1321,200.0,0,0
1324,200.0,0,0
1336,200.0,0,0
1380,200.0,0,0
1334,200.0,148,0
1337,200.0,0,0
1330,200.0,3,0
1307,200.0,0,0
1298,200.0,0,0
1276,200.0,0,0
1286,200.0,0,0
1274,200.0,10,0
1211,200.0,0,0
1292,200.0,0,0
1254,200.0,81,0
1304,200.0,0,0
1309,200.0,0,0
1329,200.0,0,0
1374,200.0,0,0
1313,200.0,120,0
1325,200.0,0,0
1301,200.0,12,0
1490,200.0,0,0
1401,200.0,189,0
1313,200.0,0,0
1390,200.0,0,0
1506,200.0,0,0
1388,200.0,193,0
1480,200.0,0,0
1468,200.0,92,0
1329,200.0,0,0
1217,200.0,0,0
1081,200.0,0,0
1188,200.0,0,0
995,200.0,107,0
1158,200.0,0,0
1130,130.0,163,0
1210,130.0,0,0
1319,130.0,0,0
1579,130.0,0,0
1436,130.0,449,0
1343,130.0,0,0
1494,130.0,0,0
1628,130.0,0,1628
1530,130.0,285,0
1356,130.0,0,0
1182,130.0,0,0
1038,130.0,0,0
964,130.0,0,0
878,130.0,0,0
909,130.0,0,0
970,130.0,0,0
1114,130.0,0,0
1426,130.0,0,1426
1351,130.0,548,0
1521,130.0,0,0
1412,130.0,170,0
1287,130.0,0,0
1335,130.0,0,0
1270,130.0,48,0
1165,130.0,0,0
1122,130.0,0,0
1112,130.0,0,0
1114,130.0,0,0
1179,130.0,0,0
1372,130.0,0,0
1424,130.0,0,1424
1342,200.0,312,0
1705,200.0,0,0
1603,200.0,363,0
1418,200.0,0,0
1319,200.0,0,0
1216,200.0,0,0
1052,200.0,0,0
1058,200.0,0,0
1029,200.0,6,0
992,200.0,0,0
974,200.0,0,0
1177,200.0,0,0
1224,200.0,0,0
1363,200.0,0,0
1485,200.0,0,1485
1246,130.0,511,0
1179,130.0,0,0
1242,130.0,0,0
1373,130.0,0,0
1219,130.0,194,0
1260,130.0,0,0
1317,130.0,0,0
1289,130.0,98,0
1194,130.0,0,0
1447,130.0,0,1447
1422,200.0,253,0
1682,200.0,0,0
1626,200.0,260,0
1330,200.0,0,0
1344,200.0,0,0
1277,200.0,14,0
1151,200.0,0,0
989,200.0,0,0
946,200.0,0,0
934,200.0,0,0
940,200.0,0,0
1224,200.0,0,0
1381,200.0,0,0
1490,200.0,0,0
1582,200.0,0,1582
1399,130.0,648,0
1170,130.0,0,0
1253,130.0,0,0
1226,130.0,83,0
1151,130.0,0,0
1080,130.0,0,0
1224,130.0,0,0
1326,130.0,0,0
1348,130.0,0,0
1555,130.0,0,1555
1248,200.0,475,0
1617,200.0,0,0
1603,200.0,369,0
1425,200.0,0,0
1394,200.0,0,0
1329,200.0,0,0
1166,200.0,0,0
997,200.0,0,0
960,200.0,0,0
964,200.0,0,0
875,200.0,0,0
1067,200.0,0,0
1299,200.0,0,0
1426,200.0,0,0
1608,200.0,0,1608
1386,130.0,733,0
1167,130.0,0,0
1200,130.0,0,0
1269,130.0,0,0
1161,130.0,102,0
1192,130.0,0,0
1265,130.0,0,0
1364,130.0,0,1364
1296,200.0,203,0
1613,200.0,0,0
1352,200.0,317,0
1535,200.0,0,0
1493,200.0,183,0
1377,200.0,0,0
1367,200.0,0,0
1381,200.0,0,0
1216,200.0,14,0
1082,200.0,0,0
1086,200.0,0,0
1040,200.0,4,0
931,200.0,0,0
1147,200.0,0,0
1423,200.0,0,1423
1262,130.0,492,0
1405,130.0,0,0
1301,130.0,143,0
1145,130.0,0,0
1227,130.0,0,0
1317,130.0,0,1317
1308,130.0,172,0
1291,130.0,0,0
1323,130.0,0,0
1394,130.0,0,0
1252,130.0,103,0
1658,130.0,0,1658
1397,130.0,406,0
1549,130.0,0,0
1472,130.0,152,0
1256,130.0,0,0
1370,130.0,0,0
1377,130.0,0,0
1240,130.0,121,0
1168,130.0,0,0
1039,130.0,0,0
935,130.0,0,0
930,130.0,0,0
901,130.0,0,0
1132,130.0,0,0
1355,130.0,0,1355
1212,130.0,454,0
1435,130.0,0,0
1262,130.0,223,0
1210,130.0,0,0
1356,130.0,0,0
1421,130.0,0,1421
1364,130.0,211,0
1234,130.0,0,0
1231,130.0,0,0
1230,130.0,0,0
1196,130.0,0,0
1236,130.0,0,0
1530,130.0,0,1530
1377,130.0,334,0
1499,130.0,0,0
1416,130.0,122,0
1391,130.0,0,0
1328,130.0,0,0
1262,130.0,0,0
1231,130.0,0,0
1260,130.0,0,0
1173,130.0,29,0
1139,130.0,0,0
1057,130.0,0,0
964,130.0,0,0
1131,130.0,0,1131
1102,130.0,167,0
1381,130.0,0,0
1348,130.0,279,0
1170,130.0,0,0
1124,130.0,0,0
1109,130.0,0,0
1139,130.0,0,0
1156,130.0,0,0
1213,130.0,0,0
1343,130.0,0,0
1412,130.0,0,0
1483,130.0,0,0
1590,130.0,0,1590
1346,130.0,481,0
1472,130.0,0,0
1390,130.0,126,0
1206,130.0,0,0
1236,130.0,0,0
1207,130.0,30,0
