G,T,D,S
1331,200.0,0,0
1289,200.0,0,0
1314,200.0,0,0
1328,200.0,0,0
1295,200.0,39,0
1314,200.0,0,0
1340,200.0,0,0
1336,200.0,45,0
1416,200.0,0,0
1434,200.0,0,0
1371,200.0,98,0
1322,200.0,0,0
1369,200.0,0,0
1319,200.0,47,0
1675,200.0,0,1675
1319,200.0,356,0
1347,200.0,0,0
1342,200.0,28,0
1298,200.0,0,0
1277,200.0,0,0
1292,200.0,0,0
1350,200.0,0,0
1326,200.0,73,0
1347,200.0,0,0
1341,200.0,21,0
1310,200.0,0,0
1333,200.0,0,0
1294,200.0,23,0
1178,200.0,0,0
1319,200.0,0,0
1324,200.0,0,0
1115,200.0,146,0
1327,200.0,0,0
1311,200.0,212,0
1322,200.0,0,0
1368,200.0,0,0
1373,200.0,0,0
1358,200.0,62,0
1297,200.0,0,0
1283,200.0,0,0
1235,200.0,0,0
1332,200.0,0,0
1342,200.0,0,0
1349,200.0,0,0
1359,200.0,0,0
1322,200.0,124,0
1310,200.0,0,0
1261,200.0,0,0
1245,200.0,0,0
1197,200.0,0,0
1189,200.0,0,0
1167,200.0,0,0
1112,200.0,0,0
1070,200.0,0,0
1036,200.0,0,0
1137,200.0,0,0
1406,200.0,0,1406
1364,200.0,370,0
1486,200.0,0,0
1665,200.0,0,0
1774,200.0,0,0
1617,200.0,410,0
1374,200.0,0,0
1260,200.0,0,0
1200,200.0,0,0
1119,200.0,0,0
1133,200.0,0,0
1314,200.0,0,0
1368,200.0,0,1368
1320,200.0,249,0
1677,200.0,0,0
1540,200.0,357,0
1738,200.0,0,0
1731,200.0,198,0
1773,200.0,0,0
1236,200.0,42,0
1157,200.0,0,0
1165,200.0,0,0
1095,200.0,8,0
1103,200.0,0,0
1065,200.0,8,0
1251,200.0,0,0
1548,200.0,0,0
2208,200.0,0,0
2264,200.0,0,2264
1684,130.0,1199,0
1335,130.0,0,0
1273,130.0,0,0
1260,130.0,0,0
1284,130.0,0,0
1417,130.0,0,0
1467,130.0,0,0
1608,130.0,0,0
2548,130.0,0,2548
2269,230.0,1288,0
1834,230.0,0,0
1942,230.0,0,0
1691,230.0,108,0
1463,230.0,0,0
1338,230.0,0,0
1004,230.0,0,0
994,230.0,0,0
1521,230.0,0,0
2057,230.0,0,0
2105,230.0,0,2105
1985,230.0,1111,0
1639,230.0,0,0
1445,230.0,0,0
1507,230.0,0,0
1471,230.0,62,0
1355,230.0,0,0
1524,230.0,0,0
1600,230.0,0,0
1991,230.0,0,0
2183,230.0,0,2183
1738,230.0,828,0
1597,230.0,0,0
1456,230.0,0,0
1464,230.0,0,0
1243,230.0,8,0
1182,230.0,0,0
1017,230.0,0,0
1447,230.0,0,0
1822,230.0,0,0
1822,230.0,0,1822
1620,230.0,805,0
1600,230.0,0,0
1511,230.0,0,0
1453,230.0,0,0
1469,230.0,0,0
1469,230.0,0,0
1429,230.0,16,0
1654,230.0,0,0
2055,230.0,0,2055
2042,230.0,626,0
1778,230.0,0,0
1579,230.0,0,0
1365,230.0,0,0
1348,230.0,0,0
1351,230.0,0,0
1055,230.0,3,0
1080,230.0,0,0
1311,230.0,0,0
1852,230.0,0,0
2079,230.0,0,2079
1838,200.0,1024,0
1613,200.0,0,0
1440,200.0,0,0
1279,200.0,0,0
1363,200.0,0,0
1375,200.0,0,0
1574,200.0,0,1574
1390,230.0,295,0
1945,230.0,0,0
2159,230.0,0,0
1779,230.0,769,0
1459,230.0,0,0
1267,230.0,0,0
1241,230.0,0,0
1239,230.0,0,0
1235,230.0,0,0
1189,230.0,0,0
1093,230.0,0,0
1600,230.0,0,0
2038,230.0,0,2038
1832,130.0,945,0
1530,130.0,0,0
1268,130.0,0,0
1309,130.0,0,0
1378,130.0,0,0
1502,130.0,0,1502
1451,230.0,234,0
1346,230.0,0,0
1550,230.0,0,0
2195,230.0,0,0
2070,230.0,849,0
1657,230.0,0,0
1449,230.0,0,0
1296,230.0,0,0
1296,230.0,0,0
1196,230.0,0,0
1219,230.0,0,0
1025,230.0,23,0
1506,230.0,0,0
2078,230.0,0,0
2250,230.0,0,2250
1887,130.0,1225,0
1558,130.0,0,0
1251,130.0,0,0
1192,130.0,0,0
1171,130.0,0,0
1307,130.0,0,1307
1243,230.0,136,0
1324,230.0,0,0
1412,230.0,0,0
1988,230.0,0,0
2095,230.0,0,0
1709,230.0,852,0
1413,230.0,0,0
1266,230.0,0,0
1183,230.0,0,0
1090,230.0,0,0
1194,230.0,0,0
1239,230.0,0,0
1205,130.0,149,0
1185,130.0,0,0
1104,130.0,0,0
1109,130.0,0,0
1114,130.0,0,0
1101,130.0,10,0
991,130.0,0,0
974,130.0,0,0
990,130.0,0,0
1071,130.0,0,0
1469,130.0,0,1469
1166,130.0,495,0
1230,130.0,0,0
1151,130.0,64,0
1096,130.0,0,0
987,130.0,0,0
1008,130.0,0,0
1050,130.0,0,0
1175,130.0,0,1175
1168,200.0,188,0
1158,200.0,0,0
1122,200.0,0,0
1081,200.0,0,0
1210,200.0,0,0
1160,200.0,129,0
1227,200.0,0,0
1347,200.0,0,0
1330,130.0,187,0
1383,130.0,0,0
1338,130.0,53,0
1309,130.0,0,0
1303,130.0,0,0
1234,130.0,0,0
1242,130.0,0,0
1284,130.0,0,0
1320,130.0,0,0
1343,130.0,0,0
1425,130.0,0,0
1492,130.0,0,1492
1482,130.0,258,0
1677,130.0,0,0
1922,130.0,0,0
2053,130.0,0,0
1861,130.0,571,0
1945,130.0,0,0
1829,130.0,84,0
1415,130.0,0,0
970,130.0,0,0
644,130.0,0,0
543,130.0,0,0
542,130.0,0,0
1007,130.0,0,0
1551,130.0,0,0
1830,130.0,0,0
2568,130.0,0,0
3345,130.0,0,3345
3225,130.0,2803,0
2339,130.0,0,0
1597,130.0,0,0
1492,130.0,0,0
1214,130.0,0,0
1175,130.0,0,0
1282,130.0,0,0
1309,130.0,0,0
1491,130.0,0,0
2623,130.0,0,0
3790,130.0,0,3790
3779,430.0,2615,0
3248,430.0,0,0
2455,430.0,0,0
1575,430.0,0,0
1487,430.0,0,0
1197,430.0,0,0
1074,430.0,0,0
1264,430.0,0,0
2065,430.0,0,0
2945,430.0,0,0
2989,430.0,0,2989
2441,430.0,1915,0
1740,430.0,0,0
1620,430.0,0,0
1589,430.0,0,0
1563,430.0,0,0
1644,430.0,0,0
1332,430.0,81,0
1785,430.0,0,0
3082,430.0,0,3082
2941,230.0,1750,0
2342,230.0,0,0
1977,230.0,0,0
1641,230.0,0,0
1388,230.0,0,0
1353,230.0,0,0
1037,230.0,0,0
1121,230.0,0,0
1650,230.0,0,0
2117,230.0,0,0
2432,230.0,0,2432
2196,230.0,1395,0
1857,230.0,0,0
1618,230.0,0,0
1608,230.0,0,0
1533,230.0,0,0
1524,230.0,0,0
1474,230.0,0,0
1407,230.0,0,0
2377,230.0,0,0
2887,230.0,0,2887
2291,230.0,1480,0
2143,230.0,0,0
1761,230.0,0,0
1580,230.0,0,0
1591,230.0,0,0
1302,230.0,11,0
1377,230.0,0,0
1854,230.0,0,0
2333,230.0,0,0
2458,230.0,0,2458
2051,230.0,1156,0
1656,230.0,0,0
1443,230.0,0,0
1529,230.0,0,0
1528,230.0,86,0
1540,230.0,0,0
1469,230.0,12,0
1384,230.0,0,0
2068,230.0,0,0
2998,230.0,0,2998
2597,230.0,1614,0
1974,230.0,0,0
1613,230.0,0,0
1484,230.0,0,0
1451,230.0,0,0
1313,230.0,0,0
1185,230.0,0,0
1424,230.0,0,0
2020,230.0,0,0
