G,T,D,S
1069,200.0,0,0
1124,200.0,0,0
894,200.0,55,0
928,200.0,0,0
1239,200.0,0,0
1262,200.0,0,1262
1213,200.0,368,0
1338,200.0,0,0
1294,200.0,125,0
1321,200.0,0,0
1302,200.0,27,0
1302,200.0,0,0
1318,200.0,0,0
1275,200.0,16,0
1282,200.0,0,0
1292,200.0,0,0
1292,200.0,0,0
1321,200.0,0,0
1314,200.0,46,0
1322,200.0,0,0
1317,200.0,8,0
1287,200.0,0,0
1351,200.0,0,0
1279,200.0,64,0
1258,200.0,0,0
1286,200.0,0,0
1287,200.0,0,0
1297,200.0,0,0
1318,200.0,0,0
1312,200.0,60,0
1288,200.0,0,0
1273,200.0,0,0
1234,200.0,0,0
1133,200.0,0,0
1285,200.0,0,0
1249,200.0,152,0
1106,200.0,0,0
1351,200.0,0,0
1400,200.0,0,0
1448,200.0,0,0
1257,200.0,342,0
1196,200.0,0,0
1191,200.0,0,0
1202,200.0,0,0
1250,200.0,0,0
1224,200.0,59,0
1314,200.0,0,0
1311,200.0,90,0
1297,200.0,0,0
1310,200.0,0,0
1299,200.0,13,0
1298,200.0,0,0
1298,200.0,0,0
1280,200.0,0,0
1238,200.0,0,0
1281,200.0,0,0
1282,200.0,0,0
1280,200.0,44,0
1217,200.0,0,0
1263,200.0,0,0
1277,200.0,0,0
1250,200.0,60,0
1274,200.0,0,0
1237,200.0,24,0
1226,200.0,0,0
1062,200.0,0,0
977,200.0,0,0
825,200.0,0,0
771,200.0,0,0
698,200.0,0,0
1047,200.0,0,0
1610,200.0,0,1610
1508,200.0,912,0
1955,200.0,0,0
2121,200.0,0,0
1839,200.0,613,0
1537,200.0,0,0
1504,200.0,0,0
1100,200.0,0,0
799,200.0,0,0
577,200.0,0,0
498,200.0,0,0
1980,200.0,0,0
5449,200.0,0,5449
4355,200.0,4951,0
2411,200.0,0,0
1446,200.0,0,0
1410,200.0,0,0
1617,200.0,0,0
1362,200.0,207,0
1220,200.0,0,0
3021,200.0,0,0
5170,200.0,0,5170
3025,430.0,3950,0
376,430.0,0,0
1216,430.0,0,0
992,430.0,840,0
680,430.0,0,0
531,430.0,0,0
1099,430.0,0,0
5622,430.0,0,5622
4845,430.0,5091,0
2125,430.0,0,0
1690,430.0,0,0
1933,430.0,0,0
1581,430.0,243,0
1393,430.0,0,0
1417,430.0,0,0
5316,430.0,0,5316
