G,T,D,S
1280,200.0,0,0
1237,200.0,0,0
1273,200.0,0,0
1294,200.0,0,0
1287,200.0,57,0
1277,200.0,0,0
1294,200.0,0,0
1265,200.0,17,0
1286,200.0,0,0
1276,200.0,21,0
1280,200.0,0,0
1277,200.0,4,0
1298,200.0,0,0
1309,200.0,0,0
1293,200.0,32,0
1276,200.0,0,0
1248,200.0,0,0
1277,200.0,0,0
1283,200.0,0,0
1316,200.0,0,0
1285,200.0,68,0
1285,200.0,0,0
1259,200.0,0,0
1275,200.0,0,0
1284,200.0,0,0
1495,200.0,0,1495
1182,200.0,236,0
1216,200.0,0,0
1230,200.0,0,0
1229,200.0,48,0
1280,200.0,0,0
1267,200.0,51,0
1289,200.0,0,0
1281,200.0,22,0
1235,200.0,0,0
1306,200.0,0,0
1312,200.0,0,0
1301,200.0,77,0
1283,200.0,0,0
1258,200.0,0,0
1259,200.0,0,0
1281,200.0,0,0
1291,200.0,0,0
1312,200.0,0,0
1284,200.0,54,0
1292,200.0,0,0
1287,200.0,8,0
1198,200.0,0,0
1268,200.0,0,0
1289,200.0,0,0
1294,200.0,0,0
1225,200.0,96,0
1289,200.0,0,0
1270,200.0,64,0
1290,200.0,0,0
1286,200.0,20,0
1269,200.0,0,0
1304,200.0,0,0
1296,200.0,35,0
1294,200.0,0,0
1215,200.0,0,0
1293,200.0,0,0
1285,200.0,78,0
1283,200.0,0,0
1270,200.0,0,0
1242,200.0,0,0
1291,200.0,0,0
1285,200.0,49,0
1290,200.0,0,0
1228,200.0,5,0
1289,200.0,0,0
1277,200.0,61,0
1283,200.0,0,0
1675,200.0,0,1675
1283,200.0,398,0
1283,200.0,0,0
1292,200.0,0,0
1276,200.0,9,0
1218,200.0,0,0
1289,200.0,0,0
1288,200.0,71,0
1276,200.0,0,0
1219,200.0,0,0
1281,200.0,0,0
1281,200.0,0,0
1280,200.0,62,0
1435,200.0,0,0
1285,200.0,155,0
1282,200.0,0,0
1277,200.0,0,0
1279,200.0,0,0
1222,200.0,2,0
1278,200.0,0,0
1267,200.0,56,0
1277,200.0,0,0
1276,200.0,10,0
1280,200.0,0,0
1249,200.0,4,0
1296,200.0,0,0
1338,200.0,0,0
1303,200.0,89,0
1349,200.0,0,0
1315,200.0,46,0
1276,200.0,0,0
1182,200.0,0,0
1238,200.0,0,0
1227,200.0,56,0
1305,200.0,0,0
1309,200.0,0,0
1257,200.0,82,0
1234,200.0,0,0
1259,200.0,0,0
1296,200.0,0,0
1246,200.0,62,0
1302,200.0,0,0
1307,200.0,0,0
1302,200.0,61,0
1292,200.0,0,0
1281,200.0,0,0
1267,200.0,0,0
1292,200.0,0,0
1285,200.0,25,0
1287,200.0,0,0
1278,200.0,2,0
1241,200.0,0,0
1279,200.0,0,0
1241,200.0,38,0
1340,200.0,0,0
1333,200.0,99,0
1224,200.0,0,0
1260,200.0,0,0
1202,200.0,36,0
1142,200.0,0,0
1207,200.0,0,0
1097,200.0,65,0
831,200.0,0,0
881,200.0,0,0
1296,200.0,0,0
1452,200.0,0,0
1609,200.0,0,1609
1545,200.0,778,0
1475,200.0,0,0
1430,200.0,0,0
1369,200.0,0,0
1292,200.0,0,0
1320,200.0,0,0
1280,200.0,28,0
1313,200.0,0,0
1311,200.0,33,0
1282,200.0,0,0
1221,200.0,0,0
1419,200.0,0,0
1539,200.0,0,0
2007,200.0,0,0
2451,200.0,0,2451
2125,200.0,1230,0
1804,200.0,0,0
1504,200.0,0,0
1096,200.0,0,0
753,200.0,0,0
610,200.0,0,0
626,200.0,0,0
801,200.0,0,0
1182,200.0,0,0
1625,200.0,0,0
1843,200.0,0,0
2031,200.0,0,0
2056,200.0,0,2056
1641,230.0,1446,0
1287,230.0,0,0
1150,230.0,0,0
1035,230.0,0,0
938,230.0,0,0
991,230.0,0,0
1071,230.0,0,0
1194,230.0,0,0
1494,230.0,0,1494
1447,230.0,556,0
1705,230.0,0,0
1925,230.0,0,0
1960,230.0,0,0
1672,230.0,513,0
1338,230.0,0,0
1101,230.0,0,0
909,230.0,0,0
802,230.0,0,0
750,230.0,0,0
729,230.0,0,0
1121,230.0,0,0
1515,230.0,0,0
2016,230.0,0,2016
1906,200.0,1287,0
1796,200.0,0,0
1281,200.0,0,0
1146,200.0,0,0
1055,200.0,0,0
1014,200.0,0,0
996,200.0,0,0
1138,200.0,0,0
1443,200.0,0,0
1486,200.0,0,1486
1267,230.0,490,0
1494,230.0,0,0
1969,230.0,0,0
1948,230.0,702,0
1647,230.0,0,0
1372,230.0,0,0
1100,230.0,0,0
900,230.0,0,0
777,230.0,0,0
766,230.0,0,0
859,230.0,0,0
1105,230.0,0,0
1399,230.0,0,0
1908,230.0,0,0
1927,230.0,0,1927
1402,200.0,1161,0
1168,200.0,0,0
1048,200.0,0,0
1026,200.0,0,0
1034,200.0,0,0
1246,200.0,0,0
1332,200.0,0,0
1531,200.0,0,1531
1469,230.0,505,0
1279,230.0,0,0
1516,230.0,0,0
1734,230.0,0,0
1563,230.0,455,0
1342,230.0,0,0
1241,230.0,0,0
1118,230.0,0,0
994,230.0,0,0
934,230.0,0,0
1004,230.0,0,0
946,230.0,70,0
846,230.0,0,0
879,230.0,0,0
1412,230.0,0,0
1986,230.0,0,1986
1685,200.0,1140,0
1331,200.0,0,0
1245,200.0,0,0
1168,200.0,0,0
1088,200.0,0,0
1115,200.0,0,0
1276,200.0,0,0
1305,200.0,0,0
1421,200.0,0,1421
1303,230.0,333,0
1482,230.0,0,0
1864,230.0,0,0
1695,230.0,561,0
1358,230.0,0,0
1293,230.0,0,0
1159,230.0,0,0
998,230.0,0,0
924,230.0,0,0
959,230.0,0,0
1060,230.0,0,0
1218,230.0,0,1218
1168,130.0,294,0
1431,130.0,0,0
1678,130.0,0,0
1530,130.0,510,0
1309,130.0,0,0
1233,130.0,0,0
1196,130.0,0,0
1134,130.0,0,0
1175,130.0,0,0
1366,130.0,0,1366
1304,130.0,232,0
1305,130.0,0,0
1188,130.0,1,0
1335,130.0,0,0
1653,130.0,0,0
1490,130.0,465,0
1341,130.0,0,0
1358,130.0,0,0
1260,130.0,17,0
1158,130.0,0,0
1116,130.0,0,0
1172,130.0,0,0
1094,130.0,56,0
873,130.0,0,0
900,130.0,0,0
1303,130.0,0,0
1706,130.0,0,0
1707,130.0,0,1707
1437,130.0,834,0
1421,130.0,0,0
1322,130.0,0,0
1088,130.0,0,0
1048,130.0,0,0
1214,130.0,0,1214
1211,230.0,166,0
1400,230.0,0,0
1332,230.0,189,0
1461,230.0,0,0
1732,230.0,0,0
1722,230.0,400,0
1461,230.0,0,0
1353,230.0,0,0
1198,230.0,0,0
1030,230.0,0,0
951,230.0,0,0
1061,230.0,0,0
1060,230.0,110,0
1008,230.0,0,0
990,230.0,0,0
1247,230.0,0,0
1680,230.0,0,0
1704,230.0,0,1704
1424,130.0,714,0
1397,130.0,0,0
1309,130.0,0,0
1220,130.0,0,0
1126,130.0,0,0
1307,130.0,0,0
1307,130.0,0,0
1345,130.0,0,0
1358,130.0,0,1358
1275,200.0,232,0
1606,200.0,0,0
1611,200.0,0,0
1353,200.0,336,0
1403,200.0,0,0
1354,200.0,50,0
1212,200.0,0,0
1038,200.0,0,0
930,200.0,0,0
927,200.0,0,0
1056,200.0,0,0
1055,200.0,129,0
1317,200.0,0,0
1722,200.0,0,0
1833,200.0,0,1833
1462,130.0,778,0
1352,130.0,0,0
1259,130.0,0,0
1032,130.0,0,0
896,130.0,0,0
970,130.0,0,0
1212,130.0,0,0
1237,130.0,0,0
1365,130.0,0,1365
1355,200.0,469,0
1744,200.0,0,0
2284,200.0,0,0
1924,200.0,929,0
1235,200.0,0,0
1058,200.0,0,0
1006,200.0,0,0
847,200.0,0,0
763,200.0,0,0
761,200.0,0,0
997,200.0,0,0
1327,200.0,0,0
1805,200.0,0,0
2189,200.0,0,2189
1521,200.0,1428,0
1312,200.0,0,0
1008,200.0,0,0
945,200.0,0,0
966,200.0,0,0
935,200.0,0,0
959,200.0,0,0
1282,200.0,0,0
1495,200.0,0,0
1498,200.0,0,1498
1305,230.0,563,0
1505,230.0,0,0
1877,230.0,0,0
1887,230.0,0,0
1486,230.0,582,0
1154,230.0,0,0
976,230.0,0,0
870,230.0,0,0
962,230.0,0,0
1037,230.0,0,0
1122,230.0,0,0
1166,230.0,0,0
1173,230.0,0,0
1699,230.0,0,0
1710,230.0,0,1710
1195,200.0,840,0
1003,200.0,0,0
1039,200.0,0,0
1160,200.0,0,0
1140,200.0,157,0
1287,200.0,0,0
1391,200.0,0,0
1594,200.0,0,1594
1386,230.0,454,0
1318,230.0,0,0
1675,230.0,0,0
1773,230.0,0,0
1430,230.0,455,0
1289,230.0,0,0
1213,230.0,0,0
1062,230.0,0,0
