AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1423.8,1.287
1510.8,0.941
1462.4,1.196
1405.2,2.632
1326.0,1.861
1264.4,0.255
1239.6,0.006
1243.2,0.008
1387.4,2.957
1335.8,1.764
1315.0,2.082
1321.8,1.967
1238.6,0.094
1255.8,0.134
1247.6,0.075
1234.6,0.11
1257.6,0.092
1225.8,0.065
1231.0,0.054
1244.4,0.053
1230.2,0.026
1239.2,0.009
1250.2,0.021
1213.0,0.155
1232.0,0.113
1276.4,0.497
1256.6,0.349
1253.4,0.294
1249.4,0.303
1234.2,0.042
1281.2,0.544
1271.0,0.274
1260.4,0.338
1293.6,0.283
1255.2,0.107
1251.0,0.108
1321.6,0.514
1283.2,0.371
1267.4,0.5
1259.2,0.565
1235.6,0.044
1227.0,0.02
1245.2,0.053
1231.0,0.065
1615.4,21.749
1399.2,15.61
1370.0,16.69
1462.6,14.323
1361.0,3.013
1390.0,1.716
1850.8,23.278
2115.4,26.904
2021.8,18.341
2605.6,21.935
2040.2,47.819
2345.4,42.096
2484.4,35.044
2053.0,28.643
2460.0,11.886
2009.2,24.479
2282.8,27.416
2318.2,17.854
2014.4,21.947
2354.4,12.137
1990.4,12.114
1787.0,12.343
1865.6,10.256
1798.4,2.915
1884.4,4.022
1814.2,3.274
1707.4,6.725
1671.6,4.118
1807.6,9.535
2098.0,24.138
2362.6,17.473
2264.8,11.344
2314.0,8.857
2421.4,10.286
2313.0,6.431
2052.4,22.064
2182.6,14.72
2104.4,9.521
1847.2,8.301
2270.2,13.164
2365.2,14.774
2131.8,18.045
2494.4,10.454
2100.0,20.958
2074.2,11.293
2033.6,11.782
2097.4,9.026
2003.8,5.53
2013.4,4.676
2050.0,4.1
2134.4,6.357
2063.8,3.452
2312.0,7.654
2081.6,12.99
2402.6,23.156
2347.6,14.785
2479.0,18.585
2394.4,12.981
2495.0,8.467
2315.8,11.578
2460.0,12.027
2325.6,11.126
2454.2,10.884
2304.4,12.298
2324.4,6.854
2405.0,5.164
2481.4,7.972
2373.2,5.985
2541.2,5.774
2697.8,9.707
2568.6,7.566
2321.4,26.894
2370.8,16.393
2195.0,7.454
2040.2,4.457
2185.0,1.216
2005.6,3.023
2281.4,13.166
2320.0,8.741
2512.4,13.88
2619.0,1.538
2854.6,10.611
2836.0,4.52
2707.2,8.061
2734.4,7.073
2602.4,1.031
2343.2,6.506
2458.8,4.53
2176.4,10.3
2243.6,6.421
2210.8,5.537
2149.0,2.85
2026.2,7.207
2042.6,2.789
2208.4,9.184
2190.0,7.516
2243.8,2.513
2688.4,21.082
2904.6,31.343
2558.4,39.824
2754.8,26.285
2493.2,24.648
2146.0,5.444
2335.0,4.534
2226.6,2.425
2231.8,2.442
2150.6,4.601
2152.6,1.61
2026.0,2.52
1972.2,1.154
2056.2,1.357
1971.0,0.685
1897.2,2.236
2172.0,9.838
2058.0,6.694
2022.4,7.244
2177.6,4.285
1748.0,14.783
1839.4,8.924
1823.6,8.768
1910.6,12.369
1694.2,16.176
1932.0,14.02
1976.2,14.116
2135.0,24.388
2289.4,2.644
2195.6,4.98
2374.2,4.594
2269.6,2.649
2059.6,8.531
2137.8,6.061
1911.8,5.129
1936.8,2.547
1916.8,1.79
2013.8,3.748
1946.2,2.698
1872.8,3.024
1942.8,2.675
1684.0,4.315
1612.2,4.753
1706.2,4.831
1615.8,2.238
1728.4,2.428
1608.4,4.998
1612.4,2.621
1615.2,2.569
1596.4,1.734
1666.4,0.161
1815.8,2.816
1919.2,3.359
1815.8,3.929
2005.0,3.594
1864.4,4.323
1886.2,3.273
1949.0,1.706
1877.8,0.725
1777.8,3.6
1766.0,1.949
1685.6,1.167
1615.8,0.398
1827.8,4.975
1648.2,5.471
1692.0,4.591
1878.8,7.109
1789.4,4.504
2056.6,6.917
2192.2,3.543
2086.2,4.193
2125.6,2.956
2218.2,3.986
2361.2,11.309
2204.2,9.714
2407.0,6.548
2413.2,6.531
2537.4,12.55
2462.2,5.942
2218.0,19.341
2325.0,13.56
2299.4,9.236
2326.4,8.772
2220.2,9.843
2317.0,6.29
2191.2,4.556
2123.8,2.6
2257.0,0.874
2270.2,1.106
2162.6,2.603
2372.0,4.844
2453.4,6.522
2180.2,13.511
2336.8,8.496
2241.6,6.977
1988.2,4.832
1967.4,5.603
2007.0,3.463
2006.8,3.4
2115.4,3.323
2193.8,0.172
2025.4,5.206
1960.4,4.937
2090.8,7.083
2123.6,8.266
2092.2,5.09
2293.0,2.533
2327.0,3.217
2305.4,2.849
2594.2,5.821
2642.0,4.088
2440.8,10.697
2413.8,11.322
2161.0,10.066
2237.6,5.969
2315.0,6.275
2139.4,9.133
2446.4,8.111
2346.0,6.572
2128.8,10.159
2258.8,6.352
2116.4,2.351
2089.6,1.302
2035.2,1.926
2206.6,5.413
2084.0,4.474
2076.2,4.229
2189.0,3.119
2213.0,3.445
2389.6,5.348
2273.0,5.131
2345.0,3.603
2299.8,3.631
2206.4,0.838
2179.0,1.115
1991.8,5.348
1797.2,8.394
1507.0,12.674
