AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
882.0,0.746
1126.6,5.783
1227.4,5.44
1233.8,2.867
1282.8,1.222
1210.8,1.13
1162.6,0.06
1243.0,1.091
1857.4,62.34
1865.8,33.986
3253.6,234.647
3057.4,107.252
4653.0,396.363
3734.8,347.115
5040.2,469.687
4327.8,415.391
5618.0,663.735
4335.2,684.128
5302.6,583.716
4760.0,530.573
6421.6,1084.764
4888.6,936.646
6580.0,992.026
6966.8,712.931
4179.6,932.399
6487.0,637.959
4455.0,580.908
5645.4,774.079
4418.4,790.635
5250.4,589.005
4503.4,590.836
6025.2,997.995
4569.6,882.89
5497.2,728.393
4706.6,798.571
5611.2,751.115
4303.4,719.098
5473.8,680.546
4707.0,654.36
5600.0,677.85
4234.8,776.229
5268.2,632.672
4543.0,604.825
5781.0,861.364
4281.6,895.366
3146.8,814.302
5562.6,1211.672
3322.4,661.407
6112.2,1121.104
4601.2,1139.646
5145.6,737.039
4474.2,776.295
4747.8,482.301
5349.4,173.846
4191.8,251.917
5929.4,259.224
3724.2,534.838
4566.8,433.235
3867.8,478.273
5282.6,845.168
3743.0,819.491
4860.2,712.911
4250.0,704.001
4512.2,469.567
5087.4,154.075
3922.4,222.719
5630.8,262.231
3444.4,527.892
4395.6,452.996
3856.4,447.024
5194.6,813.596
3898.8,691.306
4844.6,586.065
4296.4,593.035
4787.8,476.448
3659.4,525.155
4446.4,402.473
4052.2,372.267
4849.0,499.882
3773.2,490.302
4828.8,440.453
4069.6,459.447
4912.8,533.446
3690.0,608.309
4645.4,499.215
4124.2,454.316
4887.0,537.919
3695.4,602.031
4879.8,545.104
4066.6,531.641
5683.0,1021.974
4206.2,926.864
4356.2,650.636
3939.4,718.991
4327.0,469.434
5012.0,211.228
4056.4,323.68
5918.2,297.654
3578.0,620.031
4967.2,656.891
4123.0,614.26
5163.0,740.183
3848.6,801.963
4421.8,524.081
3752.2,566.817
4469.2,548.087
3360.4,532.947
3992.4,398.585
3407.4,432.749
4017.8,403.888
5043.8,232.179
4079.8,270.097
5655.2,171.432
3430.4,639.706
4171.6,425.69
3336.2,482.728
4373.6,647.831
4786.8,241.142
3874.6,315.86
5769.6,300.937
4836.8,194.363
3849.2,353.286
5445.6,314.41
3255.2,416.556
4531.4,494.071
3910.8,430.79
4781.2,522.595
5289.0,195.892
3930.8,328.714
5562.2,277.858
3311.0,518.737
4363.4,483.728
3584.2,492.825
4633.0,631.046
3488.0,607.001
4119.4,454.281
3586.2,462.648
4245.2,447.164
3239.4,435.778
4629.0,556.988
3898.0,471.46
5474.8,893.549
4050.6,865.369
4908.2,670.837
4298.6,672.408
5049.4,647.315
3724.8,695.04
4495.4,511.311
3804.8,554.801
4638.4,600.166
3498.2,565.085
4734.4,578.442
4488.8,440.698
5138.0,525.686
5809.6,117.976
4384.8,322.655
5955.4,309.157
3541.2,625.645
4756.4,599.52
4021.4,560.086
5042.0,702.629
3727.4,754.693
4216.6,488.785
3849.0,486.238
4822.2,681.771
5591.4,250.479
4284.4,489.591
6474.0,476.459
3829.8,790.32
4531.8,603.489
6184.2,707.655
3458.6,795.065
4798.0,472.926
5908.8,705.333
3254.4,687.126
4739.0,430.138
3708.8,576.608
4554.8,591.718
3495.8,490.652
4263.4,428.77
3680.0,455.941
4267.0,387.667
3111.2,470.317
3603.2,325.894
3200.2,333.379
4153.2,512.575
3090.2,443.412
4234.6,454.309
3461.6,481.612
4673.8,693.048
4839.6,298.163
3516.4,479.338
5433.4,411.054
4376.0,241.0
3982.8,253.205
3600.6,346.407
2531.2,140.927
