AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1109.8,0.012
1113.2,0.001
1117.8,0.002
1115.6,0.001
1102.2,0.034
1092.8,0.044
1101.4,0.041
1098.0,0.032
1106.4,0.028
1117.0,0.003
1168.0,0.428
1136.4,0.319
1139.6,0.299
1135.2,0.321
1119.0,0.024
1126.2,0.016
1116.0,0.029
1132.6,0.028
1149.4,0.098
1137.6,0.073
1146.0,0.037
1138.2,0.053
1173.0,0.293
1285.2,2.32
1706.6,29.164
2056.8,34.521
2176.8,14.663
2150.2,10.741
1893.6,21.607
1768.8,6.699
1754.2,3.461
1532.4,6.163
1750.6,5.734
1907.6,10.814
1522.0,20.249
1872.6,15.747
1832.0,14.735
1463.4,18.421
1680.0,10.252
1492.6,6.778
1608.2,9.843
1428.8,10.985
1350.8,9.567
1473.0,9.681
1446.0,7.056
1394.4,4.294
1537.6,2.158
1580.6,2.81
1437.2,2.713
1494.2,1.529
1442.4,1.632
1436.2,0.547
1666.2,7.628
1806.2,8.888
1820.8,3.873
1859.2,2.105
1597.2,11.285
1576.2,3.825
1584.0,3.693
1450.6,2.891
1446.6,2.735
1397.8,2.273
1587.8,10.295
1602.8,7.016
1538.6,7.077
1825.8,7.346
1746.0,5.277
1701.2,5.316
1616.0,8.911
1564.4,2.998
1689.0,7.303
1734.0,7.672
1641.2,7.104
1704.0,5.113
1693.8,3.543
1857.8,12.549
1613.6,15.497
1925.6,15.824
1959.8,14.65
1842.0,11.505
1878.0,5.143
1785.8,2.671
1545.4,5.594
1578.6,2.36
1622.4,3.201
1402.0,6.31
1374.4,7.318
1471.4,6.724
1380.8,3.725
1561.0,5.409
1672.4,1.177
1579.0,2.042
1465.4,6.566
1513.4,3.546
1449.6,1.999
1511.4,2.954
1671.4,1.438
1701.4,1.299
1682.6,0.846
1812.2,1.622
1718.8,1.595
1696.4,1.529
1686.0,1.662
1704.4,0.849
1479.6,7.065
1495.0,4.513
1545.8,4.96
1441.6,2.426
1487.2,0.683
1597.8,1.483
1348.0,6.516
1323.0,5.317
1397.4,5.544
1364.4,3.847
1403.4,1.322
1546.6,0.997
1573.2,1.051
1506.4,1.396
1591.8,0.759
1659.8,2.054
1736.0,3.682
1897.0,2.927
1979.4,1.045
1941.4,1.049
1755.2,8.635
1708.6,4.729
1699.6,2.686
1411.0,7.966
1542.4,5.553
1510.6,5.295
1420.6,2.8
1732.2,7.058
1719.8,4.676
1853.6,4.976
1868.0,1.635
1706.6,3.502
1777.4,2.539
1440.6,10.602
1389.0,6.567
1463.8,6.937
1433.8,5.065
1484.2,1.405
1569.0,0.271
1697.0,3.06
1516.2,4.804
1608.4,3.508
1569.6,3.757
1603.8,3.295
1424.0,7.766
1496.0,4.933
1557.2,5.826
1419.4,3.687
1590.6,1.283
1646.6,1.763
1444.2,5.211
1553.2,3.46
1439.0,3.751
1471.2,2.877
1620.0,2.765
1425.2,5.731
1508.2,3.87
1491.6,3.556
1448.2,1.713
1559.4,0.498
1644.8,1.25
1649.0,0.545
1623.2,0.813
1621.2,0.699
1718.8,2.817
1446.2,9.702
1531.0,6.74
1556.4,6.923
1471.2,3.494
1678.6,1.975
1460.2,7.739
1357.0,8.747
1466.6,8.249
1362.0,3.838
1521.4,4.747
1702.6,2.32
1473.2,7.926
1657.4,6.325
1555.4,6.146
1541.0,4.388
1780.6,4.092
1693.4,2.84
1646.2,3.918
1805.6,4.326
1652.2,2.646
1708.2,2.815
1668.8,2.811
1647.0,0.747
1777.6,2.903
1622.8,3.4
1687.6,2.398
1682.0,2.42
1621.2,0.506
1705.4,0.352
1507.0,5.577
1541.8,3.419
1521.0,3.111
1460.8,1.427
1607.8,1.055
1672.0,1.523
1454.6,8.309
1598.8,5.889
1504.8,5.203
1623.8,9.265
1686.6,2.107
1705.4,2.127
1641.4,3.474
1587.4,1.072
1661.0,2.096
1581.6,1.393
1646.4,0.806
1556.2,2.65
1604.0,1.546
1560.2,1.348
1593.4,1.552
1555.0,1.388
1545.4,0.611
1634.2,1.623
1352.0,8.801
1439.2,5.911
1555.2,9.065
1504.2,7.253
1729.2,2.913
1809.2,0.821
1504.4,13.787
1732.2,11.275
1673.0,9.733
1672.0,9.591
1518.6,14.796
1535.0,7.164
1494.2,6.003
1420.6,3.436
1543.6,0.11
1636.6,1.566
1396.4,8.328
1540.8,6.175
1526.6,5.979
1435.2,3.983
1547.2,0.367
1638.2,2.241
1417.8,6.482
1325.0,9.067
1271.8,7.519
1320.4,5.823
1334.0,3.799
1455.0,2.479
1627.6,2.088
1405.0,6.02
1371.6,6.315
1433.4,5.633
1445.4,5.488
1576.0,4.286
1519.2,3.027
1582.6,2.028
1527.0,1.828
1457.4,0.696
1462.6,0.485
1606.0,3.998
1732.8,6.805
1650.6,5.133
1854.0,3.193
1732.0,4.051
1711.2,2.353
1750.0,1.379
1658.2,0.374
1449.6,9.056
1503.0,4.782
1580.6,7.424
1589.8,7.229
1745.6,1.064
1641.8,3.475
1645.6,1.757
1558.8,2.026
1545.4,0.733
1673.4,1.931
1653.4,1.368
1603.0,2.089
1661.0,1.474
1612.2,0.704
1429.0,4.143
1414.4,3.843
1419.4,2.429
1405.6,1.881
1534.6,2.157
1646.4,1.358
1678.6,0.653
1798.0,0.997
1745.6,0.85
1962.8,6.592
1984.2,3.717
1874.6,5.528
1879.8,5.324
1939.6,3.906
1821.0,2.52
1736.2,4.817
1758.2,4.085
1775.8,2.533
1456.8,11.828
1617.4,8.514
1571.6,8.186
1534.8,5.633
1748.0,1.72
1480.4,9.233
1354.8,12.889
1491.2,11.66
1374.2,6.14
1510.6,6.014
1744.4,2.777
1727.2,2.01
1662.4,3.101
1705.2,2.221
1745.4,2.583
1418.6,12.436
1546.0,8.44
1672.4,12.591
1536.0,8.617
1675.8,1.811
1833.6,3.322
1734.4,2.068
1682.4,3.15
1933.0,7.497
1882.8,5.696
1757.6,8.168
1847.2,5.272
1865.6,3.721
1845.4,3.199
1634.2,12.358
1779.6,8.343
1693.4,6.398
1553.2,4.744
1582.8,2.961
1668.0,3.21
1638.8,2.479
1616.0,2.218
1807.4,2.581
1776.4,1.977
1628.0,5.276
1850.6,5.582
1883.6,6.666
1666.6,10.032
2043.2,11.714
1975.0,9.412
1844.8,10.004
1937.4,5.187
1653.6,6.53
1638.0,2.172
1766.6,5.876
1433.0,12.961
1573.0,8.988
1460.4,9.996
1438.6,4.522
1529.8,1.049
1503.6,0.949
1372.6,5.525
1424.2,2.934
1330.6,2.281
1213.8,2.326
1223.2,2.116
1176.0,0.429
1136.6,0.067
1152.0,0.045
1160.0,0.019
1158.4,0.011
1158.6,0.003
1164.8,0.005
1174.0,0.019
