AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1135.6,7.07
1278.8,4.743
1324.2,2.906
1381.4,0.643
1317.0,0.357
1289.0,0.089
1282.2,0.038
1287.8,0.053
1295.8,0.028
1310.4,0.022
1272.8,0.266
1287.6,0.159
1238.2,0.377
1455.2,7.808
1564.4,7.208
1667.2,5.964
1803.4,0.042
1848.4,0.399
1741.2,1.891
1605.4,5.662
1760.0,6.399
1914.2,15.753
1816.0,10.679
2150.8,7.017
2358.2,12.742
2200.0,10.385
2395.2,3.303
2432.6,3.421
2317.2,1.49
2290.6,1.87
2532.0,8.949
2618.8,11.011
2862.4,15.128
2928.4,1.934
2836.4,4.54
3283.6,26.897
3367.2,27.689
3521.0,20.604
3587.0,5.307
3784.0,8.355
3749.2,6.441
3739.8,6.204
3772.8,3.218
3681.8,0.767
3947.8,13.283
3872.2,8.072
4085.0,8.488
4050.8,5.38
4363.8,21.932
4251.8,12.494
4114.8,16.73
3923.6,32.185
3884.8,7.245
3251.0,43.032
3100.8,30.474
3051.0,27.623
2789.8,2.493
2868.8,0.286
3048.4,3.748
2741.2,12.419
3083.0,17.923
2960.0,14.791
3174.4,24.503
3014.2,18.979
3432.6,37.763
3262.6,26.608
3679.0,54.064
3979.4,23.228
3514.0,40.383
3738.8,25.092
3562.8,15.539
3368.0,4.34
3459.0,0.532
3522.4,1.256
3486.6,0.845
3674.0,4.262
3698.8,1.78
3554.4,5.28
3409.0,12.366
3410.4,4.937
3417.6,4.644
3611.2,11.457
3564.2,4.566
3939.0,15.632
3615.4,22.155
3840.2,21.765
3775.6,17.849
3760.6,11.287
3625.0,13.574
3691.8,6.756
3751.0,7.003
3402.2,14.312
3513.2,9.763
3363.6,7.797
3218.8,1.431
3610.8,16.23
3337.0,14.968
3571.6,14.6
3380.4,20.851
3116.4,10.418
3464.0,18.52
3057.4,16.181
3180.0,13.808
3080.8,17.113
2931.6,2.235
2895.2,2.657
2921.6,1.445
2743.4,5.587
2921.2,6.94
2763.0,7.889
2863.2,7.993
2770.0,7.679
2739.0,3.505
2643.2,5.855
2715.8,4.121
2553.2,6.112
2418.4,7.087
2472.4,5.957
2410.8,1.629
2271.2,3.595
2290.8,2.99
2382.8,4.176
2414.8,5.358
2246.4,8.768
2368.4,5.815
2470.0,8.878
2497.2,9.991
2414.0,7.249
2552.2,4.903
2519.0,4.25
2584.0,6.353
2549.2,2.561
2501.2,3.061
2545.6,2.663
2532.0,1.719
2656.8,3.072
2581.2,2.567
2842.6,8.11
2834.6,5.654
2901.2,6.652
2969.8,1.096
3049.4,2.196
3129.6,2.118
3215.6,2.913
3236.4,0.444
3169.6,1.607
3184.2,1.062
3357.6,8.148
3274.6,5.082
3249.0,5.516
3266.6,4.993
3131.4,0.357
3072.8,0.313
2915.2,4.985
2937.4,2.331
2910.4,1.766
2923.0,1.959
2766.0,7.044
2834.2,4.161
2724.4,4.061
2834.8,6.836
2638.8,10.507
2796.0,8.877
2643.0,10.954
2730.4,9.593
2694.4,5.575
2633.0,3.53
2857.4,5.463
2600.0,6.407
2724.8,5.149
2709.0,4.993
2648.6,1.87
2835.0,2.343
2670.2,3.807
2807.2,3.557
2643.2,7.042
2654.8,3.444
2612.2,3.445
2723.8,5.804
2592.4,5.741
2626.8,4.257
2468.2,9.607
2499.8,3.876
2375.8,4.991
2366.4,3.028
2346.4,2.917
2512.8,8.654
2371.4,6.698
2455.6,5.895
2371.4,7.75
2443.6,5.542
2364.6,3.995
2454.4,4.594
2450.4,2.758
2479.6,2.277
2408.6,2.569
2384.8,1.379
2305.0,2.706
2326.0,1.166
2174.4,3.881
2049.8,5.014
2135.2,4.342
2163.6,5.08
2127.6,3.252
2138.2,2.349
2292.6,4.429
2068.4,5.067
2090.8,4.357
2191.2,4.384
2185.4,3.673
2074.2,4.547
2124.8,3.239
2162.0,3.39
2353.4,14.617
2153.0,13.031
2215.8,10.375
2385.6,13.31
2428.0,15.899
2175.0,21.603
2286.2,15.361
2145.8,13.541
2098.0,5.334
1963.6,7.051
1934.4,4.838
1878.4,4.877
1799.6,0.563
1878.4,0.384
1738.8,2.718
1734.4,2.145
1758.8,1.976
1768.6,2.06
1762.8,0.795
1760.0,0.811
1849.2,1.618
1693.4,2.375
1769.0,2.041
1730.8,2.203
1714.2,0.965
1959.6,6.923
1958.8,4.848
1849.0,7.505
1938.2,5.193
1550.6,14.842
1578.8,6.505
1634.4,7.302
1466.0,4.929
1420.2,6.302
1275.4,7.501
1177.4,1.471
