AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1432.6,1.698
1357.6,0.611
1409.6,0.537
1407.6,0.316
1391.8,0.098
1429.0,0.177
1360.4,0.473
1364.2,0.387
1354.4,0.369
1368.6,0.375
1353.6,0.19
1353.2,0.19
1373.6,0.178
1287.2,0.587
1283.8,0.44
1486.8,6.875
2185.4,93.144
3105.4,189.421
3914.4,146.166
2989.6,277.667
4318.2,279.488
3283.0,281.147
4631.0,603.113
3697.0,479.615
4371.0,393.567
3954.0,379.276
3878.4,186.468
4291.6,67.274
4516.4,86.699
4871.4,12.466
3407.6,333.062
4591.0,292.366
4213.4,241.766
2923.6,342.648
4471.2,224.793
4095.6,168.241
4202.4,179.895
4592.4,17.126
4548.0,4.566
4349.0,9.573
3148.6,195.514
3774.8,137.934
3484.0,108.628
2416.0,186.26
3445.8,125.058
3214.6,98.518
2322.2,137.047
3331.8,91.464
3375.0,96.567
3472.0,104.104
4052.8,1.457
3132.2,132.775
3695.2,98.014
3647.4,93.433
2592.2,163.219
3526.6,107.369
3474.6,100.659
3481.6,101.368
4121.4,3.348
3194.4,127.573
4013.8,133.034
3887.0,115.023
2813.2,208.95
4026.2,157.628
3840.8,132.305
2934.0,177.738
4026.4,103.839
3796.6,83.964
3002.4,111.936
3910.2,73.483
3557.8,53.957
2731.6,112.793
3573.2,90.709
3300.6,64.931
2713.2,86.152
3730.0,78.094
3538.4,61.409
2833.0,116.407
4029.0,131.623
3824.6,106.608
3041.4,168.753
4042.6,105.993
3915.0,88.139
2942.4,151.714
4085.6,124.015
3856.4,104.761
2890.0,168.019
3861.2,109.021
3715.8,89.147
3914.2,111.56
4429.2,2.682
3462.2,147.566
4030.2,104.786
3822.8,88.717
2840.4,140.48
3876.4,107.831
3577.4,83.799
2733.8,134.737
3735.6,100.473
3744.6,101.365
2811.8,162.529
4012.6,130.288
2645.2,262.327
3184.8,211.542
3649.2,165.452
3420.4,132.483
3208.2,103.19
3834.8,95.458
3702.0,81.553
2765.6,166.572
3610.6,107.242
3313.0,76.896
2447.8,107.287
3417.4,85.452
3356.4,79.139
2594.8,118.391
3803.6,117.145
3771.2,109.095
2893.6,173.265
3943.4,110.656
3842.8,98.831
2921.6,141.327
4272.2,146.484
4072.6,121.032
2975.4,242.026
3996.4,156.886
4014.8,150.937
2931.0,192.855
4308.2,153.017
4366.4,151.802
3137.8,247.451
4521.4,183.704
2902.4,336.096
3368.2,246.938
2754.4,286.97
3509.0,324.785
4020.2,171.694
4281.8,200.134
4892.0,6.672
3694.8,182.231
4629.0,176.695
4429.2,150.999
3323.6,249.247
4931.8,228.035
4958.6,231.116
5350.4,275.16
5864.0,11.45
4315.4,393.923
5007.8,249.311
4697.8,197.14
3221.4,329.064
4782.8,246.078
4324.8,196.529
