AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1058.8,0.091
1054.0,0.111
1035.8,0.007
1034.8,0.003
1034.2,0.002
1030.6,0.003
1037.4,0.005
1065.0,0.133
1037.6,0.148
1035.6,0.154
1088.8,0.476
1053.4,0.314
1068.0,0.248
1082.4,0.16
1033.6,0.111
1119.2,0.951
1077.2,0.677
1063.0,0.755
1072.6,0.656
1052.2,0.064
1053.2,0.051
1131.0,0.789
1170.2,0.627
1178.0,0.388
1168.8,0.38
1280.8,2.048
1540.6,14.812
1559.2,8.414
1689.2,3.043
1653.4,3.519
1816.4,7.537
1778.4,4.603
1774.0,4.536
1938.4,2.375
1801.4,1.191
1768.0,1.581
1718.2,2.561
1790.0,2.581
1691.0,2.154
1635.6,3.079
1792.0,3.797
1452.6,9.959
1537.0,6.91
1561.2,6.961
1434.8,3.051
1704.6,4.36
1679.8,2.697
1642.8,3.032
1716.0,1.677
1457.8,5.62
1440.4,2.983
1452.6,2.823
1415.2,1.636
1509.2,0.434
1658.4,2.668
1685.8,1.669
1667.6,1.328
1745.0,0.816
1626.2,1.244
1579.6,0.968
1569.2,1.009
1544.0,0.102
1361.4,4.858
1366.4,3.015
1387.4,2.884
1387.2,2.755
1468.0,0.603
1492.6,0.051
1347.4,3.753
1347.0,2.025
1304.6,1.342
1364.0,2.636
1412.4,0.771
1353.0,1.489
1323.2,2.051
1285.6,0.736
1367.2,2.669
1343.8,1.505
1352.6,1.177
1341.0,1.356
1244.4,0.465
1256.6,0.213
1499.0,10.549
1407.4,6.337
1431.2,5.391
1395.8,6.494
1264.6,0.3
1381.0,2.663
1353.4,1.743
1324.8,1.93
1297.2,2.601
1277.8,0.62
1329.4,1.697
1252.4,1.637
1277.2,1.251
1239.0,1.446
1221.0,0.265
1349.4,2.512
1320.4,1.439
1318.4,1.292
1298.6,1.576
1229.8,0.16
1234.8,0.077
1378.0,3.578
1365.4,1.92
1387.6,1.346
1349.6,2.13
1410.8,1.834
1369.2,1.264
1315.4,1.852
1316.2,1.835
1237.2,0.422
1212.6,0.011
1366.4,3.74
1321.2,2.163
1350.6,1.731
1306.0,2.669
1397.8,3.284
1379.0,2.156
1389.0,2.06
1382.8,1.678
1476.2,2.668
1452.2,1.792
1404.0,2.261
1443.0,1.519
1453.2,0.886
1440.2,0.704
1417.2,0.703
1379.8,1.326
1248.4,2.387
1385.0,4.428
1304.8,3.076
1317.4,3.017
1286.0,3.449
1351.2,2.562
1256.2,2.273
1278.8,2.069
1255.8,2.179
1367.2,4.378
1321.4,2.454
1296.8,2.724
1308.8,2.414
1411.2,4.546
1364.4,2.735
1380.8,2.351
1539.8,2.563
1410.0,1.697
1367.4,2.466
1383.8,2.172
1287.2,0.174
1409.2,2.69
1368.8,1.489
1375.2,1.441
1334.2,2.234
1424.8,3.03
1395.6,1.929
1383.0,1.971
1359.4,2.38
1442.2,2.665
1360.4,1.972
1314.6,2.588
1336.0,2.215
1255.6,0.106
1363.2,2.281
1299.0,1.568
1287.0,1.705
1284.4,1.725
1351.0,2.668
1330.6,1.489
1353.0,1.158
1335.6,1.358
1402.6,1.763
1350.8,1.204
1315.6,1.585
1320.6,1.506
1253.6,0.102
1365.2,2.403
1347.2,1.321
1295.6,2.12
1315.6,1.762
1232.6,0.418
1323.4,2.151
1340.0,1.133
1293.2,1.552
1351.0,0.935
1258.4,0.681
1400.6,4.05
1349.6,2.323
1341.8,2.359
1311.2,2.993
1377.2,2.617
1319.8,1.755
1282.4,2.183
1273.0,2.376
1332.4,2.296
1297.2,1.509
1329.8,1.256
1304.4,1.463
1332.4,0.743
1353.4,0.825
1356.0,0.772
1329.8,0.864
1342.6,0.456
1330.8,0.338
1382.2,1.103
1504.0,1.924
1447.2,1.423
1494.8,0.913
1447.0,1.331
1433.8,0.316
1507.4,0.816
1455.6,0.698
1449.8,0.76
1416.2,0.963
1452.2,0.895
1524.4,1.967
1506.0,1.162
1414.4,4.005
1486.0,2.707
1462.6,2.069
1398.2,1.971
1483.8,0.529
1522.0,0.947
1518.0,0.865
1433.0,2.413
1473.2,1.579
1445.6,1.117
1520.0,2.965
1527.4,0.823
1334.0,8.2
1392.4,5.315
1387.4,4.099
1457.0,6.576
1647.8,2.926
1616.6,1.434
1689.6,0.917
1618.2,1.55
1582.6,0.471
1572.0,0.519
1374.4,4.259
1349.8,3.034
1279.2,1.753
1224.6,0.261
1423.2,4.468
1438.0,2.861
1437.6,2.169
1479.8,1.211
1571.2,3.036
1481.2,2.23
1480.6,2.221
1486.2,2.138
1485.0,0.829
1517.4,0.812
1361.6,4.888
1462.0,3.369
1466.4,3.382
1391.4,2.569
1432.0,0.808
1387.8,0.851
1408.2,0.529
1427.0,0.597
1292.8,3.355
1336.2,2.275
1295.8,1.657
1367.8,3.495
1409.4,1.003
1362.4,1.549
1383.4,1.232
1445.2,2.047
1439.2,1.661
1458.6,0.852
1417.4,1.674
1532.4,3.094
1485.6,2.138
1451.2,2.419
1480.4,1.712
1505.0,1.129
1487.4,0.816
1409.6,2.146
1448.8,1.508
1497.0,2.182
1412.0,1.668
1422.8,1.333
1397.2,1.571
1445.6,1.658
1390.6,1.13
1364.2,1.485
1357.8,1.561
1311.2,0.076
1418.2,2.33
1366.4,1.432
1382.8,1.232
1469.2,1.456
1409.8,0.69
1405.0,0.598
1399.8,0.658
1436.8,0.711
1400.8,0.482
1353.4,1.067
1341.2,1.17
1321.0,0.276
1435.4,3.32
1396.6,1.794
1397.8,1.685
1403.0,1.608
1418.0,0.964
1395.0,0.588
1355.8,1.097
1335.8,1.304
1407.4,2.062
1396.6,1.59
1373.0,1.474
1339.8,2.289
1373.2,1.261
1427.6,2.638
1351.6,2.34
1454.4,1.217
1509.0,1.848
1524.4,2.167
1588.2,0.314
1645.4,0.124
1574.6,0.792
1410.6,5.181
1361.0,3.758
1351.4,1.681
1374.4,2.243
1463.6,1.275
1392.6,1.993
1439.8,1.299
1494.6,2.196
1455.4,1.655
1363.8,4.02
1335.2,3.505
1304.4,1.509
1383.6,4.005
1465.6,2.445
1422.6,2.033
1410.8,2.277
1441.0,1.584
1415.8,1.1
1342.6,1.904
1428.8,1.296
1317.6,1.66
1455.2,4.707
1427.6,2.443
1287.6,5.476
1325.6,4.394
1207.4,1.046
1147.4,0.31
1183.6,0.13
1137.8,0.137
