AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1153.6,0.089
1153.4,0.089
1148.4,0.107
1141.6,0.011
1139.0,0.007
1141.4,0.008
1140.6,0.005
1150.4,0.022
1151.0,0.013
1132.0,0.072
1116.4,0.142
1139.4,0.174
1136.0,0.15
1150.6,0.133
1163.8,0.009
1162.4,0.002
1163.6,0.002
1156.0,0.006
1250.2,1.252
1223.4,0.729
1213.4,0.797
1273.6,0.629
1195.2,0.349
1185.0,0.362
1183.4,0.37
1141.6,0.019
1135.8,0.022
1155.6,0.082
1161.6,0.094
1159.4,0.061
1164.4,0.034
1151.8,0.032
1132.4,0.027
1129.0,0.016
1106.2,0.055
1275.8,4.397
1340.8,3.882
1423.2,2.984
1529.0,0.082
1531.6,0.084
1535.4,0.032
1550.2,0.013
1730.8,5.169
1708.6,2.934
1676.4,3.23
1835.6,3.038
1692.4,1.971
1697.2,1.847
1675.8,2.073
1714.4,1.414
1630.2,1.571
1618.8,1.394
1573.0,2.158
1502.4,0.193
1714.2,6.86
1625.8,4.383
1748.6,3.858
1701.6,3.885
1782.6,3.709
1753.0,2.216
1729.8,2.093
1487.4,15.823
1488.0,6.435
1696.8,17.47
1672.4,14.727
1793.2,4.139
1973.8,2.232
1870.6,1.194
1852.6,1.314
1768.2,3.699
1668.4,1.618
1809.0,4.842
1855.2,5.655
1769.8,5.28
1976.8,3.782
1745.6,7.197
1740.0,4.169
1567.6,10.621
1459.0,2.9
1523.0,3.274
1633.8,8.436
1585.2,3.963
1709.2,2.577
1517.8,9.048
1441.0,3.202
1629.0,8.155
1428.8,6.019
1580.8,4.286
1454.6,7.673
1473.4,3.136
1536.4,2.849
1622.6,5.597
1544.8,3.861
1665.2,3.361
1563.0,4.159
1561.0,2.447
1772.2,4.895
1566.2,5.884
1741.4,4.799
1539.0,10.576
1527.2,4.363
1726.0,8.049
1565.0,5.777
1780.4,3.644
1585.4,9.47
1492.6,4.956
1552.8,4.839
1597.6,5.991
1449.0,6.621
1423.4,7.139
1481.0,6.145
1299.2,1.73
1502.0,4.889
1639.8,4.595
1487.6,5.783
1465.8,6.712
1510.4,4.62
1351.2,1.56
1428.0,1.827
1553.8,1.909
1657.8,5.184
1422.2,12.611
1675.4,11.582
1504.0,11.735
1471.8,8.19
1721.8,5.195
1675.8,3.88
1537.4,7.839
1653.0,5.306
1710.0,6.828
1690.2,6.076
1773.8,0.818
1879.6,0.92
1782.4,0.978
1809.4,0.847
1585.2,9.809
1554.4,4.297
1658.6,6.701
1480.8,4.705
1647.2,2.788
1572.0,3.611
1556.2,1.473
1645.0,1.349
1527.4,1.495
1632.6,1.148
1444.2,5.633
1447.6,2.65
1495.0,2.986
1588.6,6.682
1433.6,7.639
1501.6,5.44
1550.6,5.872
1415.4,2.639
1570.4,1.127
1677.8,2.401
1520.6,3.839
1654.2,2.71
1452.8,7.387
1436.0,3.012
1549.4,4.121
1579.0,5.15
1499.6,4.167
1515.6,3.461
1559.0,3.307
1360.8,2.745
1443.0,1.943
1528.0,2.898
1636.0,7.389
1590.4,3.339
1688.0,2.202
1548.4,5.432
1574.4,2.36
1693.0,3.963
1672.4,3.352
1630.2,3.135
1705.6,2.204
1739.0,2.909
1582.8,3.964
1728.0,2.544
1582.6,4.55
1559.6,1.935
1688.2,2.797
1555.2,2.233
1666.8,1.478
1456.4,8.451
1483.2,3.78
1505.2,3.926
1615.0,8.515
1607.0,2.463
1713.6,2.39
1531.0,8.167
1513.2,3.247
1556.8,3.534
1720.8,12.213
1508.2,13.164
1740.4,11.548
1528.6,16.294
1368.0,7.653
1593.6,7.833
1705.8,15.085
1794.2,7.987
1708.0,8.741
1770.4,6.044
1908.0,11.586
1898.0,9.893
1801.4,10.08
2089.2,10.358
1651.6,21.043
1802.2,16.431
1650.6,18.904
1524.4,7.277
1814.2,9.493
1717.6,6.32
1662.8,6.263
1817.0,4.33
1902.6,7.753
1844.2,5.622
1768.0,7.788
1686.4,8.754
1771.2,6.876
1983.6,20.765
1710.4,22.396
1979.2,14.839
2098.4,18.491
1994.6,13.461
1840.6,18.073
1810.0,14.054
1904.8,13.269
1887.2,12.298
1871.4,6.335
2187.6,7.547
2111.0,5.719
1851.8,14.397
2187.0,13.477
2040.2,9.338
1812.0,14.17
1757.6,17.858
1710.6,5.688
2038.4,35.279
1617.2,38.51
1865.6,27.799
1747.8,30.922
1522.8,6.067
1698.4,1.594
1933.0,15.087
1952.0,7.628
1825.0,12.232
1835.8,10.935
2033.2,18.58
2026.8,15.712
1830.2,22.073
2116.6,15.195
1974.6,10.142
1739.6,10.517
2089.8,8.779
1988.0,6.377
1728.0,14.852
1754.8,13.205
1898.0,14.712
1908.0,14.555
1909.2,7.962
2192.4,4.723
1781.4,19.314
1889.2,12.278
1771.8,13.744
1655.4,5.176
2070.4,15.862
2035.2,11.932
1994.2,10.003
2194.0,5.635
2138.0,3.136
1799.4,15.317
1783.4,14.289
1722.4,8.675
1903.8,20.675
2048.4,12.203
2020.6,7.827
2321.6,6.989
2193.4,5.089
1834.0,22.71
1905.4,17.137
1972.6,14.906
1969.4,14.529
1771.8,19.714
1730.6,19.841
1742.6,12.116
1904.8,25.291
2077.0,14.605
1778.4,33.03
1976.4,21.921
2034.4,23.193
2031.8,22.981
1825.8,27.095
2128.8,21.17
2157.0,22.644
1718.0,31.204
2098.2,17.196
2010.8,14.896
1706.4,12.743
1867.2,6.046
1938.4,6.976
1951.6,7.351
1748.6,14.485
1782.4,11.037
1958.2,17.117
1852.6,12.293
1908.0,5.989
2120.8,4.215
2068.2,2.701
1788.0,13.86
1902.0,9.353
1969.4,10.654
1776.2,7.577
