AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
827.4,0.648
789.0,0.157
793.4,0.14
777.8,0.003
773.4,0.004
800.2,0.088
788.6,0.059
776.6,0.099
816.2,0.192
838.2,0.395
967.4,2.792
1153.0,5.875
1190.0,2.811
1271.2,0.714
1778.6,33.667
2787.0,210.049
2078.6,170.867
3473.4,210.545
3553.0,165.66
3610.4,167.789
3089.8,204.446
3580.6,125.29
3489.8,116.519
3422.4,107.641
3865.8,3.834
2658.6,191.171
3223.0,127.529
3497.2,171.523
2399.0,210.715
3624.4,132.515
2355.2,274.783
2789.4,195.681
3436.0,172.074
3234.0,147.1
2741.0,196.772
3399.6,142.288
3200.2,119.714
3078.2,110.747
3969.8,18.502
3876.6,13.474
3827.6,13.033
3753.2,17.383
3551.4,6.612
3437.6,1.571
3441.6,0.862
3826.2,22.553
3930.4,14.83
3841.4,13.213
3978.6,8.096
3708.2,7.267
3649.2,2.026
3199.0,36.059
3481.6,27.48
3411.2,23.592
3511.0,28.325
3776.8,1.878
3830.0,3.125
4067.2,5.427
3694.4,22.068
4022.8,20.384
2671.4,258.524
2910.6,134.232
2098.8,193.161
2211.6,107.682
2972.0,95.409
2054.4,125.953
3237.4,122.461
3156.0,105.977
2179.6,166.234
3225.4,115.645
3029.0,92.231
2795.0,82.99
3402.2,9.923
3573.0,21.273
2479.8,157.703
3175.0,119.69
2218.0,180.714
3041.6,265.636
3309.2,132.206
3443.6,142.166
4023.2,13.9
3468.2,20.522
3543.4,14.645
3310.2,14.304
3018.0,5.12
3017.4,4.948
2985.2,1.313
2068.4,110.006
2612.0,84.213
2641.0,85.93
2651.8,86.895
3070.0,0.434
3056.4,0.167
3127.2,1.058
3134.4,0.953
3238.2,1.337
3122.4,3.3
3277.2,4.36
3161.8,4.427
2189.2,138.396
2737.8,99.027
2549.6,81.155
2700.6,96.466
2949.2,7.522
3171.4,11.592
3180.8,7.665
2181.8,139.882
2629.0,92.476
2597.6,84.932
1683.2,109.926
2785.6,100.717
2624.6,85.743
2617.4,84.472
2921.2,11.607
2935.6,3.76
2952.0,2.733
3284.6,20.544
3120.6,13.21
3000.6,17.583
2932.0,19.253
2954.6,8.068
2896.8,5.085
2083.2,119.925
2820.8,111.467
2649.6,94.252
2734.4,100.48
3084.4,7.249
3059.8,1.526
3048.8,1.323
3230.6,8.259
3375.4,5.392
3478.2,4.736
3474.0,1.673
3526.2,1.121
3209.0,13.625
3359.8,9.534
2411.0,128.144
2648.0,69.83
1766.2,151.794
2170.2,117.722
2606.0,97.699
2745.0,112.147
3182.6,1.201
3522.8,13.792
3582.2,8.812
3629.4,7.855
3428.4,20.206
2344.8,185.146
2631.8,100.129
2809.2,123.327
3145.8,167.364
3420.2,21.312
3658.8,10.946
3642.4,10.738
2637.6,106.768
3610.2,145.08
3090.4,117.203
3155.2,113.744
3432.6,42.713
3021.2,4.718
3040.4,4.166
2975.4,0.649
2868.4,0.687
3126.0,8.282
2953.0,7.472
2644.2,25.751
2117.2,83.902
1671.4,42.834
1372.2,13.619
1147.2,0.227
1165.0,0.152
1143.8,0.188
1127.0,0.035
1117.8,0.063
1120.8,0.024
