AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1301.4,1.543
1268.8,1.564
1297.4,1.338
1314.8,1.089
1255.8,0.052
1263.2,0.018
1275.4,0.041
1232.2,0.209
1216.4,0.249
1234.2,0.23
1228.2,0.168
1243.2,0.113
1261.0,0.0
1261.6,0.0
1265.8,0.004
1265.8,0.002
1269.0,0.002
1275.8,0.005
1387.2,1.925
1331.0,1.279
1334.8,1.236
1348.2,1.123
1262.8,0.128
1284.4,0.107
1360.8,1.079
1319.6,0.743
1352.6,0.457
1366.8,0.382
1312.2,0.097
1353.6,0.165
1312.2,0.281
1290.8,0.27
1285.6,0.289
1280.4,0.067
1322.8,0.378
1307.4,0.218
1319.0,0.147
1273.6,0.568
1292.2,0.29
1390.8,2.141
1432.6,2.064
1408.2,1.318
1286.4,5.642
1331.8,3.021
1225.2,1.635
1142.2,2.113
1186.2,1.417
1253.2,2.552
1231.4,1.768
1184.0,2.336
1257.6,1.642
1290.8,2.185
1252.6,1.634
1249.8,1.21
1263.6,0.942
1305.2,1.445
1317.8,1.234
1417.4,1.005
1366.8,1.089
1353.8,0.787
1364.6,0.746
1318.8,0.164
1245.4,1.355
1365.2,2.211
1305.6,1.649
1286.2,1.674
1402.4,1.066
1347.0,0.527
1232.2,3.019
1393.0,3.711
1272.8,2.946
1209.0,3.234
1351.6,2.515
1310.2,1.465
1182.6,3.825
1378.8,4.295
1350.2,3.67
1232.2,4.481
1246.8,3.807
1217.0,1.423
1246.2,1.876
1315.0,1.854
1422.8,1.103
1388.4,0.75
1266.8,3.838
1214.6,3.106
1189.6,0.945
1231.0,1.878
1278.4,0.912
1432.0,2.063
1373.8,1.417
1291.8,3.068
1262.0,3.171
1284.6,1.749
1297.0,1.72
1415.0,2.144
1386.8,1.03
1277.6,3.238
1352.0,2.525
1249.0,1.18
1159.8,2.239
1299.8,2.302
1193.4,1.546
1196.2,1.481
1393.4,3.803
1334.8,2.585
1446.4,2.223
1368.4,3.263
1272.6,2.345
1357.0,2.666
1273.8,1.279
1220.2,2.02
1331.4,1.686
1250.4,0.974
1343.4,2.441
1390.4,0.746
1229.2,4.107
1350.6,3.09
1247.6,2.426
1173.4,1.924
1196.0,1.362
1280.4,2.768
1285.0,2.037
1237.2,2.31
1450.4,4.045
1348.4,2.958
1413.8,3.362
1378.2,2.891
1403.4,1.384
1321.8,2.027
1195.6,2.897
1189.4,2.649
1251.0,3.112
1272.0,2.843
1383.4,2.027
1331.0,1.931
1335.6,1.069
1371.2,1.342
1316.8,0.768
1192.6,4.569
1340.0,4.47
1273.8,3.381
1176.0,3.994
1402.6,3.697
1331.4,2.534
1408.6,3.379
1408.2,1.345
1281.0,2.391
1235.6,2.532
1231.4,0.854
1312.2,3.004
1430.4,3.53
1293.2,5.833
1406.6,4.042
1304.6,4.115
1175.6,2.308
1251.4,1.314
1305.8,2.393
1300.4,1.665
1436.4,1.528
1411.2,0.841
1286.8,2.954
1411.6,3.047
1340.0,1.914
1401.8,2.622
1410.6,0.811
1293.2,2.03
1318.4,1.379
1317.8,0.995
1301.6,0.808
1212.6,2.897
1358.8,3.649
1296.8,2.745
1258.0,2.797
1340.4,1.001
1285.0,0.12
1179.2,1.506
1266.0,1.394
1235.6,1.119
1252.0,1.268
1354.8,0.456
1337.0,0.315
1431.0,0.871
1345.2,1.606
1266.6,2.449
1263.4,1.988
1322.2,2.917
1284.2,1.774
1400.6,1.574
1361.8,1.442
1243.6,2.075
1380.2,2.98
1301.0,1.883
1400.2,3.016
1343.6,2.563
1223.4,3.319
1390.6,5.385
1281.2,3.311
1384.8,3.783
1358.8,2.522
1203.2,3.273
1180.6,2.8
1184.6,1.325
1239.4,2.451
1304.0,1.164
1429.6,0.953
1366.4,1.047
1282.4,2.575
1361.4,2.265
1290.8,1.065
1162.2,3.53
1339.0,3.814
1296.0,3.007
1228.4,3.149
1429.8,2.364
1272.4,2.901
1206.8,3.422
1370.6,4.646
1235.0,2.47
1274.6,2.161
1364.6,1.251
1300.8,0.377
1178.6,3.511
1361.0,5.134
1230.2,4.148
1179.6,4.276
1228.4,2.952
1231.0,1.284
1238.4,0.903
1340.2,1.258
1306.2,0.821
1418.2,2.154
1375.8,1.508
1435.4,1.987
1397.8,1.642
1259.2,2.881
1317.0,2.122
1405.6,5.113
1349.2,3.409
1292.4,4.906
1443.2,4.856
1298.8,2.784
1314.8,2.762
1400.0,1.137
1351.4,0.268
1418.4,0.355
1316.4,1.862
1235.8,2.706
1255.2,1.876
1281.2,2.199
1295.8,1.44
1402.0,0.649
1352.8,0.876
1324.2,0.645
1370.0,0.772
1325.0,0.341
1442.8,1.635
1350.6,2.114
1454.8,2.469
1391.8,2.507
1439.4,2.481
1388.4,2.163
1299.2,1.889
1396.8,2.128
1275.2,1.173
1403.2,2.667
1327.8,2.606
1205.0,3.73
1195.2,3.535
1154.6,0.603
1260.6,3.382
1302.2,1.608
1396.2,0.893
1351.2,1.101
1214.6,3.293
1232.2,2.045
1276.6,2.785
1298.0,2.647
1417.4,1.055
1388.6,0.72
1339.2,0.96
1378.2,0.857
1368.4,0.641
1489.0,2.542
1410.2,2.216
1534.2,2.575
1448.6,3.031
1448.2,1.898
1384.6,2.815
1442.4,2.059
1376.0,1.915
1430.4,2.122
1382.6,2.034
1242.4,2.92
1229.6,2.614
1296.6,3.28
1269.8,2.31
1236.6,2.393
1466.8,5.304
1326.2,4.009
1248.4,5.544
1335.8,4.066
1321.8,2.118
1321.8,1.625
1452.4,0.938
1360.8,1.958
1447.8,2.017
1394.2,1.93
1448.2,2.351
1386.4,2.276
1236.8,4.279
1360.4,4.118
1286.2,2.352
1387.0,3.836
1358.0,1.875
1228.0,3.945
1416.4,6.537
1290.4,4.216
1421.0,5.575
1370.0,4.189
1216.0,4.11
1194.4,3.788
1247.6,3.502
1264.0,2.88
1424.4,3.378
1361.6,2.489
1295.4,2.779
1315.8,2.325
1319.2,1.632
1323.2,0.901
1387.2,0.295
1284.2,2.301
1195.4,2.206
1324.8,4.067
1306.4,3.47
1426.4,3.589
1387.0,2.21
1457.6,1.741
1379.2,2.111
1428.4,2.163
1373.2,2.028
1266.4,2.383
1361.2,2.349
1310.4,1.258
1208.4,2.75
1400.4,3.636
1295.4,2.906
1215.2,3.536
1376.2,2.992
1304.6,1.553
1438.6,3.885
1382.6,2.401
1266.4,4.439
1383.2,4.256
1296.2,2.077
1380.2,2.842
1334.8,2.181
1412.0,1.943
1354.2,1.852
1399.4,2.094
1326.2,2.655
1208.8,3.034
1210.2,2.423
1190.8,0.855
1278.2,2.367
1288.0,0.753
1410.0,1.235
1347.2,1.304
1238.4,2.745
1212.4,2.82
1285.8,3.386
1230.6,2.243
1228.8,2.005
1380.2,2.386
1258.2,1.622
1199.6,2.599
1200.4,2.521
1237.2,1.978
1248.4,1.721
1405.4,3.223
1352.8,1.9
1376.2,1.461
1425.8,1.543
1361.6,0.649
1482.2,1.033
1381.0,2.013
1257.8,4.418
1203.0,4.339
1278.0,4.378
1240.6,3.004
1427.6,4.795
1366.8,3.144
1366.6,2.101
1443.2,2.231
1353.6,0.988
1426.6,0.396
1330.6,2.044
1210.4,2.782
1246.8,1.913
1285.4,2.799
1318.4,2.28
1476.0,1.609
1412.6,1.465
1289.8,4.242
1420.2,4.314
1272.2,2.606
1380.4,3.926
1354.6,2.396
1232.2,2.505
1256.6,2.059
1290.0,2.032
1274.4,1.416
1391.8,1.248
1363.4,0.822
1240.8,2.659
1264.2,1.882
1278.6,1.585
1242.2,1.17
1381.0,1.334
1305.0,1.636
1410.2,2.559
1343.0,2.396
1449.4,3.95
1344.4,4.39
1220.6,4.84
1344.2,4.738
1245.0,1.936
1361.6,3.188
1323.2,1.85
1452.2,3.409
1400.0,2.502
1431.0,2.479
1398.6,2.196
1259.2,2.298
