AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1222.8,0.131
1216.2,0.092
1243.8,0.066
1407.2,4.682
1374.2,2.658
1377.4,2.292
1413.8,1.742
1319.4,0.169
1372.8,0.604
1439.8,1.041
1486.0,1.193
1555.2,0.265
1587.4,0.069
1790.8,5.827
1691.8,3.898
1696.4,3.804
1825.4,3.98
1876.4,5.981
1815.6,3.691
1759.2,5.882
1848.4,4.664
1817.0,3.247
1787.2,2.631
1921.6,0.671
2068.0,4.944
1892.2,5.643
2177.8,8.639
1980.0,11.056
1834.4,9.379
1866.8,8.507
1858.2,3.42
2024.4,7.523
1994.4,3.571
2085.4,1.681
2134.8,1.906
1878.0,5.536
1831.4,6.075
1746.6,5.04
1793.8,3.923
1965.4,7.579
1886.4,5.073
1774.4,11.099
1918.0,8.958
1846.4,5.85
1941.4,7.091
1966.6,1.493
1813.0,4.713
1887.2,3.3
2006.4,8.801
1809.6,9.113
1849.0,7.53
1962.2,8.011
2023.8,11.227
1882.6,9.249
1907.4,8.177
1985.8,7.619
1989.4,7.086
1910.8,4.956
1890.6,5.747
1951.8,4.494
1968.2,4.758
1838.2,5.387
1836.2,5.445
2052.8,11.53
2044.6,10.739
1949.6,9.849
1945.8,10.012
2029.6,7.423
1982.4,5.613
1846.6,8.098
1815.0,9.527
1935.8,8.96
1839.8,5.826
1820.8,5.027
1787.2,6.215
1862.0,4.102
1889.6,4.776
1736.2,7.124
1740.2,6.939
1686.8,3.988
1718.2,3.66
1885.6,6.113
1770.8,5.488
1788.2,4.841
1798.0,4.026
1829.6,4.315
1805.8,1.919
1874.8,1.076
1977.2,2.055
1792.4,3.286
1864.2,2.334
1811.6,2.714
1877.4,3.436
1867.8,1.346
1858.8,1.386
1863.0,1.246
1869.8,0.49
1795.8,0.839
1942.8,3.023
1822.8,3.576
1748.6,3.771
1745.8,3.749
1737.2,1.248
1801.6,1.804
1766.8,1.235
1852.6,0.711
1851.4,0.703
1910.0,1.791
1893.8,0.661
1955.6,0.751
1974.6,0.581
1944.4,0.408
2040.6,0.545
1931.2,1.576
1908.8,1.433
1911.4,1.311
1802.0,0.37
1823.8,0.258
1837.8,0.302
1866.8,0.671
1940.2,0.719
1786.6,4.261
1744.8,4.175
1714.6,2.86
1758.4,3.387
1770.2,1.533
1783.2,1.002
1763.0,1.339
1824.6,1.624
1870.0,2.099
1808.4,2.073
1853.8,1.239
1944.4,2.738
2004.0,4.426
1864.0,6.306
1875.6,5.572
1901.6,4.45
1841.2,2.206
1797.0,1.949
1803.6,1.778
1863.0,2.107
1900.4,3.091
1779.4,4.572
1839.4,3.172
1881.6,3.442
1933.6,5.358
1807.2,5.99
1844.8,4.554
1823.6,3.91
1879.0,5.131
1832.8,2.38
1801.0,3.098
1873.0,2.786
1909.4,3.681
1778.2,4.39
1808.8,3.561
1873.2,3.766
1940.0,6.55
1825.0,5.516
1846.2,4.807
1887.8,4.362
1854.2,2.525
1772.8,2.844
1768.8,2.817
1852.8,3.466
1880.6,4.413
1753.6,5.728
1783.2,4.691
1776.8,3.409
1860.6,6.622
1721.0,6.185
1781.4,4.655
1817.2,4.683
1887.6,7.235
1733.0,7.6
1815.6,5.447
1867.4,5.918
1893.6,6.565
1728.4,9.309
1723.2,7.747
1710.2,6.198
1701.6,4.201
1836.6,2.58
1791.4,1.735
1785.6,1.803
1805.2,1.389
1854.0,2.633
1991.2,3.99
1886.0,4.148
1875.0,4.147
1872.8,3.225
1809.6,0.763
2015.0,5.361
1901.2,4.258
2012.4,3.72
2021.0,3.264
2008.8,2.145
2057.2,0.15
2041.0,0.157
1980.6,1.051
1989.6,0.427
2006.4,0.585
1996.2,0.499
1906.4,2.456
1922.2,1.487
1954.6,1.783
1787.2,2.988
1807.4,2.495
1865.4,2.721
1877.8,2.987
1810.2,2.517
1912.6,1.659
1871.0,1.581
1912.2,2.078
1851.4,1.829
1871.0,1.195
1883.2,1.19
1884.4,0.968
1874.2,0.351
1867.8,0.356
1856.6,0.349
1861.2,0.197
1822.6,0.293
1801.6,0.423
1855.4,0.651
1936.4,2.673
1825.2,3.084
1831.4,2.88
1951.4,4.43
1965.2,4.931
1901.2,3.825
1980.0,2.16
1950.6,1.647
2004.2,2.8
1934.6,2.07
1882.8,3.001
1942.6,2.612
2009.2,4.893
1846.8,6.104
1911.2,4.435
1919.4,4.215
1895.6,2.417
1810.2,2.884
1811.2,2.371
1850.2,2.352
1854.8,2.366
1941.2,1.215
1804.4,4.926
1721.4,5.561
1700.8,3.241
1702.6,2.321
1794.2,2.458
1829.0,0.537
1953.8,1.114
1874.6,1.335
1782.0,2.765
1792.4,2.274
1925.2,6.954
2093.8,11.846
1918.2,12.323
2037.4,8.193
2048.2,7.579
2057.8,7.138
1942.0,6.609
1967.2,5.091
1913.8,4.492
1851.0,1.019
2077.6,5.325
1851.6,8.889
1931.0,6.573
1851.6,7.713
1747.0,1.34
2008.0,6.736
1848.2,5.554
1887.6,4.748
2098.6,7.569
1794.0,7.967
1851.6,6.407
1834.6,6.622
1702.4,0.589
1900.8,3.554
1809.6,2.588
2017.6,6.216
2085.6,3.419
