AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1338.8,0.336
1328.8,0.327
1331.2,0.326
1302.8,0.089
1322.6,0.006
1336.6,0.043
1376.6,0.341
1347.4,0.282
1330.8,0.427
1323.4,0.381
1318.4,0.12
1479.6,4.393
1412.2,2.627
1452.0,2.089
1542.2,2.113
1570.8,2.841
1654.0,1.686
1600.4,1.786
1517.4,3.708
1463.4,2.185
1367.6,0.234
1367.2,0.102
1383.0,0.061
1430.0,0.528
1390.6,0.477
1426.2,0.394
1445.6,0.406
1709.4,13.299
1644.2,6.728
1541.6,10.864
1547.8,10.185
1417.4,1.08
1421.2,0.963
1403.6,0.447
1380.4,0.717
1463.0,1.389
1386.6,0.945
1386.2,0.946
1430.6,0.678
1356.8,0.175
1389.6,0.209
1374.6,0.204
1363.6,0.106
1386.0,0.071
1492.8,2.29
1415.6,1.799
1419.0,1.73
1395.6,1.996
1371.0,0.287
1383.8,0.193
1376.0,0.174
1342.8,0.572
1375.2,0.42
1411.8,0.927
1384.8,0.692
1442.0,0.213
1445.2,0.206
1383.4,0.33
1415.2,0.222
1451.4,0.586
1468.6,0.692
1441.8,0.585
1417.0,0.878
1360.4,0.81
1354.6,0.167
1408.0,0.837
1427.0,0.615
1461.4,0.138
1444.4,0.239
1415.2,0.181
1371.2,0.318
1376.0,0.107
1445.8,1.095
1455.4,0.792
1486.2,0.285
1536.8,0.151
1503.0,0.108
1512.4,0.097
1482.4,0.308
1388.2,1.182
1410.6,0.683
1433.8,0.97
1361.4,1.033
1372.8,0.848
1395.2,0.749
1358.0,0.243
1341.2,0.272
1353.8,0.195
1348.6,0.093
1363.4,0.197
1367.8,0.062
1353.4,0.137
1359.4,0.098
1370.4,0.135
1405.0,0.412
1394.4,0.194
1415.8,0.116
1457.8,0.349
1441.6,0.247
1466.8,0.111
1422.4,0.573
1372.8,0.578
1368.4,0.339
1301.0,0.204
1335.2,0.255
1368.6,0.392
1441.0,1.529
1491.0,0.585
1478.8,0.427
1510.6,0.239
1437.2,0.558
1420.8,0.232
1421.4,0.227
1387.4,0.05
1411.8,0.036
1386.4,0.1
1447.4,0.617
1419.0,0.415
1394.0,0.55
1394.6,0.543
1361.8,0.021
1367.8,0.036
1376.4,0.027
1416.4,0.201
1411.8,0.089
1386.8,0.252
1419.2,0.22
1383.0,0.139
1409.2,0.24
1420.0,0.088
1395.0,0.119
1411.2,0.069
1405.4,0.035
1419.6,0.099
1422.8,0.024
1410.6,0.068
1386.2,0.204
1393.6,0.094
1415.8,0.269
1400.4,0.189
1392.2,0.234
1374.0,0.283
1393.0,0.252
1349.6,0.268
1372.0,0.231
1404.8,0.276
1362.4,0.204
1417.2,0.236
1407.4,0.178
1388.2,0.171
1393.4,0.13
1387.4,0.022
1406.2,0.118
1510.4,1.738
1463.0,1.093
1478.2,0.936
1503.8,0.848
1395.2,0.534
1479.6,0.904
1459.4,0.697
1444.4,0.642
1441.6,0.521
1426.2,0.079
1383.2,0.212
1388.2,0.107
1368.8,0.161
1405.2,0.39
1427.8,0.269
1421.2,0.233
1409.0,0.305
1364.6,0.414
1398.2,0.431
1386.6,0.33
1402.8,0.301
1435.0,0.036
1406.8,0.05
1410.2,0.036
1358.2,0.421
1450.2,1.493
1452.4,1.073
1416.2,1.222
1431.8,0.9
1385.8,0.282
1374.6,0.037
1380.2,0.029
1384.4,0.017
1368.8,0.082
1357.6,0.066
1379.2,0.139
1386.6,0.171
1381.6,0.108
1400.2,0.041
1401.2,0.038
1362.4,0.148
1392.0,0.138
1356.8,0.215
1360.4,0.138
1395.0,0.191
1380.0,0.133
1382.8,0.073
1356.4,0.259
1372.4,0.157
1334.0,0.185
1413.4,1.041
1413.4,0.521
1403.4,0.54
1447.6,0.231
1410.6,0.056
1435.8,0.13
1513.0,0.833
1453.2,0.798
1460.2,0.72
1448.4,0.753
1429.2,0.107
1406.0,0.13
1368.2,0.444
1476.0,1.738
1374.2,1.638
1474.4,2.205
1513.4,1.341
1446.0,1.056
1481.6,0.426
1472.2,0.186
1383.6,0.643
1397.8,0.433
1357.4,0.526
1328.4,0.101
1420.2,0.986
1377.8,0.67
1424.6,0.57
1455.0,0.338
1412.4,0.161
1363.0,0.876
1374.4,0.474
1338.2,0.25
1353.6,0.323
1387.2,0.089
1361.8,0.134
1344.2,0.285
1297.0,0.482
1348.2,0.762
1328.0,0.524
1348.6,0.502
1397.0,0.154
1398.6,0.156
1428.4,0.129
1361.4,0.908
1414.8,0.724
1415.4,0.72
1458.6,1.359
1449.2,0.454
1408.2,0.848
1463.2,0.891
1447.8,0.66
1468.2,0.553
1494.6,0.037
1456.6,0.195
1380.2,0.991
1354.4,0.561
1333.8,0.206
1354.0,0.391
1374.0,0.155
1390.6,0.069
1383.2,0.08
1341.8,0.249
1354.6,0.145
1360.4,0.177
1365.4,0.173
1448.8,0.612
1446.2,0.309
1442.8,0.297
1480.6,0.191
1519.0,0.692
1482.0,0.517
1487.0,0.461
1467.2,0.563
1387.8,0.322
1388.2,0.173
1385.8,0.126
1448.2,1.036
1414.0,0.623
1377.0,1.153
1383.0,0.951
1362.2,0.238
1365.8,0.228
1362.6,0.115
1480.4,1.691
1491.6,1.294
1544.4,1.256
1496.2,1.598
1506.8,0.756
1431.2,1.19
1378.2,0.482
1355.2,0.721
1403.0,0.972
1455.8,1.398
1435.6,0.971
1474.6,0.352
1427.6,0.556
1342.6,0.608
1355.6,0.366
1392.0,0.828
1416.0,0.924
1431.6,0.26
1494.6,0.237
1456.6,0.259
1406.6,0.606
1398.0,0.619
1394.8,0.214
1316.6,0.586
1377.4,0.628
1482.2,2.486
1356.2,2.819
1412.2,1.898
1432.6,1.884
1337.6,0.545
1428.4,0.534
1435.2,0.388
1379.8,0.645
1424.0,0.37
1356.8,0.469
1290.4,0.652
1325.4,0.519
1291.6,0.211
1330.8,0.499
1367.0,0.133
1354.2,0.128
1383.0,0.049
1378.6,0.041
1390.8,0.086
1394.8,0.015
1413.6,0.054
1438.0,0.101
1429.8,0.071
1388.2,0.507
1446.0,0.622
1411.0,0.455
1386.4,0.52
1384.6,0.515
1378.8,0.115
1395.8,0.249
1401.0,0.17
1465.4,0.299
1478.4,0.173
1457.6,0.23
1412.0,0.902
1395.6,0.415
1338.4,0.267
1345.4,0.141
1409.4,0.635
1411.4,0.493
1401.8,0.369
1410.0,0.302
1423.8,0.273
1388.6,0.201
1446.6,0.344
1377.8,0.968
1375.6,0.551
1354.8,0.643
1332.0,0.124
1348.2,0.028
1361.6,0.083
1401.2,0.208
1460.2,0.655
1391.6,1.084
1398.2,0.89
1443.2,1.14
1400.2,0.628
1461.0,0.396
1470.6,0.117
1433.6,0.18
1434.4,0.164
1420.0,0.039
1381.0,0.121
1390.2,0.079
1409.8,0.171
1387.2,0.124
1327.4,0.976
1404.8,1.122
1360.4,0.811
1320.2,0.977
1530.8,4.196
1436.6,2.922
1408.6,3.362
1421.0,3.071
1419.2,1.03
1277.6,2.505
1424.2,3.351
1443.6,2.838
1436.8,2.727
1509.6,0.112
1430.4,0.621
1344.4,1.733
1358.8,0.88
1322.8,0.407
1378.2,1.062
1374.8,0.312
1396.6,0.282
1384.2,0.302
1379.4,0.108
1389.2,0.047
1366.8,0.06
1405.8,0.138
1398.0,0.101
1380.6,0.146
1398.2,0.084
1401.6,0.074
1368.0,0.141
1351.2,0.263
1333.0,0.239
1362.2,0.395
1358.6,0.269
1370.0,0.186
1394.2,0.06
1370.0,0.021
1384.8,0.038
1386.8,0.026
1405.8,0.102
1414.2,0.028
1486.2,0.757
1440.0,0.634
1453.4,0.531
1437.8,0.636
1405.4,0.049
1437.6,0.109
1422.8,0.074
1415.4,0.1
1404.8,0.147
1366.6,0.129
1399.6,0.251
1395.4,0.188
1419.2,0.239
1517.6,0.943
1540.6,0.83
