AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1297.2,3.175
1269.6,0.663
1342.8,1.324
1390.2,0.892
1381.0,0.443
1360.8,0.637
1340.2,0.33
1299.6,0.024
1772.2,33.417
1578.0,20.528
3306.4,393.911
3864.8,267.38
3029.4,345.209
4824.4,277.47
3177.6,351.17
4108.6,403.524
3312.2,415.506
4311.2,472.237
3565.2,391.154
4407.2,429.801
3617.8,427.53
4333.8,368.694
3469.4,401.036
3873.8,289.054
3201.4,327.954
3697.4,248.868
3101.0,233.597
3809.6,266.128
4542.6,170.934
3295.4,252.542
4226.4,138.004
4338.6,143.826
3042.4,182.695
4168.8,132.197
3049.6,232.457
3859.2,278.693
2951.6,314.46
3939.8,374.195
2984.8,419.338
3569.4,340.681
3339.6,253.985
3657.0,221.736
3096.4,208.94
3796.4,201.793
3008.4,241.494
3414.0,197.407
2821.2,228.992
3711.6,302.658
4254.4,201.803
2951.2,347.811
4300.2,216.308
2915.2,265.18
3300.6,210.945
2785.2,213.338
3737.6,320.218
2994.0,268.145
3691.2,282.728
2909.6,352.594
3434.6,254.738
2789.4,256.349
3623.4,329.986
2868.2,306.122
3996.2,422.56
3266.4,361.075
3716.2,307.842
3134.0,323.917
3844.0,300.899
3212.6,249.953
3776.2,254.158
3190.4,266.363
4261.4,390.21
3362.6,346.031
3791.6,294.577
3173.6,361.801
3977.6,356.607
2984.0,351.297
3671.0,330.195
2941.4,391.829
3632.0,342.238
2972.6,286.336
3528.6,275.042
3167.0,226.155
3946.6,292.234
3097.4,289.948
3655.0,244.834
2894.2,330.191
3837.6,397.065
4339.0,239.851
3080.0,375.151
4485.4,221.365
3121.0,234.621
3645.2,228.068
2899.2,274.157
3544.2,236.902
2859.0,251.269
3406.4,241.202
2743.6,256.437
3628.0,308.026
2891.8,284.557
3543.2,289.419
2926.4,291.13
3855.4,362.463
3026.0,331.744
3807.8,346.413
3045.6,377.377
3798.4,354.242
3056.0,331.683
4081.6,437.972
3145.0,437.573
4007.2,423.035
3281.0,410.423
3742.2,322.602
3031.0,342.579
3534.0,253.632
3024.4,234.029
3804.8,307.666
3070.2,279.792
3958.6,315.843
3319.2,296.943
3916.8,290.703
3109.4,332.737
3793.6,284.259
2999.2,319.149
3776.4,344.134
2906.4,366.598
3789.0,377.564
3090.6,351.256
3869.0,383.169
3070.2,375.851
3784.8,334.699
3102.6,334.044
3660.2,297.262
2832.0,344.175
3439.2,274.07
2931.8,252.157
3449.4,253.218
2823.2,242.139
3730.0,293.489
3062.4,264.139
3988.0,366.541
3087.6,387.837
3692.0,304.807
3187.8,294.683
3950.2,361.311
3122.4,329.04
3995.4,333.386
3203.2,370.576
3562.4,264.535
2845.6,311.613
3701.0,333.844
2993.6,289.547
3628.6,299.203
2925.4,329.427
3657.6,301.496
2954.2,284.058
3453.6,259.034
2864.4,270.413
3636.2,287.774
2940.8,258.144
3741.0,308.875
3165.0,273.598
4265.6,423.487
3558.4,326.341
4472.6,393.906
4835.0,202.126
3422.6,275.397
4444.6,169.591
2838.4,252.531
3564.6,243.347
2954.0,230.498
3921.0,363.836
3072.0,344.556
3710.2,293.847
3224.4,286.539
3516.6,210.128
4134.6,101.641
3020.6,170.679
4313.0,156.287
2890.6,277.276
3982.4,374.232
3237.0,338.659
3757.8,306.067
2984.2,370.269
3755.2,328.619
2907.6,333.898
3512.8,313.496
4415.6,212.075
