AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1425.4,4.479
1317.4,1.257
1252.0,0.423
1286.6,0.09
1240.4,0.239
1229.8,0.088
1332.6,1.694
1259.4,1.319
1274.4,1.153
1263.4,1.276
1221.6,0.033
1232.6,0.032
1250.2,0.098
1273.8,0.068
1322.4,0.343
1519.2,5.811
1439.6,3.531
1499.6,2.661
1585.8,2.55
1507.2,0.952
1607.0,0.772
1681.0,0.757
1543.6,2.719
1492.2,3.808
1628.2,5.561
1637.8,5.856
1805.0,6.513
1738.4,4.18
1664.4,4.786
1734.8,4.283
1690.4,2.566
1665.4,1.845
1584.0,4.741
1590.2,2.28
1663.8,4.377
1730.0,5.207
1693.0,2.941
1685.2,3.097
1555.4,3.543
1646.2,3.892
1795.0,7.752
1674.6,6.708
1649.8,7.765
1723.4,5.978
1653.8,2.913
1738.4,3.104
1767.8,0.408
1886.8,2.136
1826.6,1.556
1832.6,1.46
1867.0,0.974
1879.6,0.771
1804.4,1.243
1863.8,0.987
1705.6,4.37
1745.8,2.282
1764.6,2.168
1546.2,5.322
1562.4,4.574
1631.8,4.693
1658.4,5.723
1781.2,3.125
1794.6,0.698
1871.2,0.818
1927.2,1.649
1720.6,5.952
1679.6,6.787
1743.4,5.579
1726.4,4.571
1808.4,2.801
1761.2,2.588
1677.2,3.465
1715.4,2.273
1733.0,2.72
1791.8,2.115
1679.6,4.893
1740.0,3.019
1747.0,2.97
1727.8,2.582
1710.4,1.424
1661.2,1.875
1551.0,2.088
1640.4,2.862
1723.6,4.213
1764.4,3.114
1763.4,1.453
1631.0,4.518
1508.8,3.552
1615.8,4.681
1702.2,7.355
1619.0,5.738
1682.0,3.539
1725.6,3.236
1750.4,3.95
1599.4,6.322
1648.0,4.657
1684.8,4.581
1637.2,2.914
1785.6,1.586
1784.2,0.436
1773.4,0.476
1763.0,0.556
1757.2,0.122
1771.6,0.146
1766.2,0.105
1751.8,0.207
1715.6,0.322
1698.2,0.102
1726.2,0.306
1665.0,0.541
1613.8,1.29
1608.6,0.955
1597.0,0.346
1646.6,0.952
1602.4,0.819
1523.0,2.608
1522.0,1.657
1566.2,2.236
1675.0,4.777
1590.6,3.737
1591.6,3.631
1538.6,3.233
1483.4,0.263
1600.8,1.996
1718.8,3.423
1659.0,2.366
1714.4,1.502
1702.8,1.415
1687.2,0.684
1661.2,0.468
1645.8,0.509
1667.8,0.469
1673.4,0.504
1689.0,0.258
1637.2,0.957
1597.6,1.091
1529.4,0.829
1479.2,0.084
1570.8,1.444
1694.0,4.337
1631.6,2.83
1618.0,3.171
1648.8,2.473
1630.0,1.329
1706.6,1.901
1616.8,2.831
1603.6,2.457
1696.0,3.632
1698.4,3.696
1594.8,4.75
1596.6,4.519
1548.0,2.631
1612.6,4.094
1662.2,2.221
1582.0,3.441
1541.0,4.479
1450.0,2.099
1540.8,4.019
1585.8,3.217
1532.6,3.055
1545.6,2.702
1478.6,1.267
1614.6,5.793
1666.8,3.996
1608.6,3.935
1621.6,3.535
1496.8,2.215
1632.4,5.695
1676.6,4.33
1618.4,4.24
1646.4,3.222
1735.6,3.925
1713.2,3.212
1628.2,4.293
1615.6,4.66
1650.6,2.917
1723.6,5.82
1631.4,4.471
1555.0,7.938
1701.4,7.664
1703.4,7.681
1632.6,6.237
1835.4,2.326
1838.6,2.365
1687.8,3.22
1624.2,5.718
1532.6,3.826
1544.6,1.735
1631.6,3.946
1790.0,4.883
1683.8,4.815
1590.8,7.665
1664.2,5.886
1652.0,4.813
1545.2,4.87
1610.8,3.049
1576.4,2.379
1649.2,4.214
1744.6,2.767
1653.4,3.607
1569.2,6.913
1488.2,4.017
1561.0,4.645
1678.6,7.475
1569.2,6.512
1564.2,6.692
1497.4,4.946
1563.6,5.341
1653.8,4.685
1568.8,4.701
1591.4,3.994
1514.0,2.464
1504.6,0.91
1611.0,1.879
1725.2,2.859
1616.4,3.787
1666.8,2.646
1715.8,3.165
1748.8,4.217
1705.8,2.267
1666.0,3.292
1735.0,2.914
1796.8,5.257
1735.8,3.458
1776.2,2.187
1780.4,1.926
1725.6,0.26
1696.4,0.35
1730.2,0.235
1717.2,0.193
1737.6,0.344
1713.4,0.286
1604.2,2.337
1642.6,1.442
1641.4,1.262
1716.6,2.817
1679.6,1.426
1566.2,4.713
1561.4,3.167
1613.4,3.693
1659.6,4.039
1655.4,1.822
1544.2,6.248
1469.4,3.849
1518.6,3.297
1560.0,4.289
1598.8,1.776
1559.2,2.41
1650.6,2.275
1644.2,2.137
1580.2,2.258
1692.4,0.89
1742.0,1.778
1801.4,2.873
1732.6,2.576
1783.2,1.756
1635.6,3.859
1608.2,1.08
1651.2,1.192
1658.0,1.272
1622.4,0.956
1602.2,1.072
1672.8,1.637
1683.4,1.848
1590.4,2.87
1528.0,4.832
1464.2,2.893
1565.8,5.467
1647.2,5.772
1567.4,5.105
1596.4,4.173
1569.8,2.447
1567.4,1.744
1697.6,2.556
1629.6,2.039
1602.0,2.56
1709.6,3.46
1692.0,2.965
1650.8,2.454
1613.2,3.642
1695.2,3.122
1645.2,2.133
1558.6,3.296
1540.0,3.88
1653.6,5.068
1613.2,3.808
1583.2,3.485
1672.2,1.725
1653.2,0.823
1780.8,4.683
1694.8,3.251
1573.2,7.828
1715.2,7.049
1636.0,4.084
1719.4,4.807
1606.2,6.953
1529.2,5.063
1603.4,5.066
1607.8,5.137
1764.6,4.236
1646.6,5.633
1581.2,5.973
1676.6,6.006
1554.6,2.907
1619.8,2.036
1579.6,2.509
1497.8,0.906
1622.6,3.16
1713.4,5.993
1613.6,5.139
1606.4,5.41
1695.8,5.113
1724.4,6.247
1590.4,6.711
1661.4,4.594
1740.4,5.445
1692.4,3.886
1621.0,4.107
1746.4,2.928
1628.2,2.445
1661.0,2.313
1547.2,4.623
1436.4,3.834
1517.8,3.725
1524.0,3.733
1664.0,4.565
1626.4,2.142
