AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1251.6,0.007
1253.6,0.006
1257.6,0.005
1257.6,0.003
1256.4,0.001
1280.8,0.088
1247.8,0.168
1272.4,0.147
1262.8,0.146
1249.0,0.072
1260.4,0.024
1255.0,0.002
1258.6,0.003
1245.6,0.032
1248.4,0.02
1319.8,0.855
1281.8,0.575
1526.4,7.423
1484.2,3.868
1444.8,4.467
1569.2,3.012
1530.6,1.416
1644.8,3.172
1601.6,1.661
1652.8,1.244
1696.8,1.497
1401.4,8.951
1423.4,6.651
1458.2,6.092
1463.0,5.975
1750.8,8.946
1724.6,3.388
1790.8,2.476
1593.2,10.73
1593.4,3.457
1545.4,3.263
1627.6,5.42
1566.6,3.099
1556.2,2.479
1590.2,2.364
1608.8,2.27
1740.0,2.742
1582.6,5.824
1696.4,4.073
1549.2,5.498
1636.0,5.67
1526.2,5.398
1520.4,3.594
1603.6,3.34
1457.6,1.421
1556.6,0.841
1469.6,1.843
1545.6,2.175
1655.6,3.124
1479.4,5.314
1488.2,4.973
1539.4,4.279
1499.4,2.671
1638.4,2.935
1733.4,0.666
1471.2,11.442
1431.8,9.465
1470.6,7.374
1421.6,5.055
1583.6,3.149
1732.6,1.342
1493.8,8.909
1427.4,9.296
1523.6,8.597
1338.8,3.852
1476.8,3.472
1650.0,3.501
1686.8,4.409
1476.4,12.313
1467.4,9.954
1367.4,6.856
1373.0,4.121
1375.0,1.253
1488.8,1.85
1633.8,3.191
1695.2,4.174
1480.0,12.537
1473.0,9.827
1490.0,7.634
1342.2,3.044
1516.4,2.146
1653.8,2.869
1393.4,9.335
1408.6,7.927
1462.8,7.262
1535.2,10.989
1406.6,8.264
1446.8,6.776
1482.4,6.158
1486.8,5.122
1661.4,4.758
1483.8,8.812
1469.6,7.739
1510.2,6.596
1419.8,2.918
1593.6,2.989
1707.6,1.468
1471.2,8.982
1425.6,9.118
1344.8,5.991
1354.6,3.55
1428.0,2.279
1546.6,1.979
1668.8,1.039
1512.6,3.944
1393.0,7.891
1511.6,6.862
1457.8,4.807
1668.0,9.908
1751.8,1.497
1787.0,1.411
1860.8,0.567
1573.6,8.955
1434.4,11.524
1495.2,7.968
1310.8,2.78
1420.6,3.239
1587.8,2.85
1635.8,3.97
1474.8,8.026
1445.6,7.515
1344.0,5.493
1332.6,2.034
1488.0,4.127
1559.2,2.881
1702.4,1.373
1497.0,8.5
1436.8,6.653
1457.6,5.359
1448.6,4.13
1556.8,2.228
1700.2,1.382
1532.8,5.403
1399.4,8.675
1523.2,7.835
1462.4,5.261
1657.6,8.718
1535.8,7.754
1601.2,5.058
1679.0,6.25
1658.0,5.393
1539.8,7.222
1626.6,4.709
1560.2,3.734
1620.6,5.182
1482.6,6.692
1400.6,6.781
1464.8,5.946
1425.8,3.528
1580.0,4.333
1432.4,6.973
1409.2,5.729
1459.4,5.354
1490.4,6.332
1355.8,6.673
1374.2,5.786
1428.6,5.402
1398.8,3.824
1563.4,3.492
1398.6,7.45
1372.8,5.947
1437.0,5.89
1394.6,4.004
1566.0,3.344
1426.8,5.866
1375.8,5.242
1414.2,4.505
1416.2,3.918
1585.8,4.724
1419.0,7.952
1408.8,6.75
1474.8,6.576
1411.6,3.886
1579.0,3.057
1713.8,1.441
1463.0,9.917
1432.4,8.895
1462.8,6.936
1431.0,4.823
1636.4,5.415
1713.4,1.149
1502.0,9.796
1474.6,8.161
1478.2,5.065
1376.8,2.378
1537.0,2.168
1638.6,1.468
1728.0,3.074
1535.8,8.992
1431.8,10.377
1490.8,7.85
1475.6,6.241
1637.2,6.35
1476.0,9.73
1455.4,7.8
1494.8,6.778
1461.4,4.794
1686.0,5.597
1787.8,1.811
1513.8,14.919
1482.8,12.606
1471.2,7.934
1519.0,9.814
1658.8,4.605
1474.2,11.454
1443.6,9.995
1481.6,7.445
1436.8,5.352
1626.4,4.297
1772.6,1.543
1519.4,10.636
1469.4,10.247
1502.2,7.593
1373.4,2.737
1493.2,1.901
1619.4,1.219
1685.8,2.453
1504.0,7.563
1459.8,7.297
1495.6,5.688
1392.6,2.139
1498.2,1.517
1641.2,1.624
1702.8,2.405
1503.8,8.945
1482.0,7.749
1413.6,5.292
1347.2,1.179
1518.4,3.073
1627.4,3.195
1695.4,1.611
1488.4,11.0
1386.0,10.134
1263.2,6.161
1324.0,5.604
1488.6,7.643
1656.2,6.976
1486.4,10.95
1411.2,11.121
1322.8,7.867
1427.2,10.398
1479.2,5.861
1631.8,4.417
1801.0,1.555
1502.6,10.685
1401.8,13.05
1479.0,10.102
1452.8,7.773
1589.8,6.168
1654.4,0.445
1645.8,0.528
1740.0,1.725
1510.8,5.784
1597.4,4.138
1599.4,4.119
1595.8,3.305
1732.4,0.879
1507.4,7.937
1425.2,8.844
1345.8,6.13
1366.0,3.781
1356.0,1.922
1471.8,1.769
1599.2,1.876
1659.8,3.077
1465.6,9.338
1435.6,8.14
1347.6,5.974
1357.6,3.452
1490.0,3.399
1588.4,2.679
1725.6,1.028
1498.8,8.981
1412.8,8.891
1481.6,7.388
1415.8,4.313
1623.2,6.275
1752.6,1.724
1542.0,8.479
1681.6,5.85
1603.4,4.683
1625.2,4.709
1783.2,1.139
1728.8,0.993
1704.2,1.453
1746.4,1.134
1740.0,0.911
1540.0,6.218
1619.6,4.121
1595.8,3.512
1618.6,3.889
1757.6,1.182
1479.4,12.992
1437.4,10.833
1486.8,8.935
1403.2,4.987
1571.6,3.15
1681.0,0.633
1424.0,9.667
1415.6,7.467
1450.6,6.297
1430.4,5.199
1614.2,3.585
1422.0,9.441
1402.6,7.092
1428.6,6.217
1407.6,4.531
1574.4,3.089
1684.2,1.213
1437.6,11.449
1396.4,9.465
1447.0,7.839
1433.4,6.878
1607.8,4.388
1547.2,3.05
1572.0,2.108
1559.8,1.914
1592.8,2.381
1664.8,0.859
1548.8,3.216
1566.4,2.434
1525.8,1.517
1599.8,3.449
1636.2,1.287
1505.4,4.904
1444.8,6.1
1460.2,3.107
1465.0,3.154
1577.0,3.181
1650.8,0.27
1450.2,7.58
1408.0,5.851
1311.4,3.472
1326.0,2.233
1439.2,2.243
1549.2,2.775
1673.0,1.308
1474.4,7.589
1409.8,7.633
1472.8,6.322
1502.8,7.51
1346.6,8.535
1520.2,5.628
1511.8,5.502
1532.2,5.806
1660.2,0.525
1508.8,4.229
1597.8,2.879
1614.4,3.133
1640.6,3.791
1536.6,5.093
1534.0,3.731
1514.2,2.819
1583.0,4.924
1384.4,8.956
1320.4,9.738
1401.2,8.609
1270.8,3.034
1519.4,7.938
1555.8,2.317
1411.4,6.151
1388.6,6.607
1459.0,5.244
1290.8,3.957
1289.0,3.989
