AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1279.4,0.001
1280.0,0.002
1283.0,0.003
1265.0,0.057
1258.0,0.053
1268.6,0.061
1267.6,0.057
1406.8,2.755
1343.2,1.776
1341.8,1.789
1343.0,1.773
1270.2,0.005
1269.8,0.006
1242.2,0.124
1246.4,0.057
1272.0,0.213
1300.4,0.42
1277.2,0.317
1461.6,3.964
1482.2,2.808
1520.2,2.486
1453.4,3.766
1408.4,1.741
1380.2,1.141
1294.8,0.376
1356.4,0.271
1602.8,10.125
1628.2,7.011
1503.8,10.002
1584.2,7.19
1413.6,3.758
1408.2,1.742
1556.6,2.433
1606.6,2.814
1454.0,7.01
1427.4,6.361
1392.6,3.931
1300.4,0.819
1393.2,0.654
1514.8,1.867
1598.6,2.665
1424.8,7.334
1384.2,7.33
1389.8,5.066
1305.0,1.673
1457.6,2.716
1334.6,4.192
1346.4,2.897
1328.8,2.877
1297.0,1.071
1384.8,0.522
1552.4,4.486
1596.0,2.256
1417.8,8.812
1497.4,5.951
1511.6,5.27
1375.4,3.805
1427.8,1.795
1404.4,1.808
1328.2,0.01
1345.2,0.033
1452.2,1.833
1327.2,2.724
1401.6,2.076
1393.2,2.053
1305.0,0.817
1403.4,0.52
1526.0,3.865
1529.8,2.461
1409.2,6.264
1420.4,4.846
1323.4,2.089
1319.8,1.237
1316.4,0.351
1433.8,1.895
1517.8,2.255
1343.0,5.552
1359.8,4.794
1341.8,3.359
1365.8,3.402
1344.4,1.438
1450.2,1.185
1569.4,2.853
1604.8,3.344
1439.6,8.388
1420.4,7.181
1357.6,4.488
1358.6,2.933
1487.8,2.502
1565.0,1.384
1668.8,0.619
1454.6,7.891
1389.6,6.681
1355.0,4.731
1353.2,2.988
1316.6,1.505
1448.8,1.766
1553.0,2.998
1543.6,2.59
1408.2,7.299
1371.6,5.886
1341.8,3.097
1352.0,3.0
1465.4,1.889
1558.4,0.839
1614.2,0.26
1386.6,8.867
1379.6,5.796
1359.4,4.268
1354.2,3.493
1471.0,1.142
1588.0,1.387
1629.8,0.539
1404.6,9.405
1414.8,6.386
1367.2,4.153
1334.4,2.482
1452.6,0.681
1572.8,1.902
1602.4,0.916
1393.4,9.372
1434.6,6.075
1387.6,4.028
1275.6,2.051
1427.2,0.951
1550.6,3.721
1573.2,3.002
1413.4,8.858
1446.2,6.089
1363.6,3.579
1251.8,1.287
1382.2,0.789
1475.0,2.742
1310.8,4.828
1378.2,3.36
1395.2,3.293
1424.4,3.884
1526.2,1.381
1425.0,3.179
1388.2,3.557
1437.8,2.901
1463.6,3.729
1552.2,2.568
1645.8,0.219
1426.0,8.461
1378.4,6.065
1341.6,4.018
1354.4,3.437
1404.8,1.057
1568.4,2.535
1653.8,1.828
1447.8,7.522
1524.0,5.137
1376.2,5.025
1360.4,1.94
1494.8,2.123
1552.0,3.115
1394.2,7.19
1449.0,4.822
1419.6,3.968
1290.8,1.741
1438.8,1.082
1522.4,2.555
1533.4,2.139
1421.2,5.299
1346.6,5.779
1331.8,2.809
1356.0,3.202
1428.8,2.234
1575.6,1.519
1630.2,0.568
1450.8,5.746
1368.8,7.13
1321.2,3.722
1339.4,2.997
1289.6,1.837
1416.4,1.547
1580.8,4.842
1542.4,3.555
1482.2,4.501
1384.6,7.329
1337.2,2.167
1399.8,3.905
1486.0,4.345
1608.2,1.659
1481.0,4.917
1434.4,4.103
1465.2,3.267
1300.6,1.745
1403.0,1.544
1540.2,3.619
1566.8,3.97
1431.6,7.098
1386.6,7.418
1316.6,4.208
1289.2,1.517
1265.6,0.751
1356.4,0.804
1476.0,2.703
1489.8,2.394
1387.4,4.607
1388.2,3.761
1317.0,2.002
1305.2,0.947
1434.0,1.883
1584.4,4.508
1602.8,1.701
1434.4,8.966
1423.8,6.557
1357.2,2.811
1244.2,1.121
1416.8,2.103
1489.4,2.587
1499.0,2.115
1400.6,4.964
1365.4,3.446
1335.0,1.793
1322.0,1.238
1301.4,0.646
1400.8,0.999
1538.2,4.55
1528.4,3.186
1398.8,7.835
1394.6,6.178
1339.4,2.675
1294.8,1.365
1307.6,0.339
1398.8,0.787
1546.2,5.136
1556.4,3.311
1417.2,8.329
1429.6,6.386
1362.8,2.878
1241.4,1.153
1375.4,1.101
1518.4,4.605
1523.6,3.374
1496.4,2.674
1482.6,2.731
1356.6,1.581
1485.8,4.527
1483.4,2.791
1332.6,6.983
1400.6,5.02
1331.8,2.169
1245.2,1.035
1342.0,0.367
1441.8,2.211
1443.2,1.614
1320.6,5.215
1349.2,3.633
1324.4,2.212
1300.4,1.639
1403.0,0.447
1491.2,0.968
1325.6,4.398
1378.6,2.95
1350.4,2.72
1317.6,1.396
1425.0,0.481
1552.0,2.988
1543.4,1.36
1384.4,7.542
1378.2,5.707
1352.8,2.789
1306.2,1.775
1429.8,0.962
1610.0,4.08
1553.4,2.506
1412.8,8.463
1473.0,5.824
1371.6,2.157
1401.8,2.68
1622.8,3.981
1590.6,2.27
1415.2,10.076
1422.0,7.629
1326.0,2.813
1315.0,1.978
1498.8,2.95
1535.4,1.64
1369.4,7.277
1431.2,4.882
1357.0,3.004
1344.0,2.172
1497.8,1.361
1444.4,1.006
1382.6,2.427
1399.8,1.788
1349.2,0.411
1290.0,0.537
1402.4,1.036
1474.2,2.228
1463.0,1.599
1362.0,4.749
1360.6,3.109
1305.2,1.41
1258.4,0.636
1360.0,0.511
1619.2,11.107
1602.4,6.096
1432.6,14.158
1501.8,10.483
1350.6,3.683
1336.6,2.484
1532.2,2.736
1511.0,1.627
1364.8,6.925
1369.8,5.323
1336.8,2.505
1308.6,1.785
1398.2,0.465
1540.4,2.113
1541.2,1.217
1378.0,6.816
1367.0,5.647
1347.0,2.963
1292.6,1.563
1412.0,1.108
1522.0,1.369
1545.0,1.023
1391.2,6.033
1364.4,4.817
1332.6,2.747
1313.6,1.702
1407.0,0.944
1562.0,2.683
1563.2,1.162
1454.0,4.184
1453.6,3.452
1435.8,1.566
1408.2,1.085
1593.4,3.405
1609.0,1.393
1456.4,5.969
1448.0,5.398
1317.0,2.521
1303.2,0.697
1416.0,1.906
1492.6,2.459
1557.0,0.701
1411.6,5.323
1405.0,3.446
1340.4,2.176
1309.0,0.854
1404.0,0.552
1551.0,3.826
1569.2,1.771
1418.4,7.156
1415.0,5.785
1357.0,2.493
1412.4,4.057
1474.0,1.403
1339.0,5.336
1336.2,4.373
1324.2,2.507
1272.0,1.311
1284.8,0.48
1378.2,0.755
1435.8,1.82
1314.0,3.023
1377.4,2.001
1381.6,1.9
1249.2,1.251
1369.2,1.195
1491.8,4.177
1502.8,3.494
1408.8,5.351
1398.0,4.617
1369.4,2.296
1334.8,1.241
1411.2,0.533
1583.0,3.234
1568.2,1.725
1429.2,6.376
1465.4,4.67
1367.2,1.835
1251.6,1.104
1439.0,3.025
1459.8,2.881
1316.2,5.461
1388.4,3.638
1334.2,2.168
1246.2,0.701
1451.6,3.666
1459.2,2.439
1321.2,5.778
1409.8,3.868
1357.6,2.1
1273.0,1.291
1459.4,2.282
1455.4,1.611
1303.4,5.179
1347.0,3.881
1342.8,2.465
1323.8,2.009
1424.2,0.699
1557.0,1.704
1547.8,0.929
1380.8,6.95
1385.2,5.052
1332.4,2.451
1310.4,1.618
1408.0,0.511
1550.2,2.632
1531.8,1.27
1367.4,7.577
1353.4,6.007
1294.8,2.319
1316.6,2.672
1401.8,1.015
1534.8,1.8
1543.2,0.579
1348.8,7.587
1379.2,5.045
1307.4,2.687
1216.6,1.247
1340.6,0.653
1477.2,4.284
1497.4,3.011
1373.4,6.676
1397.2,4.986
1352.8,2.605
1315.6,1.525
1416.4,0.446
1569.2,3.099
1510.6,1.917
1393.2,6.097
1392.0,4.807
1326.6,1.205
1302.2,0.834
1302.0,0.331
1347.6,0.316
1461.2,3.033
