AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1561.6,6.625
1425.6,4.084
1343.4,0.36
1341.6,0.348
1356.8,0.031
1380.0,0.059
1519.0,3.27
1394.2,3.333
1355.2,4.276
1364.8,3.741
1246.8,0.177
1355.0,1.796
1427.2,1.536
1700.0,12.302
1937.6,11.848
2152.0,10.944
2107.6,4.819
2418.4,11.351
2286.6,8.881
2401.4,10.737
2461.6,3.966
2361.8,1.745
2218.4,7.69
2194.0,2.806
2454.2,17.179
2111.2,19.16
2413.6,15.953
2442.0,14.275
2492.2,14.942
2207.0,27.309
2181.2,17.89
2114.0,15.876
2167.0,14.212
2322.2,5.235
2153.6,10.087
2245.6,6.959
2223.8,4.843
1998.8,4.455
2012.8,4.008
2039.6,3.174
2001.2,1.56
2014.8,0.746
2047.6,0.183
2111.8,0.813
2088.4,0.557
2146.2,0.572
2082.6,1.333
2147.4,1.246
2115.0,1.041
2151.6,1.351
2130.8,0.83
2229.2,2.095
2250.4,1.332
2248.0,1.294
2232.4,1.161
2369.4,3.678
2213.2,4.16
2298.2,3.834
2168.8,7.205
2045.2,2.82
2226.6,5.948
2177.8,4.444
2363.0,5.398
2333.4,2.324
2640.0,14.654
2444.2,12.303
2629.2,13.718
2309.6,32.149
2309.6,13.38
2201.6,14.993
2383.2,21.759
2105.6,24.052
2399.8,24.712
2250.0,23.541
2399.0,25.025
2294.2,15.812
2011.0,18.787
2344.0,21.49
2073.6,10.874
2315.6,16.314
2381.8,4.935
2242.8,3.98
2036.6,16.475
2139.8,8.586
2105.6,7.479
1812.6,15.844
1825.4,14.933
1976.6,15.571
1933.2,13.124
2137.0,9.097
1951.2,15.868
1913.8,9.101
2008.0,10.477
1982.0,9.114
2220.6,5.297
2119.8,4.9
2177.2,3.267
2166.8,3.236
2141.6,1.959
2330.6,2.596
2250.4,1.993
2174.2,4.171
2294.6,4.02
2254.6,2.741
2469.4,9.539
2289.2,10.591
2362.8,7.451
2037.0,23.456
1947.4,6.548
2036.4,7.647
1916.6,4.066
1993.0,0.743
2144.6,2.796
2268.4,7.334
2450.8,8.416
2320.2,8.229
2210.8,12.388
2340.4,10.815
2182.2,5.111
2380.6,7.97
2225.4,10.302
2526.6,18.09
2401.0,13.446
2248.6,14.365
2631.6,14.347
2335.0,9.147
2516.8,10.636
2523.2,6.526
2532.0,4.014
2387.4,7.434
2686.6,17.104
2450.6,16.217
2263.0,19.708
2547.2,17.899
2228.2,6.877
2251.6,6.606
2606.8,13.264
2352.2,9.825
2638.4,11.989
2521.4,11.446
2619.2,9.667
2494.8,9.786
2247.8,11.296
2549.8,15.159
2323.8,8.799
2667.8,22.254
2494.4,17.556
2298.0,18.241
2462.8,16.191
2196.2,3.636
2319.8,4.363
2251.6,4.394
2335.2,3.655
2237.0,3.881
2379.4,6.609
2185.0,10.64
2348.8,10.109
2230.0,9.971
2379.8,13.092
2377.0,5.754
2397.8,5.04
2384.6,3.504
2508.4,5.611
2260.2,11.432
2478.4,12.334
2468.6,9.745
2416.4,7.561
2396.8,5.068
2503.0,4.259
2370.0,4.124
2600.6,11.562
2403.6,13.092
2510.0,10.053
2387.6,12.201
2446.2,8.118
2228.8,14.311
2041.6,12.495
2230.6,13.282
2131.0,7.502
2275.4,6.574
2214.8,4.863
2356.4,4.865
2317.6,3.997
2503.0,11.42
2300.0,13.874
2086.8,19.955
2281.0,18.345
2144.6,9.313
2210.6,7.578
2277.8,1.661
2387.0,3.174
2286.4,2.511
2414.2,3.771
2282.2,6.26
2378.4,4.917
2188.4,9.153
2055.0,6.329
2369.2,15.106
2464.0,21.348
2358.6,14.856
2481.0,8.153
2445.0,6.151
2522.0,8.476
2163.2,24.525
2128.4,20.887
2305.2,23.35
2161.8,13.634
2476.8,11.309
2299.4,13.458
2622.2,19.976
2671.0,16.601
2329.6,25.207
2973.8,33.669
2345.6,51.553
2486.0,39.988
2413.6,39.115
2276.2,10.822
2308.2,4.082
2504.0,11.295
2220.2,17.728
2447.0,16.583
2241.2,20.756
3047.6,135.024
2943.0,66.189
2553.4,102.38
2773.2,78.835
2246.6,12.579
2310.8,10.496
2186.2,8.327
2072.2,8.473
2376.2,16.331
2002.4,14.039
2069.0,12.126
2450.2,23.172
2136.0,15.015
2452.0,13.621
2304.2,15.622
2445.6,13.614
2166.6,22.055
2422.2,23.666
2360.4,17.05
2262.4,12.687
2532.6,5.528
2421.0,2.344
2606.4,4.574
2307.4,18.747
2277.4,11.859
2489.4,18.997
2334.4,12.053
2616.2,7.61
2491.0,8.683
2572.8,5.534
2446.4,7.096
2439.6,3.814
2502.4,2.055
2288.6,3.912
2431.8,3.188
2190.4,7.405
2174.2,3.944
2192.4,3.715
2175.2,1.957
2018.6,6.101
2157.8,4.999
2018.2,5.664
2176.4,10.059
2062.4,7.716
2184.6,7.604
2223.0,5.056
2106.2,3.29
2440.6,8.496
1998.2,24.602
2229.6,19.728
2167.2,18.875
2032.4,9.673
2243.2,1.729
2077.6,1.711
1956.4,5.174
2164.4,8.082
1931.6,6.685
1970.8,6.134
2287.2,12.248
2137.2,7.975
1878.6,25.369
2034.4,17.55
1940.8,9.717
2081.0,17.814
2197.0,2.293
2277.8,1.639
2146.8,5.646
2005.6,4.207
2332.2,18.934
2323.8,15.947
2192.0,17.011
2423.4,9.343
