AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1424.0,0.533
1435.4,0.243
1460.6,0.15
1443.4,0.237
1408.8,0.118
1413.2,0.088
1383.8,0.035
1359.0,0.126
1352.6,0.115
1308.8,0.163
1387.0,1.063
2061.4,72.701
1643.2,54.668
2883.6,179.641
3793.2,230.428
3796.2,187.085
3360.4,225.61
4020.0,160.666
3935.6,143.504
4350.8,206.467
4781.6,11.421
5248.8,26.446
3687.6,389.377
3981.8,213.436
2721.2,355.386
3520.4,365.229
2670.2,321.077
3324.6,307.71
4491.2,284.198
2870.6,324.017
4100.2,188.981
2808.4,360.469
3763.2,412.515
2945.6,343.674
3777.2,384.273
4911.0,279.09
3134.4,399.944
4304.6,233.197
2987.6,358.118
3583.8,301.551
2764.6,297.788
3334.0,259.877
4450.6,273.641
3788.6,202.274
3261.2,310.596
3176.0,225.721
1879.4,131.583
2558.4,179.43
2780.8,111.74
3267.8,153.04
4315.6,52.694
3167.6,177.893
3848.6,128.434
2605.4,290.511
3651.2,383.692
2736.4,343.232
3335.8,327.321
4241.4,220.081
3824.2,152.076
5033.4,50.692
3669.2,295.255
4316.2,202.574
2930.8,413.03
3629.4,339.297
2910.6,315.429
3156.6,236.518
2716.8,245.884
3857.6,431.96
2817.6,378.816
3574.0,365.202
4708.2,320.98
2987.2,326.865
4094.2,178.424
2880.2,330.534
3438.4,256.041
2930.2,199.39
3464.2,216.941
2769.6,266.639
3802.4,345.394
2890.8,331.845
3344.2,289.961
4768.6,313.19
2994.0,366.264
4001.8,224.798
4371.8,253.153
2746.8,225.191
4019.2,160.128
4306.4,189.245
3964.6,154.553
3334.4,279.293
3943.4,180.658
3730.8,146.867
4335.6,264.842
3582.4,271.79
3971.6,173.824
4670.6,275.979
2954.6,313.668
3994.0,195.583
2849.6,358.664
3417.0,276.19
2850.0,218.809
3257.6,204.662
2732.4,230.685
4037.8,470.905
3060.2,380.212
3463.8,335.99
3181.0,330.755
3954.4,370.372
2928.2,342.015
3615.4,306.461
4594.6,296.663
2843.4,314.411
4116.2,192.898
2992.8,302.417
4254.6,545.806
3423.6,390.128
3961.4,357.341
3233.0,463.142
3924.4,353.684
2945.4,359.242
3479.8,312.825
4388.4,232.421
2881.0,244.702
4148.2,155.833
4389.4,183.986
3048.6,246.722
4116.8,140.853
2828.6,267.689
3462.8,238.935
2655.4,264.635
1917.8,218.136
2491.6,183.469
1986.0,45.531
2250.2,37.753
2497.6,0.737
2009.6,33.788
2458.4,39.342
2562.8,45.735
2078.8,60.837
3056.0,72.694
3786.0,200.469
2748.2,237.275
3984.0,167.104
4577.0,244.147
2930.4,348.174
3002.4,327.511
3997.6,413.743
4004.8,416.068
3113.2,433.169
4278.0,253.645
4694.4,324.871
3939.4,231.826
3337.0,370.852
4239.8,283.482
3687.8,175.961
4190.4,251.626
4561.8,25.632
4891.4,36.258
3577.0,308.288
2736.4,295.981
3404.0,281.155
1906.0,157.256
3261.6,275.352
2632.8,249.643
2963.4,197.451
4079.8,204.014
2587.0,266.133
3848.0,191.18
4277.6,236.867
2795.0,286.673
3858.8,155.198
2552.8,301.558
3124.4,237.509
3464.6,157.034
3756.4,198.286
4468.8,9.128
4243.8,11.691
4278.4,9.595
5169.2,138.68
3443.8,395.95
4419.2,310.537
3053.6,539.987
3605.6,379.773
2822.8,367.89
3013.6,244.975
4003.2,209.088
2482.6,230.958
3558.0,147.797
4252.8,256.979
2617.2,334.98
3767.6,207.72
3919.2,218.963
2763.4,159.194
3706.4,67.268
3595.0,61.891
