AVG,Var
0.0,0.01
0.0,0.01
0.0,0.01
0.0,0.01
1189.4,0.499
1260.4,0.357
1287.8,0.254
1311.2,0.004
1307.8,0.008
1281.2,0.124
1288.0,0.064
1293.6,0.084
1286.6,0.067
1293.6,0.018
1386.8,1.233
1465.6,2.271
1556.6,2.224
1643.2,0.456
1578.4,1.207
1737.4,3.254
1610.8,3.313
1628.6,2.862
1615.4,2.754
1711.0,4.36
1654.6,2.482
1624.4,2.855
1689.4,2.158
1589.8,0.254
1587.4,0.259
1626.0,0.207
1650.6,0.49
1725.4,1.092
1623.0,2.375
1683.6,1.631
1851.6,6.912
1584.2,9.541
1786.4,7.385
1604.4,11.687
1592.2,5.065
1789.6,6.25
1604.6,5.405
1854.8,4.972
1589.8,13.472
1716.2,9.992
1920.4,13.842
1743.4,10.932
2049.8,4.604
1723.6,18.51
1525.2,14.747
1406.0,16.42
1425.6,6.558
1498.8,6.035
1529.2,3.989
1732.6,1.468
1459.8,8.973
1809.6,19.729
1547.8,19.714
1627.6,17.035
1801.0,10.756
1585.0,4.545
1730.8,1.214
1715.4,1.183
1696.4,0.718
1686.8,0.389
1747.8,0.696
1782.0,0.908
1809.4,0.991
1773.0,1.022
1753.6,0.854
1764.8,0.65
1783.0,0.922
1713.6,1.33
1861.4,2.433
1679.0,5.254
1669.0,3.442
1839.0,6.018
1675.8,3.836
1886.8,4.356
1820.2,3.693
1929.0,5.176
1807.2,5.959
1803.2,3.55
1775.6,3.821
1828.4,3.539
1747.6,2.693
1850.4,3.027
1709.0,6.031
1671.0,2.634
2099.4,26.792
1951.6,17.688
1827.2,23.411
1977.2,17.285
1880.0,5.993
1846.8,5.179
1966.6,0.28
1622.6,20.031
1513.6,13.268
1556.2,10.385
1586.8,11.673
1773.0,6.479
2101.2,8.834
1993.8,5.558
1997.2,5.368
2147.4,6.372
1962.4,2.9
1956.0,2.944
1979.4,2.58
1846.8,0.387
1908.4,0.743
1846.0,0.919
1745.6,2.234
1837.2,2.044
1834.4,1.908
1820.0,1.54
1981.8,1.302
1710.6,10.25
1774.2,6.215
1823.6,6.945
1567.0,6.249
1546.4,7.15
1366.0,9.317
1305.6,1.093
1308.4,1.132
1203.0,1.981
1206.6,1.898
1280.8,2.425
1156.8,1.736
1120.0,2.459
1183.0,2.026
1136.0,0.678
1710.4,50.865
1583.8,26.22
1855.6,23.21
1958.8,12.899
1776.6,3.193
1923.0,0.888
1597.6,11.716
1682.2,6.987
1871.6,14.984
1905.8,16.172
1888.0,6.933
2039.0,4.302
1933.6,3.456
1739.8,4.159
1695.0,5.646
1890.6,11.205
1795.6,7.598
1658.6,12.371
1799.4,8.418
1991.6,19.931
1730.8,16.55
2079.6,13.826
1856.2,20.286
1767.6,8.718
2116.4,17.57
1764.4,15.054
2010.4,11.344
1820.0,18.071
1734.0,5.298
2054.4,14.901
2035.6,12.964
1974.0,9.81
2019.6,7.912
2106.4,7.734
1822.8,8.365
2119.2,11.072
1815.8,21.918
2074.2,24.367
2311.0,23.431
2006.4,24.107
2424.0,11.347
1953.4,31.919
1859.6,16.109
1829.8,16.785
1875.0,11.687
1739.4,8.166
1919.6,8.23
1680.0,16.898
1654.6,7.047
1869.2,10.937
1423.2,19.536
1815.6,19.531
1570.4,21.945
1412.4,14.136
1947.8,28.744
1764.8,19.159
2030.0,16.745
2037.0,7.995
2033.2,3.056
2101.4,2.402
2065.6,1.814
1902.4,8.4
1977.6,4.874
1807.6,4.936
1826.4,3.374
1985.6,3.016
1817.4,3.742
1963.6,2.623
1839.0,4.266
1945.4,5.282
1760.8,8.722
1763.2,5.399
1980.2,10.289
2171.8,24.764
1813.8,35.5
1829.2,31.208
1946.2,28.845
1658.8,10.453
1931.2,7.302
1758.8,11.77
1696.6,5.886
1939.6,13.392
1530.8,16.624
1914.2,19.366
1674.6,23.21
1444.8,16.176
1807.6,18.64
1413.4,12.541
1308.2,17.143
1314.8,16.363
1183.8,1.225
1122.0,0.942
1288.2,2.463
1228.2,1.822
1259.6,1.705
1322.4,1.045
1273.4,0.462
1251.2,0.605
1326.4,0.938
1198.8,1.842
1110.4,2.959
1166.0,2.405
1146.0,1.408
1096.6,1.256
1273.0,2.304
1302.4,2.109
1225.0,2.504
1402.2,2.132
1339.0,1.642
1301.4,1.675
1228.0,3.846
1274.0,1.908
1130.2,2.657
1121.8,1.951
1188.4,1.71
1074.8,0.724
1298.2,5.241
1201.2,3.783
1226.8,3.501
1302.6,2.385
1129.4,1.48
1277.8,2.379
1174.4,2.65
1306.4,5.034
1732.4,25.936
1552.0,17.464
1821.4,10.494
1872.0,8.244
1833.4,4.479
1839.0,1.139
1868.0,0.763
1792.6,1.587
1820.2,0.974
1751.6,1.451
1785.4,1.093
1798.0,0.774
1853.0,1.691
1858.8,0.447
1883.6,0.441
1969.8,0.858
2086.4,4.16
2013.8,2.747
2024.2,2.519
2040.2,2.259
1927.8,0.295
2014.4,0.825
2273.4,10.647
1757.4,38.814
1900.6,26.871
2102.0,35.095
2046.4,30.001
2189.2,5.628
1822.6,41.256
1530.6,37.19
1569.6,19.477
1589.6,20.383
1567.2,11.414
1802.0,3.098
1582.2,8.827
1527.2,3.204
1560.0,3.148
1637.4,5.674
1598.0,2.43
1740.2,2.829
1538.4,8.972
1625.8,5.74
1699.2,5.93
1524.4,5.54
1573.4,3.437
1627.8,3.028
1448.6,2.29
1622.8,4.001
1641.2,2.65
1401.4,8.276
1318.2,11.837
1364.6,6.68
1406.4,8.657
1313.8,6.512
1567.6,4.536
1708.2,8.669
1450.8,11.235
1675.2,6.674
1728.0,7.699
1466.4,7.798
1720.2,5.382
1621.8,5.056
1616.6,4.019
1781.8,1.799
1796.0,2.097
1806.8,0.703
1743.4,2.231
1694.4,1.645
1638.8,0.422
1594.6,0.038
1685.6,0.968
1666.8,0.56
1821.4,3.381
1558.6,12.56
1618.2,7.817
1755.6,11.332
1652.4,7.702
1536.6,10.801
1700.6,7.954
1611.8,5.345
1516.4,4.749
1745.8,2.492
1518.4,5.593
1653.8,5.621
1592.4,5.15
1338.8,8.246
1506.8,6.215
1570.6,8.782
1369.0,9.3
1736.0,10.617
1662.0,8.387
1389.6,14.602
1805.6,17.675
